timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0495308 ,Left ,0  ,-2 ,+1 ,-2 ,-2 ,-3 ,0  ,0 
0.0495403 ,Left ,-2 ,-1 ,-1 ,0  ,-1 ,+1 ,0  ,-2
0.0637181 ,Left ,-1 ,-1 ,-1 ,+1 ,-2 ,-1 ,0  ,-2
0.0637212 ,Left ,-1 ,-1 ,-1 ,0  ,-2 ,0  ,-1 ,-2
0.0716521 ,Left ,-1 ,0  ,+1 ,-1 ,-1 ,-2 ,-1 ,-2
0.0716569 ,Left ,+1 ,0  ,-1 ,-2 ,0  ,-1 ,-2 ,-1
0.0866215 ,Left ,-1 ,-1 ,0  ,-3 ,-1 ,-1 ,+1 ,-3
0.0866247 ,Left ,-1 ,0  ,-1 ,-1 ,+1 ,-1 ,-2 ,-2
0.0939521 ,Left ,0  ,-1 ,-2 ,-1 ,-2 ,-1 ,-2 ,0 
0.0939561 ,Left ,-2 ,-2 ,+1 ,-1 ,-2 ,0  ,-1 ,0 
0.101516 ,Left ,-4 ,-3 ,-1 ,0  ,-3 ,0  ,+1 ,-2
0.1015191 ,Left ,-1 ,0  ,-2 ,0  ,-1 ,-2 ,-3 ,0 
0.1164836 ,Left ,0  ,0  ,-2 ,-2 ,0  ,-1 ,-2 ,-1
0.1164866 ,Left ,-1 ,0  ,-2 ,0  ,-1 ,+1 ,-1 ,-1
0.1241133 ,Left ,0  ,0  ,0  ,-2 ,-1 ,-3 ,-1 ,0 
0.1241168 ,Left ,+1 ,-1 ,-1 ,0  ,-3 ,-1 ,+1 ,0 
0.1389827 ,Left ,0  ,-3 ,-1 ,-1 ,0  ,0  ,-1 ,-2
0.138987 ,Left ,0  ,0  ,-1 ,-2 ,-2 ,-1 ,-1 ,+1
0.1466165 ,Left ,0  ,-1 ,-4 ,0  ,+1 ,+1 ,0  ,-2
0.1466202 ,Left ,-2 ,-2 ,-1 ,-2 ,-1 ,0  ,0  ,0 
0.1613939 ,Left ,0  ,0  ,-2 ,+1 ,+1 ,-1 ,0  ,-2
0.1613983 ,Left ,-3 ,-3 ,-1 ,-1 ,-2 ,0  ,+1 ,-1
0.1766733 ,Left ,-1 ,-2 ,+2 ,-1 ,-1 ,-1 ,+1 ,0 
0.1766778 ,Left ,-2 ,-1 ,0  ,-3 ,-1 ,0  ,-1 ,-5
0.1839736 ,Left ,0  ,-1 ,-3 ,-1 ,+1 ,-3 ,-3 ,0 
0.1839797 ,Left ,0  ,-2 ,-2 ,-2 ,-1 ,-1 ,-3 ,0 
0.1990928 ,Left ,0  ,0  ,-2 ,-2 ,0  ,+1 ,+1 ,0 
0.1990956 ,Left ,-2 ,-1 ,-3 ,-1 ,-1 ,-2 ,0  ,0 
0.2062706 ,Left ,0  ,+1 ,0  ,0  ,-1 ,+1 ,-1 ,-2
0.2062732 ,Left ,-1 ,-1 ,+1 ,-1 ,-2 ,+1 ,-2 ,-2
