timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0679393 ,Right ,+1 ,-4 ,+8 ,+1 ,-5 ,-2 ,-2 ,-3
0.0679427 ,Right ,+1 ,+3 ,-2 ,+5 ,0  ,-2 ,+1 ,0 
0.0693734 ,Right ,-4 ,-1 ,-32 ,-11 ,-7 ,-3 ,-3 ,-4
0.0693765 ,Right ,-1 ,-2 ,+26 ,+3 ,0  ,-1 ,-6 ,-4
0.0827612 ,Right ,0  ,+5 ,-11 ,+8 ,+4 ,+2 ,-1 ,0 
0.0827782 ,Right ,-5 ,-25 ,-33 ,-16 ,-7 ,-4 ,-2 ,-6
0.0842803 ,Right ,+3 ,+6 ,+15 ,+2 ,+4 ,+1 ,-2 ,0 
0.0842831 ,Right ,0  ,-2 ,-10 ,+2 ,-1 ,0  ,-1 ,-2
0.096652 ,Right ,-5 ,-10 ,-9 ,-4 ,-1 ,-1 ,-3 ,-1
0.0966559 ,Right ,+3 ,+1 ,+16 ,+8 ,+2 ,0  ,+1 ,+4
0.1054291 ,Right ,-3 ,-8 ,+4 ,-7 ,-2 ,0  ,+1 ,-2
0.1054322 ,Right ,-3 ,-1 ,-13 ,-3 ,-3 ,-2 ,-2 ,-3
0.120446 ,Right ,-2 ,-1 ,+3 ,-1 ,0  ,-2 ,0  ,-1
0.120449 ,Right ,0  ,-5 ,-2 ,-3 ,-1 ,0  ,0  ,-2
0.1218609 ,Right ,+3 ,+8 ,+14 ,+1 ,-1 ,0  ,-1 ,0 
0.1218637 ,Right ,-3 ,-7 ,0  ,0  ,-1 ,-1 ,-4 ,-2
0.1429954 ,Right ,-2 ,-2 ,+1 ,-4 ,+1 ,+3 ,-1 ,0 
0.1430001 ,Right ,-1 ,0  ,-2 ,-1 ,-2 ,-4 ,-2 ,0 
0.1445244 ,Right ,+1 ,+6 ,-7 ,-4 ,+2 ,+4 ,+2 ,+1
0.1445283 ,Right ,-3 ,-15 ,+2 ,+1 ,-5 ,-4 ,-1 ,-2
0.1655328 ,Right ,-1 ,0  ,-16 ,-10 ,-5 ,-5 ,-4 ,-2
0.1655371 ,Right ,-3 ,-4 ,0  ,+1 ,+1 ,-2 ,0  ,+2
0.1668667 ,Right ,+2 ,-1 ,-3 ,+4 ,0  ,-2 ,-2 ,0 
0.1668704 ,Right ,-1 ,-1 ,-1 ,+1 ,-1 ,-1 ,-1 ,0 
0.1804734 ,Right ,-1 ,+2 ,-3 ,-6 ,+3 ,+1 ,0  ,-4
0.1804775 ,Right ,+2 ,+4 ,+14 ,+4 ,-2 ,-3 ,-1 ,0 
0.1820451 ,Right ,-2 ,+9 ,+6 ,+1 ,-1 ,+1 ,0  ,-1
0.1820523 ,Right ,-2 ,+5 ,-18 ,-5 ,-4 ,-3 ,0  ,+2
0.2026381 ,Right ,-5 ,-13 ,-1 ,-2 ,-5 ,-4 ,-1 ,-2
0.2026411 ,Right ,+2 ,+6 ,+3 ,-1 ,0  ,+1 ,-1 ,0 
0.2041534 ,Right ,-2 ,-4 ,+8 ,+2 ,-1 ,-1 ,-1 ,0 
0.2041561 ,Right ,-1 ,-3 ,-5 ,-4 ,0  ,0  ,-3 ,-2
0.2254875 ,Right ,-1 ,+1 ,+9 ,0  ,-1 ,-2 ,0  ,0 
0.2255016 ,Right ,-2 ,-14 ,-7 ,0  ,0  ,-2 ,+1 ,-1
0.2270408 ,Right ,-3 ,-1 ,-20 ,-8 ,-1 ,-3 ,-2 ,-3
0.227045 ,Right ,+2 ,-2 ,+11 ,+5 ,0  ,+1 ,-1 ,+1
0.2398704 ,Right ,-1 ,-4 ,0  ,+4 ,-1 ,-2 ,-1 ,+2
0.239876 ,Right ,-3 ,-4 ,-7 ,-15 ,-6 ,-4 ,-1 ,-2
0.2465007 ,Right ,+2 ,+2 ,+3 ,+7 ,-1 ,0  ,0  ,-2
0.2465053 ,Right ,0  ,-3 ,+2 ,-5 ,0  ,-1 ,0  ,0 
0.2631095 ,Right ,+2 ,+7 ,+1 ,+3 ,0  ,0  ,-3 ,0 
0.2631163 ,Right ,-2 ,-3 ,-7 ,-1 ,-2 ,-2 ,+1 ,-2
0.2645281 ,Right ,0  ,+7 ,+12 ,+6 ,0  ,0  ,-1 ,+1
0.2645343 ,Right ,+1 ,+16 ,+12 ,0  ,+2 ,+1 ,0  ,-1
0.285445 ,Right ,-1 ,-25 ,-29 ,-18 ,-8 ,-7 ,-2 ,-2
0.2854519 ,Right ,0  ,+12 ,+8 ,+8 ,-1 ,+1 ,-1 ,-2
0.2869697 ,Right ,-3 ,-1 ,-7 ,-5 ,-1 ,-2 ,-1 ,-2
0.2869761 ,Right ,-3 ,-4 ,+16 ,+11 ,+6 ,+2 ,0  ,0 
0.2998609 ,Right ,0  ,+10 ,+2 ,-1 ,-2 ,0  ,+1 ,-1
0.2998676 ,Right ,-3 ,-12 ,-10 ,+2 ,-1 ,0  ,-1 ,0 
0.3066258 ,Right ,+2 ,+2 ,+9 ,+2 ,-1 ,-1 ,-1 ,-1
0.3066325 ,Right ,-3 ,-19 ,-22 ,-11 ,-5 ,-3 ,-4 ,-1
0.3228965 ,Right ,-2 ,+5 ,+8 ,0  ,-2 ,0  ,0  ,-2
0.3229028 ,Right ,-2 ,-13 ,-9 ,+1 ,-2 ,-1 ,-1 ,0 
0.3244835 ,Right ,+1 ,+2 ,+8 ,-3 ,+2 ,0  ,-1 ,-1
0.3244898 ,Right ,+1 ,0  ,-1 ,+2 ,-3 ,0  ,0  ,-1
0.3456951 ,Right ,-1 ,-2 ,+2 ,-4 ,-1 ,-1 ,-2 ,-1
0.3457029 ,Right ,0  ,+7 ,+1 ,+1 ,-1 ,-1 ,-2 ,-2
0.347155 ,Right ,-3 ,-25 ,-23 ,-6 ,-3 ,-2 ,-1 ,0 
0.3471619 ,Right ,-1 ,-1 ,-1 ,-5 ,0  ,+1 ,+1 ,-3
0.3600485 ,Right ,-3 ,+3 ,+19 ,+18 ,+7 ,+2 ,-3 ,-1
0.3600571 ,Right ,+1 ,+4 ,-15 ,-28 ,-9 ,+1 ,-4 ,+1
0.366729 ,Right ,+1 ,-2 ,-2 ,+3 ,-3 ,-4 ,+3 ,-1
0.3667355 ,Right ,0  ,+11 ,+16 ,+12 ,+3 ,+2 ,0  ,-2
0.3833703 ,Right ,-4 ,-21 ,-11 ,-12 ,-9 ,-6 ,-3 ,-3
0.3838005 ,Right ,0  ,+12 ,+14 ,+14 ,+5 ,0  ,+1 ,+1
0.3847633 ,Right ,-5 ,-22 ,-28 ,-12 ,-5 ,-3 ,-2 ,-3
0.3850507 ,Right ,+1 ,+11 ,+13 ,+4 ,0  ,+1 ,+2 ,+1
0.4059051 ,Right ,-2 ,+5 ,+9 ,+8 ,+5 ,+2 ,+1 ,+1
0.4060922 ,Right ,-2 ,-1 ,-3 ,-3 ,-2 ,-1 ,-3 ,-3
0.4072259 ,Right ,+1 ,+2 ,-2 ,-9 ,-6 ,-4 ,-3 ,-1
0.4072378 ,Right ,-5 ,-19 ,-18 ,-2 ,-2 ,-2 ,-1 ,-2
0.4202673 ,Right ,0  ,-5 ,-14 ,-3 ,-1 ,0  ,-1 ,-1
0.4204576 ,Right ,-4 ,+1 ,+4 ,-4 ,+1 ,-1 ,-1 ,-1
0.42685 ,Right ,0  ,+9 ,+11 ,+4 ,+1 ,+1 ,+1 ,-1
0.4269731 ,Right ,-2 ,+2 ,-2 ,-4 ,-1 ,-4 ,-3 ,-1
0.4431116 ,Right ,-1 ,-7 ,-12 ,-2 ,0  ,+1 ,-1 ,0 
0.4431784 ,Right ,+1 ,-10 ,-15 ,-5 ,-1 ,-3 ,+1 ,0 
0.4446505 ,Right ,-4 ,+3 ,+12 ,+5 ,-2 ,0  ,-2 ,-1
0.4447318 ,Right ,-2 ,+1 ,+5 ,-4 ,0  ,-3 ,+1 ,0 
0.4656359 ,Right ,+1 ,+3 ,+3 ,+4 ,0  ,-2 ,+1 ,-3
0.4656418 ,Right ,+1 ,+7 ,-12 ,0  ,-3 ,0  ,+1 ,0 
0.4670465 ,Right ,-3 ,-7 ,-15 ,-21 ,-6 ,-2 ,-3 ,-3
0.4670517 ,Right ,-3 ,-1 ,-2 ,-2 ,-3 ,-3 ,-1 ,+1
0.4798388 ,Right ,0  ,+5 ,+2 ,+2 ,0  ,0  ,0  ,-1
0.4798447 ,Right ,-3 ,-7 ,+8 ,+17 ,+5 ,+3 ,-1 ,0 
0.4867407 ,Right ,-1 ,+7 ,+2 ,-3 ,+3 ,+1 ,+1 ,0 
0.4867463 ,Right ,0  ,-10 ,-8 ,-9 ,-7 ,-4 ,-3 ,-4
0.5029966 ,Right ,0  ,+7 ,0  ,0  ,-2 ,-1 ,-1 ,-1
0.5030024 ,Right ,-1 ,+6 ,+6 ,-1 ,-3 ,-1 ,-1 ,-1
0.5044828 ,Right ,+1 ,+8 ,+15 ,+11 ,+2 ,+1 ,0  ,+2
0.5044884 ,Right ,-1 ,-5 ,-20 ,0  ,+2 ,+2 ,0  ,-2
0.5254112 ,Right ,-2 ,+4 ,+19 ,-7 ,-6 ,-5 ,-2 ,-1
0.525417 ,Right ,0  ,-2 ,+7 ,+3 ,-1 ,-3 ,-1 ,0 
0.5269656 ,Right ,0  ,-1 ,-1 ,0  ,0  ,+1 ,0  ,-2
0.5269712 ,Right ,+2 ,+4 ,0  ,-4 ,-2 ,-1 ,-1 ,0 
0.5398154 ,Right ,-3 ,+2 ,-3 ,+20 ,+4 ,+1 ,+1 ,0 
0.5398209 ,Right ,-6 ,-11 ,-10 ,-36 ,-16 ,-7 ,-6 ,-4
0.5466775 ,Right ,-1 ,+6 ,+8 ,+14 ,+4 ,+1 ,+1 ,0 
0.5466835 ,Right ,0  ,-2 ,-7 ,-8 ,-7 ,-4 ,-1 ,-5
0.5628373 ,Right ,+1 ,+6 ,+44 ,+10 ,+2 ,+5 ,+3 ,+1
0.562843 ,Right ,+1 ,-4 ,+14 ,+9 ,-7 ,-7 ,-6 ,-3
0.5644243 ,Right ,+1 ,+3 ,-28 ,+4 ,+6 ,-7 ,-11 ,0 
0.5644294 ,Right ,-2 ,+4 ,-7 ,-7 ,0  ,+10 ,+18 ,0 
0.5855561 ,Right ,-5 ,-36 ,-25 ,-6 ,-1 ,0  ,-3 ,-1
