timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.024781 ,Right ,-7 ,-19 ,-2 ,-2 ,-1 ,+1 ,-9 ,-6
0.0247848 ,Right ,+2 ,-4 ,+6 ,-1 ,-3 ,-2 ,-1 ,+2
0.0263949 ,Right ,+2 ,+4 ,+1 ,+1 ,+2 ,+3 ,+20 ,+5
0.0264824 ,Right ,-5 ,-2 ,0  ,-5 ,-2 ,-3 ,-15 ,-3
0.0551227 ,Right ,+3 ,-3 ,-2 ,-1 ,-2 ,-3 ,-10 ,-2
0.055126 ,Right ,+6 ,-2 ,-5 ,+2 ,+3 ,-1 ,-3 ,-2
0.0564659 ,Right ,-7 ,-8 ,-3 ,-5 ,-4 ,0  ,+12 ,-1
0.0564687 ,Right ,+2 ,+1 ,0  ,-1 ,-4 ,0  ,+1 ,+2
0.0612499 ,Right ,0  ,+3 ,-8 ,-1 ,-1 ,-3 ,-3 ,-3
0.0612529 ,Right ,0  ,+2 ,+6 ,+8 ,+1 ,0  ,-2 ,+1
0.0702567 ,Right ,+2 ,+7 ,+12 ,0  ,+1 ,0  ,0  ,0 
0.0702599 ,Right ,-4 ,-8 ,-6 ,-8 ,-3 ,-3 ,+1 ,-2
0.0851023 ,Right ,0  ,+4 ,+3 ,+5 ,+1 ,0  ,-2 ,0 
0.0851058 ,Right ,+7 ,+3 ,0  ,-7 ,-1 ,+1 ,-2 ,+1
0.0867374 ,Right ,-6 ,+4 ,+9 ,+4 ,+1 ,+1 ,-3 ,-5
0.0867406 ,Right ,-2 ,-5 ,-29 ,-12 ,-5 ,-2 ,+2 ,-2
0.1075486 ,Right ,+1 ,-3 ,-10 ,-3 ,0  ,-2 ,+2 ,0 
0.107552 ,Right ,+1 ,-3 ,+7 ,+5 ,-1 ,-1 ,-6 ,0 
0.1090705 ,Right ,+2 ,0  ,+3 ,-2 ,0  ,-1 ,+8 ,+1
0.1090775 ,Right ,-2 ,-1 ,-3 ,+2 ,+2 ,+2 ,-11 ,0 
0.1299062 ,Right ,-2 ,-1 ,+3 ,-5 ,-2 ,0  ,+5 ,+1
0.1299091 ,Right ,0  ,-1 ,-6 ,-5 ,-2 ,-4 ,-14 ,-1
0.1317352 ,Right ,-5 ,+1 ,+7 ,+2 ,+1 ,+1 ,+4 ,-1
0.1317386 ,Right ,-4 ,-5 ,-8 ,-2 ,-4 ,0  ,+7 ,+1
0.1451345 ,Right ,+5 ,+9 ,-8 ,+1 ,+1 ,-2 ,-1 ,-1
0.1451391 ,Right ,-4 ,-7 ,+11 ,-3 ,-2 ,0  ,-2 ,-2
0.1466238 ,Right ,-7 ,-11 ,-13 ,-3 ,-4 ,-4 ,-7 ,-3
0.1466277 ,Right ,-5 ,+8 ,+6 ,+5 ,+2 ,+2 ,+15 ,+2
0.167918 ,Right ,0  ,-3 ,-5 ,0  ,-1 ,0  ,-18 ,-4
