timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0114456 ,Left ,-2 ,+1 ,-2 ,-1 ,0  ,+2 ,-4 ,-10
0.0114804 ,Left ,0  ,0  ,-1 ,-1 ,0  ,+2 ,+1 ,+3
0.0338671 ,Left ,+1 ,-1 ,-1 ,+1 ,-2 ,-2 ,-2 ,-3
0.03387 ,Left ,-3 ,0  ,-2 ,-1 ,-1 ,0  ,-1 ,-4
0.0353224 ,Left ,-2 ,-1 ,-1 ,0  ,-1 ,0  ,0  ,+4
0.035325 ,Left ,+2 ,0  ,0  ,+1 ,-2 ,0  ,0  ,0 
0.048905 ,Left ,+2 ,-1 ,-2 ,-2 ,-1 ,-2 ,-6 ,-4
0.0489079 ,Left ,-1 ,-4 ,-2 ,0  ,-3 ,+4 ,-2 ,-4
0.0504484 ,Left ,-2 ,-4 ,-2 ,-2 ,-1 ,+1 ,-1 ,+4
0.0504508 ,Left ,-3 ,0  ,0  ,-3 ,-1 ,-4 ,-2 ,-4
0.0625646 ,Left ,-3 ,-1 ,0  ,-1 ,0  ,-3 ,+1 ,+3
0.0625674 ,Left ,-4 ,+1 ,-1 ,-1 ,+1 ,-3 ,+1 ,-1
0.0717377 ,Left ,+2 ,0  ,-1 ,-1 ,-1 ,+1 ,-2 ,+1
0.0717409 ,Left ,0  ,-3 ,-1 ,-1 ,-2 ,-3 ,-3 ,-2
0.086347 ,Left ,0  ,-1 ,+2 ,+2 ,0  ,+11 ,+1 ,-2
0.0863499 ,Left ,0  ,-3 ,-1 ,-2 ,-2 ,-1 ,-1 ,0 
0.0879657 ,Left ,-1 ,-1 ,0  ,-2 ,+1 ,-1 ,-4 ,-1
0.0879684 ,Left ,0  ,-3 ,-2 ,+2 ,-1 ,-2 ,+2 ,-3
0.108666 ,Left ,-1 ,0  ,0  ,-3 ,-4 ,-5 ,+1 ,-1
0.1086696 ,Left ,-1 ,-3 ,-3 ,0  ,-2 ,0  ,-2 ,-1
0.1149943 ,Left ,0  ,+2 ,0  ,-4 ,-2 ,+1 ,+1 ,-1
0.1149983 ,Left ,-1 ,0  ,-1 ,0  ,0  ,+1 ,-1 ,0 
0.1224229 ,Left ,-3 ,-1 ,0  ,0  ,-1 ,-3 ,-1 ,-2
0.1224266 ,Left ,+1 ,-3 ,-1 ,-3 ,0  ,-1 ,-4 ,0 
0.1314536 ,Left ,-3 ,-1 ,-2 ,0  ,-3 ,-5 ,-3 ,-8
0.1314796 ,Left ,-3 ,+1 ,-3 ,-4 ,-3 ,+1 ,-1 ,+5
0.1463276 ,Left ,-3 ,-2 ,0  ,-3 ,0  ,-3 ,+1 ,0 
0.1463303 ,Left ,-1 ,+1 ,-1 ,-2 ,-1 ,-3 ,-1 ,+5
