timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0254125 ,Left ,+1 ,0  ,+3 ,0  ,-4 ,0  ,-2 ,-2
0.0254442 ,Left ,-3 ,-3 ,-4 ,-3 ,+3 ,-1 ,0  ,-1
0.0405152 ,Left ,+1 ,+1 ,-3 ,0  ,+1 ,+4 ,+2 ,0 
0.0405181 ,Left ,-1 ,-3 ,-13 ,-6 ,-3 ,0  ,0  ,-2
0.0479605 ,Left ,-2 ,+3 ,-2 ,+2 ,0  ,+3 ,-1 ,0 
0.0479634 ,Left ,+2 ,+4 ,+4 ,+5 ,0  ,-2 ,-1 ,0 
0.0630118 ,Left ,-1 ,-1 ,-7 ,-5 ,-5 ,-1 ,-2 ,+1
0.0630147 ,Left ,-1 ,-1 ,-4 ,0  ,-2 ,-5 ,0  ,-2
0.070478 ,Left ,-3 ,-1 ,-3 ,-5 ,-1 ,+2 ,+1 ,0 
0.0704806 ,Left ,-1 ,-2 ,-2 ,-2 ,+1 ,-5 ,-2 ,+1
0.0854309 ,Left ,0  ,+2 ,-1 ,-12 ,-5 ,0  ,0  ,0 
0.0854338 ,Left ,+1 ,-1 ,+5 ,+8 ,-3 ,+1 ,-1 ,-2
0.1005672 ,Left ,-2 ,-4 ,-1 ,-14 ,-4 ,-2 ,-1 ,-5
0.1005708 ,Left ,-2 ,-5 ,-1 ,+1 ,-4 ,+1 ,0  ,-2
0.1078754 ,Left ,-3 ,-5 ,-4 ,+2 ,+3 ,-3 ,+1 ,-1
0.10788 ,Left ,+2 ,+4 ,+8 ,+1 ,+5 ,+1 ,+1 ,-1
0.1232147 ,Left ,-1 ,0  ,-1 ,-3 ,-21 ,-7 ,-2 ,-2
0.1232177 ,Left ,-2 ,-2 ,-1 ,-1 ,-5 ,-5 ,-3 ,-2
0.1305329 ,Left ,+1 ,0  ,+6 ,+2 ,0  ,-1 ,-1 ,-2
0.130536 ,Left ,-3 ,-6 ,-8 ,-21 ,-3 ,+1 ,-2 ,-1
0.1453718 ,Left ,-1 ,-4 ,-9 ,+2 ,-4 ,-4 ,-4 ,-1
0.1454014 ,Left ,-1 ,+2 ,+1 ,+1 ,-4 ,-1 ,-2 ,-1
0.1611005 ,Left ,-1 ,0  ,+3 ,+4 ,+2 ,-1 ,+1 ,-2
0.1611133 ,Left ,-2 ,0  ,-1 ,-5 ,-3 ,-3 ,-2 ,0 
0.16868 ,Left ,0  ,+3 ,+3 ,+1 ,+3 ,-1 ,-1 ,0 
0.1686922 ,Left ,-2 ,-1 ,0  ,+1 ,-1 ,0  ,-2 ,-1
0.1835984 ,Left ,+1 ,0  ,+3 ,-2 ,-2 ,0  ,-2 ,-2
0.1836106 ,Left ,-1 ,-2 ,+4 ,+2 ,-5 ,+3 ,0  ,0 
0.1913333 ,Left ,0  ,-3 ,-5 ,-5 ,+1 ,-2 ,-1 ,-4
0.1913459 ,Left ,+1 ,+7 ,+10 ,-6 ,-3 ,-4 ,-1 ,+2
0.2060489 ,Left ,-1 ,+2 ,0  ,-1 ,-3 ,+5 ,+1 ,+2
0.2061281 ,Left ,-2 ,-3 ,-6 ,+1 ,+2 ,+2 ,+1 ,-2
0.2207519 ,Left ,-1 ,+1 ,+1 ,+5 ,+3 ,+2 ,-2 ,0 
0.2207588 ,Left ,-1 ,+1 ,-3 ,-1 ,-1 ,-7 ,-1 ,-1
0.2281415 ,Left ,-3 ,-3 ,-10 ,-16 ,-7 ,-4 ,-4 ,-1
0.2281445 ,Left ,-1 ,-1 ,-4 ,+5 ,+1 ,-3 ,-1 ,-2
0.2506507 ,Left ,+1 ,0  ,0  ,+4 ,-4 ,-1 ,0  ,+1
0.2506575 ,Left ,+1 ,-2 ,-9 ,-17 ,+4 ,+3 ,+1 ,-2
0.2581661 ,Left ,-2 ,-2 ,+1 ,+23 ,+2 ,+2 ,-3 ,-3
0.2581714 ,Left ,-3 ,-7 ,-11 ,0  ,-4 ,-2 ,+1 ,-3
0.2804489 ,Left ,+1 ,0  ,+2 ,-2 ,+2 ,-2 ,+1 ,0 
0.280452 ,Left ,-1 ,-3 ,-5 ,-9 ,-10 ,-2 ,-2 ,-2
0.2955183 ,Left ,-4 ,-7 ,-7 ,+3 ,+2 ,-2 ,0  ,-3
0.2955214 ,Left ,0  ,+1 ,+4 ,+2 ,0  ,+1 ,-2 ,+1
0.3030894 ,Left ,-1 ,+2 ,+5 ,+3 ,+5 ,+1 ,-1 ,0 
0.3030938 ,Left ,-1 ,-3 ,-8 ,-3 ,-5 ,0  ,-2 ,+1
0.3179606 ,Left ,-2 ,-2 ,-2 ,+6 ,+1 ,-2 ,+1 ,0 
0.3179633 ,Left ,-3 ,-2 ,+1 ,-4 ,0  ,-4 ,-2 ,0 
