timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0222693 ,Right ,-4 ,-4 ,0  ,+2 ,-1 ,0  ,0  ,0 
0.0222722 ,Right ,+1 ,+8 ,+10 ,-2 ,-3 ,-2 ,-2 ,-2
0.0229986 ,Right ,0  ,+1 ,-8 ,0  ,+4 ,-5 ,-1 ,-1
0.0230012 ,Right ,-6 ,-10 ,-9 ,-3 ,-4 ,+5 ,+2 ,-1
0.0367427 ,Right ,0  ,+1 ,-1 ,-1 ,-2 ,0  ,0  ,+2
0.0367459 ,Right ,0  ,+19 ,+3 ,-3 ,-6 ,-3 ,+1 ,-3
0.0450831 ,Right ,-3 ,-1 ,-1 ,-13 ,-8 ,-2 ,0  ,-4
0.0450859 ,Right ,-4 ,0  ,+4 ,+1 ,+1 ,0  ,-1 ,+1
0.060119 ,Right ,-3 ,-12 ,0  ,0  ,+1 ,-4 ,-3 ,-1
0.060122 ,Right ,0  ,-2 ,-5 ,+4 ,-1 ,+4 ,+1 ,-1
0.0607324 ,Right ,-1 ,-6 ,+3 ,+4 ,+1 ,-1 ,-2 ,+1
0.0607357 ,Right ,-1 ,+7 ,+18 ,+8 ,+5 ,+5 ,+2 ,-1
0.0825157 ,Right ,0  ,-6 ,-19 ,-10 ,-4 ,-4 ,-2 ,-2
0.0825186 ,Right ,-6 ,-11 ,-9 ,+3 ,-2 ,-4 ,-2 ,+2
0.0833792 ,Right ,+2 ,+8 ,-11 ,-12 ,-1 ,-2 ,-1 ,0 
0.0833823 ,Right ,-1 ,-11 ,+2 ,-1 ,-3 ,-3 ,-2 ,-3
0.0968342 ,Right ,+1 ,+6 ,+7 ,-1 ,-1 ,+1 ,-1 ,0 
0.0968372 ,Right ,-2 ,-9 ,-4 ,+3 ,+2 ,0  ,+1 ,-2
0.1048729 ,Right ,+2 ,+10 ,+11 ,+4 ,0  ,+2 ,0  ,+1
0.1049086 ,Right ,-2 ,0  ,-19 ,-6 ,-1 ,-2 ,-1 ,+3
0.1198402 ,Right ,-4 ,+1 ,+9 ,-4 ,-7 ,-4 ,-2 ,-3
0.1198491 ,Right ,+3 ,+4 ,+8 ,-3 ,+2 ,-2 ,-1 ,-1
0.1206786 ,Right ,-1 ,-4 ,-10 ,-3 ,0  ,+3 ,0  ,-1
0.1206813 ,Right ,+1 ,+4 ,+11 ,+2 ,-3 ,-3 ,-1 ,+1
0.1425595 ,Right ,-3 ,-6 ,-15 ,-4 ,-5 ,-4 ,-4 ,-1
0.1425629 ,Right ,-1 ,0  ,-1 ,-1 ,+1 ,+1 ,0  ,-1
0.1432669 ,Right ,-1 ,-7 ,-7 ,-2 ,+3 ,-3 ,-5 ,-1
0.1432699 ,Right ,-1 ,+1 ,+1 ,-2 ,0  ,+2 ,+2 ,-2
0.1566657 ,Right ,-2 ,+1 ,-5 ,+3 ,+1 ,-2 ,+2 ,0 
0.1566689 ,Right ,0  ,-7 ,-3 ,-2 ,-1 ,-4 ,-4 ,-3
0.1649001 ,Right ,-6 ,-2 ,+8 ,+8 ,+5 ,+9 ,+4 ,+1
0.1649037 ,Right ,+3 ,+7 ,0  ,-2 ,-1 ,-2 ,-1 ,-3
0.1800127 ,Right ,-9 ,+10 ,+5 ,-3 ,-2 ,+1 ,0  ,+1
0.1800166 ,Right ,+6 ,+6 ,+7 ,+4 ,0  ,+1 ,-5 ,-2
0.1806598 ,Right ,0  ,-4 ,-5 ,-6 ,-4 ,-4 ,-2 ,0 
