timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0728169 ,Left ,+1 ,0  ,-2 ,-4 ,+2 ,+1 ,-1 ,0 
0.0728396 ,Left ,-4 ,0  ,+2 ,+2 ,-4 ,+1 ,0  ,0 
0.0745535 ,Left ,-6 ,-1 ,-4 ,0  ,+8 ,+3 ,0  ,0 
0.0745561 ,Left ,-1 ,-2 ,-2 ,+2 ,+3 ,0  ,0  ,-1
0.0956549 ,Left ,+1 ,+3 ,0  ,-1 ,0  ,+1 ,-3 ,-1
0.0956591 ,Left ,+1 ,-1 ,+3 ,-2 ,-2 ,+1 ,-1 ,0 
0.0972156 ,Left ,-2 ,-2 ,-4 ,-6 ,-21 ,-8 ,-2 ,-1
0.0972186 ,Left ,-2 ,0  ,0  ,-7 ,-3 ,+11 ,-2 ,0 
0.1097996 ,Left ,-3 ,-3 ,0  ,+9 ,+13 ,+3 ,0  ,-2
0.1098457 ,Left ,-1 ,-1 ,0  ,-1 ,+4 ,-25 ,-1 ,-2
0.1167426 ,Left ,-2 ,-5 ,-6 ,-10 ,+8 ,+3 ,-1 ,-2
0.1167456 ,Left ,+1 ,+1 ,0  ,-2 ,-12 ,-6 ,-2 ,-3
0.1329916 ,Left ,-1 ,-2 ,-3 ,+3 ,-5 ,-4 ,+1 ,0 
0.1329946 ,Left ,+1 ,+1 ,+7 ,-3 ,-7 ,+9 ,-1 ,0 
0.1344676 ,Left ,0  ,-1 ,-14 ,+1 ,-2 ,-6 ,-2 ,-2
0.1344703 ,Left ,0  ,+2 ,+9 ,-1 ,+4 ,+4 ,0  ,+1
0.1553791 ,Left ,-2 ,-2 ,-2 ,-1 ,-1 ,0  ,-2 ,-1
0.1553826 ,Left ,-1 ,-3 ,-6 ,-4 ,0  ,+2 ,-1 ,-1
0.1569065 ,Left ,-1 ,-3 ,-5 ,-5 ,+6 ,-8 ,-2 ,0 
0.156909 ,Left ,-3 ,-4 ,-6 ,+3 ,-19 ,-2 ,-2 ,-1
0.1699612 ,Left ,0  ,0  ,+2 ,-9 ,-2 ,-3 ,+1 ,-2
0.1700486 ,Left ,-3 ,-2 ,-3 ,+1 ,+7 ,+6 ,-2 ,-2
0.1765591 ,Left ,0  ,+1 ,+1 ,0  ,-7 ,+4 ,+1 ,-1
0.1765796 ,Left ,0  ,-1 ,-1 ,+8 ,+8 ,-7 ,-1 ,0 
0.1929303 ,Left ,-2 ,-2 ,0  ,-5 ,-4 ,+2 ,-1 ,-2
0.1929335 ,Left ,0  ,-1 ,-4 ,-2 ,-1 ,+6 ,-1 ,-1
0.1945741 ,Left ,-1 ,0  ,+3 ,+1 ,+5 ,+5 ,0  ,-1
0.1945772 ,Left ,-1 ,-1 ,0  ,+1 ,-3 ,-4 ,0  ,-2
0.2157588 ,Left ,-2 ,-4 ,-4 ,+1 ,+6 ,-1 ,-4 ,-1
0.2157643 ,Left ,+1 ,+2 ,-3 ,-5 ,-9 ,+3 ,+1 ,+1
0.217106 ,Left ,-2 ,-1 ,+4 ,+5 ,+2 ,0  ,0  ,0 
0.2171102 ,Left ,-1 ,+1 ,+5 ,-2 ,-28 ,-8 ,-1 ,-1
0.2292819 ,Left ,-1 ,-5 ,-11 ,+1 ,+8 ,0  ,-2 ,-1
