timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0053563 ,Right ,+1 ,+1 ,+17 ,+3 ,+2 ,+1 ,+2 ,0 
0.0202268 ,Right ,-2 ,+21 ,-3 ,+10 ,+1 ,-1 ,-1 ,0 
0.0202723 ,Right ,+3 ,-15 ,+4 ,+9 ,+2 ,0  ,-2 ,-3
0.0217411 ,Right ,0  ,-4 ,-21 ,-6 ,-4 ,-2 ,-3 ,+1
0.0217978 ,Right ,-5 ,+3 ,+10 ,-11 ,-5 ,-3 ,-2 ,-3
0.0428511 ,Right ,+3 ,-20 ,-4 ,+19 ,+2 ,0  ,0  ,0 
0.0429034 ,Right ,+2 ,+22 ,+5 ,-1 ,+3 ,0  ,0  ,0 
0.0445679 ,Right ,-3 ,+2 ,+4 ,-9 ,-2 ,-1 ,-2 ,-1
0.0446124 ,Right ,+1 ,+7 ,0  ,+12 ,+2 ,0  ,-2 ,+1
0.0564451 ,Right ,-4 ,-9 ,+26 ,-1 ,-1 ,-1 ,-2 ,-2
0.056498 ,Right ,-3 ,-13 ,-23 ,-10 ,-6 ,-2 ,-1 ,-3
0.0652886 ,Right ,-2 ,+6 ,+5 ,+2 ,+2 ,-1 ,+2 ,+1
0.0653437 ,Right ,-2 ,-8 ,-8 ,+8 ,-2 ,-3 ,-2 ,-2
0.0802732 ,Right ,-3 ,+2 ,-9 ,-15 ,-3 ,-2 ,-3 ,-2
0.0802829 ,Right ,+10 ,+2 ,+4 ,-9 ,-2 ,0  ,-1 ,+1
0.0817362 ,Right ,-1 ,+4 ,+2 ,+18 ,+5 ,0  ,0  ,-1
0.0817931 ,Right ,-2 ,-23 ,-14 ,-1 ,-2 ,-1 ,0  ,+1
0.1028279 ,Right ,-1 ,+9 ,-9 ,-7 ,-1 ,-2 ,-1 ,-1
0.1028639 ,Right ,-2 ,+7 ,+14 ,+6 ,-1 ,-1 ,+1 ,+1
0.1043437 ,Right ,-3 ,-7 ,+6 ,-9 ,0  ,-1 ,-1 ,-1
0.1043509 ,Right ,+2 ,+8 ,-11 ,0  ,-4 ,-3 ,-1 ,+1
0.1163441 ,Right ,-2 ,-7 ,-8 ,0  ,-1 ,0  ,0  ,-2
0.1164024 ,Right ,-6 ,-27 ,-16 ,-7 ,-2 ,-2 ,-2 ,-3
0.1253614 ,Right ,+2 ,+26 ,+15 ,+8 ,0  ,0  ,-1 ,-2
0.1254307 ,Right ,-3 ,+2 ,-7 ,-13 ,-3 ,-2 ,-3 ,-4
0.1401947 ,Right ,-1 ,-5 ,-12 ,-7 ,+2 ,+1 ,0  ,+1
0.1403225 ,Right ,0  ,0  ,-4 ,+12 ,+2 ,-1 ,+1 ,-2
0.1417367 ,Right ,-3 ,-31 ,-17 ,+1 ,-1 ,-2 ,-2 ,-2
0.1417768 ,Right ,+2 ,+37 ,+17 ,-3 ,+1 ,+2 ,+1 ,+1
0.1632083 ,Right ,0  ,-8 ,+3 ,-4 ,-3 ,-2 ,-1 ,-1
0.1635672 ,Right ,-1 ,+11 ,-9 ,-1 ,-2 ,-2 ,-2 ,-2
0.1646174 ,Right ,+2 ,-3 ,+4 ,-2 ,0  ,0  ,+1 ,+2
0.1646268 ,Right ,-1 ,-16 ,-18 ,-8 ,-4 ,-1 ,-1 ,-2
0.1762526 ,Right ,-1 ,-6 ,-4 ,-3 ,-3 ,-4 ,-2 ,-2
0.1763017 ,Right ,-3 ,-6 ,+16 ,+17 ,+3 ,0  ,-1 ,-1
0.1853245 ,Right ,-1 ,0  ,-15 ,-12 ,-7 ,-3 ,0  ,-3
0.1853348 ,Right ,0  ,+3 ,-14 ,+10 ,+5 ,+1 ,+1 ,0 
0.2001993 ,Right ,-1 ,+14 ,+23 ,0  ,0  ,-2 ,-2 ,-1
0.200268 ,Right ,-2 ,+6 ,+11 ,+5 ,+4 ,-1 ,+1 ,+1
0.2018878 ,Right ,+2 ,-11 ,-20 ,-4 ,-5 ,-3 ,-3 ,-2
0.2020323 ,Right ,-2 ,-2 ,+2 ,-3 ,0  ,0  ,0  ,+1
0.2302973 ,Right ,0  ,-7 ,-8 ,+3 ,0  ,-2 ,+1 ,0 
0.2303478 ,Right ,-2 ,+2 ,+12 ,-12 ,-2 ,+1 ,0  ,-2
0.2317962 ,Right ,0  ,+17 ,+27 ,+9 ,+2 ,-1 ,-1 ,-2
0.2318782 ,Right ,-6 ,-36 ,-31 ,-15 ,-6 ,-3 ,-5 ,-1
0.2364229 ,Right ,+5 ,+33 ,+11 ,+18 ,+6 ,+5 ,+2 ,+2
0.2364303 ,Right ,-3 ,+6 ,+11 ,-3 ,-5 ,-1 ,-2 ,-1
0.2455339 ,Right ,-2 ,-25 ,-25 ,-2 ,+1 ,-1 ,-3 ,-3
0.2456186 ,Right ,+6 ,-2 ,+20 ,+1 ,-1 ,-1 ,-1 ,0 
0.260752 ,Right ,-2 ,+22 ,-10 ,-4 ,-3 ,-1 ,0  ,-3
0.2607619 ,Right ,+1 ,-12 ,-6 ,-7 ,-3 ,-1 ,-3 ,0 
0.2621767 ,Right ,-7 ,+10 ,+15 ,+1 ,-1 ,+1 ,+2 ,+1
0.262186 ,Right ,+5 ,-9 ,-7 ,+2 ,0  ,-3 ,-1 ,0 
0.2828608 ,Right ,-6 ,-3 ,-12 ,-11 ,-5 ,-2 ,-2 ,-3
0.282867 ,Right ,-4 ,-2 ,0  ,+4 ,-5 ,-5 ,-4 ,-6
0.2843738 ,Right ,+5 ,0  ,-49 ,+5 ,+8 ,+4 ,+3 ,+2
0.2844464 ,Right ,-8 ,+3 ,+62 ,-1 ,-1 ,0  ,-1 ,-3
0.2964433 ,Right ,+5 ,-8 ,-20 ,+2 ,0  ,0  ,+1 ,0 
0.2964491 ,Right ,-3 ,-8 ,+8 ,-8 ,0  ,+3 ,-1 ,-2
0.3052801 ,Right ,+8 ,+17 ,-21 ,-11 ,-4 ,-2 ,-1 ,+1
0.3053311 ,Right ,0  ,-2 ,-6 ,+18 ,+3 ,+1 ,+1 ,0 
0.3195793 ,Right ,+1 ,-16 ,+9 ,-3 ,-2 ,-4 ,-4 ,-2
0.3195858 ,Right ,-8 ,-11 ,-8 ,-7 ,-5 ,-2 ,0  ,+3
0.3263504 ,Right ,-1 ,+11 ,+4 ,-14 ,+1 ,+2 ,+1 ,-1
0.3263576 ,Right ,+1 ,+12 ,-6 ,0  ,0  ,-2 ,0  ,+1
0.34282 ,Right ,-8 ,-10 ,0  ,0  ,-1 ,-2 ,-1 ,-2
0.3428341 ,Right ,-1 ,-20 ,-21 ,+4 ,-1 ,-2 ,0  ,-2
0.3443963 ,Right ,-3 ,+1 ,+43 ,+2 ,-4 ,-3 ,-2 ,-3
0.3445565 ,Right ,+2 ,+21 ,+9 ,-6 ,-5 ,-1 ,-2 ,-1
0.3564804 ,Right ,-4 ,-26 ,-1 ,+2 ,+1 ,0  ,-1 ,0 
0.3565823 ,Right ,+3 ,+32 ,-7 ,-2 ,0  ,0  ,-1 ,0 
0.3652733 ,Right ,-2 ,-13 ,+3 ,-3 ,-5 ,-3 ,0  ,-2
0.3653245 ,Right ,-7 ,-10 ,-45 ,-7 ,0  ,0  ,-1 ,-4
0.3796308 ,Right ,0  ,+2 ,+20 ,+3 ,-1 ,-2 ,-1 ,-1
0.3796391 ,Right ,-1 ,-21 ,-13 ,-5 ,0  ,0  ,+1 ,0 
