timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0090119 ,Left ,0  ,+3 ,+1 ,+2 ,-1 ,-1 ,-4 ,-4
0.0163694 ,Left ,-2 ,-8 ,-1 ,-1 ,-1 ,-2 ,-3 ,-3
0.0164331 ,Left ,+19 ,+14 ,-4 ,-4 ,-2 ,-1 ,0  ,+13
0.0236793 ,Left ,-7 ,-11 ,-3 ,-4 ,-2 ,-4 ,-3 ,-7
0.0237218 ,Left ,-18 ,-5 ,-1 ,0  ,-2 ,-2 ,-3 ,-2
0.0316467 ,Left ,+17 ,+16 ,+4 ,0  ,-1 ,-1 ,-1 ,-2
0.0316655 ,Left ,-19 ,-24 ,-3 ,+1 ,0  ,0  ,+1 ,-3
0.0466275 ,Left ,+12 ,+2 ,-2 ,-5 ,-4 ,-1 ,0  ,-2
0.0466386 ,Left ,-5 ,+2 ,-1 ,0  ,0  ,-1 ,0  ,+2
0.053711 ,Left ,+9 ,0  ,-2 ,-1 ,-3 ,-1 ,-1 ,0 
0.0537208 ,Left ,-6 ,-3 ,-6 ,-8 ,-4 ,-1 ,-1 ,-4
0.0687237 ,Left ,-9 ,+1 ,+2 ,+2 ,-1 ,+1 ,-4 ,0 
0.0687329 ,Left ,+16 ,+1 ,+7 ,+5 ,0  ,+2 ,+2 ,0 
0.0761753 ,Left ,-9 ,-3 ,-4 ,-2 ,0  ,0  ,-2 ,0 
0.0761842 ,Left ,0  ,+6 ,0  ,-1 ,-2 ,-1 ,-3 ,-8
0.0836877 ,Left ,+10 ,+6 ,-4 ,-2 ,-1 ,0  ,+3 ,+4
0.0837314 ,Left ,-3 ,-4 ,-2 ,-2 ,-1 ,0  ,-2 ,+3
0.091229 ,Left ,-4 ,-5 ,+2 ,-2 ,+4 ,+1 ,0  ,-1
0.091275 ,Left ,-3 ,+6 ,+5 ,+4 ,-2 ,-3 ,-3 ,-5
0.1061595 ,Left ,-9 ,-7 ,-3 ,-2 ,-1 ,0  ,-1 ,+1
0.1062413 ,Left ,+15 ,+4 ,-1 ,-1 ,-1 ,-2 ,-3 ,-4
0.1214395 ,Left ,-1 ,0  ,-1 ,-2 ,-2 ,-2 ,+1 ,+1
0.1214554 ,Left ,-4 ,+3 ,-2 ,-2 ,-1 ,-1 ,-2 ,-6
0.1437435 ,Left ,+12 ,+12 ,+3 ,+1 ,+1 ,-1 ,+1 ,+2
0.143793 ,Left ,-8 ,-18 ,-2 ,0  ,-1 ,+1 ,-1 ,+4
0.151146 ,Left ,-14 ,-1 ,-1 ,0  ,-2 ,0  ,-3 ,-10
0.1512219 ,Left ,+13 ,-5 ,-6 ,-3 ,-2 ,-4 ,-1 ,+9
0.1596365 ,Left ,-3 ,+2 ,+4 ,-2 ,-1 ,-3 ,-2 ,-3
0.1596461 ,Left ,+16 ,+7 ,-2 ,-3 ,0  ,-1 ,0  ,0 
0.1662723 ,Left ,-9 ,+1 ,-2 ,0  ,-3 ,-4 ,-2 ,-4
0.1663171 ,Left ,-8 ,-6 ,-1 ,-1 ,0  ,0  ,0  ,-1
0.1744138 ,Left ,+5 ,-3 ,-3 ,0  ,-2 ,0  ,-2 ,-2
0.1744231 ,Left ,-7 ,-2 ,+1 ,0  ,-1 ,-1 ,-1 ,+1
0.1886833 ,Left ,-34 ,-15 ,-5 ,-5 ,-5 ,-3 ,-3 ,-8
0.1886916 ,Left ,-4 ,-1 ,-1 ,-5 ,-2 ,-1 ,0  ,-2
0.1960334 ,Left ,-2 ,-3 ,-3 ,-1 ,0  ,0  ,+2 ,+3
0.1960869 ,Left ,+1 ,+1 ,-7 ,-3 ,+1 ,0  ,-4 ,-6
0.2039615 ,Left ,-8 ,-8 ,-1 ,-3 ,-2 ,+1 ,-2 ,-1
0.2039699 ,Left ,+1 ,+7 ,-2 ,0  ,-4 ,-1 ,-1 ,-4
0.2110443 ,Left ,-8 ,-10 ,-2 ,-3 ,+1 ,-1 ,-1 ,+1
0.2111293 ,Left ,0  ,-12 ,-4 ,-3 ,-3 ,-3 ,-2 ,-1
0.226314 ,Left ,+4 ,+10 ,+3 ,+2 ,0  ,-2 ,+1 ,+1
0.2263221 ,Left ,-4 ,-7 ,-3 ,0  ,+1 ,-2 ,-1 ,-1
0.2336235 ,Left ,-2 ,-4 ,-1 ,-1 ,-2 ,0  ,-1 ,+1
0.2337126 ,Left ,-11 ,-6 ,0  ,+1 ,-1 ,+1 ,0  ,-4
0.248781 ,Left ,+14 ,+3 ,-3 ,-1 ,0  ,-2 ,-1 ,0 
0.2487967 ,Left ,-12 ,-1 ,-2 ,-2 ,-1 ,0  ,-2 ,-2
0.2561462 ,Left ,+14 ,+8 ,-1 ,0  ,0  ,-1 ,+1 ,+5
0.2561839 ,Left ,+6 ,+4 ,+1 ,-1 ,-1 ,0  ,-1 ,0 
0.2642874 ,Left ,-6 ,-15 ,-1 ,+1 ,0  ,-1 ,0  ,-2
0.2642994 ,Left ,-7 ,-2 ,-5 ,-3 ,-2 ,-1 ,+2 ,-1
0.2787214 ,Left ,+1 ,-2 ,-2 ,-2 ,-1 ,-2 ,-2 ,-3
0.2787602 ,Left ,-20 ,-6 ,-2 ,0  ,-3 ,-2 ,-3 ,-4
0.2937279 ,Left ,+14 ,+4 ,+1 ,-2 ,-2 ,-1 ,-1 ,+1
0.2937433 ,Left ,+3 ,+3 ,+3 ,+3 ,+1 ,-2 ,-2 ,+3
0.3013224 ,Left ,+18 ,+13 ,+1 ,-3 ,-2 ,0  ,-1 ,-4
0.3013307 ,Left ,-15 ,-12 ,-2 ,-2 ,+2 ,0  ,+3 ,+2
0.3164246 ,Left ,+3 ,+2 ,-3 ,-4 ,-3 ,0  ,-2 ,-3
0.316495 ,Left ,-8 ,-12 ,-1 ,-2 ,-1 ,0  ,-4 ,+1
0.3238588 ,Left ,-5 ,+3 ,+1 ,+4 ,0  ,0  ,0  ,-2
0.3238677 ,Left ,+12 ,+5 ,+2 ,+1 ,-2 ,-4 ,-1 ,0 
0.3428058 ,Left ,-7 ,-1 ,0  ,-1 ,-1 ,-2 ,0  ,-2
0.3428377 ,Left ,-6 ,0  ,-1 ,0  ,-2 ,0  ,+3 ,-1
0.3536694 ,Left ,-17 ,-1 ,+1 ,-1 ,+3 ,0  ,-1 ,-5
0.3536773 ,Left ,-6 ,-6 ,-6 ,-5 ,-2 ,-1 ,0  ,0 
0.3613894 ,Left ,-8 ,-7 ,-3 ,-2 ,-2 ,-2 ,-3 ,-3
0.3613976 ,Left ,-1 ,+3 ,+3 ,+1 ,+2 ,0  ,+1 ,0 
0.3762272 ,Left ,+21 ,+5 ,+2 ,0  ,-1 ,-1 ,-2 ,-1
0.3762794 ,Left ,-13 ,-4 ,+2 ,+5 ,-1 ,-2 ,-2 ,-4
0.3837005 ,Left ,+6 ,-2 ,-6 ,-5 ,-4 ,-1 ,+1 ,0 
0.3837469 ,Left ,+8 ,-1 ,-2 ,-2 ,-1 ,-1 ,-1 ,+1
0.3912056 ,Left ,-1 ,+6 ,+2 ,0  ,-2 ,0  ,-1 ,+5
0.3912496 ,Left ,+2 ,+3 ,+1 ,+1 ,0  ,+2 ,+2 ,0 
0.4062418 ,Left ,-14 ,-8 ,0  ,+1 ,-2 ,-2 ,-1 ,-4
0.4062808 ,Left ,+5 ,+2 ,-2 ,-1 ,-2 ,-2 ,+1 ,+4
0.4137162 ,Left ,+20 ,-1 ,0  ,-1 ,-1 ,0  ,-1 ,+2
0.4138708 ,Left ,-18 ,-4 ,-3 ,-4 ,0  ,-2 ,-3 ,-6
0.4287974 ,Left ,-4 ,-1 ,-2 ,0  ,0  ,+1 ,+2 ,+1
0.4288057 ,Left ,-6 ,-1 ,-3 ,-2 ,-2 ,-1 ,-3 ,-6
0.4361795 ,Left ,+4 ,+2 ,0  ,+1 ,0  ,-1 ,+1 ,-1
0.436268 ,Left ,+12 ,-1 ,-1 ,-1 ,-3 ,-1 ,-1 ,0 
0.4436998 ,Left ,-7 ,-4 ,-2 ,-5 ,-1 ,0  ,-2 ,-2
0.4437076 ,Left ,-17 ,0  ,-2 ,-1 ,-2 ,-2 ,0  ,0 
0.4513213 ,Left ,+3 ,-6 ,+3 ,+6 ,+1 ,0  ,-1 ,-4
0.4513646 ,Left ,-1 ,-1 ,-2 ,-2 ,-3 ,-1 ,0  ,0 
0.4663126 ,Left ,+2 ,+1 ,+1 ,+3 ,+1 ,-2 ,-1 ,+3
0.4663236 ,Left ,+20 ,+9 ,-3 ,-4 ,0  ,+1 ,0  ,-1
0.4738133 ,Left ,-11 ,+1 ,-3 ,-1 ,-2 ,-2 ,-1 ,-2
0.4738686 ,Left ,-10 ,-12 ,-1 ,-4 ,0  ,-3 ,-1 ,-7
0.4889449 ,Left ,+5 ,+4 ,-2 ,+3 ,+2 ,-1 ,0  ,-2
0.4889599 ,Left ,+3 ,0  ,+3 ,-1 ,-2 ,-1 ,-2 ,+8
0.4960908 ,Left ,-5 ,-2 ,0  ,-2 ,-3 ,0  ,-1 ,-2
0.4961289 ,Left ,+1 ,+3 ,-4 ,-2 ,-2 ,-1 ,-1 ,-2
0.5037501 ,Left ,-4 ,-5 ,-6 ,-6 ,-4 ,-1 ,-1 ,-1
0.5037579 ,Left ,-2 ,+4 ,0  ,+1 ,0  ,+1 ,0  ,-8
0.5116522 ,Left ,-11 ,-1 ,+2 ,+2 ,0  ,-1 ,-1 ,-1
0.5118052 ,Left ,-5 ,-3 ,-2 ,-2 ,0  ,-2 ,-1 ,+1
0.5269573 ,Left ,-14 ,-9 ,-4 ,-3 ,-1 ,-3 ,-3 ,0 
0.5269675 ,Left ,+14 ,+4 ,-2 ,-1 ,+1 ,-3 ,+1 ,+2
0.5335337 ,Left ,-9 ,-5 ,0  ,-5 ,-2 ,-1 ,-2 ,-4
0.5335729 ,Left ,+3 ,+6 ,-1 ,+4 ,-2 ,+1 ,-1 ,-1
0.5487549 ,Left ,+3 ,+6 ,+6 ,+2 ,+1 ,0  ,-1 ,0 
0.5488016 ,Left ,+5 ,-1 ,-1 ,-2 ,-1 ,0  ,-2 ,+2
0.5576058 ,Left ,-9 ,0  ,-4 ,-5 ,-3 ,-3 ,-3 ,-7
