timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0051898 ,Left ,-1 ,-2 ,-5 ,-7 ,-7 ,-2 ,-6 ,-2
0.0058872 ,Left ,-1 ,0  ,+4 ,+4 ,+7 ,-6 ,-1 ,-2
0.0059437 ,Left ,-2 ,-1 ,-1 ,-2 ,-2 ,+8 ,+5 ,+1
0.0278366 ,Left ,-1 ,0  ,-1 ,-3 ,-2 ,+1 ,-1 ,0 
0.0278509 ,Left ,-2 ,-2 ,+4 ,-1 ,-3 ,-14 ,-20 ,-4
0.0284925 ,Left ,-2 ,+1 ,+5 ,+4 ,+5 ,0  ,+7 ,-1
0.0285509 ,Left ,-1 ,-1 ,-1 ,-1 ,-8 ,-1 ,+3 ,-1
0.0413315 ,Left ,+1 ,-1 ,-3 ,-2 ,-1 ,-7 ,+5 ,+2
0.0413433 ,Left ,-1 ,-3 ,-3 ,-3 ,-5 ,+11 ,-15 ,-1
0.049532 ,Left ,0  ,-1 ,-2 ,+1 ,-2 ,-6 ,+20 ,-3
0.0495466 ,Left ,-1 ,-1 ,+2 ,-4 ,-10 ,-5 ,+11 ,-3
0.0652336 ,Left ,0  ,0  ,+1 ,-1 ,+1 ,-7 ,-1 ,+2
0.0652414 ,Left ,-3 ,-2 ,-5 ,-3 ,+4 ,+7 ,-2 ,-3
0.0659073 ,Left ,0  ,+1 ,+1 ,+9 ,+4 ,-2 ,-1 ,-1
0.0659728 ,Left ,0  ,-1 ,-5 ,-6 ,-3 ,-2 ,+2 ,+2
0.0876163 ,Left ,-1 ,-1 ,-1 ,+4 ,+1 ,-2 ,-4 ,-1
0.0876281 ,Left ,0  ,+1 ,+1 ,0  ,0  ,-7 ,+1 ,-1
0.0892791 ,Left ,-1 ,-3 ,-7 ,-4 ,-6 ,+14 ,+1 ,+3
0.0893617 ,Left ,0  ,-1 ,-1 ,0  ,+15 ,-2 ,-20 ,+1
0.101154 ,Left ,-2 ,-1 ,-1 ,-6 ,-19 ,-4 ,0  ,-4
0.1012664 ,Left ,-4 ,-3 ,-3 ,+2 ,+11 ,+7 ,+1 ,-4
0.1113194 ,Left ,+2 ,-1 ,-4 ,-6 ,-10 ,-17 ,-9 ,+3
0.1113377 ,Left ,-2 ,-1 ,+3 ,+4 ,-1 ,-7 ,+1 ,-1
0.1252534 ,Left ,-3 ,-4 ,-6 ,-7 ,-7 ,+19 ,+2 ,-1
0.1253051 ,Left ,-1 ,0  ,+1 ,+5 ,+4 ,-5 ,-2 ,0 
0.1281426 ,Left ,-1 ,-2 ,-4 ,-6 ,0  ,-1 ,+1 ,-6
0.1282408 ,Left ,-1 ,-2 ,-2 ,0  ,+4 ,+5 ,-9 ,+2
0.1476555 ,Left ,+1 ,+2 ,0  ,+2 ,+6 ,-18 ,-7 ,-1
0.1477087 ,Left ,-3 ,-1 ,-3 ,-5 ,-14 ,+4 ,+10 ,-2
0.1491704 ,Left ,-3 ,-5 ,-8 ,-12 ,-8 ,-10 ,-13 ,-3
0.1492262 ,Left ,-1 ,-1 ,-3 ,-3 ,-6 ,-1 ,+2 ,-1
0.1614941 ,Left ,+1 ,+1 ,0  ,+1 ,+15 ,+8 ,+1 ,+1
0.1615114 ,Left ,-1 ,-1 ,-4 ,-3 ,-13 ,-10 ,-3 ,-1
0.170215 ,Left ,-1 ,+2 ,+5 ,+9 ,+15 ,+5 ,-4 ,-2
0.170226 ,Left ,0  ,0  ,-1 ,-2 ,-9 ,+6 ,+2 ,+2
