timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0102853 ,Right ,-2 ,+13 ,-8 ,-3 ,-3 ,-1 ,-2 ,-1
0.0249904 ,Right ,+6 ,-7 ,-4 ,-3 ,-4 ,-6 ,-2 ,-3
0.0250362 ,Right ,+16 ,-5 ,-8 ,-3 ,+1 ,+1 ,0  ,-3
0.0409876 ,Right ,-21 ,-12 ,+4 ,-2 ,-3 ,-2 ,0  ,-3
0.0410008 ,Right ,-5 ,-2 ,+3 ,-15 ,-9 ,-4 ,-1 ,-2
0.0475218 ,Right ,+11 ,+10 ,-7 ,+29 ,+7 ,+1 ,0  ,0 
0.0475364 ,Right ,-4 ,+1 ,+8 ,-2 ,+1 ,-1 ,-2 ,-3
0.0622541 ,Right ,+15 ,0  ,-6 ,-8 ,-6 ,-3 ,-2 ,0 
0.0622627 ,Right ,-7 ,+11 ,-22 ,-3 ,+2 ,+2 ,+1 ,-2
0.0697828 ,Right ,+45 ,+36 ,+42 ,-1 ,+1 ,+1 ,+3 ,+9
0.069795 ,Right ,-67 ,-84 ,-43 ,-7 ,-4 ,0  ,-3 ,-8
0.084756 ,Right ,-31 ,+1 ,+6 ,-4 ,-5 ,-2 ,0  ,-2
0.0848192 ,Right ,+98 ,+20 ,+18 ,+7 ,+2 ,+2 ,+5 ,+20
0.1000237 ,Right ,-23 ,-26 ,-22 ,-6 ,-4 ,-1 ,-2 ,-26
0.1000378 ,Right ,-14 ,-37 ,-6 ,-2 ,-3 ,-3 ,-3 ,-4
0.1076834 ,Right ,+8 ,+8 ,-28 ,-8 ,+4 ,+2 ,+1 ,+1
0.1077005 ,Right ,+9 ,+15 ,+13 ,+2 ,-3 ,-1 ,0  ,0 
0.1220614 ,Right ,+56 ,+13 ,+3 ,+2 ,+1 ,+1 ,+1 ,+8
0.1221088 ,Right ,-76 ,+2 ,+2 ,0  ,-4 ,-2 ,-1 ,-3
0.1298095 ,Right ,+7 ,-31 ,+2 ,-4 ,-2 ,0  ,-1 ,-2
0.1298754 ,Right ,-2 ,+37 ,-7 ,-5 ,-3 ,-1 ,0  ,-1
0.1447729 ,Right ,-2 ,-40 ,+6 ,+4 ,-1 ,-2 ,-1 ,+1
0.1448471 ,Right ,+34 ,+6 ,+2 ,+11 ,+7 ,+2 ,-2 ,-4
0.1522136 ,Right ,-9 ,-12 ,-6 ,-7 ,-3 ,-1 ,-3 ,0 
0.1522256 ,Right ,-13 ,+11 ,+6 ,-2 ,-1 ,-2 ,-3 ,-4
0.1673176 ,Right ,-25 ,-11 ,-10 ,-7 ,-2 ,-1 ,-3 ,-11
0.1673652 ,Right ,+37 ,+16 ,+7 ,+9 ,+3 ,-1 ,-1 ,-4
0.1822514 ,Right ,0  ,+32 ,+13 ,-1 ,0  ,-1 ,0  ,+6
0.1823738 ,Right ,+2 ,-14 ,-12 ,-10 ,-9 ,-6 ,-6 ,-15
0.1897393 ,Right ,+9 ,0  ,-19 ,-4 ,+3 ,-1 ,0  ,+3
0.1898004 ,Right ,-28 ,-1 ,+42 ,+21 ,0  ,-2 ,-1 ,-3
0.2047009 ,Right ,+1 ,-13 ,-10 ,-2 ,-3 ,-2 ,-2 ,-2
0.2047487 ,Right ,+14 ,+14 ,-15 ,-9 ,0  ,-1 ,-1 ,-2
0.2198946 ,Right ,-58 ,-1 ,+4 ,-1 ,+2 ,-3 ,-1 ,+3
0.2199757 ,Right ,+42 ,+18 ,0  ,0  ,-2 ,-2 ,-3 ,-3
0.2272931 ,Right ,-6 ,-5 ,+4 ,+1 ,-2 ,-3 ,-1 ,+1
0.2273077 ,Right ,-11 ,-28 ,-6 ,0  ,+3 ,0  ,+2 ,+1
0.2428476 ,Right ,+2 ,+18 ,-7 ,+1 ,-1 ,0  ,0  ,-8
0.2429972 ,Right ,-14 ,-12 ,-1 ,-2 ,+2 ,0  ,-2 ,-1
0.2498145 ,Right ,+6 ,+6 ,+1 ,+1 ,+1 ,0  ,+2 ,+3
0.2498396 ,Right ,-10 ,-17 ,+3 ,-6 ,-7 ,-1 ,-4 ,-2
0.2653134 ,Right ,-4 ,-12 ,-6 ,-1 ,-2 ,0  ,+2 ,+3
0.2653871 ,Right ,-12 ,+2 ,-12 ,+5 ,+3 ,-1 ,-1 ,+2
0.2723022 ,Right ,+37 ,+21 ,+4 ,+1 ,-3 ,-2 ,-1 ,-10
0.2723198 ,Right ,-6 ,+41 ,+1 ,+1 ,0  ,-1 ,-1 ,+3
0.2871855 ,Right ,+21 ,+32 ,+8 ,+3 ,-2 ,0  ,+1 ,+7
0.2872139 ,Right ,-14 ,-57 ,-18 ,-4 ,0  ,+1 ,0  ,-1
0.3022927 ,Right ,0  ,0  ,+1 ,-4 ,0  ,+1 ,-3 ,-1
0.3023469 ,Right ,+29 ,-9 ,+4 ,-1 ,-1 ,0  ,-2 ,-4
0.3098263 ,Right ,-51 ,-9 ,-9 ,-4 ,-1 ,-2 ,-4 ,-3
0.3098869 ,Right ,-16 ,-11 ,+3 ,-2 ,-2 ,+1 ,+4 ,+6
0.3247295 ,Right ,+20 ,+1 ,+1 ,-2 ,-3 ,+1 ,+3 ,+4
0.3247816 ,Right ,+11 ,+7 ,-13 ,-2 ,-1 ,0  ,0  ,+1
0.3323811 ,Right ,-17 ,-29 ,+1 ,-3 ,0  ,-2 ,-3 ,+1
0.33245 ,Right ,+4 ,+12 ,-2 ,+4 ,+3 ,-2 ,-3 ,-9
