timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
38.466172 ,Left ,-2 ,-3 ,-2 ,-1 ,+16 ,-1 ,-2 ,-2
38.4809884 ,Left ,-2 ,-1 ,-2 ,-9 ,-1 ,0  ,-2 ,-2
38.4810198 ,Left ,-2 ,+3 ,+10 ,+18 ,-33 ,-9 ,0  ,-1
38.4961605 ,Left ,-2 ,0  ,-2 ,0  ,+65 ,-7 ,-2 ,-2
38.4961816 ,Left ,+1 ,+2 ,0  ,+1 ,-19 ,-3 ,0  ,0 
38.5035571 ,Left ,0  ,-1 ,0  ,+1 ,-26 ,-4 ,-2 ,0 
38.5035778 ,Left ,0  ,0  ,-3 ,-3 ,+32 ,+1 ,+2 ,-1
38.5183071 ,Left ,-1 ,-3 ,-4 ,-10 ,-37 ,-4 ,0  ,-1
38.5183645 ,Left ,0  ,-1 ,+1 ,+4 ,+10 ,+5 ,+4 ,0 
38.5261602 ,Left ,-1 ,-1 ,-2 ,-2 ,+17 ,-4 ,-3 ,+2
38.5261862 ,Left ,-2 ,0  ,0  ,-2 ,-46 ,-3 ,-1 ,0 
38.5411097 ,Left ,+1 ,+4 ,+6 ,+14 ,+6 ,+3 ,0  ,-1
38.5411295 ,Left ,-1 ,+3 ,+9 ,+7 ,-7 ,+7 ,+1 ,-2
38.5560503 ,Left ,0  ,-2 ,-4 ,-7 ,-27 ,-8 ,-1 ,-1
38.556073 ,Left ,-1 ,-5 ,-1 ,-7 ,+42 ,+3 ,-3 ,-3
38.5635173 ,Left ,0  ,-4 ,+1 ,+1 ,+20 ,-5 ,-3 ,-1
38.5635426 ,Left ,-1 ,-3 ,-7 ,-10 ,-23 ,-7 ,-4 ,-3
38.5785961 ,Left ,0  ,0  ,-2 ,-3 ,-1 ,-1 ,-4 ,-2
38.578618 ,Left ,0  ,0  ,+2 ,0  ,-26 ,-2 ,0  ,+1
38.5861334 ,Left ,-3 ,-1 ,-4 ,-6 ,-5 ,-3 ,-2 ,-2
38.5861706 ,Left ,-3 ,-1 ,-2 ,+2 ,+18 ,+2 ,+1 ,-3
38.6007702 ,Left ,+1 ,0  ,+4 ,+10 ,+8 ,-1 ,0  ,+1
38.6007948 ,Left ,+1 ,+1 ,-3 ,+3 ,+5 ,+9 ,0  ,+1
38.6161418 ,Left ,0  ,-1 ,-4 ,-6 ,-9 ,-7 ,-1 ,-1
38.6161626 ,Left ,-1 ,-1 ,-2 ,-6 ,-19 ,-4 ,+1 ,+1
38.6234225 ,Left ,-3 ,-2 ,-2 ,+2 ,+25 ,+1 ,+1 ,0 
38.6234482 ,Left ,-2 ,-4 ,-1 ,+1 ,+3 ,0  ,-3 ,-1
38.6384299 ,Left ,-1 ,-2 ,+1 ,-1 ,-12 ,-12 ,-1 ,-1
38.6385105 ,Left ,+1 ,-1 ,-2 ,-6 ,+3 ,0  ,+2 ,-1
38.6460095 ,Left ,-1 ,+1 ,-2 ,-10 ,-11 ,-2 ,-2 ,-3
38.6460344 ,Left ,-2 ,-1 ,+4 ,+6 ,0  ,+3 ,0  ,-1
38.6609828 ,Left ,-2 ,-2 ,-3 ,-2 ,-5 ,+10 ,0  ,-2
38.6610093 ,Left ,+1 ,-2 ,-2 ,-5 ,0  ,-9 ,-2 ,-1
38.6766207 ,Left ,0  ,-3 ,-2 ,0  ,+20 ,+3 ,0  ,-1
38.6766449 ,Left ,+1 ,+2 ,+4 ,-1 ,-52 ,-3 ,+1 ,0 
38.6837763 ,Left ,0  ,-3 ,-2 ,+4 ,+39 ,+11 ,-1 ,0 
38.6838019 ,Left ,0  ,-1 ,-2 ,-1 ,-1 ,-2 ,-1 ,0 
38.6983549 ,Left ,0  ,+2 ,+1 ,+3 ,0  ,-1 ,-1 ,+1
38.6984149 ,Left ,-3 ,-1 ,-5 ,-9 ,-43 ,-5 ,-7 ,-1
38.7061503 ,Left ,-2 ,0  ,+2 ,+6 ,+46 ,+1 ,0  ,-2
38.706188 ,Left ,-1 ,-1 ,-2 ,-3 ,-8 ,-2 ,-2 ,-2
38.7208334 ,Left ,-1 ,-3 ,-4 ,-7 ,-31 ,-3 ,-1 ,0 
38.720891 ,Left ,-2 ,-6 ,-4 ,-3 ,+21 ,+9 ,+2 ,+1
38.7361343 ,Left ,+1 ,0  ,+3 ,0  ,-18 ,-7 ,0  ,0 
38.7361625 ,Left ,-1 ,-1 ,-4 ,+2 ,+67 ,0  ,+1 ,-2
38.7434738 ,Left ,0  ,+1 ,+12 ,+15 ,-63 ,-9 ,-3 ,-1
38.7435028 ,Left ,-1 ,+2 ,-3 ,-1 ,+30 ,-5 ,-1 ,-2
38.7661087 ,Left ,-3 ,0  ,-3 ,-7 ,-5 ,+14 ,+1 ,0 
38.7661357 ,Left ,0  ,0  ,-2 ,+4 ,+22 ,+5 ,-1 ,-1
38.77362 ,Left ,-1 ,0  ,-4 ,-11 ,-33 ,0  ,-1 ,0 
38.7736412 ,Left ,0  ,0  ,0  ,0  ,+6 ,-2 ,-2 ,-1
38.7885839 ,Left ,0  ,-2 ,-5 ,-10 ,+19 ,+4 ,+3 ,0 
38.7886192 ,Left ,-1 ,-1 ,-6 ,-18 ,-35 ,-12 ,-2 ,-1
38.8037281 ,Left ,+3 ,+3 ,+12 ,+31 ,+33 ,+3 ,-1 ,-1
38.8037644 ,Left ,+1 ,+1 ,+7 ,+10 ,-8 ,+3 ,+2 ,-1
38.8110125 ,Left ,-1 ,-1 ,0  ,+1 ,+5 ,-4 ,-2 ,-1
38.8110291 ,Left ,-2 ,-3 ,-4 ,-12 ,-32 ,+5 ,-2 ,-1
38.8261999 ,Left ,-2 ,-2 ,-1 ,+2 ,-2 ,0  ,-2 ,-1
38.8262206 ,Left ,0  ,-1 ,+1 ,-4 ,-10 ,-1 ,+2 ,-1
38.8485888 ,Left ,-2 ,-2 ,-6 ,-8 ,-1 ,-4 ,0  ,0 
38.8486097 ,Left ,-2 ,-1 ,-8 ,-11 ,-8 ,-7 ,-3 ,0 
38.8637539 ,Left ,-1 ,+1 ,+3 ,+4 ,+2 ,+6 ,0  ,+1
38.8637767 ,Left ,0  ,-1 ,0  ,+2 ,-7 ,-4 ,-2 ,0 
38.8711288 ,Left ,-1 ,-1 ,+3 ,+6 ,-5 ,-3 ,-3 ,-1
38.871195 ,Left ,+2 ,-2 ,-4 ,-1 ,-4 ,-3 ,-1 ,-2
38.8864414 ,Left ,-1 ,+1 ,0  ,+2 ,+30 ,+1 ,+2 ,0 
38.8864639 ,Left ,-2 ,-4 ,+4 ,+11 ,+1 ,-7 ,0  ,+1
38.9009532 ,Left ,-2 ,-2 ,-6 ,-20 ,-28 ,-2 ,-3 ,-4
38.9009833 ,Left ,-2 ,+2 ,+4 ,+12 ,+38 ,+5 ,+3 ,-1
38.9162339 ,Left ,-3 ,-3 ,-3 ,0  ,+15 ,+2 ,-1 ,-3
38.9162672 ,Left ,-2 ,-2 ,-3 ,-5 ,-1 ,-4 ,-5 ,-2
38.9234446 ,Left ,-2 ,-1 ,0  ,-4 ,-5 ,+1 ,-1 ,-1
