timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
3.3967332 ,Left ,-5 ,-2 ,+1 ,-2 ,0  ,+9 ,0  ,-2
3.396758 ,Left ,0  ,0  ,-1 ,+2 ,+35 ,-6 ,-1 ,-3
3.4117454 ,Left ,-1 ,-4 ,-1 ,-2 ,+2 ,-25 ,-1 ,-1
3.4118135 ,Left ,-4 ,-1 ,+2 ,+1 ,-6 ,+25 ,0  ,-3
3.4193424 ,Left ,-6 ,-1 ,-2 ,-4 ,+17 ,+1 ,-2 ,+2
3.4193854 ,Left ,-2 ,0  ,+1 ,+4 ,+5 ,+3 ,-2 ,-2
3.4347189 ,Left ,-2 ,-2 ,-1 ,0  ,-3 ,+4 ,-1 ,-2
3.4347588 ,Left ,-3 ,0  ,-4 ,-5 ,-21 ,-23 ,-4 ,0 
3.4417595 ,Left ,+2 ,+2 ,-2 ,-3 ,-5 ,+3 ,-2 ,+1
3.4417866 ,Left ,+2 ,-9 ,-2 ,+6 ,+4 ,+9 ,-1 ,-1
3.4567513 ,Left ,+1 ,+1 ,-2 ,-1 ,-5 ,-6 ,-2 ,-2
3.4567961 ,Left ,+1 ,-3 ,-2 ,-3 ,-16 ,-7 ,-3 ,-3
3.4717905 ,Left ,0  ,+1 ,+2 ,+2 ,-13 ,-4 ,-2 ,+2
3.4718316 ,Left ,-3 ,-2 ,-3 ,-6 ,+4 ,+6 ,-2 ,0 
3.4791711 ,Left ,-5 ,0  ,0  ,+2 ,-1 ,-1 ,0  ,-3
3.479195 ,Left ,-3 ,+1 ,+3 ,+7 ,+15 ,+4 ,-2 ,-3
3.4940772 ,Left ,-2 ,-2 ,-1 ,-2 ,-2 ,-2 ,0  ,-1
3.4941013 ,Left ,-1 ,-3 ,-7 ,+1 ,+3 ,+6 ,+2 ,-2
3.5016748 ,Left ,+1 ,+8 ,-4 ,-4 ,-10 ,-7 ,-2 ,0 
3.5017158 ,Left ,+4 ,+8 ,+6 ,0  ,+2 ,-7 ,-2 ,+3
3.5167817 ,Left ,+3 ,-3 ,-2 ,-4 ,-1 ,+9 ,-2 ,0 
3.5168247 ,Left ,+1 ,-2 ,-2 ,0  ,-15 ,-11 ,-3 ,0 
3.5317339 ,Left ,-1 ,0  ,+2 ,-1 ,-43 ,-1 ,-1 ,+1
3.5317757 ,Left ,+1 ,+1 ,+3 ,+7 ,+31 ,-5 ,+2 ,-1
3.5394555 ,Left ,-2 ,-4 ,-4 ,-10 ,-30 ,-3 ,-3 ,-2
3.5395002 ,Left ,-1 ,-2 ,0  ,-1 ,+7 ,0  ,-3 ,+1
3.5553029 ,Left ,-1 ,-3 ,-3 ,+2 ,+3 ,+1 ,-2 ,+1
3.5553451 ,Left ,0  ,0  ,+1 ,-1 ,-10 ,+4 ,0  ,+1
3.5616564 ,Left ,-4 ,-1 ,0  ,+2 ,+28 ,+15 ,+1 ,-1
3.5616819 ,Left ,-4 ,-5 ,-6 ,-6 ,-17 ,-3 ,-4 ,-2
