timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
2.3458145 ,Right ,-11 ,-44 ,-8 ,-4 ,-3 ,-2 ,-1 ,-1
2.3458907 ,Right ,+3 ,+41 ,-5 ,-5 ,-2 ,0  ,-1 ,-1
2.3540342 ,Right ,-1 ,-4 ,+9 ,-3 ,-1 ,+1 ,-1 ,-3
2.3540418 ,Right ,-5 ,-10 ,+16 ,+14 ,+2 ,0  ,-1 ,-5
2.368931 ,Right ,+3 ,-7 ,-23 ,-10 ,+2 ,-1 ,-2 ,-3
2.3689885 ,Right ,-3 ,+7 ,+14 ,0  ,0  ,+1 ,-1 ,-2
2.3696535 ,Right ,-1 ,-4 ,-3 ,+3 ,-2 ,-2 ,-1 ,0 
2.3697016 ,Right ,-2 ,+6 ,+17 ,-11 ,-5 ,0  ,-1 ,0 
2.3915738 ,Right ,-3 ,-1 ,-10 ,+4 ,-2 ,0  ,-1 ,0 
2.3915835 ,Right ,+2 ,-11 ,-9 ,-4 ,-2 ,0  ,-1 ,0 
2.3922283 ,Right ,-1 ,0  ,-9 ,-8 ,-4 ,-4 ,-2 ,-1
2.3922594 ,Right ,-1 ,-11 ,+4 ,0  ,+2 ,+1 ,+1 ,+1
2.4058402 ,Right ,+2 ,+18 ,+9 ,+1 ,-3 ,-4 ,-1 ,0 
2.4058858 ,Right ,-3 ,-15 ,-17 ,0  ,0  ,-2 ,0  ,+1
2.4140865 ,Right ,-4 ,-16 ,-5 ,-3 ,-2 ,-1 ,-1 ,-4
2.4140955 ,Right ,+6 ,+34 ,+23 ,-6 ,-4 ,-3 ,0  ,+1
2.428883 ,Right ,-2 ,+16 ,+13 ,+16 ,+2 ,-1 ,+1 ,0 
2.428931 ,Right ,-3 ,-26 ,-22 ,-5 ,-2 ,-2 ,-3 ,-1
2.4296208 ,Right ,+2 ,-18 ,-20 ,+3 ,+3 ,+1 ,0  ,-3
2.4296472 ,Right ,-2 ,+1 ,+27 ,+6 ,+3 ,+2 ,+2 ,-1
2.4514679 ,Right ,+3 ,+20 ,+7 ,-3 ,0  ,+1 ,-1 ,+2
2.4515209 ,Right ,-2 ,0  ,+4 ,-1 ,-3 ,-3 ,-2 ,-2
2.4520818 ,Right ,-7 ,-19 ,-7 ,0  ,+1 ,-1 ,-3 ,-3
2.4521245 ,Right ,-2 ,-1 ,-14 ,-14 ,-3 ,-2 ,-3 ,0 
2.4658923 ,Right ,-1 ,-13 ,-12 ,-4 ,-3 ,-1 ,-2 ,-1
2.4659362 ,Right ,-5 ,-5 ,+10 ,+4 ,+2 ,+1 ,-1 ,-1
2.4738685 ,Right ,+4 ,+20 ,-3 ,-7 ,-3 ,-1 ,0  ,+2
2.473909 ,Right ,-3 ,-21 ,-17 ,+1 ,-3 ,-2 ,-1 ,-3
2.488882 ,Right ,-2 ,+20 ,+22 ,-12 ,-2 ,0  ,0  ,-1
2.488922 ,Right ,-3 ,-4 ,-16 ,-2 ,-2 ,0  ,-2 ,-2
2.4896468 ,Right ,+7 ,+15 ,+34 ,+6 ,-1 ,-3 ,0  ,+3
2.4896928 ,Right ,0  ,-11 ,-13 ,-8 ,-3 ,-1 ,-1 ,-1
2.5116514 ,Right ,-3 ,0  ,-5 ,-3 ,-3 ,-2 ,-1 ,-2
2.5116999 ,Right ,-1 ,-13 ,-48 ,-6 ,+1 ,0  ,-1 ,0 
2.5121757 ,Right ,-2 ,+20 ,+49 ,+17 ,+3 ,-1 ,0  ,-1
2.512232 ,Right ,-1 ,-9 ,+10 ,+1 ,0  ,-1 ,-2 ,0 
2.5257079 ,Right ,+5 ,+19 ,0  ,-2 ,-2 ,-2 ,-2 ,+2
2.52575 ,Right ,-1 ,-13 ,-8 ,-8 ,-3 ,-2 ,-1 ,-1
