timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1.984804 ,Left ,0  ,-2 ,+1 ,-2 ,0  ,+2 ,-5 ,-4
1.9848679 ,Left ,-1 ,-3 ,-6 ,-4 ,-5 ,0  ,0  ,-1
1.9926706 ,Left ,-2 ,-1 ,+4 ,+6 ,0  ,-2 ,-2 ,-3
1.992722 ,Left ,0  ,0  ,-1 ,-1 ,-4 ,+3 ,-5 ,0 
2.0076523 ,Left ,-1 ,-1 ,-2 ,-8 ,+1 ,-5 ,-4 ,-2
2.0079303 ,Left ,0  ,-3 ,+1 ,+3 ,-1 ,+2 ,-1 ,0 
2.0147775 ,Left ,-1 ,+1 ,-3 ,-2 ,-1 ,-4 ,+2 ,-1
2.0148263 ,Left ,-2 ,-3 ,+2 ,+3 ,-2 ,+1 ,-1 ,-3
2.0372879 ,Left ,0  ,+3 ,-1 ,0  ,+4 ,0  ,-3 ,-2
2.0373672 ,Left ,+1 ,-2 ,-3 ,0  ,+1 ,-1 ,-3 ,-2
2.0521988 ,Left ,-1 ,+1 ,-2 ,0  ,-1 ,+2 ,-3 ,-2
2.0522548 ,Left ,0  ,+1 ,+2 ,-2 ,-7 ,-10 ,-5 ,-4
2.0596932 ,Left ,-2 ,-1 ,-4 ,0  ,0  ,0  ,-5 ,-1
2.0597572 ,Left ,-2 ,-1 ,0  ,-3 ,-3 ,-2 ,+1 ,-2
2.0749381 ,Left ,-1 ,-1 ,+5 ,+10 ,0  ,-1 ,-1 ,+1
2.0749478 ,Left ,-1 ,0  ,+1 ,-6 ,-2 ,0  ,-1 ,-4
2.0896715 ,Left ,0  ,+1 ,-3 ,-9 ,-1 ,+1 ,+6 ,+3
2.0897708 ,Left ,-2 ,-1 ,+1 ,+6 ,+1 ,+1 ,-4 ,-2
2.1047493 ,Left ,-2 ,0  ,0  ,0  ,-3 ,-4 ,+2 ,+1
2.1047952 ,Left ,0  ,+1 ,-3 ,-4 ,-3 ,-2 ,-3 ,0 
2.1121717 ,Left ,-2 ,-4 ,-3 ,-4 ,0  ,+3 ,0  ,+1
2.1121793 ,Left ,-1 ,-1 ,-1 ,0  ,-1 ,-3 ,+1 ,-2
2.1271079 ,Left ,0  ,-2 ,-6 ,-5 ,-4 ,-5 ,+3 ,-2
2.1271153 ,Left ,0  ,+1 ,+9 ,+4 ,+2 ,+2 ,-1 ,-1
2.1348799 ,Left ,-2 ,-5 ,-5 ,-2 ,0  ,-1 ,+6 ,+3
