timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.632249 ,Left ,+1 ,0  ,-2 ,+1 ,-8 ,-13 ,-2 ,+1
0.6322689 ,Left ,-2 ,-2 ,-4 ,-8 ,+19 ,+80 ,-7 ,-2
0.6436857 ,Left ,-2 ,-2 ,-5 ,-1 ,-19 ,-70 ,+11 ,-1
0.6436999 ,Left ,+1 ,-2 ,+1 ,+3 ,+8 ,+4 ,-21 ,-1
0.6621765 ,Left ,-3 ,-1 ,-4 ,-3 ,+5 ,+26 ,+5 ,0 
0.6621918 ,Left ,+1 ,0  ,0  ,-3 ,-7 ,-9 ,-2 ,+3
0.6675685 ,Left ,-1 ,0  ,+3 ,+5 ,+10 ,+1 ,+8 ,-1
0.667582 ,Left ,+1 ,-2 ,-5 ,-11 ,-11 ,+29 ,-2 ,0 
0.6691231 ,Left ,-4 ,-3 ,-4 ,-6 ,-21 ,-48 ,-13 ,-6
0.6691355 ,Left ,+1 ,+1 ,+3 ,+6 ,+3 ,-13 ,+4 ,0 
0.6900227 ,Left ,0  ,-2 ,-1 ,-1 ,+14 ,+8 ,-9 ,+4
0.6900722 ,Left ,-5 ,-3 ,-4 ,0  ,+6 ,+35 ,+6 ,-7
0.6915694 ,Left ,+2 ,+2 ,+5 ,+4 ,+2 ,+13 ,+3 ,+2
0.6916185 ,Left ,-3 ,-2 ,-5 ,-6 ,+7 ,-11 ,+1 ,0 
0.7037577 ,Left ,0  ,+1 ,+4 ,+5 ,-17 ,-22 ,+4 ,0 
0.703773 ,Left ,-1 ,-3 ,-7 ,-7 ,+8 ,+6 ,+1 ,+4
0.7127518 ,Left ,-3 ,-2 ,-4 ,-9 ,-16 ,-4 ,-29 ,-15
0.7127641 ,Left ,-3 ,-4 ,-2 ,+1 ,-6 ,-16 ,+1 ,-1
0.728065 ,Left ,0  ,0  ,+6 ,+11 ,+21 ,+45 ,-3 ,-1
0.7280955 ,Left ,0  ,-1 ,0  ,+1 ,+1 ,-7 ,+2 ,0 
0.7295894 ,Left ,-2 ,-1 ,0  ,0  ,-16 ,-14 ,+10 ,-3
0.7296341 ,Left ,0  ,-2 ,-7 ,-5 ,+3 ,+12 ,-1 ,-2
0.7500912 ,Left ,0  ,-1 ,0  ,0  ,+2 ,+2 ,-7 ,+4
0.7501048 ,Left ,0  ,+3 ,+4 ,+8 ,-8 ,-28 ,+10 ,+3
0.7515917 ,Left ,-1 ,-5 ,-3 ,-4 ,+17 ,+23 ,-6 ,-2
0.7516377 ,Left ,+2 ,+1 ,-3 ,-5 ,-6 ,-35 ,-5 ,0 
0.7637305 ,Left ,-5 ,-5 ,-6 ,-7 ,+7 ,+64 ,-23 ,-12
0.7637825 ,Left ,-3 ,0  ,+3 ,+6 ,-16 ,-31 ,-9 ,-6
0.7726196 ,Left ,-1 ,0  ,0  ,+6 ,+12 ,0  ,+11 ,+4
0.7726705 ,Left ,+1 ,-1 ,+2 ,-3 ,-8 ,+18 ,+7 ,+1
0.7875001 ,Left ,+1 ,0  ,-4 ,-9 ,-18 ,-44 ,+1 ,0 
0.7875521 ,Left ,0  ,-2 ,-4 ,-6 ,-6 ,-17 ,-11 ,0 
0.7890422 ,Left ,-5 ,-1 ,+4 ,+9 ,+38 ,+68 ,+10 ,-1
0.7890927 ,Left ,+2 ,+1 ,+2 ,+7 ,-19 ,+16 ,+41 ,+11
0.8103113 ,Left ,+3 ,+4 ,+3 ,+4 ,+7 ,-15 ,+41 ,+14
0.8103278 ,Left ,-6 ,-7 ,-9 ,-10 ,-6 ,+5 ,-57 ,-22
0.8116624 ,Left ,+3 ,-1 ,-4 ,-3 ,-10 ,-24 ,+5 ,+6
0.8116757 ,Left ,-3 ,-2 ,-2 ,-7 ,-2 ,-11 ,+5 ,-7
0.8235225 ,Left ,-1 ,0  ,+3 ,+2 ,+13 ,+22 ,0  ,+3
0.823573 ,Left ,+2 ,+1 ,+2 ,+7 ,+8 ,-3 ,+13 ,+4
0.8335489 ,Left ,0  ,+2 ,+2 ,+2 ,-10 ,-21 ,+5 ,+5
0.8335614 ,Left ,-3 ,-3 ,-3 ,-3 ,-6 ,0  ,-21 ,-4
0.8475638 ,Left ,-2 ,-4 ,-7 ,-7 ,-6 ,-5 ,-10 ,-7
0.8476839 ,Left ,-1 ,-1 ,-2 ,-4 ,-1 ,-14 ,0  ,+1
0.8490817 ,Left ,+1 ,0  ,+1 ,+6 ,+22 ,+1 ,-9 ,-2
0.8491335 ,Left ,-1 ,-1 ,-3 ,-1 ,-14 ,-3 ,-1 ,-1
0.8700308 ,Left ,-2 ,-1 ,-1 ,-7 ,-6 ,-10 ,-9 ,-4
0.8700445 ,Left ,0  ,+1 ,+5 ,+5 ,+7 ,+2 ,+15 ,+1
0.8716055 ,Left ,-1 ,0  ,-1 ,-3 ,+8 ,+50 ,+14 ,+1
0.8716567 ,Left ,-4 ,-3 ,-3 ,-5 ,-23 ,-23 ,-22 ,-5
0.8839138 ,Left ,0  ,0  ,+1 ,+4 ,+5 ,-13 ,+20 ,+5
0.8839406 ,Left ,-6 ,-6 ,-9 ,-16 ,-12 ,-32 ,-36 ,-13
0.8926016 ,Left ,-3 ,-4 ,+1 ,-2 ,-17 ,-19 ,-1 ,0 
0.8926514 ,Left ,+1 ,0  ,+6 ,+13 ,+23 ,+9 ,-8 ,-2
0.9074838 ,Left ,-2 ,-2 ,0  ,+3 ,+5 ,+15 ,-5 ,-5
0.9075232 ,Left ,+5 ,+4 ,+1 ,+6 ,+16 ,-4 ,+18 ,+8
0.9090973 ,Left ,-1 ,-3 ,-4 ,-9 ,-34 ,-28 ,-5 ,-2
0.9091128 ,Left ,-3 ,-4 ,-6 ,-10 ,+9 ,+7 ,-3 ,-5
0.9304999 ,Left ,0  ,0  ,+2 ,+11 ,+20 ,0  ,+2 ,+2
0.9305317 ,Left ,-1 ,-1 ,-1 ,-4 ,-32 ,-12 ,+4 ,-5
0.9316977 ,Left ,-4 ,-2 ,-4 ,-8 ,+25 ,+10 ,-4 ,+1
0.9317102 ,Left ,0  ,-1 ,-1 ,0  ,-25 ,+11 ,-9 ,-3
0.943732 ,Left ,+1 ,+1 ,-2 ,-7 ,-17 ,-16 ,-14 ,-3
0.943751 ,Left ,-2 ,-3 ,-2 ,0  ,+27 ,+39 ,+15 ,-1
0.9527291 ,Left ,-4 ,-1 ,-1 ,0  ,-12 ,-24 ,-7 ,-4
0.9527763 ,Left ,+1 ,+1 ,+1 ,+5 ,+22 ,-11 ,-7 ,+3
0.9669664 ,Left ,-3 ,-3 ,-7 ,-12 ,-31 ,+3 ,+1 ,-4
0.9670042 ,Left ,0  ,0  ,-1 ,+4 ,+12 ,+23 ,+5 ,+4
0.9737374 ,Left ,-1 ,+1 ,+1 ,-2 ,-19 ,-1 ,-7 ,-3
0.9737494 ,Left ,-1 ,+1 ,+1 ,+3 ,+9 ,+26 ,+14 ,+2
0.989985 ,Left ,-2 ,-3 ,-1 ,-7 ,-9 ,-61 ,-20 ,-6
0.9899996 ,Left ,-4 ,-4 ,-9 ,-8 ,+4 ,+23 ,+12 ,0 
0.9915477 ,Left ,+1 ,+1 ,+4 ,+8 ,-11 ,-7 ,-12 ,-3
0.9915775 ,Left ,-2 ,-1 ,-1 ,-8 ,-18 ,-12 ,-1 ,-2
1.0132126 ,Left ,-2 ,+2 ,+1 ,+8 ,+32 ,+7 ,-7 ,-3
1.0132356 ,Left ,+4 ,+3 ,+1 ,0  ,-7 ,+16 ,+19 ,+9
1.0141516 ,Left ,-1 ,-3 ,-6 ,-7 ,-28 ,-33 ,-9 ,-1
1.0141976 ,Left ,-5 ,-3 ,-3 ,-2 ,+24 ,+8 ,-1 ,-6
1.0277021 ,Left ,-1 ,-2 ,-3 ,-6 ,-27 ,+12 ,-6 ,-2
1.0277751 ,Left ,-2 ,0  ,+4 ,+6 ,+13 ,-16 ,-4 ,-2
1.0291679 ,Left ,+1 ,+3 ,+1 ,-3 ,-4 ,+10 ,+10 ,+2
1.0292142 ,Left ,+1 ,0  ,+1 ,+4 ,+11 ,0  ,+9 ,+3
1.0509892 ,Left ,0  ,-5 ,-7 ,-1 ,-6 ,-26 ,-10 ,0 
1.0510062 ,Left ,+3 ,+1 ,+2 ,0  ,+1 ,+10 ,-1 ,+2
1.0519175 ,Left ,+1 ,-1 ,0  ,+3 ,+19 ,+8 ,+3 ,0 
1.0519655 ,Left ,-4 ,-4 ,-2 ,-8 ,-34 ,+19 ,-10 ,-6
1.081786 ,Left ,-2 ,-1 ,-3 ,-5 ,+11 ,+8 ,+6 ,0 
1.0817994 ,Left ,-1 ,-1 ,-3 ,-2 ,0  ,-8 ,-5 ,0 
1.0820862 ,Left ,-1 ,+2 ,+5 ,+19 ,+6 ,-14 ,+10 ,+6
1.0820977 ,Left ,-1 ,0  ,-2 ,-4 ,+8 ,-1 ,-7 ,-8
1.0897883 ,Left ,+1 ,-1 ,+1 ,-1 ,+3 ,+29 ,+1 ,0 
1.0898036 ,Left ,0  ,-4 ,-5 ,-2 ,-10 ,+3 ,-1 ,-2
1.0898813 ,Left ,-2 ,-2 ,-1 ,-5 ,+20 ,+26 ,+9 ,0 
1.0899119 ,Left ,+2 ,+4 ,+3 ,+9 ,+15 ,-32 ,-11 ,+1
1.1111821 ,Left ,0  ,0  ,+1 ,-4 ,-37 ,-20 ,+3 ,-2
1.1111988 ,Left ,-4 ,-2 ,-4 ,-6 ,-7 ,-16 ,-11 ,-5
1.1115908 ,Left ,+1 ,-1 ,+1 ,-2 ,+7 ,+17 ,+3 ,+3
1.1116035 ,Left ,-1 ,-1 ,+1 ,+5 ,+29 ,-1 ,+4 ,+1
1.1328331 ,Left ,+4 ,+2 ,+3 ,0  ,-47 ,-23 ,+12 ,+6
1.1328494 ,Left ,-4 ,-4 ,-5 ,-6 ,+17 ,+21 ,-22 ,-7
1.1340936 ,Left ,0  ,-1 ,-6 ,-4 ,-21 ,-94 ,+14 ,-1
1.1341393 ,Left ,-7 ,-10 ,-12 ,-14 ,-17 ,-5 ,-14 ,-5
1.1468702 ,Left ,0  ,+1 ,+3 ,+8 ,+38 ,+36 ,+2 ,0 
1.1469114 ,Left ,-2 ,+3 ,+12 ,+5 ,-31 ,-30 ,-3 ,+2
1.153636 ,Left ,+1 ,-1 ,-2 ,-1 ,+2 ,+29 ,+11 ,+4
1.1536849 ,Left ,0  ,0  ,0  ,0  ,+2 ,-30 ,-5 ,-8
1.1702945 ,Left ,-1 ,-3 ,-11 ,-6 ,+8 ,+19 ,-1 ,-2
1.1703133 ,Left ,+9 ,+14 ,+1 ,+7 ,+2 ,-11 ,+3 ,+2
1.1716193 ,Left ,-1 ,-10 ,-4 ,-9 ,-13 ,+8 ,-9 ,+11
1.1716675 ,Left ,+3 ,+1 ,-1 ,+3 ,-8 ,-8 ,+8 ,+1
1.1924857 ,Left ,-20 ,-12 ,-2 ,-4 ,+6 ,+18 ,-15 ,-15
1.1925418 ,Left ,+8 ,-4 ,+6 ,+3 ,+9 ,-2 ,+7 ,+16
1.1943593 ,Left ,-28 ,-12 ,-8 ,-10 ,-14 ,-16 ,-9 ,-45
