timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0147101 ,Left ,0  ,-2 ,-6 ,-2 ,-5 ,-7 ,+59 ,-3
0.021409 ,Left ,0  ,-2 ,-6 ,-9 ,-7 ,-5 ,+19 ,-3
0.0216513 ,Left ,+3 ,+3 ,+10 ,+11 ,+15 ,+5 ,-22 ,-1
0.0366219 ,Left ,-1 ,-2 ,+3 ,+2 ,-2 ,-2 ,-69 ,-1
0.0366588 ,Left ,-2 ,-1 ,+2 ,-1 ,+1 ,-1 ,-73 ,+2
0.0515048 ,Left ,+3 ,0  ,+1 ,+3 ,+2 ,+4 ,-1 ,-3
0.051541 ,Left ,+1 ,0  ,+2 ,-2 ,-3 ,+3 ,+1 ,-4
0.062506 ,Left ,-2 ,-1 ,+1 ,0  ,+1 ,+2 ,+6 ,-2
0.0625489 ,Left ,0  ,-2 ,-1 ,0  ,-3 ,+3 ,+7 ,-2
0.0816531 ,Left ,+1 ,-5 ,-5 ,-5 ,-2 ,+2 ,+1 ,0 
0.081696 ,Left ,+1 ,-2 ,-1 ,+1 ,+1 ,-2 ,-1 ,0 
0.0890188 ,Left ,-2 ,-1 ,+6 ,+8 ,+5 ,+3 ,-11 ,+2
0.0892957 ,Left ,-3 ,-5 ,-2 ,-3 ,-3 ,0  ,+3 ,-1
0.1046579 ,Left ,-2 ,-3 ,+4 ,0  ,-1 ,-2 ,+5 ,-2
0.1046955 ,Left ,-2 ,-3 ,-4 ,-7 ,-2 ,-3 ,0  ,-1
0.1190361 ,Left ,-3 ,-2 ,-1 ,-2 ,-2 ,-1 ,+11 ,0 
0.1190814 ,Left ,-1 ,+1 ,-2 ,-3 ,-1 ,-1 ,+4 ,0 
0.1269474 ,Left ,-2 ,+1 ,0  ,0  ,0  ,+2 ,+3 ,+1
0.1269828 ,Left ,-2 ,+1 ,-4 ,-7 ,-3 ,-1 ,+2 ,-1
0.1339559 ,Left ,-4 ,+1 ,+1 ,+1 ,0  ,0  ,-1 ,+1
0.1339975 ,Left ,-3 ,-5 ,-1 ,+2 ,-1 ,+3 ,+3 ,+2
0.1416853 ,Left ,-1 ,-1 ,-4 ,-4 ,-2 ,-3 ,+6 ,-3
0.1417239 ,Left ,0  ,-1 ,-8 ,-16 ,-4 ,-3 ,+8 ,-1
0.1564912 ,Left ,0  ,+1 ,-2 ,+2 ,-2 ,-3 ,+3 ,0 
0.1565343 ,Left ,0  ,+3 ,+4 ,+2 ,+7 ,-1 ,+3 ,-3
0.1715212 ,Left ,-1 ,-3 ,-6 ,-5 ,-1 ,-1 ,+2 ,-1
0.1715631 ,Left ,-3 ,-1 ,-4 ,-4 ,-7 ,-1 ,-1 ,-2
0.1791867 ,Left ,-1 ,-2 ,-6 ,-8 ,-3 ,-1 ,-3 ,-2
0.1792274 ,Left ,-1 ,+2 ,+3 ,+4 ,-1 ,0  ,+2 ,0 
0.1940069 ,Left ,-2 ,0  ,-2 ,-5 ,-3 ,-1 ,+1 ,-1
0.1941229 ,Left ,-2 ,0  ,0  ,0  ,-1 ,0  ,-2 ,0 
0.2014461 ,Left ,0  ,+2 ,0  ,-2 ,0  ,-2 ,-1 ,-1
0.2014812 ,Left ,0  ,-1 ,-1 ,0  ,-4 ,-1 ,0  ,+2
0.2165283 ,Left ,-1 ,+1 ,-2 ,+2 ,0  ,-2 ,+1 ,+1
0.21657 ,Left ,-3 ,-2 ,-5 ,-15 ,-1 ,+2 ,-6 ,0 
