timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.011482 ,Left ,-2 ,-1 ,+1 ,0  ,-1 ,-1 ,-1 ,+1
0.0130329 ,Left ,-1 ,-1 ,0  ,+1 ,-2 ,+1 ,0  ,-3
0.0131182 ,Left ,0  ,-1 ,0  ,-2 ,-2 ,-3 ,-3 ,+1
0.0250558 ,Left ,+1 ,+1 ,-1 ,0  ,+1 ,+2 ,+12 ,-2
0.0251414 ,Left ,0  ,0  ,+1 ,-1 ,+1 ,0  ,-3 ,-3
0.0340785 ,Left ,+1 ,0  ,-2 ,-2 ,-3 ,-2 ,-4 ,+1
0.0341525 ,Left ,-1 ,-1 ,+1 ,+1 ,-1 ,-2 ,0  ,-1
0.0489546 ,Left ,-1 ,-2 ,-2 ,0  ,-2 ,-2 ,-1 ,0 
0.0490872 ,Left ,-3 ,-1 ,-1 ,-2 ,+2 ,+1 ,-1 ,-9
0.0505192 ,Left ,-2 ,-1 ,-2 ,-1 ,-1 ,0  ,+1 ,+4
0.0505691 ,Left ,0  ,-3 ,+1 ,-1 ,-1 ,+1 ,-1 ,0 
0.0716032 ,Left ,-1 ,0  ,-1 ,-1 ,-1 ,-3 ,-4 ,0 
0.0716719 ,Left ,0  ,0  ,-2 ,-1 ,-3 ,0  ,+1 ,+2
0.0729216 ,Left ,-1 ,-1 ,-2 ,-1 ,+1 ,-2 ,-4 ,-1
0.0729728 ,Left ,-2 ,-1 ,-1 ,+1 ,0  ,-2 ,-1 ,-1
0.0851892 ,Left ,-1 ,-1 ,-1 ,-1 ,+1 ,-2 ,-1 ,-1
0.0852207 ,Left ,-1 ,-3 ,-2 ,-1 ,-2 ,-2 ,-2 ,+4
0.0941046 ,Left ,-3 ,-1 ,0  ,0  ,-1 ,0  ,-3 ,-2
0.0941575 ,Left ,-1 ,+1 ,0  ,0  ,0  ,+2 ,+10 ,-9
0.1090195 ,Left ,+1 ,-3 ,0  ,-2 ,-3 ,-4 ,-3 ,+1
0.1091885 ,Left ,0  ,-1 ,-2 ,-2 ,-2 ,-3 ,-5 ,-1
0.1105038 ,Left ,-2 ,-1 ,-2 ,-1 ,-1 ,0  ,+1 ,-2
0.1105642 ,Left ,+1 ,-2 ,-2 ,0  ,-2 ,-3 ,-6 ,+5
0.1314164 ,Left ,-2 ,+1 ,-1 ,-2 ,-1 ,0  ,-3 ,-3
0.1314242 ,Left ,-1 ,0  ,0  ,-1 ,-1 ,-2 ,+1 ,+1
0.1329854 ,Left ,-1 ,-1 ,0  ,-1 ,-1 ,-2 ,+2 ,-2
0.1330612 ,Left ,0  ,-1 ,-2 ,-1 ,-2 ,-2 ,-3 ,-2
0.1451652 ,Left ,-2 ,-2 ,-1 ,+2 ,-2 ,-3 ,-5 ,+3
0.1452773 ,Left ,-1 ,-2 ,-2 ,-2 ,-1 ,-1 ,-2 ,-1
0.1539816 ,Left ,-1 ,-2 ,-1 ,-1 ,0  ,0  ,-2 ,0 
0.1540359 ,Left ,-2 ,-1 ,0  ,0  ,0  ,-3 ,-1 ,-1
0.1682736 ,Left ,-2 ,0  ,0  ,-2 ,-2 ,-1 ,-3 ,-2
0.1682843 ,Left ,0  ,-2 ,-1 ,-2 ,-3 ,-2 ,-1 ,+2
0.1689921 ,Left ,0  ,0  ,-2 ,-1 ,-1 ,-1 ,0  ,-1
0.1690639 ,Left ,-1 ,-2 ,-3 ,-1 ,-2 ,+1 ,-3 ,+1
0.190744 ,Left ,-2 ,-1 ,0  ,-4 ,-2 ,-1 ,0  ,-2
0.1907598 ,Left ,-2 ,-1 ,0  ,-1 ,-1 ,-1 ,0  ,-2
0.1914524 ,Left ,-1 ,0  ,-2 ,-3 ,-1 ,-2 ,-1 ,+1
0.1914927 ,Left ,-3 ,-1 ,-1 ,0  ,0  ,-2 ,-2 ,-3
0.2132739 ,Left ,0  ,-2 ,0  ,0  ,-1 ,-1 ,0  ,-2
0.2134769 ,Left ,+1 ,-2 ,-1 ,0  ,-3 ,0  ,+1 ,+1
0.2139869 ,Left ,0  ,0  ,-2 ,0  ,0  ,-1 ,-1 ,-1
0.2139993 ,Left ,-1 ,+2 ,-3 ,-3 ,+1 ,-2 ,-1 ,+1
0.2283871 ,Left ,-3 ,-3 ,-1 ,-1 ,-1 ,0  ,-1 ,-1
0.228399 ,Left ,-1 ,-2 ,0  ,-2 ,+1 ,-1 ,0  ,-1
0.2290276 ,Left ,0  ,-1 ,-2 ,-2 ,+1 ,0  ,-1 ,-2
0.2290803 ,Left ,-3 ,-1 ,0  ,+1 ,-2 ,+1 ,0  ,-3
0.2507333 ,Left ,0  ,-1 ,-1 ,-1 ,0  ,-2 ,-2 ,-2
0.2507455 ,Left ,+1 ,-1 ,-1 ,0  ,-1 ,-2 ,-3 ,+3
0.2515155 ,Left ,-1 ,-1 ,-1 ,0  ,-1 ,+1 ,+11 ,-4
0.2515282 ,Left ,0  ,-1 ,-3 ,-2 ,0  ,0  ,-1 ,-1
0.273283 ,Left ,+1 ,0  ,-1 ,-2 ,-1 ,-1 ,+1 ,+3
0.2732909 ,Left ,-1 ,0  ,+1 ,-2 ,0  ,-1 ,-2 ,-2
0.2738818 ,Left ,-3 ,0  ,-2 ,-2 ,-3 ,-2 ,-2 ,+3
0.2738911 ,Left ,-2 ,-3 ,-2 ,-1 ,-1 ,-1 ,-2 ,+1
0.2887172 ,Left ,0  ,-1 ,-2 ,0  ,-1 ,-1 ,0  ,-1
0.2887304 ,Left ,-1 ,-2 ,-2 ,-1 ,-1 ,-3 ,-2 ,-2
0.2889812 ,Left ,0  ,-3 ,-1 ,-3 ,-1 ,-2 ,-2 ,0 
0.2889952 ,Left ,+1 ,-2 ,-1 ,-2 ,-1 ,0  ,-1 ,0 
0.3107204 ,Left ,-3 ,0  ,-1 ,-1 ,+2 ,0  ,-2 ,-6
0.3108063 ,Left ,0  ,0  ,-1 ,-2 ,-1 ,-2 ,-1 ,+1
0.3114748 ,Left ,-2 ,0  ,0  ,-1 ,-2 ,-2 ,-5 ,-4
0.3115253 ,Left ,-2 ,+1 ,-1 ,-2 ,0  ,0  ,-3 ,0 
0.3331089 ,Left ,0  ,-1 ,-1 ,-2 ,-1 ,-1 ,-1 ,0 
0.3331197 ,Left ,-2 ,0  ,0  ,-1 ,-1 ,0  ,-1 ,-4
0.3339719 ,Left ,-1 ,-1 ,0  ,+1 ,-2 ,-1 ,-1 ,-2
0.3342639 ,Left ,-1 ,-2 ,-1 ,-1 ,-3 ,0  ,0  ,-1
0.3481715 ,Left ,-4 ,0  ,-1 ,-2 ,-1 ,0  ,-1 ,-1
0.3482337 ,Left ,-2 ,-1 ,-1 ,+1 ,-2 ,+1 ,0  ,-3
0.3490085 ,Left ,-1 ,-2 ,-1 ,-2 ,0  ,0  ,-4 ,-1
0.3490576 ,Left ,-1 ,-1 ,0  ,-1 ,0  ,-1 ,0  ,-2
0.3717952 ,Left ,0  ,-1 ,-3 ,0  ,-1 ,-1 ,-2 ,-3
0.3718136 ,Left ,-2 ,-1 ,-1 ,-1 ,-1 ,-1 ,+1 ,-1
0.3720423 ,Left ,-1 ,0  ,-2 ,0  ,0  ,-2 ,-3 ,0 
0.3721227 ,Left ,-1 ,-1 ,-2 ,-1 ,-3 ,-2 ,-2 ,0 
0.3937632 ,Left ,-1 ,-1 ,-1 ,-1 ,+1 ,0  ,0  ,-3
0.3937745 ,Left ,-1 ,-2 ,-3 ,-1 ,-1 ,-1 ,0  ,-2
0.3944962 ,Left ,-1 ,-2 ,-2 ,-1 ,0  ,-1 ,-3 ,0 
0.3946159 ,Left ,-1 ,0  ,0  ,-2 ,-1 ,-1 ,-1 ,-4
0.4084285 ,Left ,0  ,-2 ,-1 ,0  ,-2 ,-2 ,-2 ,+1
0.4084912 ,Left ,-2 ,-1 ,-2 ,-2 ,-1 ,-2 ,-2 ,0 
0.4089509 ,Left ,-1 ,0  ,-1 ,-3 ,-1 ,-1 ,0  ,-3
0.4090066 ,Left ,0  ,-2 ,+2 ,-2 ,-4 ,0  ,+3 ,-3
0.4307285 ,Left ,-5 ,-1 ,-1 ,0  ,0  ,+2 ,+9 ,-8
0.4307787 ,Left ,+2 ,-2 ,+1 ,-1 ,0  ,-1 ,-1 ,+3
0.4315169 ,Left ,-4 ,0  ,0  ,+1 ,0  ,+3 ,+5 ,-15
0.4315798 ,Left ,-1 ,-3 ,-1 ,-1 ,-1 ,-1 ,-2 ,-3
0.4532358 ,Left ,0  ,0  ,-2 ,-2 ,-4 ,-3 ,-2 ,+1
0.4532441 ,Left ,+1 ,-1 ,-1 ,-2 ,-1 ,-1 ,-2 ,-1
0.4540832 ,Left ,-2 ,-2 ,-2 ,+1 ,+2 ,-1 ,-4 ,+8
0.4541525 ,Left ,-2 ,-1 ,0  ,+2 ,+1 ,-1 ,+3 ,-4
0.4681696 ,Left ,-1 ,0  ,-3 ,-1 ,-2 ,-1 ,-2 ,+1
0.4681814 ,Left ,-1 ,-2 ,-2 ,-2 ,-2 ,-1 ,0  ,-2
0.4689512 ,Left ,+2 ,-1 ,-1 ,-3 ,-4 ,-5 ,-5 ,+4
0.4689646 ,Left ,-3 ,0  ,-1 ,-1 ,-1 ,-3 ,-2 ,+1
0.4908379 ,Left ,-1 ,-2 ,-1 ,-1 ,-1 ,0  ,-4 ,+1
0.4909381 ,Left ,-1 ,-1 ,-2 ,0  ,-1 ,-2 ,+1 ,-3
0.491346 ,Left ,-1 ,-2 ,0  ,-1 ,-1 ,+1 ,0  ,-2
0.4913588 ,Left ,-1 ,-1 ,-2 ,-1 ,0  ,-1 ,-1 ,+1
0.5131687 ,Left ,+1 ,-3 ,0  ,-2 ,-2 ,-1 ,-2 ,-2
0.5132335 ,Left ,0  ,-1 ,-2 ,-2 ,-1 ,-1 ,-3 ,0 
0.5139847 ,Left ,-1 ,-2 ,-2 ,0  ,-1 ,0  ,0  ,-1
0.5140597 ,Left ,-1 ,-1 ,-1 ,-1 ,-2 ,-1 ,-3 ,0 
0.5283415 ,Left ,+1 ,-1 ,-1 ,+1 ,0  ,-1 ,-2 ,0 
0.5283522 ,Left ,-2 ,-2 ,+1 ,-1 ,-1 ,-1 ,-2 ,-1
0.5290331 ,Left ,0  ,-2 ,+1 ,0  ,-1 ,-1 ,0  ,-1
0.5290954 ,Left ,-1 ,-1 ,-2 ,-2 ,0  ,-2 ,-2 ,0 
0.5507113 ,Left ,-1 ,-2 ,-2 ,-1 ,-1 ,-1 ,-1 ,-2
0.5510438 ,Left ,-3 ,0  ,-1 ,+1 ,-2 ,0  ,-1 ,-1
0.5517317 ,Left ,-3 ,0  ,-2 ,-1 ,-2 ,-1 ,-1 ,-1
0.5517459 ,Left ,0  ,0  ,-1 ,-1 ,0  ,-2 ,-4 ,0 
0.5734553 ,Left ,0  ,-1 ,-1 ,-1 ,0  ,0  ,-1 ,0 
0.5735089 ,Left ,-1 ,0  ,-1 ,-1 ,-1 ,-2 ,-3 ,-2
0.5748408 ,Left ,-1 ,0  ,-1 ,-1 ,-1 ,-2 ,-2 ,+1
0.5748558 ,Left ,0  ,-2 ,0  ,0  ,0  ,-1 ,-1 ,-1
0.5904109 ,Left ,-2 ,0  ,-3 ,-2 ,0  ,-1 ,-3 ,-2
0.5904257 ,Left ,-2 ,-1 ,-2 ,0  ,-2 ,0  ,-2 ,0 
0.590439 ,Left ,0  ,0  ,0  ,+1 ,-3 ,+1 ,-3 ,-1
0.5904527 ,Left ,-2 ,-2 ,-2 ,-1 ,+1 ,+1 ,-1 ,-1
0.6107506 ,Left ,+1 ,-2 ,0  ,-1 ,-4 ,-2 ,0  ,-2
0.610806 ,Left ,-3 ,-2 ,-1 ,-1 ,+1 ,-1 ,-2 ,-3
0.6115452 ,Left ,0  ,-1 ,0  ,+1 ,+3 ,0  ,0  ,-2
0.6116621 ,Left ,-1 ,-2 ,-1 ,-1 ,-6 ,-3 ,0  ,-2
0.6331736 ,Left ,-2 ,-2 ,0  ,-1 ,+1 ,0  ,-2 ,+1
0.6332557 ,Left ,-1 ,-1 ,-1 ,-4 ,-5 ,-1 ,+1 ,-1
0.6339585 ,Left ,-2 ,-3 ,-4 ,-4 ,+2 ,0  ,-2 ,0 
0.6339712 ,Left ,+1 ,-1 ,+1 ,+3 ,+3 ,0  ,-2 ,-2
0.6481916 ,Left ,-1 ,-2 ,-1 ,-3 ,+2 ,-1 ,-1 ,-1
0.6482026 ,Left ,-1 ,0  ,-2 ,-3 ,-2 ,+1 ,+1 ,-1
0.6489902 ,Left ,-1 ,-1 ,-2 ,-3 ,+3 ,-5 ,0  ,-3
0.6490657 ,Left ,0  ,0  ,0  ,+1 ,-6 ,0  ,-1 ,+1
0.6707106 ,Left ,0  ,+1 ,-1 ,+3 ,+9 ,-4 ,0  ,-1
0.670782 ,Left ,-1 ,-3 ,+2 ,+2 ,-4 ,-4 ,-3 ,-2
0.6715497 ,Left ,-1 ,-2 ,-2 ,-3 ,0  ,+2 ,0  ,-1
0.6716273 ,Left ,-2 ,0  ,-3 ,-6 ,-8 ,-5 ,-1 ,-1
0.6932484 ,Left ,-1 ,-2 ,+2 ,-7 ,+6 ,+2 ,0  ,0 
0.693303 ,Left ,-3 ,-2 ,-4 ,-3 ,-30 ,-12 ,-6 ,-4
0.6940333 ,Left ,0  ,+2 ,0  ,-4 ,+18 ,+4 ,0  ,+1
0.6941745 ,Left ,-1 ,-2 ,0  ,+16 ,+4 ,+3 ,+1 ,-1
0.7083029 ,Left ,-1 ,-1 ,+3 ,+4 ,0  ,0  ,0  ,+1
0.7083138 ,Left ,0  ,-2 ,-4 ,-23 ,+1 ,-1 ,+1 ,0 
0.7089873 ,Left ,-1 ,-1 ,-3 ,+5 ,-16 ,-4 ,-2 ,0 
0.7090485 ,Left ,-3 ,-2 ,-1 ,-15 ,-3 ,0  ,-4 ,-4
0.7307406 ,Left ,0  ,+1 ,+2 ,+20 ,+13 ,+1 ,0  ,0 
0.7307513 ,Left ,0  ,-1 ,+2 ,+10 ,+7 ,0  ,0  ,+1
0.7314939 ,Left ,-2 ,-2 ,-4 ,-12 ,-6 ,-2 ,-2 ,-2
0.7315045 ,Left ,-1 ,-1 ,-6 ,-48 ,-18 ,0  ,+1 ,0 
0.7531894 ,Left ,-4 ,-1 ,+2 ,+58 ,-3 ,-9 ,-4 ,-3
0.7532002 ,Left ,+1 ,+1 ,+4 ,-15 ,+16 ,+4 ,0  ,-1
0.7539629 ,Left ,0  ,-1 ,+4 ,+27 ,+6 ,+2 ,-1 ,-1
0.754047 ,Left ,0  ,+1 ,+2 ,-17 ,+2 ,+7 ,0  ,0 
0.7682913 ,Left ,-2 ,-4 ,-11 ,-2 ,+49 ,+16 ,+2 ,-2
0.7683019 ,Left ,0  ,+1 ,+4 ,-21 ,-76 ,-17 ,-5 ,-2
0.7689633 ,Left ,0  ,0  ,-5 ,-13 ,-15 ,-21 ,-8 ,0 
0.768974 ,Left ,-3 ,-2 ,-6 ,+15 ,+13 ,+5 ,-2 ,-2
0.7907333 ,Left ,-2 ,-2 ,-6 ,-73 ,-54 ,-3 ,-3 ,-1
0.7907859 ,Left ,-2 ,+1 ,+16 ,+65 ,+60 ,+17 ,0  ,-3
0.7914131 ,Left ,0  ,+2 ,+4 ,+7 ,+23 ,+9 ,+3 ,+1
0.7914856 ,Left ,+1 ,0  ,-5 ,+29 ,+15 ,-8 ,-1 ,+1
0.8131964 ,Left ,0  ,+1 ,+2 ,-15 ,-9 ,-1 ,-1 ,0 
0.8132055 ,Left ,-3 ,-3 ,-11 ,-23 ,-28 ,-2 ,-1 ,-2
0.8139529 ,Left ,-3 ,-3 ,-4 ,-21 ,-14 ,-7 ,-4 ,-4
0.8139638 ,Left ,-3 ,-2 ,-4 ,-17 ,-4 ,-4 ,-2 ,-2
0.8282613 ,Left ,-1 ,0  ,-2 ,+24 ,-8 ,-6 ,-2 ,-3
0.8283234 ,Left ,+1 ,-3 ,-14 ,-96 ,-14 ,-4 ,-2 ,+4
0.82898 ,Left ,-2 ,-2 ,+13 ,+97 ,+20 ,+5 ,0  ,-2
0.8289887 ,Left ,0  ,0  ,-5 ,+26 ,+10 ,0  ,0  ,+1
0.8506775 ,Left ,-1 ,0  ,+14 ,-2 ,-7 ,-3 ,0  ,-2
