timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0131893 ,Right ,0  ,+3 ,-10 ,+10 ,0  ,-32 ,-3 ,+5
0.0205911 ,Right ,-4 ,-13 ,-3 ,-9 ,-2 ,+25 ,+6 ,0 
0.0206028 ,Right ,-4 ,+9 ,+13 ,-2 ,0  ,+9 ,-3 ,-6
0.0355936 ,Right ,0  ,+6 ,-13 ,-3 ,-1 ,-1 ,-3 ,-5
0.0356079 ,Right ,+8 ,-12 ,-89 ,-14 ,+5 ,-9 ,+3 ,+9
0.0431156 ,Right ,-12 ,0  ,+66 ,-1 ,-22 ,-16 ,-12 ,-13
0.0431275 ,Right ,-4 ,0  ,+23 ,+4 ,-3 ,-7 ,+1 ,+2
0.0582087 ,Right ,-1 ,-7 ,-41 ,-12 ,+4 ,+3 ,-12 ,-8
0.0582205 ,Right ,-2 ,-7 ,-1 ,-4 ,+1 ,+7 ,+1 ,0 
0.0730487 ,Right ,+2 ,+1 ,-7 ,0  ,-1 ,-7 ,+13 ,+8
0.0730621 ,Right ,-3 ,-6 ,+18 ,0  ,-3 ,-1 ,-1 ,-10
0.0806723 ,Right ,+11 ,+14 ,-13 ,+1 ,+2 ,+12 ,+1 ,+8
0.0806846 ,Right ,-5 ,-13 ,+13 ,+2 ,+1 ,-3 ,-7 ,-3
0.0955833 ,Right ,-5 ,-5 ,-15 ,+1 ,+1 ,-4 ,-2 ,-5
0.0956371 ,Right ,-5 ,-1 ,+14 ,+1 ,-3 ,-5 ,+2 ,+3
0.1031305 ,Right ,+5 ,-3 ,-29 ,-13 ,0  ,+10 ,-3 ,+1
0.1031411 ,Right ,0  ,+1 ,+18 ,+6 ,+2 ,-1 ,-1 ,+1
0.1181314 ,Right ,+1 ,0  ,-13 ,-6 ,0  ,+2 ,-6 ,-5
0.1183364 ,Right ,-3 ,-4 ,-15 ,-3 ,+2 ,0  ,-1 ,+3
0.1330617 ,Right ,-4 ,-7 ,-9 ,-2 ,0  ,+1 ,+1 ,-2
0.133117 ,Right ,-5 ,-3 ,-4 ,0  ,-2 ,-5 ,-1 ,-21
0.1406663 ,Right ,+5 ,+3 ,+10 ,-3 ,-1 ,+1 ,+1 ,+18
0.140682 ,Right ,0  ,+3 ,+9 ,+7 ,-1 ,-1 ,-2 ,-9
0.1555512 ,Right ,-4 ,-9 ,+2 ,-1 ,-3 ,-2 ,-3 ,+5
0.1555644 ,Right ,-4 ,-4 ,-18 ,-5 ,-1 ,-5 ,-3 ,-2
0.1633826 ,Right ,0  ,+5 ,+13 ,+7 ,-3 ,-2 ,-2 ,-3
0.1634018 ,Right ,-2 ,0  ,-3 ,-4 ,-5 ,-1 ,-1 ,+4
