timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1.2108551 ,Left ,-1 ,-3 ,-2 ,+3 ,-4 ,+11 ,0  ,+1
1.2109949 ,Left ,-2 ,-3 ,-8 ,-15 ,-8 ,+1 ,+2 ,-1
1.2182709 ,Left ,-1 ,0  ,+5 ,+13 ,+7 ,-4 ,-9 ,-1
1.2182791 ,Left ,-2 ,-3 ,0  ,-5 ,-4 ,-15 ,-2 ,-7
1.2332343 ,Left ,-1 ,+3 ,+8 ,+13 ,+14 ,+18 ,+3 ,+1
1.2332471 ,Left ,0  ,-2 ,-3 ,+3 ,-1 ,-3 ,-2 ,0 
1.2407369 ,Left ,-2 ,-3 ,-11 ,-23 ,-4 ,-8 ,+1 ,+3
1.2407491 ,Left ,-1 ,-2 ,-3 ,-1 ,+11 ,+16 ,-3 ,-3
1.2483623 ,Left ,-1 ,+1 ,0  ,-2 ,-2 ,+6 ,-3 ,0 
1.248486 ,Left ,-2 ,+1 ,+2 ,+5 ,+3 ,-3 ,+2 ,-1
1.2632906 ,Left ,-1 ,-3 ,-3 ,-4 ,0  ,-6 ,0  ,-1
1.26341 ,Left ,-2 ,-3 ,-5 ,-7 ,+2 ,+9 ,+2 ,-2
1.2708239 ,Left ,-2 ,-1 ,-5 ,-15 ,-15 ,-12 ,-3 ,-4
1.2708318 ,Left ,-2 ,-1 ,+7 ,+17 ,-9 ,-21 ,-5 ,+1
1.285688 ,Left ,+1 ,+2 ,+6 ,+9 ,+31 ,+31 ,+5 ,+1
1.2857314 ,Left ,+1 ,-3 ,-5 ,-2 ,-13 ,-13 ,+1 ,-1
1.2933436 ,Left ,-4 ,-6 ,-10 ,-20 ,-12 ,-2 ,-7 ,-2
1.2933515 ,Left ,-2 ,-1 ,-1 ,-4 ,-7 ,-6 ,0  ,-4
1.3008132 ,Left ,-1 ,0  ,0  ,-2 ,+1 ,+4 ,-1 ,-3
1.3008212 ,Left ,-1 ,+3 ,+4 ,+7 ,+3 ,+5 ,-4 ,0 
1.3081188 ,Left ,0  ,+1 ,0  ,-7 ,-5 ,-15 ,+2 ,0 
1.3081615 ,Left ,-1 ,+1 ,-1 ,+1 ,-2 ,0  ,-2 ,+1
1.3233207 ,Left ,-2 ,-2 ,-1 ,-1 ,-3 ,-3 ,-5 ,-1
1.3233291 ,Left ,+1 ,-1 ,0  ,+2 ,+15 ,+21 ,+2 ,-2
1.3308797 ,Left ,-1 ,+1 ,-1 ,+1 ,-25 ,-3 ,-2 ,-1
1.3309114 ,Left ,-1 ,-2 ,-1 ,-2 ,-5 ,-20 ,-2 ,-2
1.3457638 ,Left ,-1 ,-2 ,-3 ,-7 ,-3 ,0  ,+1 ,-2
1.3458269 ,Left ,0  ,-3 ,-1 ,-1 ,-4 ,-11 ,-2 ,+1
1.353288 ,Left ,0  ,+2 ,+6 ,+7 ,+47 ,+30 ,+8 ,+1
1.3532998 ,Left ,-2 ,-2 ,-1 ,0  ,-13 ,-9 ,-7 ,-7
1.3606497 ,Left ,-1 ,-2 ,-9 ,-14 ,-7 ,-3 ,-1 ,0 
1.3606595 ,Left ,-1 ,-1 ,-1 ,+11 ,-1 ,+1 ,-2 ,0 
1.3682339 ,Left ,+2 ,+4 ,+7 ,+13 ,-9 ,-11 ,0  ,+1
1.3682437 ,Left ,-2 ,-5 ,-6 ,-6 ,+6 ,+7 ,+1 ,-1
1.3832414 ,Left ,-1 ,+1 ,-1 ,-5 ,-3 ,0  ,-2 ,0 
1.3832494 ,Left ,-4 ,-3 ,-5 ,-12 ,+3 ,+12 ,0  ,-3
1.3906143 ,Left ,-2 ,-2 ,-4 ,-4 ,-3 ,-16 ,-2 ,-4
1.3906564 ,Left ,-1 ,-2 ,-2 ,-2 ,0  ,+1 ,-2 ,0 
1.4058346 ,Left ,+1 ,-1 ,-2 ,-3 ,-3 ,+6 ,+2 ,-4
1.4058425 ,Left ,-2 ,+2 ,+4 ,+4 ,-1 ,-10 ,-3 ,-1
1.4132085 ,Left ,-2 ,-2 ,-4 ,-9 ,-4 ,-6 ,-2 ,-1
1.4132472 ,Left ,0  ,+2 ,-1 ,-13 ,-19 ,-9 ,0  ,+1
1.4208149 ,Left ,-2 ,-5 ,-9 ,-4 ,+7 ,+1 ,0  ,-1
1.4208255 ,Left ,+2 ,+4 ,+18 ,+48 ,+18 ,+6 ,+4 ,+2
1.4283605 ,Left ,-1 ,-2 ,-4 ,-9 ,-3 ,-12 ,-3 ,-2
1.4283753 ,Left ,-1 ,-2 ,-5 ,-14 ,-7 ,+9 ,+3 ,-1
1.4431728 ,Left ,+1 ,0  ,+2 ,-6 ,-9 ,0  ,-1 ,-1
1.4432177 ,Left ,0  ,0  ,-4 ,-4 ,-10 ,-7 ,-2 ,0 
1.4507982 ,Left ,-2 ,-1 ,-6 ,-5 ,+7 ,-6 ,-1 ,-1
1.4508682 ,Left ,+1 ,+5 ,+10 ,+21 ,+11 ,+9 ,+3 ,+3
1.4661154 ,Left ,-2 ,-6 ,-9 ,-18 ,-15 ,-9 ,-3 ,-3
1.4661249 ,Left ,-4 ,-4 ,-8 ,-15 ,-1 ,+1 ,-3 ,-2
1.4731096 ,Left ,+1 ,+1 ,+10 ,+32 ,0  ,-1 ,0  ,+3
1.4731553 ,Left ,0  ,-1 ,-6 ,-13 ,-5 ,-2 ,0  ,0 
1.4808433 ,Left ,0  ,0  ,+2 ,+10 ,+12 ,+2 ,0  ,+1
1.4810752 ,Left ,-2 ,-3 ,-7 ,-18 ,-10 ,+1 ,-3 ,-3
1.4883694 ,Left ,-4 ,-4 ,-4 ,-13 ,-7 ,-2 ,-3 ,-3
1.4884047 ,Left ,-2 ,0  ,+2 ,+10 ,+14 ,0  ,-3 ,-3
1.5033141 ,Left ,-1 ,+1 ,+6 ,+8 ,-4 ,-2 ,+1 ,0 
1.5033224 ,Left ,+1 ,-3 ,-4 ,-8 ,+2 ,+6 ,-1 ,0 
1.5108749 ,Left ,-1 ,-2 ,-1 ,-6 ,-7 ,+8 ,-1 ,-2
1.5110803 ,Left ,-2 ,-1 ,+1 ,+7 ,0  ,-24 ,0  ,+1
1.5256539 ,Left ,-2 ,+1 ,0  ,-2 ,-9 ,+6 ,-5 ,0 
1.5256893 ,Left ,0  ,-3 ,-5 ,-5 ,-1 ,-9 ,+1 ,0 
1.5332866 ,Left ,-1 ,-1 ,-2 ,+4 ,+24 ,+16 ,+4 ,0 
1.5333646 ,Left ,-1 ,0  ,-1 ,+1 ,-1 ,+2 ,-3 ,-2
1.540818 ,Left ,0  ,-1 ,+4 ,+1 ,+7 ,-7 ,0  ,-3
1.5408262 ,Left ,+1 ,+2 ,+5 ,+7 ,-7 ,+31 ,+1 ,+1
1.5483402 ,Left ,0  ,-3 ,-8 ,-15 ,-31 ,-67 ,-6 ,-3
1.5484091 ,Left ,-3 ,-5 ,-12 ,-14 ,-10 ,+26 ,-5 ,-3
1.5632265 ,Left ,-2 ,-1 ,0  ,+7 ,+11 ,-9 ,-2 ,0 
1.563236 ,Left ,-2 ,+1 ,+2 ,+1 ,+23 ,+9 ,0  ,0 
1.5708076 ,Left ,+2 ,+2 ,+6 ,+12 ,+21 ,+20 ,+4 ,+1
1.5708182 ,Left ,0  ,-3 ,-6 ,-9 ,+1 ,0  ,+1 ,0 
1.5858475 ,Left ,-2 ,-4 ,-7 ,-3 ,-26 ,-4 ,-3 ,0 
1.5858555 ,Left ,-4 ,-3 ,-2 ,-8 ,-17 ,-20 ,-3 ,-4
1.5932801 ,Left ,-2 ,-2 ,-3 ,-6 ,0  ,+7 ,-2 ,-2
1.5933116 ,Left ,-1 ,-1 ,+1 ,+3 ,+6 ,-6 ,0  ,-2
1.6006663 ,Left ,-3 ,+1 ,+1 ,+1 ,+4 ,+9 ,-1 ,-1
1.6007114 ,Left ,-2 ,-4 ,-4 ,-5 ,-2 ,-9 ,+1 ,+1
1.6082126 ,Left ,-2 ,-4 ,-6 ,-6 ,-25 ,-19 ,-4 ,0 
1.6082231 ,Left ,-1 ,+1 ,+5 ,+5 ,+4 ,+11 ,-3 ,-4
