timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1.2058207 ,Right ,+1 ,-40 ,-9 ,-1 ,-2 ,-1 ,0  ,+2
1.2058287 ,Right ,-4 ,-4 ,-18 ,-10 ,-6 ,-5 ,-5 ,-4
1.2148724 ,Right ,+6 ,-5 ,0  ,+2 ,-6 ,0  ,+1 ,0 
1.2148808 ,Right ,-1 ,+37 ,+1 ,-4 ,-1 ,-1 ,-3 ,0 
1.2294508 ,Right ,-1 ,-24 ,+11 ,+5 ,+1 ,-3 ,-1 ,-3
1.2294604 ,Right ,+2 ,+10 ,+5 ,-1 ,+1 ,+1 ,+1 ,+1
1.2309918 ,Right ,-2 ,-5 ,-8 ,-2 ,0  ,+1 ,+1 ,0 
1.2310437 ,Right ,+3 ,-6 ,-4 ,-5 ,-5 ,-3 ,-1 ,+1
1.2522656 ,Right ,-3 ,+5 ,+1 ,+2 ,+5 ,+3 ,+1 ,-4
1.2522815 ,Right ,+4 ,-18 ,+7 ,+8 ,+1 ,0  ,+3 ,+1
1.253628 ,Right ,-3 ,+62 ,+6 ,-5 ,-2 ,-3 ,-1 ,-1
1.2536911 ,Right ,-3 ,-30 ,-10 ,-8 ,-8 ,-2 ,-4 ,-3
1.2658902 ,Right ,0  ,+11 ,+6 ,+13 ,+3 ,-3 ,-1 ,-2
1.2658988 ,Right ,-5 ,-3 ,-5 ,-3 ,-5 ,-2 ,-2 ,+1
1.2745541 ,Right ,+7 ,+11 ,+2 ,+12 ,+14 ,+5 ,0  ,+1
1.2746094 ,Right ,-3 ,-9 ,+5 ,-10 ,-6 ,-5 ,-1 ,0 
1.2896623 ,Right ,-3 ,-1 ,-7 ,+11 ,+5 ,+3 ,+1 ,0 
1.2896704 ,Right ,+4 ,+14 ,+6 ,-1 ,0  ,+5 ,+2 ,+1
1.2912681 ,Right ,-7 ,-25 ,-7 ,-7 ,-7 ,+1 ,0  ,-1
1.291276 ,Right ,-4 ,-8 ,-6 ,-2 ,+4 ,+1 ,0  ,-2
1.3120417 ,Right ,0  ,+4 ,-2 ,-8 ,-5 ,-2 ,-2 ,-2
1.3120842 ,Right ,-3 ,0  ,+8 ,+1 ,+3 ,0  ,-3 ,-1
1.3135274 ,Right ,-4 ,-11 ,+5 ,-11 ,-7 ,-3 ,0  ,0 
1.3135802 ,Right ,-5 ,-18 ,-15 ,0  ,0  ,-1 ,-1 ,-1
1.3259066 ,Right ,+3 ,+26 ,+4 ,-3 ,-8 ,-1 ,-2 ,0 
1.3260316 ,Right ,-9 ,-19 ,-26 ,-14 ,+2 ,-3 ,-3 ,-5
1.3346347 ,Right ,-2 ,-13 ,+8 ,+20 ,+9 ,+1 ,0  ,-1
1.3346427 ,Right ,+2 ,+6 ,0  ,-2 ,0  ,-1 ,-1 ,0 
1.3496992 ,Right ,+2 ,+9 ,-7 ,-10 ,-4 ,-3 ,0  ,-2
1.3497554 ,Right ,-13 ,-37 ,0  ,-10 ,-13 ,-5 ,-2 ,-2
1.3511492 ,Right ,+3 ,-2 ,+7 ,+21 ,+14 ,+3 ,-1 ,-3
1.3511589 ,Right ,-2 ,+2 ,-1 ,+3 ,+3 ,-1 ,0  ,-1
1.3720681 ,Right ,+7 ,+4 ,+5 ,-3 ,0  ,+2 ,+2 ,+3
1.3721138 ,Right ,+1 ,-11 ,-3 ,0  ,-2 ,-3 ,-2 ,-2
1.3735184 ,Right ,0  ,-14 ,-18 ,-16 ,-7 ,-2 ,-1 ,+1
1.373564 ,Right ,+1 ,-5 ,+5 ,+7 ,-4 ,0  ,-2 ,-1
1.3857344 ,Right ,+2 ,+20 ,+22 ,-3 ,-3 ,-2 ,-1 ,0 
1.3857976 ,Right ,-5 ,-7 ,-33 ,+1 ,0  ,0  ,-2 ,-3
1.3947019 ,Right ,-4 ,-5 ,+7 ,0  ,+7 ,+1 ,0  ,0 
1.3947107 ,Right ,+9 ,-9 ,-4 ,+6 ,-1 ,+1 ,-1 ,0 
1.4089538 ,Right ,-13 ,-14 ,0  ,-7 ,-6 ,-2 ,-2 ,+1
1.4089618 ,Right ,+7 ,+13 ,+20 ,+5 ,0  ,+2 ,+1 ,+1
1.415905 ,Right ,+2 ,-2 ,-5 ,-5 ,-5 ,-3 ,-2 ,-2
1.4159133 ,Right ,-1 ,+5 ,+6 ,-6 ,-2 ,-2 ,-1 ,-1
1.4322735 ,Right ,+3 ,+17 ,-6 ,0  ,-2 ,0  ,+1 ,+1
1.4322909 ,Right ,-4 ,-2 ,+3 ,+9 ,+5 ,+2 ,+1 ,-1
1.4338244 ,Right ,-2 ,+6 ,+1 ,-2 ,0  ,-3 ,+1 ,0 
1.4341909 ,Right ,0  ,-3 ,-1 ,-5 ,+3 ,-2 ,0  ,-1
1.445723 ,Right ,-2 ,+6 ,-13 ,-5 ,-6 ,-3 ,-2 ,+1
1.4457289 ,Right ,-1 ,+2 ,+16 ,+4 ,+1 ,-2 ,-1 ,-1
1.4547134 ,Right ,-1 ,0  ,-5 ,+8 ,-3 ,-1 ,-1 ,-2
1.4547213 ,Right ,-7 ,-12 ,-11 ,-7 ,0  ,-2 ,-1 ,-3
1.4687752 ,Right ,-3 ,-8 ,-3 ,-1 ,0  ,-2 ,-1 ,-5
1.4688218 ,Right ,+2 ,+9 ,+4 ,-3 ,-1 ,-2 ,0  ,+2
1.4757003 ,Right ,-1 ,-6 ,-6 ,-2 ,-3 ,-1 ,-1 ,+3
1.4757441 ,Right ,-3 ,+9 ,+4 ,-8 ,-9 ,-5 ,-1 ,0 
1.4922229 ,Right ,-2 ,-16 ,0  ,-4 ,0  ,-1 ,-2 ,-3
1.4922311 ,Right ,+4 ,+9 ,-15 ,+8 ,+5 ,+4 ,+1 ,-1
1.4938167 ,Right ,-1 ,+6 ,0  ,+6 ,+4 ,+1 ,-3 ,-4
1.4938248 ,Right ,-2 ,-8 ,-8 ,-4 ,-2 ,0  ,-2 ,-2
1.5057897 ,Right ,0  ,-10 ,-5 ,-7 ,-5 ,-4 ,-4 ,-1
1.5057977 ,Right ,+1 ,+7 ,+6 ,-5 ,-5 ,-2 ,-2 ,+1
