timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.013652 ,Left ,+6 ,0  ,-2 ,+1 ,-2 ,-1 ,+1 ,+4
0.0210995 ,Left ,+2 ,0  ,-3 ,-5 ,-4 ,-5 ,+1 ,-1
0.0211325 ,Left ,-4 ,0  ,-6 ,-5 ,0  ,-3 ,0  ,-4
0.0359626 ,Left ,-3 ,-5 ,-8 ,-10 ,-2 ,-4 ,-4 ,-2
0.0360264 ,Left ,-5 ,-1 ,+10 ,+10 ,+2 ,+2 ,-1 ,0 
0.0438585 ,Left ,-3 ,-2 ,-4 ,-3 ,-5 ,-1 ,-5 ,0 
0.0439555 ,Left ,+1 ,+4 ,+2 ,+2 ,-2 ,0  ,+1 ,+4
0.0584821 ,Left ,+2 ,-1 ,0  ,-1 ,+1 ,0  ,-1 ,0 
0.0585302 ,Left ,-4 ,-2 ,-1 ,+1 ,-1 ,-2 ,-5 ,-2
0.0735916 ,Left ,0  ,-1 ,+2 ,-2 ,-2 ,+1 ,-3 ,-1
0.0736741 ,Left ,0  ,-1 ,-7 ,-8 ,-4 ,-1 ,-1 ,-2
0.0813298 ,Left ,-2 ,+1 ,+6 ,+6 ,+6 ,+3 ,0  ,-1
0.0813681 ,Left ,0  ,-3 ,-2 ,0  ,-2 ,+1 ,-1 ,-2
0.0963655 ,Left ,+1 ,-5 ,0  ,+3 ,-1 ,-1 ,-3 ,+2
0.09659 ,Left ,+6 ,0  ,-5 ,-6 ,-1 ,-4 ,-4 ,+1
0.1035776 ,Left ,-1 ,-1 ,-5 ,-10 ,-5 ,-1 ,-2 ,+1
0.1035954 ,Left ,-1 ,-4 ,+4 ,+7 ,0  ,0  ,+2 ,+1
0.1185619 ,Left ,0  ,+2 ,-1 ,-1 ,-1 ,0  ,+6 ,+1
0.1185897 ,Left ,-5 ,+2 ,-4 ,-5 ,-3 ,-3 ,0  ,-3
0.133651 ,Left ,-4 ,+1 ,-1 ,-3 ,-2 ,-1 ,+2 ,-3
0.1336772 ,Left ,-1 ,-1 ,+1 ,+2 ,+1 ,+3 ,-3 ,-5
0.1413235 ,Left ,+3 ,-4 ,-7 ,-9 ,-3 ,+1 ,-7 ,-2
0.1413526 ,Left ,-2 ,-2 ,+2 ,+10 ,-1 ,+3 ,-2 ,0 
0.1559776 ,Left ,0  ,-3 ,-2 ,-4 ,-1 ,+1 ,-3 ,+1
0.1560057 ,Left ,-5 ,-1 ,+1 ,0  ,0  ,-1 ,-4 ,+2
0.1636346 ,Left ,+3 ,-2 ,-1 ,0  ,0  ,-3 ,-2 ,-1
0.1636696 ,Left ,-2 ,-3 ,-8 ,-6 ,-2 ,-3 ,-4 ,0 
0.1785979 ,Left ,-5 ,-1 ,-1 ,0  ,-6 ,-3 ,+2 ,-1
0.1786282 ,Left ,-1 ,0  ,-2 ,-2 ,-1 ,0  ,+4 ,0 
0.2010741 ,Left ,+3 ,-2 ,+1 ,-1 ,+1 ,+1 ,+2 ,+1
0.2011003 ,Left ,+3 ,0  ,-3 ,-1 ,0  ,-2 ,0  ,+3
0.2085536 ,Left ,-2 ,0  ,-2 ,+1 ,-1 ,-4 ,-2 ,-1
0.2085768 ,Left ,-1 ,-2 ,+1 ,-2 ,-2 ,-2 ,-3 ,-2
0.2236618 ,Left ,+6 ,0  ,-1 ,-1 ,-2 ,0  ,+1 ,+2
0.223686 ,Left ,-6 ,-3 ,-5 ,-4 ,-3 ,-3 ,-5 ,-4
0.2311488 ,Left ,-1 ,+5 ,+13 ,+10 ,+3 ,0  ,+1 ,-1
0.2311782 ,Left ,+3 ,+2 ,+8 ,+13 ,+3 ,-3 ,0  ,-4
0.2460667 ,Left ,-2 ,-1 ,-7 ,-4 ,-3 ,-3 ,-7 ,+3
0.2460835 ,Left ,-2 ,+3 ,+4 ,+2 ,-2 ,-1 ,0  ,+2
0.2610827 ,Left ,0  ,-5 ,-4 ,-3 ,-1 ,-1 ,0  ,-7
0.2611141 ,Left ,+3 ,-2 ,-3 ,-3 ,-1 ,+1 ,-5 ,-3
