timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.1973817 ,Right ,0  ,+5 ,-1 ,+5 ,+2 ,-1 ,0  ,0 
0.1976714 ,Right ,-4 ,-7 ,-2 ,-7 ,-3 ,-1 ,-2 ,-4
0.1976824 ,Right ,0  ,+5 ,+2 ,+5 ,+1 ,0  ,+2 ,+1
0.1986304 ,Right ,-5 ,-1 ,-1 ,-7 ,-7 ,-3 ,0  ,-2
0.1986772 ,Right ,0  ,-2 ,-6 ,+1 ,+3 ,0  ,-1 ,0 
0.1995966 ,Right ,+2 ,+6 ,+2 ,+3 ,+2 ,-2 ,-2 ,-1
0.1996397 ,Right ,+1 ,0  ,-4 ,0  ,-2 ,+1 ,-1 ,+2
0.2098937 ,Right ,-4 ,-12 ,-4 ,-7 ,-6 ,-2 ,-2 ,-4
0.2099813 ,Right ,-1 ,-3 ,-1 ,-11 ,-12 ,-2 ,-4 ,-4
0.2196749 ,Right ,-2 ,+1 ,+2 ,+17 ,+15 ,+3 ,+3 ,+2
0.2196825 ,Right ,+2 ,-3 ,-3 ,-5 ,-6 ,-1 ,-1 ,-2
0.2263092 ,Right ,+2 ,+5 ,-1 ,-4 ,-2 ,-4 ,-2 ,0 
0.2263748 ,Right ,-3 ,-2 ,0  ,-17 ,-4 ,-3 ,+1 ,-1
0.2404487 ,Right ,0  ,-2 ,-1 ,+7 ,-2 ,-3 ,0  ,0 
0.240492 ,Right ,-3 ,-2 ,-1 ,+6 ,+3 ,0  ,-1 ,-1
0.248572 ,Right ,-2 ,-2 ,-2 ,-7 ,+1 ,+1 ,-1 ,-1
0.2486221 ,Right ,0  ,-7 ,+2 ,+10 ,-1 ,0  ,-2 ,-3
0.2646589 ,Right ,+1 ,+9 ,+2 ,-11 ,-7 ,-2 ,0  ,-1
0.2646661 ,Right ,-7 ,-7 ,-5 ,-3 ,-3 ,-3 ,+1 ,0 
0.2713735 ,Right ,+3 ,+3 ,+2 ,+1 ,-1 ,-1 ,0  ,-1
0.2715001 ,Right ,-2 ,-4 ,-1 ,-8 ,-1 ,-1 ,-2 ,-2
0.284809 ,Right ,-1 ,-4 ,-1 ,+25 ,+11 ,+1 ,0  ,0 
0.2848179 ,Right ,0  ,-6 ,+1 ,-6 ,-6 ,-3 ,-4 ,-3
0.3256427 ,Right ,+1 ,+4 ,+6 ,+6 ,+8 ,+2 ,+2 ,+1
0.3257305 ,Right ,0  ,-1 ,0  ,+4 ,+3 ,+1 ,0  ,+4
0.3278381 ,Right ,-5 ,-1 ,-1 ,-4 ,-3 ,-2 ,-2 ,-2
0.3278871 ,Right ,-1 ,-1 ,-4 ,-3 ,-1 ,-3 ,-4 ,-2
0.3302757 ,Right ,0  ,-6 ,-1 ,-7 ,-10 ,-1 ,0  ,-1
0.3303099 ,Right ,-4 ,+3 ,-2 ,+7 ,+4 ,+1 ,+1 ,+3
0.3310397 ,Right ,+2 ,0  ,+4 ,+6 ,+3 ,+1 ,0  ,-1
0.3311763 ,Right ,0  ,0  ,-2 ,+2 ,+2 ,-1 ,0  ,0 
0.3372505 ,Right ,-1 ,+2 ,-4 ,-8 ,-4 ,-1 ,-1 ,-1
0.3373339 ,Right ,-1 ,0  ,-3 ,-9 ,-9 ,-2 ,-3 ,-5
0.3461139 ,Right ,+1 ,-1 ,0  ,-1 ,+1 ,+1 ,0  ,0 
0.3461549 ,Right ,+2 ,+2 ,+2 ,0  ,+3 ,0  ,-1 ,0 
0.3563829 ,Right ,-2 ,-6 ,-3 ,+3 ,0  ,-2 ,-1 ,0 
0.3564336 ,Right ,+2 ,-6 ,-2 ,-7 ,-5 ,-2 ,0  ,+5
0.3673687 ,Right ,-2 ,+9 ,+1 ,+3 ,-2 ,-2 ,-1 ,-5
0.3673936 ,Right ,0  ,-2 ,-2 ,+4 ,-1 ,-2 ,-1 ,-1
0.3774349 ,Right ,+2 ,-2 ,-4 ,-1 ,+3 ,-1 ,0  ,-1
0.3774442 ,Right ,-2 ,-2 ,0  ,-16 ,-3 ,-1 ,+1 ,-4
0.3980559 ,Right ,+1 ,-5 ,-1 ,+20 ,+5 ,0  ,-3 ,0 
0.3980655 ,Right ,-1 ,-10 ,0  ,-8 ,-5 ,0  ,0  ,-1
0.3986321 ,Right ,-2 ,+8 ,+1 ,-1 ,-3 ,-1 ,-4 ,-3
0.3986687 ,Right ,+1 ,+1 ,0  ,+15 ,+6 ,+1 ,+1 ,+1
0.4128583 ,Right ,-3 ,-2 ,-2 ,-12 ,-4 ,-2 ,-1 ,-2
0.4129033 ,Right ,-3 ,-3 ,+2 ,+2 ,-2 ,-2 ,-2 ,-4
0.4135358 ,Right ,+2 ,-1 ,-3 ,-7 ,-3 ,-2 ,-3 ,-4
0.4135868 ,Right ,+1 ,+1 ,+1 ,-7 ,-3 ,-2 ,-3 ,-1
0.435593 ,Right ,-3 ,-3 ,+1 ,+4 ,-1 ,+2 ,+1 ,+2
0.4356013 ,Right ,+1 ,-1 ,0  ,-2 ,+2 ,0  ,+1 ,-1
0.4360853 ,Right ,-1 ,-5 ,-2 ,+5 ,+2 ,+1 ,-2 ,-1
0.4361385 ,Right ,-3 ,-3 ,+1 ,-6 ,-2 ,0  ,-1 ,-2
0.4578878 ,Right ,-1 ,-2 ,-3 ,-1 ,-4 ,-2 ,-1 ,-5
0.4579336 ,Right ,-1 ,-1 ,+1 ,+7 ,-1 ,0  ,-2 ,0 
0.4585351 ,Right ,-3 ,-1 ,0  ,0  ,+4 ,+2 ,+2 ,-1
0.4586402 ,Right ,+2 ,-2 ,0  ,+3 ,+2 ,-1 ,0  ,-1
0.4728481 ,Right ,-1 ,-3 ,-2 ,-9 ,-4 ,-2 ,0  ,+2
0.4729183 ,Right ,+4 ,0  ,-3 ,-9 ,-5 ,-3 ,0  ,+3
0.4736344 ,Right ,-1 ,+4 ,+2 ,+3 ,+1 ,-2 ,-1 ,-3
0.4737714 ,Right ,-2 ,-4 ,-2 ,-3 ,-2 ,-1 ,-4 ,-4
0.4953043 ,Right ,+2 ,-1 ,-4 ,+1 ,0  ,-1 ,+1 ,-4
0.495312 ,Right ,-3 ,-4 ,-2 ,-2 ,+4 ,-1 ,-2 ,-2
0.4960215 ,Right ,+1 ,-4 ,-3 ,+1 ,-1 ,0  ,0  ,0 
0.4960301 ,Right ,-4 ,+4 ,+2 ,-2 ,-4 ,-3 ,-1 ,-6
0.5178483 ,Right ,-2 ,+2 ,-3 ,-15 ,-7 ,-1 ,-2 ,0 
0.5178581 ,Right ,+1 ,-2 ,-2 ,+20 ,+7 ,+2 ,-1 ,-1
0.5185145 ,Right ,-5 ,-3 ,-1 ,-5 ,0  ,-1 ,+2 ,-2
0.5185593 ,Right ,-4 ,-3 ,-3 ,0  ,-1 ,0  ,-3 ,-3
0.5330752 ,Right ,-1 ,-4 ,0  ,-1 ,+1 ,+1 ,-2 ,+2
0.533086 ,Right ,-4 ,0  ,-2 ,-9 ,-1 ,+2 ,+3 ,-2
0.5337709 ,Right ,-1 ,-2 ,+1 ,+3 ,-5 ,-3 ,-1 ,-3
0.5338311 ,Right ,0  ,+5 ,0  ,-3 ,-1 ,-2 ,0  ,0 
0.5553787 ,Right ,+1 ,-5 ,-1 ,-4 ,-1 ,-2 ,-1 ,-1
0.5554912 ,Right ,-3 ,0  ,-1 ,+1 ,+1 ,-3 ,-2 ,-2
0.5561232 ,Right ,-2 ,-7 ,-2 ,-15 ,-7 ,-3 ,-3 ,-1
0.5561528 ,Right ,+4 ,+1 ,-1 ,+13 ,0  ,-3 ,0  ,-4
0.5779948 ,Right ,0  ,+1 ,0  ,-16 ,+2 ,+3 ,+1 ,+1
0.5780049 ,Right ,+2 ,+3 ,+6 ,+33 ,+8 ,+1 ,0  ,-1
0.578506 ,Right ,-3 ,-4 ,-4 ,-6 ,0  ,0  ,-3 ,-2
0.5786113 ,Right ,0  ,-10 ,-4 ,-5 ,-6 ,-3 ,0  ,+4
0.593157 ,Right ,0  ,+7 ,+2 ,-3 ,-6 ,-3 ,-1 ,0 
0.593167 ,Right ,-7 ,-2 ,-4 ,-16 ,-6 ,-2 ,-1 ,-1
0.5935533 ,Right ,+2 ,+6 ,-3 ,+3 ,+1 ,-3 ,0  ,0 
0.5935878 ,Right ,-2 ,-2 ,+1 ,-2 ,+1 ,+1 ,-1 ,0 
0.6155017 ,Right ,+1 ,-8 ,-3 ,-3 ,-3 ,-4 ,-2 ,-1
0.6155131 ,Right ,+1 ,0  ,+1 ,+8 ,+2 ,0  ,0  ,-1
0.6160471 ,Right ,+1 ,+1 ,+3 ,+8 ,+5 ,+2 ,0  ,+2
0.6160836 ,Right ,0  ,-1 ,0  ,-2 ,-1 ,-2 ,-1 ,-1
0.6376043 ,Right ,-3 ,0  ,-4 ,-1 ,-1 ,0  ,0  ,-1
0.6377282 ,Right ,+2 ,-3 ,0  ,-7 ,-4 ,+1 ,-3 ,0 
0.6456192 ,Right ,-1 ,+1 ,-2 ,0  ,-1 ,0  ,-2 ,+1
0.6456253 ,Right ,+4 ,+3 ,-2 ,0  ,-1 ,0  ,+1 ,0 
0.6527746 ,Right ,-2 ,-10 ,+2 ,+6 ,+1 ,-1 ,0  ,+3
0.6527833 ,Right ,0  ,0  ,-3 ,-11 ,-6 ,-4 ,-1 ,-3
0.6535092 ,Right ,0  ,-3 ,-3 ,-15 ,-8 ,-1 ,-1 ,+1
0.653572 ,Right ,-1 ,-1 ,-1 ,+11 ,+4 ,+1 ,-2 ,0 
0.6753535 ,Right ,+1 ,+2 ,+3 ,+16 ,+10 ,0  ,-1 ,-4
0.6753674 ,Right ,-4 ,0  ,-2 ,-10 ,-5 ,-1 ,-3 ,-1
0.6760152 ,Right ,-1 ,-5 ,+1 ,+2 ,-1 ,0  ,+1 ,-2
0.6760691 ,Right ,0  ,+7 ,0  ,-10 ,-7 ,-1 ,-1 ,-2
0.6978815 ,Right ,-6 ,-9 ,-9 ,-1 ,-1 ,-4 ,-3 ,-4
0.6979292 ,Right ,+3 ,-2 ,-1 ,-6 ,-2 ,-2 ,0  ,+1
0.6986678 ,Right ,-6 ,+6 ,+4 ,+1 ,0  ,-3 ,-3 ,-1
0.6986777 ,Right ,-1 ,-4 ,-3 ,+2 ,+1 ,-1 ,-2 ,-1
0.712158 ,Right ,+2 ,+2 ,-3 ,+3 ,-2 ,0  ,+2 ,-3
0.7121692 ,Right ,-1 ,0  ,-2 ,-4 ,+1 ,-2 ,0  ,+1
0.7204372 ,Right ,+2 ,0  ,-2 ,+1 ,0  ,0  ,+1 ,-3
0.720557 ,Right ,+2 ,+3 ,-1 ,-16 ,-10 ,-3 ,-1 ,+2
0.7353457 ,Right ,+5 ,+5 ,0  ,+17 ,+3 ,+1 ,-1 ,+4
0.7353911 ,Right ,-1 ,-3 ,+3 ,+6 ,+8 ,+4 ,+1 ,-1
0.7360203 ,Right ,-3 ,-3 ,-3 ,+3 ,0  ,-1 ,+1 ,0 
0.7360973 ,Right ,-1 ,-3 ,-2 ,-4 ,-1 ,-1 ,0  ,-2
0.7578529 ,Right ,-2 ,-2 ,-3 ,-22 ,-11 ,-3 ,-2 ,0 
0.7578917 ,Right ,+1 ,+1 ,+1 ,+2 ,-1 ,-1 ,+1 ,-3
0.7585179 ,Right ,0  ,+1 ,+2 ,+16 ,+6 ,+2 ,+1 ,0 
0.7586702 ,Right ,-1 ,-9 ,-2 ,+8 ,+9 ,+1 ,+2 ,-2
0.7723475 ,Right ,-1 ,+3 ,-3 ,-15 ,-7 ,-3 ,-4 ,+1
0.77236 ,Right ,+1 ,-4 ,-2 ,+4 ,-1 ,-2 ,-3 ,-3
0.7813761 ,Right ,+1 ,0  ,-1 ,-4 ,-3 ,-2 ,0  ,-3
