timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0033818 ,Left ,-2 ,-1 ,+10 ,+1 ,-1 ,-3 ,-2 ,+1
0.0185209 ,Left ,-2 ,-4 ,-17 ,-12 ,0  ,0  ,+1 ,-2
0.0185308 ,Left ,+2 ,+3 ,+14 ,+7 ,0  ,0  ,-3 ,-3
0.0264252 ,Left ,-2 ,-1 ,-6 ,-1 ,-5 ,+2 ,-1 ,-2
0.0264351 ,Left ,-3 ,-2 ,-1 ,-9 ,+2 ,0  ,-1 ,-2
0.0409596 ,Left ,+1 ,-5 ,-1 ,-1 ,-2 ,-2 ,-3 ,0 
0.0409699 ,Left ,-3 ,-4 ,-24 ,-17 ,-2 ,-1 ,+4 ,0 
0.0570525 ,Left ,0  ,-2 ,+1 ,+4 ,-1 ,-1 ,+1 ,+1
0.0570622 ,Left ,+3 ,+6 ,+13 ,0  ,0  ,-2 ,+1 ,+2
0.0633886 ,Left ,-4 ,-4 ,-1 ,+7 ,+3 ,-3 ,0  ,-6
0.0634647 ,Left ,+7 ,-1 ,-4 ,-5 ,-1 ,+2 ,+2 ,0 
0.0783289 ,Left ,-3 ,+2 ,+1 ,-7 ,-1 ,-2 ,-2 ,-1
0.0783993 ,Left ,-5 ,-4 ,-3 ,+3 ,+4 ,+5 ,+1 ,-1
0.0859105 ,Left ,+1 ,-2 ,-2 ,-5 ,0  ,-3 ,-1 ,+1
0.0861089 ,Left ,-5 ,-4 ,-4 ,0  ,-2 ,-5 ,-12 ,-5
0.1007668 ,Left ,+1 ,-1 ,+1 ,-1 ,0  ,+5 ,+3 ,+1
0.1008193 ,Left ,-2 ,-3 ,+8 ,+7 ,+2 ,+1 ,+3 ,+1
0.115965 ,Left ,+1 ,-3 ,-5 ,+3 ,0  ,-2 ,0  ,+1
0.1159736 ,Left ,-4 ,0  ,-2 ,-6 ,-4 ,-3 ,0  ,-1
0.1235775 ,Left ,-2 ,+3 ,+4 ,-1 ,+3 ,0  ,-5 ,-2
0.1235869 ,Left ,-2 ,-7 ,-11 ,-13 ,+2 ,-2 ,-7 ,+2
0.1383302 ,Left ,-3 ,+1 ,-3 ,+21 ,+2 ,0  ,+7 ,+2
0.1383739 ,Left ,0  ,+4 ,+9 ,-5 ,-2 ,-13 ,-17 ,-3
0.1458401 ,Left ,+1 ,+1 ,+8 ,+10 ,-15 ,+6 ,+12 ,-4
0.1458765 ,Left ,-3 ,-4 ,-1 ,-20 ,+3 ,+1 ,+3 ,0 
0.1608906 ,Left ,+3 ,+3 ,+5 ,+21 ,+11 ,-3 ,-7 ,0 
0.1609728 ,Left ,-2 ,0  ,+2 ,-12 ,-5 ,-3 ,-11 ,-2
0.1760411 ,Left ,-2 ,-7 ,-23 ,-57 ,-4 ,+5 ,+22 ,+3
0.1761564 ,Left ,0  ,-2 ,+7 ,+51 ,+1 ,-2 ,+7 ,+1
0.1833995 ,Left ,-3 ,-1 ,-8 ,-54 ,-27 ,-14 ,-20 ,-5
0.183409 ,Left ,0  ,0  ,+7 ,+38 ,+3 ,+16 ,+23 ,+3
0.1985251 ,Left ,+4 ,+1 ,+9 ,-25 ,+2 ,+17 ,+7 ,+3
0.1985352 ,Left ,0  ,-2 ,-9 ,-11 ,-2 ,-36 ,-39 ,-9
0.2058539 ,Left ,-2 ,-1 ,-3 ,-3 ,+9 ,+15 ,+32 ,+5
0.2060215 ,Left ,-2 ,-2 ,-1 ,-3 ,+3 ,-1 ,-8 ,-1
0.220914 ,Left ,+4 ,+4 ,+9 ,+19 ,+12 ,+6 ,+14 ,+3
0.2209262 ,Left ,-3 ,-1 ,-4 ,-17 ,-31 ,-28 ,-4 ,-4
0.2359688 ,Left ,-1 ,+1 ,+8 ,+26 ,+23 ,+15 ,+8 ,-1
0.2359771 ,Left ,-2 ,+2 ,-1 ,-7 ,-20 ,-7 ,-11 ,-6
0.2440865 ,Left ,-7 ,-6 ,-12 ,-3 ,+7 ,-5 ,-13 ,-6
0.2440955 ,Left ,+2 ,+2 ,+7 ,+6 ,+12 ,+24 ,+11 ,+4
0.2584103 ,Left ,0  ,+2 ,+5 ,+23 ,-21 ,-29 ,-26 ,-10
0.2584163 ,Left ,-2 ,-3 ,-11 ,-41 ,-5 ,+13 ,+11 ,+1
0.2659927 ,Left ,-3 ,-8 ,-12 ,-1 ,-9 ,-15 ,+13 ,+13
0.2660009 ,Left ,-1 ,+1 ,+10 ,+11 ,+15 ,-7 ,-31 ,-16
0.2808818 ,Left ,-5 ,-3 ,-4 ,-8 ,+18 ,+32 ,+16 ,+1
0.2808899 ,Left ,+1 ,-2 ,-7 ,-1 ,+7 ,+2 ,+21 ,+13
0.2958925 ,Left ,-1 ,+2 ,+3 ,-4 ,-19 ,-8 ,-8 ,-3
