timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0118699 ,Left ,-1 ,0  ,-2 ,0  ,-3 ,-1 ,0  ,-1
0.0127126 ,Left ,-2 ,-1 ,0  ,-1 ,-1 ,-2 ,-2 ,-1
0.0127686 ,Left ,-2 ,0  ,-1 ,0  ,-2 ,-3 ,0  ,-1
0.0338766 ,Left ,-1 ,0  ,-1 ,-1 ,-1 ,-1 ,0  ,0 
0.0338873 ,Left ,+1 ,-2 ,-2 ,-1 ,-1 ,+1 ,-1 ,0 
0.0353353 ,Left ,0  ,-1 ,-2 ,-2 ,-1 ,-1 ,-1 ,-1
0.035407 ,Left ,-2 ,-1 ,-2 ,0  ,-1 ,+1 ,-1 ,-1
0.0476826 ,Left ,-1 ,0  ,-1 ,-1 ,-2 ,0  ,0  ,-1
0.0477994 ,Left ,-1 ,-1 ,0  ,0  ,-1 ,-3 ,0  ,-2
0.0567196 ,Left ,-1 ,+1 ,0  ,0  ,-1 ,-1 ,-1 ,-3
0.0567344 ,Left ,-1 ,-2 ,-1 ,-2 ,0  ,-3 ,-1 ,0 
0.0715552 ,Left ,-1 ,-3 ,-1 ,0  ,-1 ,0  ,+1 ,0 
0.0717861 ,Left ,-1 ,-2 ,-3 ,-1 ,0  ,-1 ,0  ,-2
0.0728154 ,Left ,+1 ,-1 ,-1 ,-1 ,-1 ,-1 ,-2 ,0 
0.0728878 ,Left ,-2 ,-1 ,-1 ,-2 ,0  ,0  ,-2 ,-1
0.0938279 ,Left ,-1 ,-3 ,0  ,+1 ,+5 ,0  ,-2 ,0 
0.0939072 ,Left ,0  ,-1 ,-1 ,+1 ,-2 ,0  ,-2 ,-1
0.0954451 ,Left ,-1 ,-2 ,-1 ,-1 ,-4 ,-1 ,-2 ,-1
0.0954968 ,Left ,-1 ,-1 ,0  ,-2 ,-2 ,0  ,0  ,0 
0.1162505 ,Left ,-3 ,-2 ,-6 ,-10 ,-11 ,-2 ,+1 ,-1
0.1163024 ,Left ,-2 ,-1 ,0  ,-5 ,+6 ,0  ,0  ,-1
0.1177656 ,Left ,+1 ,+3 ,+8 ,+25 ,+23 ,+3 ,+1 ,+2
0.1178189 ,Left ,0  ,-1 ,+1 ,+3 ,-8 ,-6 ,0  ,-2
0.1334341 ,Left ,-1 ,+1 ,-1 ,+1 ,-2 ,-1 ,-2 ,-1
0.1334751 ,Left ,-2 ,-3 ,-5 ,-12 ,-6 ,+1 ,-1 ,-1
0.1335867 ,Left ,-2 ,-5 ,-9 ,-7 ,-20 ,-9 ,-2 ,-3
0.1336315 ,Left ,-1 ,-3 ,-2 ,-7 ,-17 ,+2 ,-2 ,-1
0.1545165 ,Left ,-1 ,+1 ,-1 ,-27 ,+7 ,-4 ,-2 ,-3
0.1545434 ,Left ,+1 ,+1 ,+2 ,+48 ,+14 ,+2 ,-1 ,0 
0.1556971 ,Left ,+1 ,0  ,+4 ,-10 ,+11 ,+7 ,0  ,0 
0.1557136 ,Left ,0  ,-1 ,-1 ,+6 ,-5 ,-2 ,+1 ,0 
0.1824959 ,Left ,-3 ,-1 ,-2 ,-5 ,-17 ,-3 ,-1 ,-2
0.182546 ,Left ,-1 ,-2 ,-7 ,-46 ,-11 ,-1 ,0  ,-1
0.1832993 ,Left ,-4 ,-4 ,-15 ,+19 ,-36 ,-17 ,-6 ,-4
0.1833129 ,Left ,-2 ,-3 ,+3 ,-17 ,+11 ,+1 ,-2 ,-3
0.1921525 ,Left ,+1 ,-1 ,+4 ,-3 ,+11 ,+10 ,+1 ,0 
0.1921655 ,Left ,0  ,+1 ,0  ,+69 ,+15 ,0  ,+1 ,+1
0.1938131 ,Left ,+5 ,+7 ,+9 ,+32 ,+45 ,+12 ,+6 ,+3
0.1938541 ,Left ,0  ,0  ,+17 ,-51 ,-26 ,-13 ,-3 ,-1
0.2165372 ,Left ,-3 ,-1 ,-6 ,+112 ,+9 ,+9 ,-2 ,-4
0.2165522 ,Left ,-3 ,+3 ,+13 ,-38 ,-38 ,-14 ,-3 ,-4
0.216779 ,Left ,-3 ,-9 ,-15 ,+78 ,+49 ,+7 ,+3 ,0 
0.2169211 ,Left ,+3 ,0  ,-22 ,-7 ,-1 ,-4 ,0  ,+3
0.2362653 ,Left ,+3 ,-2 ,+7 ,-88 ,-19 ,-7 ,-3 ,+1
0.2363082 ,Left ,-4 ,-6 ,+3 ,+30 ,-18 ,0  ,-2 ,+2
0.2377497 ,Left ,-6 ,0  ,+12 ,+12 ,-3 ,0  ,0  ,-7
0.2378377 ,Left ,+3 ,+4 ,-13 ,+6 ,+21 ,+2 ,+2 ,+1
0.2507095 ,Left ,-2 ,-4 ,-32 ,-95 ,-2 ,-6 ,-1 ,-1
0.2508013 ,Left ,-6 ,-10 ,-8 ,+58 ,-26 ,-7 ,-7 ,-9
0.2574238 ,Left ,-2 ,-3 ,+11 ,-128 ,-44 ,0  ,-4 ,-1
0.2574951 ,Left ,-2 ,-18 ,-42 ,+65 ,+28 ,0  ,-6 ,-5
0.2737139 ,Left ,+5 ,+14 ,+70 ,+25 ,+16 ,+10 ,+9 ,+4
0.2737744 ,Left ,+4 ,-6 ,-32 ,+20 ,+40 ,-3 ,+3 ,+15
0.2752167 ,Left ,-2 ,-1 ,+54 ,+23 ,-8 ,-8 ,-4 ,-17
0.2752792 ,Left ,-5 ,-5 ,-24 ,-123 ,-38 ,+3 ,-1 ,-3
0.2961546 ,Left ,-3 ,-1 ,-72 ,+15 ,+14 ,-6 ,-5 ,-5
0.2961719 ,Left ,+1 ,+14 ,+86 ,+21 ,-1 ,+5 ,-1 ,-3
0.297854 ,Left ,+2 ,-20 ,-96 ,-90 ,-22 ,-6 ,-4 ,+8
0.2980207 ,Left ,-4 ,+6 ,+51 ,+10 ,+6 ,-2 ,-2 ,-4
0.310542 ,Left ,+3 ,+6 ,+16 ,+83 ,+15 ,-1 ,+1 ,0 
0.3105987 ,Left ,-1 ,+7 ,-13 ,-57 ,-10 ,0  ,+1 ,-3
0.317711 ,Left ,+2 ,+3 ,-17 ,-4 ,+2 ,-6 ,0  ,+4
0.3178593 ,Left ,0  ,+1 ,-13 ,+31 ,+21 ,+7 ,0  ,0 
0.3338242 ,Left ,-3 ,-10 ,+2 ,+23 ,-29 ,-7 ,-4 ,+2
0.3338818 ,Left ,+1 ,-8 ,-41 ,-48 ,+1 ,-5 ,-2 ,-2
0.3354604 ,Left ,-6 ,+4 ,+45 ,+8 ,-3 ,+2 ,-1 ,-7
0.3354745 ,Left ,+3 ,+3 ,0  ,+56 ,+12 ,+7 ,+7 ,+8
0.3562876 ,Left ,0  ,0  ,+16 ,-15 ,+51 ,+6 ,-1 ,-3
0.3563587 ,Left ,+3 ,0  ,-20 ,-26 ,-19 ,-4 ,+1 ,-4
0.3577088 ,Left ,0  ,+2 ,-5 ,-16 ,-13 ,-8 ,-2 ,-1
0.357755 ,Left ,-3 ,+1 ,+19 ,+32 ,+4 ,+4 ,+1 ,-2
0.3704623 ,Left ,-1 ,-2 ,+8 ,+3 ,+9 ,-3 ,-1 ,+1
0.3705285 ,Left ,0  ,+3 ,0  ,-9 ,+5 ,+4 ,+1 ,+2
0.3772597 ,Left ,-2 ,-3 ,-18 ,-3 ,-13 ,+2 ,-3 ,+1
0.3773109 ,Left ,-3 ,-3 ,+5 ,-37 ,-23 ,-10 ,-2 ,-2
0.3941428 ,Left ,-3 ,-6 ,-18 ,-6 ,-27 ,-5 ,-6 ,-3
0.3941545 ,Left ,0  ,-1 ,+5 ,-25 ,0  ,+3 ,-1 ,-2
0.3953046 ,Left ,+1 ,+6 ,+21 ,+64 ,+41 ,+6 ,+4 ,+1
0.3954818 ,Left ,-1 ,+2 ,-1 ,+10 ,+9 ,-1 ,-2 ,+1
0.4162682 ,Left ,-2 ,-6 ,-7 ,-36 ,-19 ,-3 ,0  ,-3
0.4162829 ,Left ,-1 ,-5 ,-12 ,-4 ,+3 ,-6 ,-2 ,-5
0.4177191 ,Left ,0  ,+5 ,+12 ,-2 ,-20 ,-1 ,-1 ,+2
0.4177784 ,Left ,+1 ,+1 ,+2 ,+14 ,+3 ,-1 ,0  ,0 
0.4352889 ,Left ,-2 ,-2 ,0  ,-3 ,+6 ,0  ,-1 ,-2
0.4353049 ,Left ,-2 ,0  ,+7 ,+10 ,+23 ,+3 ,-1 ,-2
0.4373563 ,Left ,-1 ,-3 ,-10 ,-4 ,-24 ,-1 ,-2 ,0 
0.4374039 ,Left ,-1 ,-2 ,-7 ,-9 ,-19 ,-5 ,-2 ,-1
0.4536948 ,Left ,-5 ,+1 ,+10 ,+15 ,-2 ,-3 ,-3 ,-9
0.4538257 ,Left ,0  ,-2 ,-3 ,-19 ,-26 ,+2 ,+1 ,+2
0.4552665 ,Left ,-2 ,+1 ,-5 ,-11 ,+27 ,-7 ,-5 ,-3
0.4553333 ,Left ,+3 ,+2 ,+10 ,+18 ,-34 ,-9 ,+2 ,+4
0.4762192 ,Left ,-1 ,-2 ,-6 ,-8 ,+2 ,+5 ,+1 ,+1
0.4762708 ,Left ,-2 ,0  ,0  ,+1 ,+2 ,-2 ,-3 ,-3
0.479133 ,Left ,0  ,-3 ,-9 ,-16 ,-17 ,-8 ,+2 ,+2
0.4791486 ,Left ,-6 ,-2 ,+4 ,-10 ,-12 ,-2 ,-4 ,-7
0.4905122 ,Left ,-1 ,+1 ,+4 ,+19 ,+29 ,+13 ,+1 ,-2
0.490564 ,Left ,0  ,0  ,+2 ,+7 ,+16 ,+15 ,+3 ,+1
0.5048444 ,Left ,0  ,0  ,+2 ,+5 ,-4 ,-5 ,0  ,0 
0.5049167 ,Left ,0  ,-1 ,-4 ,-3 ,+12 ,-2 ,+19 ,+2
0.5168144 ,Left ,-2 ,-2 ,-2 ,-1 ,-14 ,-14 ,-22 ,-3
0.5168293 ,Left ,-5 ,-3 ,0  ,-6 ,+2 ,+28 ,+3 ,-3
0.5169943 ,Left ,-2 ,-2 ,-6 ,-1 ,+2 ,-3 ,-17 ,-3
0.5170071 ,Left ,0  ,+1 ,+3 ,+1 ,+1 ,-41 ,+4 ,-1
0.5362728 ,Left ,+2 ,-1 ,-4 ,-3 ,-8 ,+9 ,+18 ,+3
0.5363132 ,Left ,-2 ,-3 ,-4 ,-8 ,-13 ,+4 ,0  ,-2
0.5378233 ,Left ,-3 ,-3 ,-1 ,+8 ,-1 ,+13 ,-3 ,-4
0.5379102 ,Left ,0  ,0  ,0  ,+5 ,+6 ,+5 ,-2 ,+2
0.5520453 ,Left ,+1 ,0  ,-2 ,-8 ,-4 ,0  ,+4 ,+3
0.5520992 ,Left ,-7 ,-2 ,+2 ,+10 ,+5 ,-23 ,-22 ,-5
0.5666658 ,Left ,+3 ,+3 ,+2 ,+4 ,+11 ,+7 ,+56 ,+12
0.5666873 ,Left ,-6 ,-8 ,-10 ,-16 ,-16 ,-10 ,-40 ,-17
0.5741938 ,Left ,0  ,-3 ,-3 ,-11 ,-18 ,-15 ,-20 ,-5
0.5742098 ,Left ,+2 ,+3 ,+6 ,+18 ,+20 ,-6 ,-22 ,+8
0.5766509 ,Left ,-4 ,-4 ,-3 ,+4 ,-3 ,-18 ,+20 ,-2
0.576663 ,Left ,-1 ,-1 ,-2 ,-1 ,+13 ,+83 ,+4 ,-6
0.5961095 ,Left ,-2 ,-3 ,-5 ,-5 ,-14 ,-75 ,+26 ,+7
0.5961241 ,Left ,-4 ,-4 ,-6 ,-13 ,-1 ,+83 ,-5 ,-11
0.5980177 ,Left ,+3 ,+1 ,+2 ,+3 ,+6 ,-70 ,+2 ,-4
0.5981141 ,Left ,0  ,-2 ,-2 ,-4 ,-13 ,-17 ,+2 ,+2
0.6098043 ,Left ,+4 ,+4 ,+1 ,+5 ,+2 ,+26 ,+54 ,+15
0.6098686 ,Left ,0  ,-1 ,+1 ,-8 ,0  ,+5 ,-23 ,-2
0.6188543 ,Left ,-2 ,+4 ,+6 ,+8 ,-5 ,-37 ,-8 ,-1
0.6189515 ,Left ,-10 ,-7 ,-7 ,-11 ,+12 ,+53 ,-41 ,-17
0.6362098 ,Left ,-5 ,-1 ,-4 ,-8 ,-19 ,-5 ,-11 ,-6
0.6362236 ,Left ,+2 ,-4 ,-4 ,-2 ,+12 ,+12 ,+23 ,+8
0.636495 ,Left ,+5 ,+2 ,+4 ,+6 ,+2 ,+51 ,-7 ,+13
0.6365415 ,Left ,-3 ,+1 ,+3 ,+9 ,+8 ,-26 ,-34 ,-10
0.656198 ,Left ,+3 ,+2 ,+5 ,+10 ,+11 ,-46 ,+13 ,+4
0.656217 ,Left ,-2 ,-3 ,-3 ,-10 ,-19 ,-35 ,-28 ,-9
0.6576793 ,Left ,-3 ,-5 ,-8 ,-11 ,-10 ,-29 ,-49 ,-3
0.6577362 ,Left ,+1 ,0  ,-1 ,-2 ,+5 ,+42 ,+16 ,+2
0.6698871 ,Left ,0  ,-2 ,+1 ,-1 ,+11 ,+3 ,-9 ,-1
0.6699014 ,Left ,-5 ,-4 ,-7 ,-13 ,-27 ,-56 ,-14 ,-6
0.6787549 ,Left ,-4 ,+1 ,0  ,+2 ,+9 ,0  ,+13 ,-7
