timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
2.3514752 ,Left ,-3 ,-2 ,0  ,+14 ,+51 ,+31 ,-1 ,-2
2.3515303 ,Left ,+1 ,+8 ,+9 ,+10 ,+9 ,-13 ,0  ,-1
2.3589482 ,Left ,-1 ,-6 ,-7 ,-10 ,-29 ,-9 ,-3 ,-1
2.3590963 ,Left ,-3 ,+3 ,-1 ,-6 ,-47 ,-37 ,-5 ,-2
2.3664941 ,Left ,+1 ,0  ,-4 ,+5 ,+68 ,+44 ,+3 ,+1
2.3665961 ,Left ,0  ,-3 ,-2 ,-10 ,-46 ,-14 ,-4 ,-2
2.3822361 ,Left ,0  ,+1 ,-2 ,0  ,-3 ,+10 ,-1 ,-1
2.3822748 ,Left ,+1 ,-10 ,-4 ,-10 ,-25 ,-4 ,-10 ,-3
2.3889697 ,Left ,0  ,+13 ,-6 ,-7 ,-49 ,-37 ,-5 ,0 
2.3889928 ,Left ,-2 ,-10 ,-1 ,+10 ,+82 ,+37 ,+6 ,+1
2.4039397 ,Left ,-3 ,+2 ,+3 ,+3 ,+21 ,+6 ,-2 ,+1
2.4039616 ,Left ,0  ,+7 ,+2 ,-6 ,-49 ,-22 ,-4 ,0 
2.4190321 ,Left ,0  ,+5 ,-1 ,+3 ,+12 ,+13 ,0  ,-1
2.4190699 ,Left ,+1 ,-6 ,-3 ,-25 ,-36 ,-2 ,+2 ,-1
2.4279684 ,Left ,-3 ,+5 ,+2 ,+8 ,-36 ,-10 ,-3 ,-2
2.4280075 ,Left ,+2 ,-19 ,-8 ,+4 ,+55 ,+25 ,0  ,-1
2.433931 ,Left ,0  ,-7 ,0  ,-2 ,-15 ,-10 ,+1 ,0 
2.4339723 ,Left ,0  ,+1 ,-7 ,-14 ,-18 ,-24 ,-5 ,+1
2.4489977 ,Left ,-3 ,+1 ,-3 ,+7 ,-14 ,+39 ,+5 ,-1
2.4490379 ,Left ,-1 ,+22 ,+6 ,-5 ,-17 ,-9 ,-2 ,0 
2.4565406 ,Left ,+1 ,-14 ,+3 ,+3 ,-6 ,0  ,-2 ,-1
2.4565668 ,Left ,-4 ,-3 ,-3 ,+1 ,-34 ,-18 ,-7 ,-3
2.4713049 ,Left ,-1 ,-4 ,-1 ,-9 ,+69 ,-10 ,-6 ,-1
2.4713289 ,Left ,0  ,0  ,+1 ,+3 ,-1 ,+24 ,+4 ,0 
2.4788551 ,Left ,+2 ,+6 ,+4 ,-4 ,+12 ,+17 ,+2 ,+1
2.4789192 ,Left ,-6 ,+1 ,-8 ,-9 ,0  ,+1 ,-2 ,-3
2.4863366 ,Left ,0  ,-8 ,+10 ,-5 ,-54 ,-23 ,-3 ,-1
2.4863585 ,Left ,+1 ,0  ,+3 ,+8 ,+59 ,+2 ,-4 ,-1
2.5016662 ,Left ,0  ,+3 ,-5 ,+1 ,-25 ,-10 ,-4 ,-2
2.5017148 ,Left ,-1 ,-10 ,-2 ,+8 ,+58 ,+15 ,+4 ,+1
2.5091523 ,Left ,-9 ,-4 ,-18 ,-17 ,-49 ,-5 ,-2 ,-3
2.5091919 ,Left ,-2 ,+7 ,+13 ,+1 ,+5 ,+38 ,+2 ,-2
2.5239766 ,Left ,+1 ,+12 ,+7 ,+2 ,-16 ,-18 ,-3 ,0 
2.5240131 ,Left ,+17 ,-3 ,-6 ,-2 ,+2 ,-1 ,+1 ,+20
2.5316412 ,Left ,-29 ,+22 ,+7 ,+5 ,-9 ,0  ,-4 ,-22
2.5316915 ,Left ,-4 ,+2 ,-16 ,-15 ,+2 ,-6 ,0  ,0 
2.5391214 ,Left ,+2 ,-12 ,+11 ,+4 ,-36 ,-7 ,-1 ,-4
2.5391613 ,Left ,-5 ,+3 ,+5 ,+5 ,+35 ,+13 ,-4 ,-6
2.5465214 ,Left ,+9 ,-1 ,0  ,+4 ,+5 ,+2 ,0  ,+4
2.5465637 ,Left ,-2 ,-9 ,-8 ,-6 ,+46 ,+8 ,+2 ,-1
2.5614087 ,Left ,-5 ,0  ,-1 ,+4 ,-62 ,-1 ,0  ,-2
2.5614307 ,Left ,-3 ,-5 ,-6 ,-2 ,+18 ,-10 ,-5 ,-2
2.5692628 ,Left ,+10 ,+8 ,+7 ,+7 ,-5 ,+5 ,+2 ,+8
2.5693019 ,Left ,-3 ,+12 ,+1 ,-12 ,-39 ,0  ,-3 ,-4
2.5840194 ,Left ,-1 ,-3 ,-9 ,-2 ,+20 ,-19 ,-6 ,+3
2.5840584 ,Left ,-7 ,-6 ,-7 ,-5 ,-23 ,+1 ,-2 ,-5
2.5915329 ,Left ,+4 ,0  ,+4 ,+20 ,+66 ,+6 ,+1 ,+1
2.5915727 ,Left ,-2 ,0  ,-5 ,-11 ,-30 ,+2 ,+2 ,+1
2.6005222 ,Left ,0  ,-2 ,-2 ,-9 ,+10 ,-2 ,0  ,0 
2.600563 ,Left ,+1 ,+15 ,+11 ,-2 ,-12 ,-21 ,+1 ,-3
2.6065345 ,Left ,-4 ,+3 ,-1 ,-6 ,-7 ,+2 ,0  ,-1
2.6065741 ,Left ,+2 ,-21 ,-6 ,+5 ,-19 ,-12 ,-3 ,-1
2.6215092 ,Left ,-3 ,-7 ,-5 ,+2 ,+11 ,+6 ,+2 ,-3
2.6215475 ,Left ,-6 ,+1 ,-5 ,-6 ,+20 ,0  ,+3 ,-4
2.629323 ,Left ,+2 ,-11 ,-7 ,-12 ,-68 ,+12 ,+2 ,0 
2.6295368 ,Left ,0  ,+8 ,+16 ,+36 ,+56 ,+13 ,+4 ,+1
2.6442487 ,Left ,-2 ,-2 ,-6 ,-8 ,-12 ,-1 ,-1 ,-2
2.6442872 ,Left ,0  ,-6 ,+1 ,+2 ,-16 ,+3 ,-2 ,0 
2.6515547 ,Left ,+2 ,+1 ,+1 ,-2 ,+67 ,-10 ,-4 ,+1
2.6515919 ,Left ,-1 ,+1 ,0  ,-10 ,-50 ,-6 ,-1 ,0 
2.6591355 ,Left ,+1 ,-4 ,-1 ,-2 ,-13 ,-4 ,-1 ,0 
2.6591764 ,Left ,0  ,+4 ,+6 ,+2 ,-1 ,0  ,0  ,-1
2.6665779 ,Left ,-1 ,-11 ,-4 ,+6 ,+42 ,0  ,-2 ,0 
2.6666197 ,Left ,-3 ,+4 ,-2 ,-7 ,-18 ,+1 ,-1 ,-1
2.6815205 ,Left ,0  ,-4 ,-4 ,+3 ,+27 ,0  ,-2 ,+2
2.6815901 ,Left ,-3 ,-2 ,-4 ,-10 ,-26 ,-2 ,-2 ,-3
2.6963982 ,Left ,-4 ,-3 ,-1 ,+9 ,+11 ,-2 ,-1 ,-3
2.6964847 ,Left ,0  ,-6 ,+1 ,-3 ,+4 ,-5 ,0  ,+1
2.7115897 ,Left ,-1 ,0  ,-2 ,-10 ,+34 ,-7 ,-5 ,-4
2.7116291 ,Left ,-1 ,-3 ,+1 ,+2 ,-18 ,-2 ,-1 ,-1
2.7189447 ,Left ,0  ,-2 ,-1 ,+5 ,+5 ,+7 ,+2 ,+3
2.7189824 ,Left ,0  ,+4 ,-11 ,-11 ,-16 ,-1 ,0  ,+1
2.7266104 ,Left ,-3 ,-6 ,-4 ,-2 ,-1 ,0  ,-2 ,-2
2.7266481 ,Left ,+2 ,+8 ,+11 ,+18 ,+12 ,+4 ,-1 ,-1
2.7339187 ,Left ,-1 ,-4 ,-2 ,-7 ,-6 ,-12 ,-4 ,-2
2.7339646 ,Left ,-1 ,-1 ,+1 ,+4 ,-27 ,+1 ,-1 ,-1
2.7491987 ,Left ,-3 ,-6 ,-6 ,-15 ,0  ,0  ,-4 ,-4
2.7492363 ,Left ,0  ,+2 ,-3 ,0  ,+3 ,+2 ,+2 ,-1
2.7639461 ,Left ,-4 ,-1 ,+1 ,+9 ,+43 ,+7 ,+2 ,+2
2.7639682 ,Left ,-3 ,-7 ,-3 ,-6 ,-32 ,0  ,-1 ,-1
2.7712817 ,Left ,-3 ,-1 ,-4 ,-9 ,+27 ,-4 ,0  ,0 
2.7713421 ,Left ,-1 ,-1 ,+1 ,+3 ,+26 ,+9 ,0  ,-1
2.7789029 ,Left ,-1 ,+1 ,+3 ,+4 ,-20 ,-1 ,-1 ,0 
2.7789423 ,Left ,-1 ,-2 ,0  ,+2 ,-12 ,-6 ,+1 ,+1
