timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
16.1878706 ,Left ,-2 ,-3 ,-4 ,-6 ,-11 ,+22 ,+2 ,-2
16.1953729 ,Left ,0  ,-1 ,+4 ,+6 ,+4 ,-5 ,+11 ,+5
16.1953813 ,Left ,-2 ,-4 ,-2 ,-5 ,+17 ,-44 ,-4 ,-1
16.2110839 ,Left ,-2 ,-1 ,-2 ,-1 ,+6 ,+8 ,-3 ,-5
16.21113 ,Left ,-2 ,-3 ,-4 ,-3 ,-12 ,-40 ,-7 ,-3
16.2255339 ,Left ,+3 ,+3 ,0  ,+5 ,+38 ,+29 ,+6 ,+1
16.2257046 ,Left ,-2 ,-1 ,-1 ,+2 ,-19 ,-15 ,-5 ,-4
16.2329046 ,Left ,-2 ,-5 ,-5 ,0  ,-14 ,+14 ,-2 ,-3
16.2329126 ,Left ,+1 ,-1 ,+8 ,+7 ,-15 ,-4 ,+3 ,+4
16.2478919 ,Left ,-1 ,+1 ,-6 ,-8 ,+17 ,+13 ,+1 ,-1
16.24796 ,Left ,-2 ,0  ,-9 ,-7 ,-32 ,-6 ,-8 ,-6
16.2554346 ,Left ,-1 ,-3 ,0  ,+4 ,+18 ,-24 ,+10 ,+4
16.2554539 ,Left ,-5 ,-5 ,-8 ,-9 ,-9 ,+22 ,-5 ,-5
16.2704048 ,Left ,+3 ,+2 ,+3 ,+5 ,+2 ,-21 ,-5 ,+2
16.2704729 ,Left ,+1 ,-4 ,0  ,+7 ,+45 ,+15 ,+15 ,+4
16.2777442 ,Left ,-1 ,0  ,+2 ,-2 ,-11 ,+7 ,-5 ,-2
16.2777524 ,Left ,+2 ,+1 ,-1 ,-4 ,-11 ,-1 ,+5 ,+5
16.2928108 ,Left ,-2 ,-4 ,-2 ,-3 ,-5 ,+2 ,-2 ,-1
16.2928645 ,Left ,0  ,0  ,+6 ,0  ,-12 ,+4 ,+5 ,-5
16.3079506 ,Left ,+1 ,-1 ,-3 ,+6 ,+29 ,-11 ,+4 ,+8
16.308023 ,Left ,-5 ,-5 ,-5 ,0  ,+2 ,-9 ,+12 ,-4
16.3153619 ,Left ,-2 ,+3 ,+3 ,0  ,-40 ,-17 ,-25 ,-2
16.3153704 ,Left ,-1 ,+2 ,-7 ,-3 ,+25 ,+18 ,-8 ,-4
16.3302703 ,Left ,-3 ,-1 ,-1 ,-3 ,-9 ,-81 ,+11 ,+3
16.3303427 ,Left ,-1 ,-1 ,+2 ,+1 ,+1 ,+32 ,-2 ,0 
16.3454273 ,Left ,-2 ,-2 ,+2 ,+3 ,-5 ,-5 ,-2 ,-3
16.3454849 ,Left ,0  ,0  ,0  ,+3 ,+13 ,+2 ,-3 ,+2
16.3528888 ,Left ,-1 ,-2 ,-2 ,-7 ,-17 ,+18 ,+4 ,-3
16.3529561 ,Left ,+2 ,+1 ,-3 ,-4 ,+13 ,+1 ,-3 ,0 
