timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0062541 ,Left ,0  ,-2 ,-1 ,-2 ,-1 ,0  ,-3 ,-1
0.0156014 ,Left ,-3 ,-1 ,-3 ,-2 ,-2 ,-1 ,-1 ,+1
0.0156413 ,Left ,0  ,-1 ,-1 ,+1 ,+2 ,-1 ,-1 ,-3
0.0208131 ,Left ,-1 ,0  ,-1 ,-6 ,-6 ,0  ,-1 ,-1
0.0208536 ,Left ,-2 ,0  ,0  ,0  ,-3 ,-1 ,-1 ,-1
0.0369115 ,Left ,-2 ,0  ,-2 ,-2 ,-2 ,-1 ,-1 ,-2
0.0369506 ,Left ,-2 ,-1 ,-1 ,-2 ,0  ,0  ,0  ,-2
0.0430709 ,Left ,0  ,-1 ,-1 ,-1 ,0  ,-2 ,0  ,0 
0.0431615 ,Left ,-3 ,-2 ,-1 ,0  ,+2 ,0  ,-1 ,+1
0.0509174 ,Left ,-2 ,-1 ,0  ,-2 ,-1 ,-1 ,-1 ,+1
0.0509658 ,Left ,0  ,-1 ,0  ,0  ,-1 ,0  ,0  ,-2
0.0582388 ,Left ,-1 ,-1 ,-2 ,-1 ,-2 ,-1 ,-2 ,-1
0.0582854 ,Left ,0  ,-1 ,0  ,-2 ,-1 ,-1 ,-1 ,-3
0.0656981 ,Left ,0  ,0  ,-2 ,+1 ,+2 ,0  ,-1 ,-1
0.0657394 ,Left ,-1 ,-1 ,-2 ,-1 ,-2 ,0  ,-1 ,0 
0.0730718 ,Left ,+1 ,-2 ,0  ,-3 ,-1 ,-1 ,-1 ,-2
0.0730964 ,Left ,+1 ,-1 ,-2 ,-1 ,-1 ,-2 ,0  ,-1
0.0882461 ,Left ,0  ,-1 ,-2 ,+1 ,-2 ,-1 ,-1 ,-1
0.0882931 ,Left ,-1 ,-3 ,-1 ,0  ,-1 ,0  ,-1 ,-2
0.0961989 ,Left ,-1 ,-1 ,-2 ,+3 ,+1 ,-1 ,-1 ,+1
0.0962379 ,Left ,-1 ,-1 ,-2 ,-2 ,-4 ,-1 ,-2 ,-1
0.1189058 ,Left ,+1 ,-1 ,-1 ,-2 ,-1 ,-1 ,0  ,-2
0.1190341 ,Left ,-1 ,-1 ,-1 ,-2 ,-2 ,-2 ,0  ,0 
0.1190722 ,Left ,-1 ,-2 ,-1 ,-2 ,-1 ,-2 ,-1 ,-2
0.1191588 ,Left ,0  ,-1 ,-1 ,0  ,+2 ,-1 ,0  ,0 
0.1268788 ,Left ,0  ,-2 ,0  ,+1 ,-2 ,-1 ,0  ,-1
0.1269233 ,Left ,0  ,0  ,0  ,-1 ,-1 ,-2 ,-1 ,-1
0.1342311 ,Left ,-1 ,-1 ,0  ,+1 ,-2 ,-3 ,-2 ,-1
0.1342693 ,Left ,-2 ,0  ,-1 ,-2 ,-2 ,-1 ,-1 ,-1
0.1482098 ,Left ,-2 ,-1 ,-2 ,-2 ,-2 ,0  ,-3 ,-1
0.1482522 ,Left ,-1 ,-1 ,-1 ,-1 ,0  ,-1 ,-2 ,-1
0.1556145 ,Left ,-1 ,-1 ,-2 ,0  ,+1 ,-1 ,+1 ,-2
0.1556565 ,Left ,0  ,-2 ,-2 ,+2 ,-1 ,-2 ,0  ,0 
0.1707076 ,Left ,-1 ,0  ,0  ,-1 ,-1 ,-2 ,-1 ,-1
0.1708158 ,Left ,-1 ,0  ,0  ,+1 ,0  ,-2 ,-2 ,0 
0.1784189 ,Left ,+1 ,-1 ,-3 ,-1 ,-2 ,-2 ,-1 ,-4
0.1785025 ,Left ,-2 ,-1 ,-2 ,0  ,+1 ,-1 ,0  ,0 
0.1857325 ,Left ,-2 ,-2 ,-2 ,-5 ,-3 ,-1 ,-3 ,-2
0.1857734 ,Left ,-2 ,0  ,-2 ,-2 ,0  ,0  ,-2 ,-1
0.1930762 ,Left ,0  ,+1 ,+1 ,0  ,-1 ,0  ,-1 ,-1
0.1932444 ,Left ,-1 ,-1 ,+1 ,-1 ,-3 ,-2 ,+1 ,-1
0.2079571 ,Left ,-1 ,-1 ,-2 ,+1 ,-1 ,-1 ,-1 ,-1
0.2079962 ,Left ,-1 ,0  ,-3 ,-4 ,-2 ,-2 ,-1 ,0 
0.2157416 ,Left ,-1 ,0  ,-1 ,0  ,-1 ,-1 ,-3 ,-1
0.2157864 ,Left ,0  ,0  ,+1 ,-3 ,-3 ,-2 ,-2 ,-1
0.2306722 ,Left ,-1 ,-1 ,-1 ,0  ,0  ,-2 ,0  ,-3
0.2307076 ,Left ,-1 ,0  ,-1 ,-1 ,0  ,+1 ,-1 ,-1
0.2384464 ,Left ,-1 ,-1 ,-1 ,-2 ,-4 ,0  ,-1 ,-1
0.2384903 ,Left ,-2 ,+1 ,-1 ,+1 ,-1 ,0  ,-2 ,0 
0.2461459 ,Left ,-1 ,0  ,+1 ,-3 ,-1 ,-3 ,-1 ,+1
0.2461897 ,Left ,-2 ,-2 ,-1 ,+1 ,0  ,-2 ,0  ,0 
0.256459 ,Left ,0  ,-3 ,-2 ,-1 ,+1 ,-1 ,-2 ,0 
0.2565014 ,Left ,-1 ,-4 ,-1 ,0  ,-2 ,-1 ,-1 ,-1
0.26941 ,Left ,-2 ,-1 ,-1 ,+1 ,+1 ,0  ,-1 ,-1
0.2694518 ,Left ,0  ,-1 ,0  ,-2 ,-2 ,0  ,+1 ,-1
0.2758023 ,Left ,0  ,-1 ,+1 ,0  ,0  ,0  ,-1 ,-1
0.2758417 ,Left ,-1 ,-2 ,+1 ,-1 ,+1 ,0  ,-3 ,-2
