timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0122804 ,Left ,+7 ,+5 ,-23 ,-26 ,+6 ,+6 ,+9 ,+8
0.0195114 ,Left ,0  ,-4 ,+3 ,-13 ,-3 ,+1 ,+5 ,+3
0.0195342 ,Left ,-4 ,-5 ,-3 ,-6 ,-2 ,-2 ,-9 ,-5
0.0269491 ,Left ,0  ,+3 ,-10 ,-6 ,+2 ,-2 ,-4 ,+2
0.0269759 ,Left ,-4 ,-3 ,-4 ,+5 ,-5 ,-5 ,-1 ,-1
0.0418824 ,Left ,-4 ,-2 ,-9 ,-13 ,-2 ,0  ,-1 ,-3
0.0418998 ,Left ,-4 ,-6 ,+7 ,0  ,-4 ,-3 ,+2 ,-9
0.0495547 ,Left ,+6 ,+2 ,-2 ,+11 ,+4 ,+4 ,+5 ,+12
0.0495724 ,Left ,-2 ,+2 ,+6 ,+9 ,+1 ,-3 ,-6 ,-4
0.0644348 ,Left ,-2 ,-1 ,+18 ,+31 ,-4 ,-4 ,-2 ,-1
0.0644743 ,Left ,+3 ,+2 ,-19 ,-6 ,+2 ,+2 ,+2 ,-1
0.0719898 ,Left ,-6 ,-2 ,+15 ,+28 ,-3 ,-7 ,-3 ,-5
0.072063 ,Left ,0  ,-2 ,-23 ,-52 ,+1 ,0  ,-1 ,-1
0.083497 ,Left ,-3 ,-4 ,+21 ,+29 ,-4 ,-7 ,-2 ,-3
0.0835202 ,Left ,-2 ,-2 ,+5 ,+4 ,-2 ,+5 ,-2 ,-1
0.0886134 ,Left ,0  ,0  ,-11 ,-6 ,+2 ,+5 ,-2 ,-3
0.0886403 ,Left ,-1 ,-1 ,+7 ,+14 ,-5 ,-9 ,+2 ,-1
0.1095492 ,Left ,-1 ,+2 ,-6 ,-10 ,+2 ,+3 ,+2 ,+1
0.1095789 ,Left ,-2 ,-1 ,+12 ,+14 ,-1 ,-6 ,-4 ,-1
0.1171673 ,Left ,0  ,-2 ,-31 ,-45 ,-4 ,0  ,-1 ,+2
0.1172019 ,Left ,+3 ,+4 ,-7 ,-12 ,+11 ,+13 ,+4 ,+3
0.1320701 ,Left ,-1 ,-1 ,-2 ,0  ,-2 ,-3 ,-2 ,+1
0.1320883 ,Left ,0  ,0  ,0  ,+4 ,-2 ,-3 ,0  ,0 
0.1395479 ,Left ,-4 ,-6 ,+13 ,+21 ,-4 ,+1 ,-3 ,-6
0.1395694 ,Left ,0  ,-2 ,0  ,-6 ,+1 ,-9 ,-2 ,-1
0.1471846 ,Left ,+1 ,0  ,-16 ,-16 ,-2 ,-3 ,-2 ,-1
0.1472075 ,Left ,0  ,+1 ,0  ,+4 ,+3 ,+7 ,0  ,+1
0.1545229 ,Left ,-4 ,-3 ,-3 ,-5 ,-4 ,-3 ,-3 ,-4
0.1545491 ,Left ,+3 ,+1 ,-13 ,-16 ,+1 ,-11 ,+2 ,+1
0.1619751 ,Left ,-3 ,-3 ,+3 ,+7 ,-2 ,+7 ,-3 ,-3
0.1621553 ,Left ,+2 ,-2 ,-4 ,-6 ,-4 ,-14 ,+3 ,+2
0.169547 ,Left ,-2 ,-1 ,+8 ,+11 ,+4 ,-2 ,+3 ,-1
0.1696449 ,Left ,-2 ,-2 ,0  ,+10 ,-2 ,+3 ,-3 ,-3
0.1843832 ,Left ,0  ,+1 ,+8 ,+6 ,+13 ,+8 ,+1 ,0 
0.1844503 ,Left ,-3 ,-4 ,-1 ,-2 ,-23 ,-17 ,-8 ,-3
0.1920142 ,Left ,0  ,+1 ,-4 ,-12 ,+3 ,+2 ,-4 ,-1
0.1920332 ,Left ,-4 ,-3 ,+6 ,+12 ,-8 ,-17 ,-2 ,-1
0.1997248 ,Left ,-1 ,0  ,-8 ,-12 ,+4 ,+23 ,+1 ,0 
0.1998691 ,Left ,+2 ,+4 ,-3 ,+2 ,+15 ,+3 ,+2 ,+3
