timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0099071 ,Right ,-11 ,+7 ,-1 ,-41 ,-35 ,-14 ,-17 ,+1
0.0099577 ,Right ,+3 ,-47 ,-30 ,-32 ,-27 ,-6 ,-2 ,-6
0.0100048 ,Right ,-18 ,-19 ,-13 ,-1 ,+5 ,+3 ,0  ,-16
0.0204512 ,Right ,+66 ,+127 ,+22 ,+9 ,-4 ,+3 ,+7 ,+26
0.0205035 ,Right ,-24 ,-44 ,+16 ,-14 ,+1 ,-1 ,-15 ,-10
0.0285124 ,Right ,-29 ,-45 ,-28 ,+27 ,+15 ,-5 ,+6 ,+3
0.0286567 ,Right ,+6 ,+34 ,+17 ,-9 ,-8 ,+1 ,-6 ,-11
0.0437234 ,Right ,+10 ,-10 ,-16 ,+1 ,+9 ,-6 ,-5 ,+15
0.0438364 ,Right ,-32 ,-31 ,-18 ,-5 ,-4 ,-3 ,-6 ,-5
0.0442357 ,Right ,+3 ,+4 ,+16 ,-23 ,-14 ,+1 ,+9 ,-4
0.044299 ,Right ,-28 ,-49 ,-10 ,-2 ,-1 ,-3 ,-13 ,-4
0.0670822 ,Right ,+43 ,+48 ,+22 ,+16 ,+8 ,+5 ,-3 ,+9
0.0670948 ,Right ,-3 ,+5 ,-40 ,-5 ,+4 ,+21 ,+8 ,-7
0.0674946 ,Right ,+7 ,-7 ,+23 ,-12 ,-6 ,-11 ,+1 ,+3
0.0676121 ,Right ,-11 ,-12 ,-35 ,+19 ,+21 ,+6 ,-8 ,-9
0.0803193 ,Right ,-24 ,-4 ,+23 ,+5 ,+9 ,-5 ,+14 ,+4
0.0805152 ,Right ,+32 ,+18 ,-26 ,+11 ,-15 ,-10 ,0  ,+12
0.0884869 ,Right ,+4 ,+13 ,-13 ,-34 ,-31 ,-33 ,-6 ,-2
0.0885004 ,Right ,-30 ,-11 ,+15 ,+2 ,+19 ,+83 ,+9 ,-7
0.1035452 ,Right ,+6 ,+32 ,+77 ,+12 ,+28 ,-28 ,+25 ,+13
0.1036077 ,Right ,-58 ,-43 ,-81 ,-32 ,-80 ,-88 ,-87 ,-30
0.1040951 ,Right ,+66 ,-5 ,-23 ,-18 ,-34 ,+19 ,-14 ,+1
0.1042173 ,Right ,-13 ,-14 ,-15 ,-24 ,-13 ,0  ,-1 ,-6
0.127031 ,Right ,+12 ,-11 ,-10 ,+18 ,+17 ,+78 ,+20 ,+2
0.1271026 ,Right ,+3 ,+28 ,+54 ,-12 ,+39 ,0  ,+36 ,+9
0.127975 ,Right ,-3 ,-2 ,-15 ,+27 ,+22 ,+13 ,+18 ,+16
0.1280244 ,Right ,+1 ,-7 ,-2 ,0  ,-12 ,-25 ,-13 ,-6
0.1407442 ,Right ,+26 ,+8 ,-12 ,-5 ,-9 ,-11 ,-12 ,+5
0.140758 ,Right ,-6 ,+6 ,-14 ,-24 ,-7 ,+3 ,+8 ,+1
0.1485234 ,Right ,-3 ,+6 ,+29 ,+8 ,+2 ,-4 ,-4 ,-6
0.1486045 ,Right ,+31 ,+13 ,-6 ,-9 ,+1 ,+2 ,+8 ,+11
0.1635447 ,Right ,-50 ,-33 ,-39 ,+5 ,-6 ,-14 ,-22 ,-29
0.1636345 ,Right ,+3 ,+28 ,+27 ,+13 ,-11 ,+5 ,-3 ,-3
0.1641938 ,Right ,-12 ,-53 ,+35 ,+29 ,+32 ,+38 ,+21 ,0 
0.1642747 ,Right ,-41 ,-36 ,-58 ,-17 ,-13 ,-41 ,-8 ,-1
0.1877743 ,Right ,+58 ,-42 ,+7 ,+7 ,-2 ,-11 ,-9 ,+23
0.1877924 ,Right ,0  ,+85 ,0  ,-18 ,-2 ,+23 ,+2 ,+3
0.1878053 ,Right ,0  ,-40 ,+11 ,0  ,-6 ,-14 ,+6 ,-15
0.1878159 ,Right ,-3 ,-32 ,-15 ,-6 ,-9 ,+5 ,+26 ,+34
0.2003034 ,Right ,-20 ,-26 ,0  ,+6 ,-10 ,+4 ,-19 ,-17
0.2003728 ,Right ,+4 ,-71 ,-19 ,-32 ,+18 ,+36 ,+11 ,+8
0.208593 ,Right ,+34 ,+123 ,+65 ,+21 ,+11 ,-25 ,0  ,+37
0.2087375 ,Right ,-21 ,-26 ,-21 ,-18 ,-28 ,-16 ,-17 ,-24
