timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0047707 ,Right ,0  ,-3 ,-1 ,-1 ,-1 ,-2 ,+2 ,0 
0.0198809 ,Right ,0  ,-1 ,-3 ,-2 ,-1 ,-1 ,0  ,-2
0.019901 ,Right ,-1 ,0  ,-1 ,-2 ,-3 ,-2 ,-2 ,-1
0.0350898 ,Right ,-3 ,-2 ,0  ,0  ,0  ,0  ,0  ,-1
0.0351062 ,Right ,-1 ,-1 ,0  ,-2 ,-2 ,-1 ,+1 ,0 
0.0425679 ,Right ,-1 ,-1 ,0  ,-2 ,0  ,0  ,-2 ,-2
0.0425801 ,Right ,-1 ,+1 ,-2 ,0  ,-1 ,0  ,0  ,-1
0.0499404 ,Right ,-1 ,-2 ,-1 ,-1 ,-2 ,-2 ,-1 ,-1
0.049956 ,Right ,-2 ,0  ,-1 ,0  ,-1 ,-1 ,-2 ,-1
0.0577026 ,Right ,-1 ,0  ,0  ,-1 ,-1 ,0  ,0  ,-1
0.0577185 ,Right ,-1 ,-1 ,-2 ,-2 ,0  ,-2 ,-2 ,-1
0.0724845 ,Right ,-1 ,-1 ,0  ,-1 ,-2 ,-1 ,-1 ,+1
0.0725038 ,Right ,-1 ,-1 ,0  ,-1 ,-1 ,0  ,-1 ,-1
0.0875665 ,Right ,-1 ,-2 ,-1 ,-1 ,-1 ,0  ,-1 ,-2
0.0876353 ,Right ,-1 ,-2 ,-1 ,+1 ,0  ,-1 ,+1 ,-1
0.0950226 ,Right ,-1 ,0  ,-1 ,-2 ,0  ,-1 ,-1 ,+2
0.0950351 ,Right ,-1 ,-1 ,-1 ,0  ,0  ,-2 ,0  ,-1
0.1098333 ,Right ,-1 ,-3 ,-1 ,-1 ,-1 ,-1 ,-1 ,-2
0.1098493 ,Right ,-1 ,-1 ,+1 ,-1 ,-1 ,0  ,-2 ,-1
0.1180641 ,Right ,+1 ,-3 ,-1 ,0  ,-1 ,-1 ,-2 ,-2
0.1180784 ,Right ,+2 ,-2 ,-1 ,0  ,-1 ,0  ,-1 ,0 
0.132974 ,Right ,0  ,-1 ,0  ,-1 ,-1 ,0  ,-2 ,-1
0.1330076 ,Right ,-2 ,-1 ,0  ,-1 ,-2 ,-3 ,-2 ,-1
0.1478271 ,Right ,-1 ,-2 ,-1 ,0  ,-1 ,0  ,+1 ,-1
0.1478454 ,Right ,0  ,0  ,-1 ,-1 ,0  ,-1 ,-2 ,-1
0.154994 ,Right ,0  ,0  ,-2 ,-3 ,-2 ,-1 ,0  ,+1
0.1550708 ,Right ,-2 ,-2 ,-1 ,-1 ,-1 ,-1 ,-3 ,0 
0.169815 ,Right ,-1 ,-1 ,-3 ,0  ,0  ,+1 ,0  ,+1
0.1698526 ,Right ,-2 ,0  ,-1 ,-1 ,+1 ,0  ,0  ,-1
0.1777055 ,Right ,0  ,-1 ,-2 ,-1 ,-2 ,-1 ,-1 ,-4
0.1777323 ,Right ,-1 ,-1 ,-1 ,-1 ,-3 ,-1 ,0  ,-1
0.1925467 ,Right ,-2 ,-1 ,0  ,0  ,-1 ,+1 ,0  ,+1
0.1925585 ,Right ,-2 ,+1 ,-1 ,-1 ,-1 ,-1 ,-2 ,0 
0.2076508 ,Right ,+1 ,0  ,0  ,0  ,-1 ,-1 ,0  ,0 
0.2077207 ,Right ,-1 ,0  ,-1 ,-1 ,-1 ,0  ,-1 ,-2
0.2150318 ,Right ,-1 ,-1 ,0  ,-1 ,-1 ,-1 ,-2 ,-2
0.2150439 ,Right ,0  ,0  ,+1 ,0  ,-1 ,0  ,-1 ,-2
0.229888 ,Right ,-3 ,-2 ,-2 ,0  ,0  ,-3 ,-2 ,-1
0.2299002 ,Right ,0  ,-1 ,-1 ,-1 ,-1 ,0  ,0  ,-2
0.2374948 ,Right ,-1 ,-3 ,-2 ,+1 ,-2 ,0  ,0  ,-1
0.2375818 ,Right ,-1 ,-2 ,-2 ,-1 ,-1 ,-1 ,0  ,-1
0.2524391 ,Right ,-1 ,0  ,-1 ,0  ,-2 ,-2 ,-1 ,-2
