timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0171142 ,Left ,-6 ,-2 ,-2 ,-8 ,-10 ,-19 ,-6 ,-7
0.017735 ,Left ,-2 ,-3 ,-3 ,-8 ,-9 ,+27 ,+5 ,+1
0.0178373 ,Left ,+1 ,-1 ,0  ,+8 ,+3 ,-53 ,+3 ,+9
0.0237533 ,Left ,-9 ,-4 ,-2 ,0  ,-10 ,-21 ,-13 ,-25
0.0237642 ,Left ,-1 ,0  ,-1 ,0  ,-7 ,-13 ,-1 ,-1
0.0247522 ,Left ,-1 ,0  ,-1 ,-1 ,+10 ,+29 ,+3 ,+2
0.0247697 ,Left ,+2 ,0  ,0  ,-4 ,-11 ,-22 ,+1 ,+8
0.0470515 ,Left ,-2 ,+1 ,-2 ,+1 ,+8 ,+14 ,+7 ,-2
0.0470624 ,Left ,-5 ,-5 ,-2 ,-3 ,-1 ,-19 ,-6 ,-2
0.0476607 ,Left ,0  ,0  ,0  ,0  ,-1 ,+6 ,-3 ,-15
0.0477201 ,Left ,-8 ,-3 ,-1 ,+1 ,+7 ,+12 ,-4 ,+4
0.0694556 ,Left ,-1 ,-2 ,+1 ,0  ,-2 ,-20 ,+1 ,+2
0.0694675 ,Left ,+3 ,-1 ,-2 ,-4 ,-8 ,-4 ,-3 ,+2
0.0701993 ,Left ,-2 ,-1 ,-2 ,-1 ,+9 ,+33 ,+5 ,-13
0.0703134 ,Left ,+5 ,0  ,0  ,+1 ,-1 ,-5 ,-3 ,-1
0.0837406 ,Left ,-2 ,0  ,+1 ,+2 ,-1 ,+22 ,+3 ,-2
0.0838091 ,Left ,0  ,+1 ,-1 ,-4 ,-10 ,-42 ,-3 ,+1
0.0845218 ,Left ,+1 ,0  ,+1 ,+5 ,+5 ,+17 ,+6 ,+5
0.0845936 ,Left ,-6 ,-3 ,-5 ,-4 ,+7 ,+16 ,-13 ,-9
0.1068707 ,Left ,-12 ,-4 ,-2 ,-4 ,-8 ,+5 ,+2 ,-10
0.1068819 ,Left ,-1 ,+1 ,-1 ,-3 ,-1 ,+1 ,+1 ,+4
0.1084654 ,Left ,+3 ,+1 ,0  ,0  ,0  ,-6 ,+2 ,+2
0.1084762 ,Left ,-2 ,-3 ,+1 ,0  ,-4 ,-8 ,-3 ,-6
0.1294729 ,Left ,0  ,-3 ,-1 ,-1 ,+4 ,+5 ,+3 ,+11
0.1295265 ,Left ,0  ,-1 ,-2 ,0  ,-2 ,-2 ,-1 ,-7
0.1310343 ,Left ,0  ,-1 ,0  ,+1 ,-2 ,+1 ,-3 ,+2
0.1311646 ,Left ,-1 ,-1 ,-2 ,-3 ,-5 ,-4 ,0  ,0 
0.1430653 ,Left ,0  ,-1 ,0  ,-2 ,+2 ,+4 ,+2 ,-2
0.143076 ,Left ,-4 ,-1 ,-1 ,-1 ,-2 ,-2 ,0  ,-4
0.1521151 ,Left ,+1 ,-1 ,0  ,-2 ,-2 ,0  ,-2 ,+3
0.1521317 ,Left ,0  ,+1 ,0  ,0  ,-1 ,+2 ,+2 ,+3
0.1669836 ,Left ,+3 ,-1 ,-1 ,+1 ,0  ,-4 ,+2 ,+3
0.1669958 ,Left ,+1 ,-3 ,-2 ,-2 ,-3 ,+2 ,0  ,+5
0.1685393 ,Left ,0  ,+1 ,0  ,0  ,+9 ,+9 ,-1 ,-1
0.1686167 ,Left ,-1 ,+2 ,-2 ,-1 ,-10 ,-8 ,-1 ,-4
0.1893996 ,Left ,-1 ,0  ,-1 ,-3 ,0  ,0  ,+3 ,+4
0.1894105 ,Left ,-1 ,-5 ,-4 ,-1 ,+1 ,+1 ,-3 ,-7
0.1910169 ,Left ,+3 ,-1 ,+1 ,-2 ,-3 ,0  ,-2 ,0 
0.1910276 ,Left ,+1 ,-1 ,-1 ,+1 ,+6 ,0  ,+1 ,-1
0.2031661 ,Left ,0  ,+1 ,+1 ,+2 ,-10 ,-7 ,-2 ,+1
0.2032224 ,Left ,+2 ,-1 ,-1 ,-1 ,+4 ,+2 ,+2 ,+2
0.2129367 ,Left ,-4 ,0  ,-2 ,0  ,-1 ,0  ,-1 ,0 
0.2129475 ,Left ,-3 ,0  ,-2 ,-2 ,+1 ,0  ,0  ,-2
0.2270352 ,Left ,-2 ,-2 ,-2 ,-1 ,+2 ,+2 ,0  ,+1
0.2270562 ,Left ,-2 ,0  ,-1 ,0  ,-5 ,-2 ,-2 ,-2
0.22867 ,Left ,-2 ,-1 ,0  ,-2 ,-3 ,0  ,-2 ,-1
0.228792 ,Left ,-2 ,-1 ,+1 ,+1 ,+1 ,-3 ,+2 ,+5
