timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
2.3763258 ,Right ,+2 ,-13 ,-18 ,-3 ,+4 ,+6 ,-15 ,-2
2.3763357 ,Right ,0  ,+12 ,+4 ,0  ,-2 ,+2 ,+4 ,-5
2.3913322 ,Right ,-1 ,-7 ,+1 ,-5 ,-1 ,-1 ,-10 ,+2
2.3913402 ,Right ,-6 ,-9 ,-2 ,+1 ,+2 ,-2 ,+4 ,+7
2.3928604 ,Right ,+4 ,0  ,-1 ,+5 ,-4 ,-1 ,+1 ,0 
2.3929041 ,Right ,0  ,+3 ,-1 ,0  ,+3 ,-5 ,-1 ,0 
2.4137252 ,Right ,-2 ,-4 ,-5 ,-4 ,-5 ,-2 ,-3 ,-4
2.413812 ,Right ,-1 ,-2 ,-3 ,-5 ,-2 ,+2 ,+3 ,-4
2.4153118 ,Right ,-1 ,-4 ,+2 ,0  ,-1 ,-1 ,-5 ,-2
2.4154246 ,Right ,-4 ,0  ,-4 ,-3 ,+3 ,+2 ,-2 ,-5
2.4274754 ,Right ,+5 ,+21 ,+14 ,+2 ,-2 ,-1 ,+1 ,+2
2.4274873 ,Right ,-3 ,+1 ,+9 ,+11 ,+6 ,+1 ,-1 ,-2
2.4362189 ,Right ,-7 ,-11 ,-4 ,+2 ,+1 ,+3 ,+2 ,-2
2.4363053 ,Right ,+5 ,+16 ,+10 ,+5 ,-3 ,-5 ,-1 ,+4
2.4512041 ,Right ,-2 ,-5 ,-17 ,-12 ,-6 ,-3 ,-4 ,-7
2.4512103 ,Right ,-3 ,-13 ,-3 ,-7 ,-5 ,0  ,+1 ,-1
2.452792 ,Right ,+3 ,+11 ,0  ,-1 ,+2 ,+1 ,-1 ,+1
2.4528525 ,Right ,-1 ,0  ,0  ,-3 ,-4 ,-5 ,-3 ,-2
2.4736292 ,Right ,-10 ,-14 ,0  ,+3 ,-1 ,-1 ,-4 ,-5
2.4736824 ,Right ,+17 ,+11 ,+2 ,-7 ,+3 ,+1 ,+1 ,+3
2.4754421 ,Right ,-18 ,-19 ,-9 ,-4 ,-2 ,+5 ,-1 ,-6
2.4754872 ,Right ,+14 ,+27 ,+10 ,+15 ,+7 ,0  ,-1 ,+6
2.4873755 ,Right ,-12 ,-23 ,-2 ,+3 ,+1 ,-1 ,+3 ,-4
2.487383 ,Right ,+4 ,-6 ,-7 ,-10 ,-9 ,-5 ,-4 ,+4
2.4963091 ,Right ,+6 ,+11 ,+4 ,0  ,-2 ,0  ,-2 ,-6
2.4965759 ,Right ,0  ,-5 ,+1 ,+6 ,+2 ,-1 ,-2 ,-1
2.5136278 ,Right ,+2 ,+34 ,+7 ,+7 ,+5 ,+1 ,+3 ,+1
2.5136389 ,Right ,-15 ,-8 ,-1 ,0  ,-3 ,-3 ,-6 ,-15
2.5137395 ,Right ,+6 ,-11 ,-11 ,-9 ,+1 ,0  ,-3 ,+5
2.5137827 ,Right ,-8 ,-13 ,-3 ,-4 ,-4 ,-1 ,-1 ,-4
2.5338758 ,Right ,+9 ,+23 ,+8 ,+3 ,0  ,-2 ,0  ,0 
2.5338954 ,Right ,-6 ,-4 ,-8 ,-2 ,+1 ,-1 ,-1 ,0 
2.5353632 ,Right ,+1 ,+7 ,+4 ,0  ,-3 ,-2 ,-1 ,-4
2.5353685 ,Right ,-4 ,-20 ,-11 ,-8 ,-6 ,-5 ,-4 ,-7
2.547368 ,Right ,-3 ,+6 ,-2 ,-4 ,-1 ,+2 ,-1 ,+3
2.5474348 ,Right ,0  ,+3 ,-2 ,-1 ,+1 ,+1 ,+2 ,-3
2.5564627 ,Right ,-9 ,-8 ,+2 ,+8 ,+4 ,-2 ,-1 ,-2
2.5565278 ,Right ,-1 ,+5 ,-2 ,-1 ,-1 ,-1 ,+1 ,0 
2.5711688 ,Right ,+9 ,-15 ,-9 ,-4 ,-4 ,0  ,-1 ,+2
2.5711762 ,Right ,+6 ,+30 ,+8 ,+3 ,+3 ,+1 ,+3 ,0 
2.5727684 ,Right ,-14 ,-14 ,+3 ,-2 ,-1 ,-4 ,-1 ,-5
2.5727923 ,Right ,+6 ,-6 ,-7 ,-4 ,-7 ,-1 ,-2 ,0 
2.593747 ,Right ,+4 ,+19 ,+2 ,0  ,+2 ,-1 ,-1 ,0 
2.5937576 ,Right ,-3 ,-12 ,+7 ,+8 ,0  ,+1 ,+2 ,+3
2.5952663 ,Right ,+1 ,+1 ,-8 ,-3 ,-4 ,-3 ,-2 ,+1
2.5953201 ,Right ,+3 ,+1 ,+1 ,-2 ,0  ,-3 ,-1 ,-3
2.6073595 ,Right ,0  ,+12 ,+1 ,-3 ,-5 ,-1 ,0  ,-1
2.6073667 ,Right ,-7 ,-20 ,-2 ,-1 ,-3 ,+4 ,+2 ,-3
2.6163296 ,Right ,+10 ,+10 ,+1 ,+3 ,0  ,-1 ,-1 ,+4
2.6163781 ,Right ,-6 ,-9 ,-6 ,-4 ,-1 ,+2 ,+6 ,+3
2.6311324 ,Right ,-3 ,-3 ,+4 ,+3 ,-1 ,-3 ,-11 ,-5
2.6311844 ,Right ,+2 ,+5 ,0  ,0  ,0  ,-2 ,-2 ,0 
2.6326971 ,Right ,+6 ,-6 ,-2 ,-4 ,-6 ,-3 ,0  ,-1
2.6327552 ,Right ,-6 ,-5 ,-7 ,-1 ,-3 ,-1 ,-1 ,-2
2.6537926 ,Right ,+3 ,0  ,+4 ,+1 ,+6 ,0  ,+4 ,+3
2.6538411 ,Right ,-8 ,-8 ,-9 ,-9 ,-3 ,-3 ,0  ,-3
2.6552675 ,Right ,+2 ,+3 ,+2 ,+3 ,+1 ,+1 ,-2 ,+1
2.6553185 ,Right ,-9 ,-9 ,-3 ,-8 ,-1 ,-3 ,-1 ,-2
2.6763962 ,Right ,-5 ,-1 ,-1 ,0  ,-4 ,-1 ,0  ,-2
2.6766045 ,Right ,+3 ,+8 ,+9 ,+15 ,+4 ,0  ,-1 ,+1
2.6777176 ,Right ,-1 ,-8 ,-4 ,-3 ,+1 ,-1 ,-2 ,-3
2.6777641 ,Right ,-2 ,+19 ,+4 ,0  ,-1 ,-2 ,-6 ,-3
2.6911881 ,Right ,-7 ,-40 ,-13 ,-9 ,-4 ,0  ,0  ,-2
2.6911953 ,Right ,+1 ,+5 ,-2 ,-4 ,-2 ,0  ,-1 ,-1
2.6928615 ,Right ,-2 ,+12 ,+10 ,+8 ,0  ,-2 ,0  ,0 
2.6929216 ,Right ,-3 ,+6 ,-5 ,-1 ,+1 ,-1 ,-1 ,-2
2.7136275 ,Right ,+5 ,+3 ,+8 ,+5 ,+5 ,+2 ,-2 ,+1
2.7136862 ,Right ,-4 ,-11 ,-8 ,-3 ,-4 ,-2 ,+2 ,+3
2.7152536 ,Right ,+3 ,-11 ,+2 ,-3 ,-1 ,+2 ,-1 ,-1
2.7153082 ,Right ,-3 ,0  ,+1 ,-4 ,-1 ,-1 ,-1 ,-2
2.7363374 ,Right ,0  ,-1 ,-1 ,-3 ,-8 ,-4 ,0  ,+2
2.7363446 ,Right ,+4 ,+15 ,0  ,+4 ,+1 ,+5 ,+2 ,+2
2.7378226 ,Right ,+12 ,+18 ,0  ,-1 ,-1 ,-3 ,+4 ,+4
2.73783 ,Right ,-8 ,-9 ,+2 ,0  ,-3 ,0  ,-6 ,-2
2.7512816 ,Right ,-16 ,-6 ,-3 ,-1 ,-5 ,-4 ,+2 ,0 
2.7512889 ,Right ,-8 ,-18 ,0  ,-3 ,-1 ,-2 ,-6 ,-12
2.7527626 ,Right ,+7 ,+2 ,+1 ,-1 ,-2 ,+1 ,0  ,-2
2.7528349 ,Right ,-3 ,-5 ,-2 ,-3 ,-2 ,+1 ,-3 ,-2
2.7737704 ,Right ,-1 ,-2 ,-3 ,-1 ,-5 ,-3 ,-4 ,-4
2.7738534 ,Right ,+5 ,+15 ,+2 ,+1 ,+2 ,-1 ,+7 ,+5
2.7754274 ,Right ,-10 ,-5 ,-2 ,-2 ,-2 ,-9 ,-8 ,-8
2.7756261 ,Right ,-8 ,-2 ,-6 ,-6 ,-7 ,0  ,+13 ,-3
2.7963371 ,Right ,+6 ,+16 ,+5 ,+7 ,+15 ,+14 ,+16 ,+4
2.7963497 ,Right ,+14 ,+15 ,0  ,+1 ,-2 ,+2 ,+2 ,+9
2.7979537 ,Right ,-16 ,-18 ,-7 ,-4 ,+5 ,-3 ,-11 ,-17
2.7979877 ,Right ,+9 ,+6 ,+6 ,-1 ,-9 ,-3 ,-4 ,+3
2.8106675 ,Right ,-2 ,-5 ,-2 ,0  ,-8 ,-2 ,-5 ,-5
2.810681 ,Right ,-5 ,-7 ,-6 ,-2 ,+9 ,-6 ,+4 ,+1
2.8173452 ,Right ,+5 ,+9 ,-2 ,+1 ,-4 ,+7 ,+14 ,+4
2.8174081 ,Right ,+1 ,-10 ,+2 ,+1 ,+5 ,-7 ,+5 ,+8
2.8337928 ,Right ,-13 ,-7 ,-2 ,-1 ,0  ,-2 ,-25 ,-17
2.8338002 ,Right ,-6 ,-8 ,-3 ,-3 ,-6 ,-2 ,-7 ,-11
