timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.8829775 ,Left ,+1 ,+1 ,-2 ,-6 ,+5 ,+4 ,+2 ,0 
0.883025 ,Left ,0  ,-1 ,+2 ,+9 ,-4 ,-17 ,-6 ,-2
0.898001 ,Left ,-2 ,0  ,0  ,+1 ,-4 ,+1 ,0  ,+1
0.8980699 ,Left ,+1 ,-3 ,-4 ,-3 ,-5 ,-4 ,+1 ,-3
0.9055108 ,Left ,-1 ,-2 ,+2 ,+2 ,-7 ,+5 ,-4 ,-2
0.9056538 ,Left ,0  ,-4 ,-6 ,-14 ,+18 ,+25 ,+4 ,-1
0.9204831 ,Left ,+1 ,+1 ,-1 ,-1 ,-14 ,-24 ,+1 ,+1
0.9205301 ,Left ,-1 ,0  ,-1 ,0  ,+6 ,+22 ,-4 ,-1
0.9280717 ,Left ,-3 ,-1 ,+1 ,-1 ,-11 ,-28 ,-3 ,-2
0.9280808 ,Left ,-1 ,-1 ,+1 ,+1 ,-1 ,+5 ,0  ,-1
0.9356023 ,Left ,-1 ,-3 ,-2 ,+2 ,+7 ,+1 ,-2 ,+1
0.9356454 ,Left ,-3 ,-2 ,-2 ,-3 ,-4 ,-1 ,0  ,0 
0.9430695 ,Left ,-2 ,-3 ,0  ,+3 ,-1 ,+5 ,-1 ,-1
0.9430777 ,Left ,0  ,-1 ,+1 ,+5 ,+1 ,+12 ,+2 ,-1
0.9579307 ,Left ,-1 ,-2 ,-3 ,-2 ,0  ,-10 ,-1 ,-2
0.9579738 ,Left ,-1 ,+2 ,+1 ,-3 ,-10 ,-12 ,+1 ,-2
0.9654968 ,Left ,0  ,-1 ,+4 ,+13 ,+9 ,-4 ,-8 ,-1
0.9655394 ,Left ,-1 ,-2 ,-3 ,-1 ,0  ,+1 ,+5 ,+2
0.9805805 ,Left ,0  ,+1 ,+2 ,-1 ,+3 ,+1 ,-6 ,-3
0.9806081 ,Left ,0  ,0  ,-2 ,-7 ,0  ,+7 ,+2 ,+1
0.9879386 ,Left ,-1 ,0  ,-3 ,+3 ,-2 ,-2 ,+1 ,-1
0.9879481 ,Left ,-1 ,-2 ,-3 ,-8 ,-2 ,-4 ,-2 ,-1
0.9954861 ,Left ,-1 ,-2 ,+3 ,+10 ,+2 ,+6 ,+3 ,0 
0.9955416 ,Left ,-2 ,-2 ,-1 ,-4 ,-4 ,-9 ,0  ,+1
1.003014 ,Left ,0  ,-2 ,-4 ,-8 ,-7 ,+20 ,+1 ,-3
1.0030558 ,Left ,-1 ,-1 ,-5 ,+1 ,+4 ,-9 ,-6 ,+1
1.018054 ,Left ,-1 ,-3 ,-1 ,+6 ,+7 ,+21 ,+2 ,0 
1.018062 ,Left ,+1 ,-2 ,+1 ,+1 ,-2 ,-29 ,-3 ,-1
1.0256557 ,Left ,+1 ,+2 ,+3 ,+2 ,+1 ,+9 ,-1 ,0 
1.0256639 ,Left ,-2 ,-2 ,-4 ,-10 ,-4 ,-5 ,-2 ,0 
1.0405586 ,Left ,-3 ,-1 ,-1 ,+3 ,+4 ,+7 ,-2 ,-5
1.0405679 ,Left ,0  ,+1 ,+1 ,+2 ,-1 ,-22 ,-7 ,-2
1.0485905 ,Left ,-2 ,-2 ,+2 ,-1 ,-8 ,0  ,-1 ,-2
1.0486013 ,Left ,-1 ,-3 ,-3 ,-2 ,-1 ,+5 ,+2 ,0 
1.0557196 ,Left ,-1 ,-2 ,-3 ,-8 ,-6 ,-8 ,-2 ,0 
1.0557276 ,Left ,-1 ,-2 ,-3 ,-2 ,+2 ,0  ,-4 ,-3
1.0631232 ,Left ,-1 ,-1 ,-2 ,-9 ,-6 ,+7 ,+4 ,-2
1.0631316 ,Left ,-1 ,+1 ,+4 ,0  ,-1 ,-10 ,-3 ,-6
1.0780596 ,Left ,-2 ,-2 ,-4 ,-4 ,-7 ,-2 ,-2 ,-1
1.0780677 ,Left ,0  ,0  ,-1 ,+4 ,+8 ,+6 ,+2 ,+2
1.0855168 ,Left ,0  ,-2 ,-1 ,+4 ,+9 ,-7 ,-1 ,+2
1.0855262 ,Left ,0  ,+1 ,+3 ,+2 ,-5 ,+2 ,-1 ,-2
1.1007148 ,Left ,-1 ,0  ,-5 ,-15 ,-7 ,-9 ,-3 ,-2
1.1007263 ,Left ,-3 ,-5 ,-7 ,-9 ,-5 ,+19 ,+1 ,-4
1.1081339 ,Left ,0  ,+3 ,+6 ,+18 ,+8 ,-18 ,+2 ,-2
1.1081418 ,Left ,0  ,+1 ,-1 ,-2 ,-6 ,+5 ,-5 ,+1
1.1156043 ,Left ,-1 ,-1 ,-1 ,-4 ,-2 ,-13 ,-7 ,0 
1.1158846 ,Left ,-1 ,-3 ,-4 ,-12 ,-7 ,+5 ,+3 ,+2
1.1230955 ,Left ,-4 ,-3 ,-7 ,+2 ,+5 ,+22 ,+3 ,-4
1.123175 ,Left ,0  ,+1 ,+6 ,+17 ,-5 ,-40 ,-11 ,-5
1.1379896 ,Left ,-2 ,-2 ,0  ,0  ,0  ,-13 ,0  ,-2
1.1380331 ,Left ,+1 ,-2 ,-5 ,-12 ,-3 ,+4 ,-1 ,+5
1.145661 ,Left ,+2 ,-1 ,+2 ,+13 ,+3 ,-6 ,0  ,+4
1.145669 ,Left ,-3 ,-1 ,+1 ,+4 ,+2 ,+1 ,0  ,-2
1.1603766 ,Left ,+1 ,-1 ,-3 ,-5 ,-4 ,+6 ,-2 ,-1
1.1604196 ,Left ,-1 ,-2 ,-1 ,0  ,-9 ,-19 ,-2 ,-1
1.1683477 ,Left ,-2 ,-3 ,-8 ,-13 ,-1 ,+11 ,-1 ,-1
1.168357 ,Left ,-2 ,-1 ,+3 ,+2 ,+3 ,+4 ,-1 ,-1
1.1755864 ,Left ,+1 ,-1 ,-3 ,-3 ,-4 ,+11 ,+2 ,-2
1.1756655 ,Left ,-1 ,0  ,+3 ,+8 ,+1 ,+2 ,-4 ,-1
1.1832989 ,Left ,-1 ,0  ,-3 ,-10 ,-7 ,-15 ,0  ,+1
1.1833132 ,Left ,-2 ,-2 ,-4 ,-8 ,-3 ,+3 ,+2 ,+1
1.1980644 ,Left ,-1 ,-2 ,0  ,-2 ,+1 ,-2 ,-1 ,+2
1.1980794 ,Left ,0  ,0  ,-1 ,+8 ,+5 ,-6 ,-4 ,-2
1.2055968 ,Left ,-2 ,-2 ,+1 ,-2 ,+2 ,+6 ,-4 ,-2
1.2056047 ,Left ,0  ,-1 ,+2 ,+4 ,-5 ,-2 ,+3 ,-1
