timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0167738 ,Left ,-1 ,-2 ,-1 ,0  ,-6 ,+1 ,-2 ,-1
0.0168141 ,Left ,0  ,-2 ,-4 ,-3 ,+7 ,+1 ,+2 ,+1
0.0243552 ,Left ,-1 ,-3 ,-5 ,-5 ,-6 ,-2 ,-1 ,-1
0.0243845 ,Left ,-2 ,-3 ,-1 ,0  ,+6 ,-1 ,+3 ,-1
0.0394343 ,Left ,+1 ,-2 ,-1 ,+1 ,+4 ,+2 ,-3 ,-1
0.0394369 ,Left ,-2 ,-1 ,-2 ,0  ,+11 ,+1 ,0  ,+1
0.0544302 ,Left ,-1 ,+1 ,+2 ,+14 ,+3 ,+1 ,+1 ,0 
0.0544329 ,Left ,-4 ,-4 ,-7 ,-36 ,-6 ,-2 ,-1 ,-4
0.0619958 ,Left ,+3 ,+4 ,+3 ,+4 ,0  ,+1 ,+1 ,+3
0.0619985 ,Left ,0  ,-3 ,-7 ,-3 ,-7 ,-6 ,-1 ,-2
0.0771769 ,Left ,-1 ,-4 ,-3 ,-8 ,-2 ,-4 ,-3 ,-3
0.0771863 ,Left ,+2 ,+2 ,+8 ,+1 ,+7 ,+5 ,+2 ,0 
0.091958 ,Left ,-3 ,-2 ,-3 ,-2 ,-1 ,-1 ,+1 ,-2
0.0919617 ,Left ,-1 ,-2 ,+1 ,+1 ,-6 ,-1 ,-8 ,-2
0.107156 ,Left ,+1 ,0  ,-2 ,-3 ,+3 ,-2 ,-1 ,-1
0.1071597 ,Left ,-3 ,-2 ,-1 ,0  ,-17 ,-5 ,-2 ,-2
0.1145437 ,Left ,+4 ,+2 ,-3 ,+7 ,+1 ,0  ,0  ,-1
0.1145474 ,Left ,+1 ,+2 ,-2 ,-15 ,-1 ,+1 ,+1 ,+1
0.1295322 ,Left ,-1 ,+3 ,+4 ,+1 ,-3 ,-2 ,-3 ,-2
0.1295369 ,Left ,-3 ,-3 ,-2 ,+1 ,+4 ,0  ,-2 ,-2
0.1372328 ,Left ,-1 ,-2 ,0  ,+3 ,-10 ,-4 ,+1 ,-3
0.1372379 ,Left ,-1 ,-5 ,-5 ,-1 ,+1 ,0  ,0  ,-3
0.1523369 ,Left ,-3 ,-1 ,0  ,-2 ,-5 ,-2 ,-1 ,-2
0.1523451 ,Left ,-3 ,-2 ,0  ,0  ,+5 ,0  ,0  ,-3
0.1674478 ,Left ,-1 ,-3 ,-1 ,0  ,+4 ,-2 ,-2 ,-1
0.1674568 ,Left ,+3 ,+5 ,+2 ,+7 ,+6 ,+3 ,+1 ,+2
0.1749696 ,Left ,-2 ,-2 ,0  ,+1 ,+1 ,+1 ,-2 ,+1
0.1749808 ,Left ,0  ,+1 ,-2 ,0  ,-5 ,-1 ,-1 ,0 
0.189657 ,Left ,-1 ,-1 ,-4 ,+3 ,+9 ,+3 ,-1 ,0 
0.1896647 ,Left ,-1 ,-2 ,+2 ,-2 ,-18 ,-5 ,-5 ,-3
0.1972293 ,Left ,-2 ,-3 ,-6 ,-9 ,-9 ,-6 ,-2 ,0 
0.197237 ,Left ,0  ,0  ,+3 ,+3 ,+9 ,+2 ,+1 ,-1
0.212132 ,Left ,-1 ,0  ,-6 ,-21 ,-5 ,-5 ,-4 ,0 
0.2121398 ,Left ,0  ,+1 ,-2 ,+5 ,0  ,+1 ,+1 ,-1
0.2273097 ,Left ,-2 ,-3 ,+2 ,-4 ,-1 ,-4 ,-2 ,-3
0.2273178 ,Left ,0  ,-4 ,-5 ,-2 ,-1 ,+1 ,0  ,-2
0.2350133 ,Left ,-2 ,-2 ,+3 ,+6 ,+3 ,+2 ,-1 ,-1
0.2350213 ,Left ,+2 ,+1 ,-3 ,-4 ,+1 ,-1 ,0  ,0 
0.2497092 ,Left ,-3 ,+2 ,-2 ,-7 ,-7 ,-1 ,0  ,0 
0.2497707 ,Left ,-4 ,-4 ,-2 ,-4 ,-7 ,0  ,0  ,-2
0.2570829 ,Left ,-2 ,0  ,-1 ,+6 ,+4 ,-5 ,-1 ,-1
0.2570889 ,Left ,-2 ,-2 ,-4 ,-4 ,+5 ,+4 ,-2 ,-1
0.2720285 ,Left ,0  ,+1 ,+3 ,+10 ,+5 ,+5 ,+1 ,+2
0.2720332 ,Left ,-1 ,0  ,+1 ,+1 ,0  ,-6 ,-2 ,+1
0.2871372 ,Left ,-2 ,-4 ,-7 ,-4 ,-1 ,-1 ,-2 ,0 
0.2871435 ,Left ,-1 ,0  ,+3 ,+9 ,+22 ,+6 ,+1 ,0 
0.2946783 ,Left ,-1 ,-2 ,-1 ,+1 ,-3 ,-3 ,-1 ,-2
0.2946831 ,Left ,+1 ,+1 ,0  ,-2 ,-4 ,-2 ,+1 ,0 
0.309462 ,Left ,-1 ,+1 ,-1 ,+3 ,-4 ,0  ,-1 ,-2
0.3094661 ,Left ,+1 ,0  ,+2 ,+6 ,+12 ,+1 ,0  ,-2
0.3171685 ,Left ,-1 ,-1 ,-2 ,-1 ,-8 ,0  ,-1 ,-3
0.317173 ,Left ,-4 ,-5 ,-6 ,-8 ,-2 ,-6 ,-4 ,-3
0.3319818 ,Left ,+2 ,0  ,+2 ,+8 ,+8 ,+3 ,+1 ,+3
0.3319862 ,Left ,0  ,0  ,+2 ,0  ,-4 ,-1 ,-1 ,+1
0.3472448 ,Left ,-4 ,-4 ,-8 ,+1 ,-10 ,-4 ,-1 ,-2
0.3472505 ,Left ,-1 ,-4 ,-2 ,-1 ,+7 ,+2 ,0  ,0 
