timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0275318 ,Right ,-4 ,-1 ,-10 ,-4 ,-5 ,-6 ,-2 ,-1
0.0275532 ,Right ,-2 ,-7 ,-5 ,-5 ,-8 ,-4 ,-1 ,-1
0.0282941 ,Right ,-2 ,+5 ,+2 ,0  ,-3 ,+2 ,0  ,-2
0.0283146 ,Right ,-1 ,0  ,+6 ,+1 ,0  ,0  ,-3 ,-2
0.0425703 ,Right ,-2 ,-8 ,-1 ,-4 ,-2 ,-1 ,-3 ,-1
0.0425732 ,Right ,-2 ,-4 ,-5 ,-1 ,+3 ,0  ,-2 ,-2
0.0433837 ,Right ,-1 ,+3 ,+2 ,+3 ,+2 ,0  ,-2 ,0 
0.0433863 ,Right ,+3 ,+2 ,0  ,-1 ,0  ,0  ,+1 ,0 
0.065131 ,Right ,0  ,+5 ,-2 ,-3 ,-2 ,+2 ,0  ,-2
0.065134 ,Right ,0  ,0  ,0  ,-7 ,-8 ,-7 ,-2 ,-2
0.0659274 ,Right ,-2 ,-7 ,-1 ,+7 ,+4 ,-1 ,-1 ,-2
0.0659301 ,Right ,0  ,-1 ,-6 ,-2 ,-1 ,0  ,+1 ,-2
0.0882684 ,Right ,-3 ,-2 ,+2 ,0  ,+3 ,0  ,-1 ,-1
0.0882719 ,Right ,-3 ,0  ,+1 ,0  ,0  ,-3 ,-4 ,-2
0.0890752 ,Right ,-4 ,-8 ,-5 ,-6 ,-3 ,-4 ,-3 ,-2
0.0890785 ,Right ,+2 ,0  ,+1 ,-2 ,-3 ,+1 ,-1 ,0 
0.1027906 ,Right ,0  ,+2 ,-2 ,+1 ,-1 ,-2 ,-2 ,0 
0.1027943 ,Right ,-2 ,0  ,-2 ,-2 ,+2 ,0  ,-1 ,0 
0.1036025 ,Right ,+1 ,+1 ,+3 ,+2 ,0  ,-2 ,-1 ,+1
0.1036061 ,Right ,-2 ,+1 ,+3 ,+1 ,+2 ,+1 ,-1 ,-1
0.125124 ,Right ,-1 ,-6 ,-2 ,-1 ,-1 ,0  ,0  ,-3
0.125128 ,Right ,-2 ,-1 ,+1 ,-1 ,-3 ,-3 ,-3 ,-1
0.1257957 ,Right ,-3 ,0  ,-6 ,-4 ,-6 ,-4 ,-1 ,-2
0.1257994 ,Right ,-3 ,-5 ,-2 ,-4 ,-4 ,0  ,-1 ,+1
0.1487298 ,Right ,-1 ,0  ,+1 ,+2 ,-2 ,0  ,0  ,-2
0.1487387 ,Right ,-2 ,+2 ,+1 ,+1 ,+2 ,0  ,0  ,-2
0.1492522 ,Right ,+1 ,-3 ,0  ,0  ,0  ,-1 ,-1 ,-2
0.1492586 ,Right ,0  ,+3 ,+4 ,-1 ,-4 ,-3 ,-1 ,+1
0.1629517 ,Right ,0  ,-1 ,-12 ,-4 ,-1 ,-3 ,-2 ,-1
0.1629599 ,Right ,-1 ,-14 ,-5 ,-5 ,-1 ,0  ,-3 ,0 
0.1636518 ,Right ,+1 ,-2 ,-3 ,+2 ,+8 ,+3 ,+1 ,0 
0.1637677 ,Right ,-3 ,-1 ,+4 ,-1 ,-3 ,-5 ,-2 ,-3
0.1854636 ,Right ,+2 ,+5 ,+3 ,0  ,-3 ,-2 ,-2 ,-2
0.1854718 ,Right ,+5 ,+1 ,-5 ,+1 ,+6 ,+5 ,+4 ,-2
0.1861219 ,Right ,-9 ,+3 ,+2 ,-2 ,-5 ,0  ,-1 ,-3
0.1861302 ,Right ,-3 ,-8 ,+1 ,-3 ,-3 ,-1 ,-1 ,-3
0.208838 ,Right ,0  ,0  ,+6 ,+4 ,+2 ,0  ,0  ,+1
0.2089434 ,Right ,+3 ,+2 ,-3 ,-1 ,0  ,-1 ,0  ,0 
0.2092556 ,Right ,0  ,+4 ,+3 ,+2 ,+5 ,+2 ,+1 ,0 
0.2092632 ,Right ,-1 ,-3 ,-5 ,-1 ,-1 ,-1 ,-3 ,0 
0.2230729 ,Right ,0  ,+3 ,-2 ,-3 ,-4 ,+2 ,-2 ,-3
0.2230807 ,Right ,+2 ,-5 ,-2 ,-5 ,-7 ,-6 ,-1 ,+1
0.2235382 ,Right ,-3 ,+1 ,-2 ,-1 ,-5 ,-2 ,-4 ,-2
0.2235459 ,Right ,0  ,+1 ,-11 ,-2 ,-1 ,-2 ,-4 ,-2
0.2453622 ,Right ,-3 ,-9 ,-5 ,-6 ,0  ,-4 ,-1 ,0 
0.245572 ,Right ,-5 ,-6 ,-15 ,-3 ,-2 ,+1 ,0  ,-4
0.2461028 ,Right ,+5 ,+6 ,+9 ,+1 ,-3 ,-2 ,-1 ,+1
0.2461106 ,Right ,-4 ,-4 ,+8 ,+2 ,+3 ,-1 ,-1 ,-2
0.2685578 ,Right ,0  ,-9 ,-52 ,-17 ,-1 ,+1 ,-1 ,-3
0.2685626 ,Right ,-5 ,+2 ,+18 ,+3 ,-4 ,-8 ,-6 ,-3
0.2693812 ,Right ,-4 ,-3 ,-14 ,-7 ,-5 ,-5 ,0  ,0 
0.2693861 ,Right ,+3 ,+6 ,+14 ,+11 ,+7 ,+7 ,+3 ,0 
0.2827921 ,Right ,+4 ,+9 ,+13 ,+2 ,0  ,+1 ,+3 ,0 
0.2827965 ,Right ,-2 ,-1 ,+8 ,+5 ,+2 ,0  ,+1 ,+1
0.28355 ,Right ,0  ,-2 ,-24 ,-16 ,-6 ,0  ,-3 ,-3
0.2835549 ,Right ,-1 ,-2 ,+5 ,-3 ,-3 ,-2 ,-3 ,-2
