timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0688126 ,Left ,-1 ,-3 ,-8 ,-7 ,+5 ,-2 ,-3 ,-3
0.0688161 ,Left ,0  ,+2 ,-5 ,+1 ,+1 ,-2 ,+1 ,-2
0.0695146 ,Left ,+4 ,+2 ,+2 ,+1 ,-1 ,+8 ,0  ,-1
0.0695175 ,Left ,-2 ,-6 ,-4 ,+1 ,0  ,-1 ,-2 ,+1
0.0833005 ,Left ,+2 ,0  ,-1 ,-1 ,+5 ,-5 ,+2 ,-1
0.0833046 ,Left ,-1 ,-3 ,+2 ,-11 ,-18 ,+3 ,-2 ,-3
0.0840696 ,Left ,-4 ,-3 ,-4 ,+6 ,-6 ,-2 ,+1 ,-2
0.0840722 ,Left ,-3 ,+4 ,+1 ,0  ,-3 ,-13 ,-4 ,-1
0.1064433 ,Left ,-2 ,-9 ,-8 ,+5 ,+1 ,+12 ,-1 ,-1
0.1064495 ,Left ,0  ,+1 ,+5 ,+1 ,+4 ,-9 ,0  ,0 
0.1081998 ,Left ,-4 ,-1 ,-6 ,-14 ,-9 ,0  ,-3 ,0 
0.1082034 ,Left ,0  ,+2 ,+3 ,+14 ,+9 ,-4 ,-2 ,-1
0.128868 ,Left ,0  ,0  ,-14 ,-16 ,-17 ,+5 ,+1 ,+1
0.1288714 ,Left ,-3 ,-1 ,+9 ,+7 ,+5 ,-7 ,-2 ,-1
0.130712 ,Left ,-2 ,-3 ,-1 ,+6 ,0  ,-2 ,-3 ,-3
0.1307151 ,Left ,-1 ,+2 ,-1 ,-11 ,-10 ,-14 ,-1 ,-1
0.1426134 ,Left ,-3 ,+7 ,0  ,-2 ,-6 ,-7 ,-6 ,-6
0.1426177 ,Left ,+1 ,+4 ,-8 ,+3 ,+10 ,+2 ,0  ,0 
0.1517427 ,Left ,+2 ,-1 ,+2 ,-6 ,-4 ,-8 ,-2 ,+1
0.1517461 ,Left ,-3 ,+1 ,+2 ,+3 ,-2 ,-1 ,-3 ,-1
0.1666231 ,Left ,+2 ,-7 ,-4 ,-1 ,-9 ,-7 ,+1 ,-1
0.1666262 ,Left ,-3 ,0  ,-2 ,-5 ,-2 ,-8 ,-4 ,-3
0.1680479 ,Left ,-1 ,-1 ,+1 ,+1 ,+9 ,+1 ,0  ,0 
0.1680511 ,Left ,-2 ,-3 ,-7 ,-5 ,-1 ,+1 ,+2 ,-2
0.1890612 ,Left ,0  ,+3 ,-1 ,-1 ,+1 ,+4 ,+1 ,+1
0.1890646 ,Left ,0  ,-2 ,-3 ,-3 ,-1 ,+3 ,+2 ,+1
0.1904886 ,Left ,-2 ,-4 ,-3 ,-1 ,-7 ,0  ,0  ,-2
0.1904919 ,Left ,-6 ,-7 ,+1 ,+4 ,+4 ,-8 ,-1 ,-3
0.2027375 ,Left ,-5 ,-4 ,-4 ,-19 ,-4 ,+7 ,-2 ,-2
0.2027412 ,Left ,-5 ,-3 ,-9 ,-1 ,-4 ,-6 ,-2 ,-4
0.2115637 ,Left ,-1 ,+8 ,+10 ,+6 ,+6 ,-3 ,-1 ,-1
0.2115669 ,Left ,+3 ,+4 ,-6 ,-14 ,-8 ,+4 ,0  ,+1
0.2266497 ,Left ,+1 ,-3 ,+8 ,+10 ,+16 ,+6 ,0  ,0 
0.2266549 ,Left ,0  ,-4 ,-7 ,+5 ,+3 ,+13 ,-5 ,-2
0.2281046 ,Left ,+2 ,-5 ,-8 ,-8 ,-1 ,-2 ,-1 ,-3
0.2281093 ,Left ,+4 ,+3 ,+7 ,-7 ,-4 ,-18 ,0  ,-1
0.2491999 ,Left ,-2 ,-2 ,0  ,+1 ,-11 ,-5 ,0  ,+2
0.2492059 ,Left ,-1 ,-1 ,-3 ,-10 ,0  ,-11 ,-2 ,-2
0.2507942 ,Left ,-5 ,+3 ,-1 ,+2 ,-7 ,+6 ,-3 ,-6
0.2508003 ,Left ,-4 ,-12 ,-4 ,+5 ,+6 ,+7 ,-6 ,-2
0.262639 ,Left ,0  ,+1 ,-3 ,-5 ,-1 ,-16 ,+2 ,-2
0.2626443 ,Left ,0  ,+1 ,+5 ,+12 ,-8 ,0  ,+1 ,-2
0.2717511 ,Left ,-9 ,-9 ,-2 ,-3 ,+4 ,-6 ,+2 ,0 
0.2718539 ,Left ,+2 ,+7 ,+2 ,-6 ,-7 ,+5 ,-1 ,0 
0.2866164 ,Left ,-2 ,+2 ,+12 ,+8 ,0  ,-9 ,-7 ,-1
0.2866225 ,Left ,0  ,+2 ,+2 ,+15 ,+11 ,+3 ,-1 ,+1
0.2880968 ,Left ,+2 ,-3 ,-2 ,-5 ,+2 ,+9 ,-1 ,-1
0.2881024 ,Left ,+4 ,+2 ,-8 ,-5 ,-3 ,+3 ,0  ,+1
0.3089171 ,Left ,-2 ,-3 ,+5 ,+20 ,+9 ,-4 ,-1 ,-1
0.3089202 ,Left ,-1 ,-1 ,-6 ,-28 ,-4 ,+21 ,-1 ,-2
0.3106501 ,Left ,0  ,-10 ,-10 ,-8 ,-7 ,+5 ,-2 ,0 
0.3106535 ,Left ,+3 ,+14 ,+5 ,+13 ,-15 ,-6 ,-3 ,0 
0.322599 ,Left ,-2 ,-6 ,-9 ,-22 ,-8 ,+18 ,-3 ,-1
0.322602 ,Left ,0  ,+3 ,-1 ,+7 ,+7 ,-13 ,-1 ,+1
0.33149 ,Left ,-2 ,-3 ,-4 ,+10 ,+2 ,+23 ,-7 ,-4
0.3314926 ,Left ,-2 ,-15 ,-3 ,-3 ,+6 ,-4 ,+2 ,-3
0.3464742 ,Left ,-1 ,-7 ,-2 ,-10 ,-13 ,-15 ,-3 ,-5
0.3464774 ,Left ,+3 ,+2 ,+4 ,-2 ,0  ,+2 ,+3 ,0 
0.3479775 ,Left ,+5 ,+11 ,+5 ,+2 ,-2 ,+3 ,-4 ,-3
0.3479983 ,Left ,-4 ,-2 ,0  ,-2 ,+5 ,0  ,-2 ,-3
0.3689063 ,Left ,-1 ,-1 ,-6 ,+9 ,+23 ,+24 ,+6 ,+2
0.3689095 ,Left ,-4 ,-9 ,-3 ,-15 ,-27 ,-13 ,-2 ,-3
0.3704922 ,Left ,-5 ,-8 ,0  ,-4 ,-3 ,-11 ,0  ,-1
0.3704948 ,Left ,-3 ,-11 ,0  ,+4 ,+2 ,+4 ,0  ,-4
0.3826784 ,Left ,-1 ,-4 ,-6 ,-13 ,-9 ,-17 ,-6 ,-2
