timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0243315 ,Right ,0  ,-1 ,+1 ,-3 ,-9 ,+2 ,+2 ,-3
0.0243617 ,Right ,-2 ,+2 ,+1 ,0  ,-1 ,-3 ,0  ,-3
0.0393841 ,Right ,0  ,-3 ,-5 ,-9 ,0  ,-5 ,-3 ,-2
0.0393872 ,Right ,+1 ,-4 ,-1 ,+7 ,0  ,0  ,-1 ,+1
0.0469303 ,Right ,-3 ,-2 ,-2 ,+1 ,-1 ,+10 ,+5 ,0 
0.0469338 ,Right ,-3 ,-2 ,0  ,0  ,+3 ,+6 ,0  ,-3
0.062081 ,Right ,+7 ,+4 ,0  ,+2 ,-1 ,+5 ,+6 ,+2
0.062121 ,Right ,-6 ,-3 ,-3 ,-3 ,-17 ,-9 ,-4 ,-6
0.0695529 ,Right ,+1 ,0  ,-4 ,+2 ,+7 ,-4 ,-5 ,+1
0.0695564 ,Right ,-2 ,+3 ,+29 ,+8 ,+6 ,+5 ,-5 ,0 
0.0919559 ,Right ,-7 ,-7 ,-14 ,+4 ,+3 ,+2 ,+1 ,-4
0.0919587 ,Right ,+1 ,-3 ,-6 ,-12 ,-10 ,+3 ,0  ,-1
0.1070637 ,Right ,+3 ,+4 ,0  ,-9 ,-7 ,+4 ,-2 ,-2
0.1070678 ,Right ,+2 ,0  ,+14 ,+19 ,+3 ,+9 ,+1 ,-1
0.1144161 ,Right ,-4 ,-6 ,-1 ,-15 ,-7 ,-13 ,-12 ,-6
0.1145191 ,Right ,-3 ,0  ,-19 ,+6 ,+6 ,+4 ,+12 ,+3
0.1295494 ,Right ,0  ,-1 ,+17 ,-3 ,-8 ,-8 ,-3 ,-1
0.1295529 ,Right ,-2 ,-4 ,-15 ,-7 ,-3 ,+1 ,+1 ,-1
0.1370049 ,Right ,+4 ,+4 ,+5 ,+4 ,+5 ,+8 ,-1 ,+2
0.1370084 ,Right ,+5 ,+5 ,+15 ,+12 ,+1 ,+5 ,-3 ,0 
0.1446687 ,Right ,+12 ,+14 ,-16 ,-2 ,+7 ,-1 ,-1 ,+4
0.1446731 ,Right ,-4 ,-13 ,-9 ,-22 ,-7 ,-2 ,+1 ,+2
0.1595407 ,Right ,+5 ,+13 ,+49 ,+38 ,+3 ,-6 ,-5 ,+1
0.1595458 ,Right ,0  ,-1 ,-19 ,-9 ,+8 ,+4 ,-8 ,-3
0.1672287 ,Right ,-3 ,+1 ,+19 ,+17 ,-5 ,-9 ,-3 ,+1
0.1672345 ,Right ,+2 ,-3 ,-25 ,-26 ,-7 ,+1 ,+4 ,+1
0.1822458 ,Right ,+9 ,+1 ,+15 ,+5 ,+8 ,+7 ,-4 ,-4
0.1822528 ,Right ,+2 ,+11 ,+22 ,-1 ,+3 ,+1 ,+8 ,+4
0.1896987 ,Right ,-7 ,-18 ,-47 ,-31 ,-14 ,+4 ,+13 ,+4
0.189706 ,Right ,-13 ,+11 ,-2 ,+26 ,+7 ,-4 ,+5 ,-1
0.204717 ,Right ,+6 ,-1 ,+27 ,+23 ,-12 ,-12 ,-3 ,+7
0.2047245 ,Right ,+3 ,-7 ,-44 ,-37 ,+2 ,-1 ,-3 ,-7
0.2121417 ,Right ,-8 ,+2 ,+13 ,+7 ,+1 ,-7 ,-12 ,-14
0.212149 ,Right ,-16 ,-11 ,+13 ,+10 ,+3 ,+4 ,+9 ,-8
0.2271017 ,Right ,-22 ,-4 ,+18 ,+22 ,+28 ,-13 ,-2 ,-1
0.2271111 ,Right ,-5 ,+11 ,-24 ,-79 ,-18 ,+6 ,-4 ,+1
0.2420668 ,Right ,-11 ,-5 ,+10 ,+12 ,+23 ,-1 ,-22 ,-9
0.2420724 ,Right ,-11 ,-15 ,-4 ,-25 ,0  ,+25 ,+28 ,+7
0.2495937 ,Right ,+7 ,-8 ,+43 ,+17 ,-16 ,-6 ,-5 ,-4
0.2495993 ,Right ,+10 ,+7 ,+11 ,+65 ,+2 ,-15 ,-7 ,+2
