timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.025342 ,Right ,-2 ,0  ,-1 ,0  ,-1 ,-1 ,0  ,+1
0.0253448 ,Right ,-2 ,-3 ,+2 ,+2 ,-1 ,-2 ,-2 ,-1
0.0269627 ,Right ,-3 ,-6 ,-14 ,-13 ,-5 ,-1 ,-1 ,-1
0.0269654 ,Right ,-1 ,-5 ,+2 ,-2 ,+6 ,+2 ,+2 ,0 
0.0390329 ,Right ,-2 ,+5 ,-8 ,-4 ,-3 ,-2 ,-2 ,-3
0.0390355 ,Right ,+3 ,+4 ,+19 ,+6 ,-5 ,-2 ,-2 ,-1
0.0481357 ,Right ,-3 ,-1 ,+14 ,+8 ,+7 ,-2 ,-2 ,0 
0.0481383 ,Right ,-1 ,-9 ,-81 ,-20 ,-7 ,-3 ,-2 ,-1
0.062892 ,Right ,-4 ,-20 ,-12 ,-2 ,-1 ,-2 ,0  ,-2
0.0629132 ,Right ,-1 ,+4 ,+3 ,-3 ,-2 ,-2 ,+2 ,-1
0.0645448 ,Right ,+3 ,+10 ,+14 ,+3 ,-5 ,-4 ,-1 ,-2
0.0645472 ,Right ,0  ,-3 ,+18 ,+3 ,0  ,-1 ,-1 ,-1
0.0855967 ,Right ,+1 ,+3 ,+5 ,0  ,-2 ,-3 ,+1 ,+3
0.0856003 ,Right ,-3 ,-4 ,-12 ,-1 ,+4 ,+2 ,+1 ,-1
0.08706 ,Right ,-4 ,-9 ,-10 ,-5 ,-1 ,0  ,-1 ,-2
0.0870633 ,Right ,+4 ,+14 ,+11 ,+1 ,-1 ,-2 ,-1 ,0 
0.0992052 ,Right ,-4 ,+1 ,+2 ,+2 ,-1 ,-1 ,+1 ,0 
0.0992084 ,Right ,+9 ,-3 ,+1 ,-1 ,0  ,+1 ,-2 ,+1
0.1080983 ,Right ,-14 ,-1 ,-9 ,+7 ,0  ,-2 ,-4 ,-2
0.108102 ,Right ,-2 ,-2 ,+3 ,-10 ,-5 ,-4 ,-1 ,-3
0.1229618 ,Right ,0  ,-1 ,+3 ,-1 ,+3 ,+4 ,-1 ,0 
0.1229666 ,Right ,+2 ,+1 ,+2 ,-3 ,-7 ,-4 ,+1 ,-1
0.1245581 ,Right ,+2 ,-2 ,-3 ,+1 ,+4 ,0  ,+1 ,-2
