timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0184667 ,Left ,-1 ,+1 ,+1 ,-1 ,-7 ,0  ,-4 ,-2
0.0184701 ,Left ,-1 ,+1 ,+1 ,-1 ,-7 ,0  ,-4 ,-2
0.0185001 ,Left ,-2 ,-5 ,-7 ,+2 ,+1 ,+4 ,-1 ,-1
0.0185029 ,Left ,-2 ,-5 ,-7 ,+2 ,+1 ,+4 ,-1 ,-1
0.0334137 ,Left ,-1 ,-3 ,-1 ,+2 ,-1 ,-5 ,-1 ,-1
0.0334158 ,Left ,-1 ,-3 ,-1 ,+2 ,-1 ,-5 ,-1 ,-1
0.0334182 ,Left ,0  ,+2 ,-1 ,+1 ,-1 ,0  ,+1 ,-1
0.033423 ,Left ,0  ,+2 ,-1 ,+1 ,-1 ,0  ,+1 ,-1
0.0353335 ,Left ,0  ,-4 ,+1 ,-3 ,+4 ,-1 ,-1 ,0 
0.0353358 ,Left ,0  ,-4 ,+1 ,-3 ,+4 ,-1 ,-1 ,0 
0.0353382 ,Left ,-1 ,-1 ,-3 ,-6 ,-20 ,-8 ,-2 ,-3
0.0353398 ,Left ,-1 ,-1 ,-3 ,-6 ,-20 ,-8 ,-2 ,-3
0.0564026 ,Left ,-2 ,-2 ,-1 ,-9 ,+1 ,-2 ,0  ,0 
0.0564048 ,Left ,-2 ,-2 ,-1 ,-9 ,+1 ,-2 ,0  ,0 
0.0564072 ,Left ,0  ,-3 ,-3 ,+4 ,-2 ,-1 ,-3 ,-2
0.0564088 ,Left ,0  ,-3 ,-3 ,+4 ,-2 ,-1 ,-3 ,-2
0.0575287 ,Left ,-1 ,-2 ,0  ,+8 ,-1 ,-1 ,+2 ,-1
0.0575306 ,Left ,-1 ,-2 ,0  ,+8 ,-1 ,-1 ,+2 ,-1
0.0575425 ,Left ,-1 ,+2 ,+1 ,0  ,+7 ,+3 ,-1 ,-3
0.057544 ,Left ,-1 ,+2 ,+1 ,0  ,+7 ,+3 ,-1 ,-3
0.0713414 ,Left ,+1 ,+1 ,0  ,+9 ,-4 ,-1 ,-1 ,0 
0.0713614 ,Left ,+1 ,+1 ,0  ,+9 ,-4 ,-1 ,-1 ,0 
0.071367 ,Left ,-3 ,-5 ,-5 ,-37 ,0  ,-4 ,0  ,-1
0.0713832 ,Left ,-3 ,-5 ,-5 ,-37 ,0  ,-4 ,0  ,-1
0.0726136 ,Left ,-3 ,-5 ,-3 ,-1 ,+1 ,+3 ,-3 ,-1
0.0726156 ,Left ,-3 ,-5 ,-3 ,-1 ,+1 ,+3 ,-3 ,-1
0.0726181 ,Left ,0  ,+3 ,+2 ,0  ,-3 ,-1 ,-1 ,-2
0.0726197 ,Left ,0  ,+3 ,+2 ,0  ,-3 ,-1 ,-1 ,-2
0.0933862 ,Left ,0  ,+2 ,-1 ,+1 ,+11 ,+1 ,+1 ,0 
0.0933882 ,Left ,0  ,+2 ,-1 ,+1 ,+11 ,+1 ,+1 ,0 
0.0933905 ,Left ,-2 ,-5 ,-6 ,+13 ,-11 ,-4 ,-2 ,0 
0.093392 ,Left ,-2 ,-5 ,-6 ,+13 ,-11 ,-4 ,-2 ,0 
0.0950177 ,Left ,0  ,0  ,+1 ,-5 ,-8 ,-4 ,-1 ,-2
0.0950197 ,Left ,0  ,0  ,+1 ,-5 ,-8 ,-4 ,-1 ,-2
0.0950408 ,Left ,0  ,-4 ,-4 ,-2 ,+5 ,+10 ,+3 ,-1
0.0950425 ,Left ,0  ,-4 ,-4 ,-2 ,+5 ,+10 ,+3 ,-1
0.1162999 ,Left ,-2 ,-4 ,-6 ,-5 ,-7 ,-8 ,-4 ,-2
0.1163027 ,Left ,-2 ,-4 ,-6 ,-5 ,-7 ,-8 ,-4 ,-2
0.1163054 ,Left ,+1 ,+4 ,+7 ,+12 ,0  ,-3 ,0  ,-1
0.1163073 ,Left ,+1 ,+4 ,+7 ,+12 ,0  ,-3 ,0  ,-1
0.1176072 ,Left ,0  ,0  ,-2 ,-19 ,-3 ,-1 ,-2 ,-1
0.1176103 ,Left ,0  ,0  ,-2 ,-19 ,-3 ,-1 ,-2 ,-1
0.1176133 ,Left ,-3 ,-4 ,-2 ,-3 ,0  ,-9 ,-2 ,-2
0.1176153 ,Left ,-3 ,-4 ,-2 ,-3 ,0  ,-9 ,-2 ,-2
0.1312358 ,Left ,-1 ,+2 ,+1 ,+19 ,+2 ,+7 ,-1 ,-1
0.1312387 ,Left ,-1 ,+2 ,+1 ,+19 ,+2 ,+7 ,-1 ,-1
0.1312413 ,Left ,-2 ,-4 ,-4 ,-30 ,+2 ,+7 ,0  ,0 
0.131243 ,Left ,-2 ,-4 ,-4 ,-30 ,+2 ,+7 ,0  ,0 
0.1328038 ,Left ,-1 ,-4 ,-1 ,-2 ,-7 ,-10 ,-2 ,0 
0.1328066 ,Left ,-1 ,-4 ,-1 ,-2 ,-7 ,-10 ,-2 ,0 
0.1328103 ,Left ,-1 ,+1 ,+1 ,+5 ,+8 ,+7 ,+1 ,0 
0.1328122 ,Left ,-1 ,+1 ,+1 ,+5 ,+8 ,+7 ,+1 ,0 
0.1534918 ,Left ,-1 ,0  ,-2 ,-6 ,-5 ,0  ,0  ,0 
0.1534942 ,Left ,-1 ,0  ,-2 ,-6 ,-5 ,0  ,0  ,0 
