timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0313491 ,Left ,+3 ,-3 ,-2 ,+2 ,-3 ,0  ,-3 ,-3
0.0313655 ,Left ,0  ,-2 ,+2 ,-1 ,-1 ,-1 ,-4 ,-2
0.0462336 ,Left ,-1 ,-2 ,-6 ,-3 ,-5 ,-11 ,-6 ,-3
0.0462365 ,Left ,-1 ,0  ,-1 ,0  ,+4 ,+5 ,+2 ,0 
0.0536358 ,Left ,-1 ,-3 ,-4 ,+4 ,+7 ,-1 ,-5 ,0 
0.0536395 ,Left ,-2 ,+1 ,+4 ,+5 ,+14 ,+15 ,-3 ,+1
0.0687281 ,Left ,0  ,-2 ,+1 ,+11 ,+13 ,-2 ,-7 ,0 
0.0687312 ,Left ,0  ,+2 ,-2 ,-15 ,-17 ,-16 ,-7 ,-2
0.0762171 ,Left ,-3 ,+1 ,+5 ,+12 ,+8 ,+3 ,+5 ,+1
0.0762202 ,Left ,-4 ,-6 ,-6 ,-10 ,-11 ,-16 ,0  ,-4
0.0913999 ,Left ,+2 ,+3 ,+4 ,+7 ,+8 ,+9 ,+9 ,+2
0.091403 ,Left ,-1 ,0  ,-1 ,-10 ,-9 ,-8 ,0  ,-3
0.1062924 ,Left ,-3 ,-3 ,-2 ,-7 ,-7 ,+10 ,+5 ,0 
0.1062954 ,Left ,-2 ,-3 ,-1 ,-1 ,-9 ,-16 ,-4 ,-2
0.1137134 ,Left ,0  ,+1 ,-2 ,-5 ,+3 ,+7 ,+3 ,-1
0.1137163 ,Left ,-1 ,0  ,-1 ,+5 ,+2 ,+1 ,0  ,+1
0.1286663 ,Left ,-3 ,-1 ,-3 ,-2 ,+4 ,+8 ,+3 ,-1
0.1286721 ,Left ,-3 ,-2 ,-3 ,-5 ,-13 ,-13 ,-6 ,-1
0.1362082 ,Left ,-2 ,-1 ,0  ,0  ,-6 ,+4 ,0  ,-1
0.1362121 ,Left ,0  ,+4 ,+1 ,0  ,+4 ,+1 ,-2 ,-1
0.1514427 ,Left ,0  ,-3 ,-1 ,-7 ,-9 ,-10 ,-4 ,-2
0.1514483 ,Left ,+2 ,-6 ,-4 ,-4 ,-10 ,-1 ,-3 ,-2
0.1664604 ,Left ,-1 ,+1 ,+5 ,0  ,+4 ,-2 ,-1 ,+5
0.1665511 ,Left ,-1 ,0  ,0  ,+1 ,+3 ,-1 ,-2 ,0 
0.1738638 ,Left ,-3 ,-1 ,+5 ,+17 ,+13 ,+5 ,+4 ,+1
0.1738702 ,Left ,-1 ,-2 ,-2 ,-13 ,0  ,-4 ,-2 ,0 
0.1889236 ,Left ,0  ,-6 ,-1 ,+7 ,-1 ,-11 ,-2 ,-5
0.188946 ,Left ,0  ,-2 ,0  ,-5 ,-1 ,+11 ,+1 ,-5
0.1962509 ,Left ,+1 ,0  ,-1 ,-4 ,-2 ,0  ,-1 ,0 
0.1963053 ,Left ,0  ,+5 ,+3 ,-2 ,-12 ,-12 ,-8 ,-7
0.2115265 ,Left ,-2 ,-4 ,-7 ,-2 ,-6 ,-9 ,-3 ,-1
0.2115333 ,Left ,+4 ,+1 ,+2 ,+6 ,-1 ,+8 ,+5 ,0 
0.2264459 ,Left ,+3 ,-1 ,-3 ,-4 ,-8 ,-8 ,-9 ,-6
0.2264537 ,Left ,+1 ,-2 ,-2 ,-2 ,-4 ,-1 ,+2 ,+2
0.2339684 ,Left ,-3 ,+1 ,-2 ,-3 ,+9 ,+11 ,+1 ,+2
0.2340355 ,Left ,-3 ,-1 ,-1 ,0  ,-9 ,-11 ,-4 ,0 
0.248995 ,Left ,-3 ,-4 ,-2 ,-3 ,0  ,+6 ,0  ,-1
0.2490554 ,Left ,+1 ,+4 ,+2 ,-3 ,-2 ,+1 ,-1 ,+2
0.2560088 ,Left ,-2 ,-3 ,-4 ,+1 ,+3 ,+2 ,-4 ,-4
0.2560281 ,Left ,-5 ,-7 ,-6 ,-2 ,+11 ,+4 ,+3 ,-1
0.2713291 ,Left ,+1 ,+2 ,+2 ,+2 ,0  ,0  ,0  ,+1
0.2713317 ,Left ,-4 ,-10 ,-8 ,-8 ,-14 ,-7 ,-4 ,-2
