timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0144139 ,Left ,-1 ,0  ,+2 ,+1 ,+6 ,0  ,0  ,+3
0.0144196 ,Left ,-1 ,0  ,+2 ,+1 ,+6 ,0  ,0  ,+3
0.0144472 ,Left ,+4 ,-1 ,-2 ,-1 ,-4 ,+1 ,-1 ,-6
0.0144493 ,Left ,+4 ,-1 ,-2 ,-1 ,-4 ,+1 ,-1 ,-6
0.0294973 ,Left ,-16 ,-10 ,-7 ,-5 ,-2 ,-1 ,-3 ,-1
0.0294992 ,Left ,-16 ,-10 ,-7 ,-5 ,-2 ,-1 ,-3 ,-1
0.0295015 ,Left ,+4 ,+2 ,+3 ,0  ,-5 ,-3 ,-3 ,+1
0.0295031 ,Left ,+4 ,+2 ,+3 ,0  ,-5 ,-3 ,-3 ,+1
0.037243 ,Left ,-4 ,+4 ,0  ,+1 ,+3 ,+3 ,+4 ,-3
0.0372456 ,Left ,-4 ,+4 ,0  ,+1 ,+3 ,+3 ,+4 ,-3
0.0372481 ,Left ,-2 ,-6 ,-3 ,-1 ,-1 ,+1 ,-2 ,-1
0.0372496 ,Left ,-2 ,-6 ,-3 ,-1 ,-1 ,+1 ,-2 ,-1
0.0521866 ,Left ,+7 ,+1 ,-1 ,-1 ,-6 ,0  ,+1 ,+1
0.0521891 ,Left ,+7 ,+1 ,-1 ,-1 ,-6 ,0  ,+1 ,+1
0.0521915 ,Left ,+4 ,-3 ,-1 ,-5 ,-5 ,+5 ,0  ,+1
0.0521931 ,Left ,+4 ,-3 ,-1 ,-5 ,-5 ,+5 ,0  ,+1
0.0596003 ,Left ,-11 ,+8 ,0  ,-2 ,+1 ,-3 ,-4 ,-7
0.0596025 ,Left ,-11 ,+8 ,0  ,-2 ,+1 ,-3 ,-4 ,-7
0.0596047 ,Left ,+1 ,+3 ,+4 ,+4 ,+5 ,+1 ,0  ,+5
0.0596063 ,Left ,+1 ,+3 ,+4 ,+4 ,+5 ,+1 ,0  ,+5
0.0747586 ,Left ,+5 ,-2 ,-2 ,-4 ,+2 ,+2 ,+1 ,-1
0.0747613 ,Left ,+5 ,-2 ,-2 ,-4 ,+2 ,+2 ,+1 ,-1
0.0747654 ,Left ,-2 ,-5 ,-5 ,-4 ,-7 ,-1 ,0  ,-2
0.0747669 ,Left ,-2 ,-5 ,-5 ,-4 ,-7 ,-1 ,0  ,-2
0.0895191 ,Left ,-4 ,-1 ,-3 ,-2 ,+1 ,-5 ,-2 ,-1
0.0895211 ,Left ,-4 ,-1 ,-3 ,-2 ,+1 ,-5 ,-2 ,-1
0.0895235 ,Left ,-5 ,-1 ,-2 ,-1 ,0  ,-4 ,-2 ,-4
0.0895252 ,Left ,-5 ,-1 ,-2 ,-1 ,0  ,-4 ,-2 ,-4
0.0970468 ,Left ,+8 ,-1 ,+1 ,+2 ,+4 ,-4 ,0  ,+2
0.0970626 ,Left ,+8 ,-1 ,+1 ,+2 ,+4 ,-4 ,0  ,+2
0.0970651 ,Left ,-3 ,-1 ,-4 ,-3 ,-8 ,-3 ,0  ,-5
0.0970667 ,Left ,-3 ,-1 ,-4 ,-3 ,-8 ,-3 ,0  ,-5
0.1122503 ,Left ,+4 ,-1 ,+4 ,-2 ,-3 ,-1 ,+2 ,+2
0.1122531 ,Left ,+4 ,-1 ,+4 ,-2 ,-3 ,-1 ,+2 ,+2
0.1122562 ,Left ,-16 ,-2 ,-5 ,-3 ,+1 ,-1 ,-1 ,-4
