timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0701687 ,Left ,+3 ,+2 ,+1 ,-6 ,-9 ,-3 ,+1 ,0 
0.0703445 ,Left ,-2 ,-1 ,-4 ,+2 ,+12 ,+2 ,+1 ,0 
0.0851048 ,Left ,-3 ,0  ,0  ,+3 ,+1 ,-13 ,-1 ,-2
0.0851091 ,Left ,-5 ,-3 ,-3 ,-5 ,+2 ,+3 ,-5 ,-2
0.1076241 ,Left ,+2 ,-1 ,+2 ,+6 ,-5 ,-6 ,+1 ,+5
0.1076283 ,Left ,0  ,-4 ,-6 ,-1 ,+8 ,+5 ,+4 ,+2
0.1153598 ,Left ,+3 ,0  ,0  ,-19 ,-32 ,-8 ,-4 ,-2
0.1153629 ,Left ,-5 ,+1 ,+6 ,+8 ,+14 ,+9 ,+1 ,-2
0.1301259 ,Left ,-1 ,-3 ,0  ,+13 ,+30 ,+14 ,+2 ,-1
0.1301499 ,Left ,0  ,-5 ,-7 ,-21 ,-37 ,-20 ,-5 ,-5
0.1452803 ,Left ,0  ,+5 ,+12 ,+17 ,+3 ,-6 ,-3 ,-1
0.1452833 ,Left ,-3 ,+2 ,+3 ,+8 ,+11 ,+2 ,+1 ,0 
0.1602249 ,Left ,0  ,-3 ,-1 ,0  ,-6 ,-7 ,-3 ,0 
0.1602282 ,Left ,-2 ,-9 ,-11 ,-2 ,+3 ,+5 ,-2 ,-2
0.1678208 ,Left ,0  ,-3 ,-4 ,+1 ,+12 ,+18 ,0  ,+2
0.1678243 ,Left ,0  ,+1 ,0  ,-8 ,-27 ,-10 ,-1 ,-2
0.1832633 ,Left ,-1 ,-5 ,-7 ,-3 ,-3 ,+1 ,+2 ,-1
0.1832779 ,Left ,-4 ,-8 ,-14 ,-13 ,-16 ,-5 ,-6 ,-3
0.1906707 ,Left ,+4 ,+4 ,+5 ,+7 ,+7 ,-5 ,+2 ,+4
0.1907745 ,Left ,0  ,0  ,+2 ,+3 ,+13 ,+5 ,+1 ,-1
