timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0660448 ,Right ,+6 ,+23 ,+2 ,-3 ,-7 ,-4 ,-1 ,-4
0.066052 ,Right ,-7 ,-8 ,-11 ,-2 ,-1 ,-4 ,-6 ,-3
0.0663887 ,Right ,+1 ,+3 ,+8 ,-1 ,-1 ,-4 ,-2 ,+2
0.0664256 ,Right ,-10 ,-2 ,+2 ,-5 ,-6 ,-2 ,+2 ,-9
0.0882402 ,Right ,-13 ,-10 ,+3 ,0  ,+2 ,+3 ,+3 ,+2
0.0882439 ,Right ,0  ,-3 ,-7 ,+3 ,+3 ,+3 ,0  ,-8
0.0889918 ,Right ,-1 ,+2 ,-18 ,-1 ,-6 ,-4 ,-6 ,-5
0.0889944 ,Right ,0  ,+1 ,+9 ,-3 ,-3 ,-2 ,-2 ,+1
0.1032961 ,Right ,0  ,-4 ,+7 ,+4 ,+2 ,+2 ,0  ,+1
0.1033017 ,Right ,-7 ,-16 ,-24 ,-1 ,-3 ,-2 ,-2 ,-4
0.1040137 ,Right ,+1 ,+6 ,+7 ,-7 ,-3 ,-1 ,0  ,+1
0.1040164 ,Right ,-1 ,+4 ,-2 ,+2 ,+1 ,-1 ,-1 ,-1
0.1258367 ,Right ,-2 ,-6 ,+11 ,0  ,-3 ,-1 ,0  ,+4
0.1258402 ,Right ,-1 ,-14 ,-36 ,+1 ,-2 ,-2 ,-1 ,+4
0.1265741 ,Right ,+3 ,+12 ,+22 ,-2 ,+3 ,+2 ,-1 ,-6
0.1265771 ,Right ,-3 ,+11 ,+2 ,0  ,-3 ,-3 ,-4 ,-5
0.1484449 ,Right ,-8 ,-13 ,-20 ,-8 ,-3 ,-3 ,-2 ,-7
0.1484491 ,Right ,+6 ,+18 ,+24 ,-4 ,-4 ,-2 ,-2 ,+5
0.1492217 ,Right ,-5 ,-6 ,-8 ,+6 ,0  ,-3 ,-2 ,-1
0.1492251 ,Right ,+5 ,-4 ,+16 ,-1 ,+4 ,+4 ,0  ,+1
0.1635365 ,Right ,-4 ,+2 ,+9 ,+9 ,+3 ,-3 ,-1 ,-1
0.16354 ,Right ,+9 ,-1 ,-6 ,-12 ,-10 ,-5 ,+1 ,-1
0.1642396 ,Right ,-3 ,-9 ,-24 ,+4 ,-1 ,+2 ,0  ,+8
0.1642456 ,Right ,0  ,+3 ,+23 ,-3 ,0  ,0  ,-1 ,-2
0.1864944 ,Right ,+5 ,-4 ,-37 ,-1 ,-1 ,-1 ,+2 ,+1
0.1866728 ,Right ,-3 ,-1 ,+5 ,-5 ,-5 ,-3 ,-2 ,+2
0.1870141 ,Right ,+1 ,-4 ,-11 ,+4 ,-1 ,-3 ,-3 ,+2
0.1871551 ,Right ,-3 ,-9 ,-32 ,-5 ,-3 ,+1 ,-1 ,-11
0.2085595 ,Right ,+13 ,+6 ,+28 ,+3 ,0  ,+1 ,-3 ,+7
0.2085677 ,Right ,+4 ,+10 ,+22 ,+8 ,+8 ,+4 ,+3 ,+5
0.2094794 ,Right ,-1 ,-10 ,-16 ,-4 ,-1 ,+2 ,+2 ,0 
0.2094874 ,Right ,+1 ,+1 ,+6 ,-3 ,-6 ,-8 ,-5 ,0 
0.2318524 ,Right ,+1 ,+5 ,-8 ,-10 ,-7 ,-2 ,-4 ,-10
0.2318694 ,Right ,-9 ,+1 ,+22 ,+4 ,+2 ,0  ,0  ,-2
0.2325198 ,Right ,-4 ,-14 ,-6 ,-3 ,+3 ,+2 ,+2 ,-1
0.2325295 ,Right ,+5 ,+20 ,+16 ,0  ,-1 ,-4 ,-1 ,+4
0.2460096 ,Right ,-5 ,-3 ,-4 ,-6 ,-4 ,+2 ,-2 ,-7
0.2460181 ,Right ,+2 ,+4 ,+13 ,+7 ,+2 ,-1 ,-1 ,-1
0.2467409 ,Right ,-1 ,0  ,+2 ,+6 ,+7 ,+3 ,+2 ,-1
0.2467489 ,Right ,-6 ,-7 ,-2 ,+3 ,-1 ,-1 ,+1 ,0 
0.2685044 ,Right ,-2 ,0  ,+2 ,-6 ,-4 ,+2 ,+3 ,+2
0.2685091 ,Right ,+6 ,+2 ,-7 ,+3 ,-1 ,-2 ,-2 ,+3
0.2692285 ,Right ,-16 ,-2 ,-3 ,-4 ,-5 ,-7 ,-8 ,-11
0.2692337 ,Right ,+16 ,+15 ,+10 ,-1 ,-3 ,-1 ,+3 ,-1
0.2827469 ,Right ,-3 ,-1 ,+20 ,+5 ,+3 ,+1 ,0  ,+1
0.282751 ,Right ,-4 ,-5 ,-50 ,-12 ,-3 ,-2 ,-3 ,-3
0.2911138 ,Right ,+6 ,0  ,-6 ,-3 ,-6 ,-3 ,-1 ,+2
0.2911181 ,Right ,+2 ,-12 ,+7 ,+8 ,+9 ,+4 ,+1 ,+5
0.3059942 ,Right ,-5 ,+2 ,+8 ,+9 ,-2 ,-1 ,+1 ,-4
0.3059983 ,Right ,+6 ,+11 ,-1 ,-8 ,-1 ,+1 ,-2 ,0 
0.3068263 ,Right ,+1 ,+1 ,+14 ,-11 ,-5 ,-2 ,0  ,0 
0.3068303 ,Right ,-15 ,-19 ,-24 ,+4 ,+7 ,+6 ,-1 ,-6
0.3283958 ,Right ,+14 ,+10 ,-1 ,0  ,-1 ,-6 ,-5 ,-3
0.3284007 ,Right ,-9 ,-6 ,+13 ,+7 ,+3 ,+3 ,+1 ,0 
0.3292527 ,Right ,+25 ,+1 ,-1 ,-9 ,-3 ,-4 ,-4 ,+2
0.3292575 ,Right ,-9 ,+18 ,+8 ,0  ,-5 ,-1 ,+4 ,0 
0.3427027 ,Right ,+4 ,-9 ,-15 ,-1 ,0  ,0  ,-5 ,+3
0.3427085 ,Right ,-3 ,0  ,+13 ,+2 ,0  ,+1 ,+1 ,-5
0.3511939 ,Right ,+4 ,+7 ,-2 ,-2 ,-3 ,0  ,+2 ,+4
0.3512002 ,Right ,-3 ,-15 ,+12 ,-1 ,-3 ,-2 ,0  ,0 
0.3657715 ,Right ,+3 ,+20 ,+35 ,+6 ,+3 ,-4 ,-8 ,+1
0.3657742 ,Right ,-1 ,-2 ,-21 ,-2 ,+7 ,+7 ,+11 ,0 
