timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0235642 ,Right ,0  ,-3 ,-11 ,-2 ,-1 ,-4 ,-2 ,-2
0.023601 ,Right ,-1 ,-3 ,-11 ,-12 ,-1 ,-1 ,-1 ,-1
0.0393369 ,Right ,0  ,+1 ,+1 ,0  ,-1 ,-2 ,0  ,0 
0.0393401 ,Right ,0  ,+3 ,+18 ,+7 ,+1 ,+2 ,+1 ,0 
0.0401228 ,Right ,-3 ,-3 ,+1 ,+2 ,-3 ,-1 ,-2 ,-1
0.0401254 ,Right ,0  ,-4 ,-8 ,-5 ,-4 ,-2 ,-1 ,-1
0.0618022 ,Right ,0  ,-1 ,-7 ,+7 ,+7 ,0  ,0  ,-2
0.0618049 ,Right ,0  ,+2 ,+17 ,+6 ,-1 ,-3 ,0  ,0 
0.062509 ,Right ,+1 ,+1 ,+4 ,-8 ,-3 ,-2 ,0  ,0 
0.0626296 ,Right ,-1 ,+1 ,+1 ,+4 ,0  ,+2 ,-1 ,-1
0.0757957 ,Right ,0  ,-3 ,+3 ,-2 ,-2 ,-2 ,-2 ,0 
0.0757988 ,Right ,-1 ,-2 ,-6 ,-1 ,+1 ,-1 ,-1 ,0 
0.083905 ,Right ,-2 ,-5 ,-22 ,-3 ,+3 ,+3 ,+3 ,-3
0.0839116 ,Right ,0  ,-4 ,-18 ,-5 ,-2 ,-2 ,-1 ,-2
0.1001617 ,Right ,0  ,+8 ,+68 ,+19 ,-2 ,-2 ,-1 ,-1
0.1003002 ,Right ,-2 ,-6 ,-56 ,-22 ,-3 ,-2 ,-3 ,-1
0.1005202 ,Right ,+2 ,+1 ,+19 ,+10 ,-2 ,-2 ,-3 ,+2
0.1005324 ,Right ,0  ,+1 ,-15 ,-12 ,0  ,+2 ,0  ,-1
0.122248 ,Right ,-2 ,-10 ,+9 ,+13 ,-3 ,-4 ,-1 ,-2
0.1224525 ,Right ,0  ,-4 ,-16 ,-1 ,-1 ,0  ,0  ,0 
0.122998 ,Right ,-3 ,+3 ,+27 ,+3 ,-1 ,-2 ,-2 ,-1
0.1232488 ,Right ,-1 ,-3 ,-17 ,-14 ,-2 ,-1 ,-3 ,-1
0.1359243 ,Right ,-1 ,-1 ,-12 ,-4 ,0  ,0  ,-2 ,0 
0.1360864 ,Right ,-2 ,-4 ,+14 ,+6 ,-2 ,0  ,-1 ,-2
0.1444125 ,Right ,0  ,-1 ,-11 ,-5 ,0  ,-1 ,+1 ,0 
0.144544 ,Right ,-2 ,+3 ,+33 ,+7 ,-4 ,-3 ,+2 ,+1
0.1598073 ,Right ,-4 ,-4 ,-46 ,-22 ,-6 ,-2 ,-1 ,-2
0.1598166 ,Right ,0  ,+1 ,+11 ,+7 ,+1 ,-1 ,-2 ,0 
0.1603153 ,Right ,0  ,-4 ,-6 ,+4 ,-1 ,-1 ,0  ,-2
0.1603218 ,Right ,-2 ,-1 ,-3 ,-2 ,-1 ,-1 ,-1 ,-3
0.1818547 ,Right ,0  ,-2 ,-7 ,-7 ,+1 ,+5 ,0  ,0 
0.1818575 ,Right ,-1 ,+4 ,+16 ,+13 ,+1 ,0  ,-1 ,-2
0.1825641 ,Right ,-1 ,+4 ,-6 ,-7 ,-1 ,0  ,-1 ,-1
0.1826172 ,Right ,0  ,-2 ,+11 ,-7 ,-6 ,-3 ,-1 ,-1
0.1958997 ,Right ,-1 ,-2 ,-23 ,-3 ,0  ,-2 ,-1 ,0 
0.1959099 ,Right ,0  ,-2 ,+14 ,-1 ,0  ,0  ,-1 ,0 
0.2042939 ,Right ,-1 ,-5 ,-20 ,-13 ,0  ,0  ,-3 ,-1
0.2043043 ,Right ,0  ,+1 ,+15 ,+7 ,+5 ,0  ,0  ,-1
0.2200048 ,Right ,-2 ,+3 ,+10 ,-2 ,-3 ,-2 ,-3 ,-3
0.2200155 ,Right ,-2 ,-1 ,+9 ,+4 ,0  ,-1 ,-2 ,+2
0.2205231 ,Right ,+3 ,+3 ,-28 ,+3 ,-1 ,+2 ,0  ,-1
