timestamp,event,key,correct
0.5558749 ,keyPressed ,p  ,1 
0.6111326 ,keyReleased ,P  ,1 
0.7312365 ,keyPressed ,a  ,1 
0.8272802 ,keyReleased ,A  ,1 
1.0280163 ,keyPressed ,s  ,1 
1.1243908 ,keyReleased ,S  ,1 
1.5707934 ,keyPressed ,s  ,1 
1.6669318 ,keyReleased ,S  ,1 
1.7872047 ,keyPressed ,w  ,1 
1.8832272 ,keyReleased ,W  ,1 
2.0999115 ,keyPressed ,o  ,1 
2.1796337 ,keyReleased ,O  ,1 
2.3955744 ,keyPressed ,r  ,1 
2.4835431 ,keyReleased ,R  ,1 
2.6835295 ,keyPressed ,d  ,1 
2.7634656 ,keyReleased ,D  ,1 
3.3072023 ,keyPressed ,return ,1 
3.3639098 ,keyReleased ,Return ,1 
3.9801722 ,keyPressed ,p  ,1 
4.0442231 ,keyReleased ,P  ,1 
4.1876709 ,keyPressed ,a  ,1 
4.2752615 ,keyReleased ,A  ,1 
4.4675714 ,keyPressed ,s  ,1 
4.5477772 ,keyReleased ,S  ,1 
4.6431025 ,keyPressed ,s  ,1 
4.7231099 ,keyReleased ,S  ,1 
4.8597016 ,keyPressed ,w  ,1 
4.9639665 ,keyReleased ,W  ,1 
5.1965763 ,keyPressed ,o  ,1 
5.2752604 ,keyReleased ,O  ,1 
5.458853 ,keyPressed ,r  ,1 
5.5315062 ,keyReleased ,R  ,1 
5.741226 ,keyPressed ,d  ,1 
5.8194482 ,keyReleased ,D  ,1 
6.0918156 ,keyPressed ,return ,1 
6.1556033 ,keyReleased ,Return ,1 
6.5728405 ,keyPressed ,p  ,1 
6.6367803 ,keyReleased ,P  ,1 
6.8517152 ,keyPressed ,a  ,1 
6.9401331 ,keyReleased ,A  ,1 
7.355822 ,keyPressed ,s  ,1 
7.4435657 ,keyReleased ,S  ,1 
7.5233118 ,keyPressed ,s  ,1 
7.595421 ,keyReleased ,S  ,1 
7.7228128 ,keyPressed ,w  ,1 
7.8203135 ,keyReleased ,W  ,1 
8.1149608 ,keyPressed ,o  ,1 
8.1871591 ,keyReleased ,O  ,1 
8.4038576 ,keyPressed ,r  ,1 
8.4834613 ,keyReleased ,R  ,1 
8.6439433 ,keyPressed ,d  ,1 
8.7312317 ,keyReleased ,D  ,1 
9.0679276 ,keyPressed ,return ,1 
9.1239487 ,keyReleased ,Return ,1 
9.4917271 ,keyPressed ,p  ,1 
9.5555088 ,keyReleased ,P  ,1 
9.7237959 ,keyPressed ,a  ,1 
9.8034756 ,keyReleased ,A  ,1 
10.0112149 ,keyPressed ,s  ,1 
10.0835525 ,keyReleased ,S  ,1 
10.1798364 ,keyPressed ,s  ,1 
10.2596918 ,keyReleased ,S  ,1 
10.396665 ,keyPressed ,w  ,1 
10.4835182 ,keyReleased ,W  ,1 
10.7404025 ,keyPressed ,o  ,1 
10.8031591 ,keyReleased ,O  ,1 
11.0909555 ,keyPressed ,r  ,1 
11.1722341 ,keyReleased ,R  ,1 
11.3397191 ,keyPressed ,d  ,1 
11.4361876 ,keyReleased ,D  ,1 
11.6912206 ,keyPressed ,return ,1 
11.7635258 ,keyReleased ,Return ,1 
12.1318189 ,keyPressed ,p  ,1 
12.186937 ,keyReleased ,P  ,1 
12.3323332 ,keyPressed ,a  ,1 
12.4353557 ,keyReleased ,A  ,1 
12.9799417 ,keyPressed ,s  ,1 
13.0589415 ,keyReleased ,S  ,1 
13.20369 ,keyPressed ,s  ,1 
13.2989255 ,keyReleased ,S  ,1 
13.4362689 ,keyPressed ,w  ,1 
13.5470911 ,keyReleased ,W  ,1 
14.0201491 ,keyPressed ,o  ,1 
14.0919017 ,keyReleased ,O  ,1 
14.2673512 ,keyPressed ,r  ,1 
14.3561322 ,keyReleased ,R  ,1 
14.6273299 ,keyPressed ,d  ,1 
14.7075493 ,keyReleased ,D  ,1 
14.9629872 ,keyPressed ,return ,1 
15.0191713 ,keyReleased ,Return ,1 
15.4599833 ,keyPressed ,p  ,1 
15.5236486 ,keyReleased ,P  ,1 
15.6843535 ,keyPressed ,a  ,1 
15.7638697 ,keyReleased ,A  ,1 
16.0202424 ,keyPressed ,s  ,1 
16.0912255 ,keyReleased ,S  ,1 
16.1713787 ,keyPressed ,s  ,1 
16.2681152 ,keyReleased ,S  ,1 
16.4032745 ,keyPressed ,w  ,1 
16.4907774 ,keyReleased ,W  ,1 
16.7155392 ,keyPressed ,o  ,1 
16.7796364 ,keyReleased ,O  ,1 
17.0590411 ,keyPressed ,r  ,1 
17.1314057 ,keyReleased ,R  ,1 
17.3392993 ,keyPressed ,d  ,1 
17.4115852 ,keyReleased ,D  ,1 
17.6911814 ,keyPressed ,return ,1 
17.7632821 ,keyReleased ,Return ,1 
18.1869335 ,keyPressed ,p  ,1 
18.2514566 ,keyReleased ,P  ,1 
18.4195904 ,keyPressed ,a  ,1 
18.5318391 ,keyReleased ,A  ,1 
18.8832389 ,keyPressed ,s  ,1 
18.9555187 ,keyReleased ,S  ,1 
19.0757577 ,keyPressed ,s  ,1 
19.1561278 ,keyReleased ,S  ,1 
19.3071942 ,keyPressed ,w  ,1 
19.3951599 ,keyReleased ,W  ,1 
19.6431123 ,keyPressed ,o  ,1 
19.7070484 ,keyReleased ,O  ,1 
19.9548563 ,keyPressed ,r  ,1 
20.0192875 ,keyReleased ,R  ,1 
20.2031937 ,keyPressed ,d  ,1 
20.2836361 ,keyReleased ,D  ,1 
20.6439024 ,keyPressed ,return ,1 
20.7161958 ,keyReleased ,Return ,1 
21.0994538 ,keyPressed ,p  ,1 
21.1631756 ,keyReleased ,P  ,1 
21.3393493 ,keyPressed ,a  ,1 
21.4195649 ,keyReleased ,A  ,1 
21.6123521 ,keyPressed ,s  ,1 
21.6829465 ,keyReleased ,S  ,1 
21.7872818 ,keyPressed ,s  ,1 
21.8752414 ,keyReleased ,S  ,1 
22.0029742 ,keyPressed ,w  ,1 
22.1073175 ,keyReleased ,W  ,1 
22.3798775 ,keyPressed ,o  ,1 
22.4517759 ,keyReleased ,O  ,1 
22.6271264 ,keyPressed ,r  ,1 
22.708975 ,keyReleased ,R  ,1 
22.9079723 ,keyPressed ,d  ,1 
22.9964161 ,keyReleased ,D  ,1 
23.4839369 ,keyPressed ,return ,1 
23.5469381 ,keyReleased ,Return ,1 
24.027167 ,keyPressed ,p  ,1 
24.0832475 ,keyReleased ,P  ,1 
24.2358215 ,keyPressed ,a  ,1 
24.3148805 ,keyReleased ,A  ,1 
24.5315484 ,keyPressed ,s  ,1 
24.6038111 ,keyReleased ,S  ,1 
24.6989859 ,keyPressed ,s  ,1 
24.7794964 ,keyReleased ,S  ,1 
24.9233315 ,keyPressed ,w  ,1 
25.0196251 ,keyReleased ,W  ,1 
25.3471694 ,keyPressed ,o  ,1 
25.4193601 ,keyReleased ,O  ,1 
25.6430674 ,keyPressed ,r  ,1 
25.7232509 ,keyReleased ,R  ,1 
26.010773 ,keyPressed ,d  ,1 
26.0910663 ,keyReleased ,D  ,1 
26.5713713 ,keyPressed ,return ,1 
26.6276174 ,keyReleased ,Return ,1 
27.0673791 ,keyPressed ,p  ,1 
27.1308716 ,keyReleased ,P  ,1 
27.2611067 ,keyPressed ,a  ,1 
27.3401769 ,keyReleased ,A  ,1 
27.5716757 ,keyPressed ,s  ,1 
27.6435249 ,keyReleased ,S  ,1 
27.7634295 ,keyPressed ,s  ,1 
27.8509435 ,keyReleased ,S  ,1 
27.9715412 ,keyPressed ,w  ,1 
28.0589466 ,keyReleased ,W  ,1 
28.4528207 ,keyPressed ,o  ,1 
28.5565771 ,keyReleased ,O  ,1 
28.9952852 ,keyPressed ,r  ,1 
29.0924925 ,keyReleased ,R  ,1 
