timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0179557 ,Left ,-3 ,-1 ,+1 ,+1 ,0  ,+1 ,-1 ,-1
0.017961 ,Left ,-3 ,-1 ,+1 ,+1 ,0  ,+1 ,-1 ,-1
0.017967 ,Left ,+3 ,-2 ,-1 ,-5 ,-11 ,-1 ,-1 ,0 
0.0179698 ,Left ,+3 ,-2 ,-1 ,-5 ,-11 ,-1 ,-1 ,0 
0.0252056 ,Left ,+3 ,-1 ,+1 ,-5 ,+3 ,0  ,-1 ,0 
0.0252089 ,Left ,+3 ,-1 ,+1 ,-5 ,+3 ,0  ,-1 ,0 
0.0252408 ,Left ,-3 ,-4 ,-6 ,-9 ,-8 ,0  ,-3 ,-1
0.025243 ,Left ,-3 ,-4 ,-6 ,-9 ,-8 ,0  ,-3 ,-1
0.0405981 ,Left ,-4 ,-4 ,-5 ,-8 ,-1 ,-2 ,0  ,0 
0.0406005 ,Left ,-4 ,-4 ,-5 ,-8 ,-1 ,-2 ,0  ,0 
0.0406029 ,Left ,-2 ,-1 ,-2 ,+1 ,+1 ,-1 ,0  ,-2
0.0406044 ,Left ,-2 ,-1 ,-2 ,+1 ,+1 ,-1 ,0  ,-2
0.0479629 ,Left ,0  ,+1 ,-4 ,+13 ,+14 ,-1 ,+2 ,-1
0.0479654 ,Left ,0  ,+1 ,-4 ,+13 ,+14 ,-1 ,+2 ,-1
0.0479677 ,Left ,-1 ,0  ,-3 ,-12 ,-10 ,+1 ,0  ,-1
0.0479692 ,Left ,-1 ,0  ,-3 ,-12 ,-10 ,+1 ,0  ,-1
0.0630827 ,Left ,0  ,+3 ,+1 ,0  ,+2 ,+3 ,0  ,-1
0.063085 ,Left ,0  ,+3 ,+1 ,0  ,+2 ,+3 ,0  ,-1
0.0630875 ,Left ,-6 ,-5 ,-13 ,-43 ,-6 ,-2 ,0  ,-4
0.063089 ,Left ,-6 ,-5 ,-13 ,-43 ,-6 ,-2 ,0  ,-4
0.0780385 ,Left ,+1 ,0  ,0  ,+11 ,-2 ,-2 ,-1 ,0 
0.0780413 ,Left ,+1 ,0  ,0  ,+11 ,-2 ,-2 ,-1 ,0 
0.0780435 ,Left ,+1 ,0  ,-1 ,+4 ,-9 ,-3 ,-3 ,+1
0.0780451 ,Left ,+1 ,0  ,-1 ,+4 ,-9 ,-3 ,-3 ,+1
0.085337 ,Left ,+1 ,+1 ,0  ,+3 ,+5 ,-3 ,-2 ,0 
0.0853394 ,Left ,+1 ,+1 ,0  ,+3 ,+5 ,-3 ,-2 ,0 
0.085368 ,Left ,-2 ,-1 ,+1 ,+3 ,+5 ,0  ,+1 ,-1
0.0853699 ,Left ,-2 ,-1 ,+1 ,+3 ,+5 ,0  ,+1 ,-1
0.1083679 ,Left ,-2 ,-1 ,+1 ,-4 ,+3 ,+1 ,0  ,-1
0.1083764 ,Left ,-2 ,-1 ,+1 ,-4 ,+3 ,+1 ,0  ,-1
0.1083876 ,Left ,-6 ,-9 ,-16 ,-21 ,-11 ,-1 ,-1 ,-4
0.1083945 ,Left ,-6 ,-9 ,-16 ,-21 ,-11 ,-1 ,-1 ,-4
0.1160582 ,Left ,+3 ,+6 ,+9 ,+8 ,+1 ,-3 ,-2 ,-1
0.1160675 ,Left ,+3 ,+6 ,+9 ,+8 ,+1 ,-3 ,-2 ,-1
0.1160785 ,Left ,+1 ,+4 ,+6 ,-8 ,-6 ,-1 ,-1 ,+1
0.1160856 ,Left ,+1 ,+4 ,+6 ,-8 ,-6 ,-1 ,-1 ,+1
0.1308495 ,Left ,-2 ,-3 ,-2 ,-10 ,-9 ,0  ,-1 ,-1
0.1308579 ,Left ,-2 ,-3 ,-2 ,-10 ,-9 ,0  ,-1 ,-1
0.1308687 ,Left ,-3 ,-9 ,-14 ,+19 ,+27 ,+2 ,-1 ,-4
0.1308757 ,Left ,-3 ,-9 ,-14 ,+19 ,+27 ,+2 ,-1 ,-4
0.1457993 ,Left ,-2 ,-3 ,-6 ,+5 ,-1 ,-5 ,-2 ,-2
0.1458077 ,Left ,-2 ,-3 ,-6 ,+5 ,-1 ,-5 ,-2 ,-2
0.1458186 ,Left ,-1 ,-1 ,+1 ,0  ,-2 ,-2 ,-1 ,0 
0.1458257 ,Left ,-1 ,-1 ,+1 ,0  ,-2 ,-2 ,-1 ,0 
0.1610952 ,Left ,-1 ,-4 ,-3 ,-2 ,+10 ,-1 ,-2 ,-2
0.1611052 ,Left ,-1 ,-4 ,-3 ,-2 ,+10 ,-1 ,-2 ,-2
0.1612063 ,Left ,-2 ,0  ,+2 ,+3 ,+7 ,+2 ,0  ,-1
0.1612141 ,Left ,-2 ,0  ,+2 ,+3 ,+7 ,+2 ,0  ,-1
0.168484 ,Left ,0  ,+1 ,0  ,-9 ,-9 ,-1 ,0  ,-1
0.1684927 ,Left ,0  ,+1 ,0  ,-9 ,-9 ,-1 ,0  ,-1
0.1685035 ,Left ,+1 ,0  ,-1 ,+7 ,+8 ,-3 ,-2 ,-1
0.1685105 ,Left ,+1 ,0  ,-1 ,+7 ,+8 ,-3 ,-2 ,-1
0.1835168 ,Left ,-5 ,-3 ,-3 ,0  ,+2 ,+2 ,-2 ,-1
0.1835258 ,Left ,-5 ,-3 ,-3 ,0  ,+2 ,+2 ,-2 ,-1
0.1836762 ,Left ,-1 ,0  ,+3 ,0  ,-10 ,0  ,-1 ,+2
0.1836844 ,Left ,-1 ,0  ,+3 ,0  ,-10 ,0  ,-1 ,+2
0.1982529 ,Left ,+1 ,-1 ,+3 ,-17 ,-17 ,-2 ,-1 ,-2
0.1982588 ,Left ,+1 ,-1 ,+3 ,-17 ,-17 ,-2 ,-1 ,-2
0.1982663 ,Left ,-1 ,-3 ,-6 ,-10 ,+16 ,-1 ,-1 ,-2
0.1982712 ,Left ,-1 ,-3 ,-6 ,-10 ,+16 ,-1 ,-1 ,-2
0.2054238 ,Left ,+1 ,-3 ,-3 ,-1 ,-10 ,+1 ,-1 ,-1
0.2054358 ,Left ,+1 ,-3 ,-3 ,-1 ,-10 ,+1 ,-1 ,-1
0.2056159 ,Left ,-5 ,-2 ,-1 ,+1 ,-5 ,-2 ,-2 ,-6
0.2056276 ,Left ,-5 ,-2 ,-1 ,+1 ,-5 ,-2 ,-2 ,-6
0.2205177 ,Left ,-2 ,0  ,+1 ,-2 ,+1 ,-2 ,-3 ,0 
0.2205209 ,Left ,-2 ,0  ,+1 ,-2 ,+1 ,-2 ,-3 ,0 
0.2205242 ,Left ,-2 ,0  ,0  ,-3 ,+3 ,0  ,-1 ,+1
0.2205263 ,Left ,-2 ,0  ,0  ,-3 ,+3 ,0  ,-1 ,+1
0.2280451 ,Left ,-4 ,-3 ,-5 ,-2 ,-2 ,-3 ,-3 ,-1
0.2280484 ,Left ,-4 ,-3 ,-5 ,-2 ,-2 ,-3 ,-3 ,-1
0.2280516 ,Left ,+6 ,+6 ,+5 ,+9 ,-6 ,-1 ,-2 ,+4
0.2280538 ,Left ,+6 ,+6 ,+5 ,+9 ,-6 ,-1 ,-2 ,+4
0.2430401 ,Left ,-2 ,-3 ,+2 ,+7 ,+1 ,0  ,0  ,-1
0.2430434 ,Left ,-2 ,-3 ,+2 ,+7 ,+1 ,0  ,0  ,-1
0.243047 ,Left ,-5 ,-4 ,0  ,+4 ,-8 ,-5 ,-3 ,-3
0.2430493 ,Left ,-5 ,-4 ,0  ,+4 ,-8 ,-5 ,-3 ,-3
0.257975 ,Left ,-2 ,+3 ,+1 ,+4 ,+10 ,-4 ,-2 ,-2
0.2579772 ,Left ,-2 ,+3 ,+1 ,+4 ,+10 ,-4 ,-2 ,-2
0.2579796 ,Left ,0  ,-3 ,-10 ,-28 ,-21 ,-4 ,0  ,-2
0.2579811 ,Left ,0  ,-3 ,-10 ,-28 ,-21 ,-4 ,0  ,-2
0.265298 ,Left ,+1 ,+2 ,+4 ,+1 ,+14 ,0  ,+1 ,0 
0.2652999 ,Left ,+1 ,+2 ,+4 ,+1 ,+14 ,0  ,+1 ,0 
0.2653493 ,Left ,-3 ,-7 ,-2 ,-3 ,-15 ,-2 ,-1 ,0 
