timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0313069 ,Right ,-2 ,-5 ,+7 ,-4 ,-6 ,+1 ,-2 ,-2
0.0313099 ,Right ,-2 ,-5 ,+7 ,-4 ,-6 ,+1 ,-2 ,-2
0.0313124 ,Right ,+3 ,+13 ,+15 ,+10 ,0  ,-1 ,0  ,+2
0.0313141 ,Right ,+3 ,+13 ,+15 ,+10 ,0  ,-1 ,0  ,+2
0.0328999 ,Right ,0  ,+8 ,-3 ,-3 ,+1 ,0  ,-2 ,0 
0.0329051 ,Right ,0  ,+8 ,-3 ,-3 ,+1 ,0  ,-2 ,0 
0.0329587 ,Right ,-3 ,-1 ,-3 ,-6 ,-5 ,0  ,-2 ,-4
0.0329605 ,Right ,-3 ,-1 ,-3 ,-6 ,-5 ,0  ,-2 ,-4
0.0545094 ,Right ,+2 ,-2 ,+1 ,-2 ,-10 ,-6 ,0  ,+2
0.054518 ,Right ,+2 ,-2 ,+1 ,-2 ,-10 ,-6 ,0  ,+2
0.0545263 ,Right ,-2 ,-8 ,-6 ,+2 ,+8 ,-1 ,+4 ,0 
0.0545315 ,Right ,-2 ,-8 ,-6 ,+2 ,+8 ,-1 ,+4 ,0 
0.0559197 ,Right ,-2 ,-4 ,-7 ,-3 ,-2 ,+3 ,-1 ,-2
0.0559259 ,Right ,-2 ,-4 ,-7 ,-3 ,-2 ,+3 ,-1 ,-2
0.0559342 ,Right ,+2 ,+5 ,+13 ,-3 ,+1 ,0  ,-2 ,-1
0.0559395 ,Right ,+2 ,+5 ,+13 ,-3 ,+1 ,0  ,-2 ,-1
0.06831 ,Right ,-2 ,-1 ,-16 ,+5 ,-2 ,+3 ,0  ,+1
0.0683386 ,Right ,-2 ,-1 ,-16 ,+5 ,-2 ,+3 ,0  ,+1
0.0683487 ,Right ,-5 ,-9 ,-14 ,-5 ,-10 ,-6 ,-4 ,-3
0.0683539 ,Right ,-5 ,-9 ,-14 ,-5 ,-10 ,-6 ,-4 ,-3
