timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0216294 ,Left ,-5 ,-4 ,-6 ,0  ,-1 ,-3 ,-2 ,-1
0.021715 ,Left ,+7 ,-1 ,0  ,-11 ,-4 ,+1 ,-2 ,-1
0.036489 ,Left ,+1 ,-3 ,+3 ,+1 ,+5 ,-1 ,0  ,0 
0.0364916 ,Left ,+2 ,+11 ,+2 ,-1 ,0  ,+1 ,-1 ,0 
0.0441823 ,Left ,-1 ,+5 ,-10 ,-8 ,-3 ,-2 ,0  ,-2
0.0441852 ,Left ,-6 ,-5 ,-4 ,-6 ,0  ,-1 ,-1 ,0 
0.0592496 ,Left ,+1 ,-11 ,-1 ,+8 ,+8 ,+3 ,-1 ,0 
0.0592528 ,Left ,+2 ,+4 ,+9 ,-6 ,-3 ,-3 ,-1 ,-2
0.0665361 ,Left ,-1 ,-16 ,-20 ,-7 ,-7 ,0  ,+1 ,+3
0.0665391 ,Left ,-6 ,+2 ,-1 ,+2 ,+10 ,-1 ,0  ,-5
0.0742656 ,Left ,+2 ,+11 ,+3 ,+5 ,-2 ,-2 ,-2 ,-1
0.074269 ,Left ,0  ,+4 ,-2 ,-1 ,+3 ,-1 ,-1 ,+1
0.0891289 ,Left ,+1 ,0  ,+4 ,-1 ,-4 ,+2 ,-1 ,-3
0.089132 ,Left ,+3 ,+2 ,-4 ,+2 ,-1 ,+1 ,-1 ,+2
0.096725 ,Left ,-9 ,-21 ,-2 ,-1 ,-6 ,-2 ,-2 ,-1
0.0967284 ,Left ,+1 ,+5 ,-1 ,-1 ,-2 ,-1 ,-2 ,-4
0.1117499 ,Left ,0  ,+12 ,+6 ,+2 ,0  ,-1 ,-3 ,0 
0.1117543 ,Left ,-4 ,-16 ,-13 ,-8 ,+4 ,+1 ,-1 ,-2
0.1192642 ,Left ,-3 ,0  ,0  ,-8 ,-3 ,-2 ,+1 ,-3
0.1192676 ,Left ,-4 ,-5 ,0  ,+8 ,+2 ,0  ,-3 ,-1
0.1342567 ,Left ,-6 ,-11 ,-3 ,-8 ,-1 ,-3 ,-3 ,-6
0.1342609 ,Left ,-13 ,-6 ,-9 ,+1 ,-5 ,-2 ,+1 ,-3
0.1494349 ,Left ,0  ,+14 ,+7 ,-2 ,-8 ,0  ,+1 ,-1
0.149441 ,Left ,+4 ,-2 ,-3 ,+5 ,+9 ,-5 ,-3 ,0 
0.1567105 ,Left ,+1 ,-5 ,+4 ,+5 ,+6 ,+1 ,-1 ,0 
0.156717 ,Left ,-2 ,+11 ,+5 ,-3 ,-10 ,0  ,-2 ,-3
0.1716024 ,Left ,-1 ,0  ,-5 ,-5 ,0  ,-4 ,-3 ,-1
0.1717095 ,Left ,+2 ,+8 ,+9 ,+3 ,-3 ,+1 ,0  ,+1
0.1791811 ,Left ,-6 ,-6 ,-9 ,+5 ,+5 ,+1 ,-2 ,-1
0.1792811 ,Left ,-3 ,-29 ,-2 ,-7 ,-7 ,-3 ,-2 ,-2
0.1943509 ,Left ,-4 ,-1 ,-5 ,0  ,-2 ,-1 ,-3 ,-6
0.1943561 ,Left ,-3 ,-13 ,+4 ,+9 ,+9 ,-1 ,0  ,0 
0.209206 ,Left ,-1 ,-6 ,-21 ,-6 ,+1 ,-2 ,-3 ,-2
0.209211 ,Left ,-1 ,+17 ,+7 ,-2 ,-8 ,-1 ,-1 ,-1
0.2167568 ,Left ,+3 ,+9 ,+9 ,+4 ,+8 ,+2 ,0  ,0 
0.2167622 ,Left ,-4 ,-7 ,-5 ,-3 ,-2 ,-2 ,0  ,-1
0.2316104 ,Left ,-1 ,-7 ,+4 ,+3 ,+4 ,0  ,0  ,0 
0.2316148 ,Left ,-8 ,-6 ,-13 ,-3 ,+1 ,-5 ,-2 ,-4
0.239214 ,Left ,0  ,-1 ,+3 ,+3 ,-2 ,0  ,0  ,0 
0.2392187 ,Left ,+2 ,+7 ,-2 ,-3 ,-4 ,-3 ,0  ,+1
0.2545215 ,Left ,-3 ,+10 ,+1 ,+3 ,+4 ,-2 ,-1 ,-1
0.2545277 ,Left ,-6 ,+8 ,-8 ,-5 ,-7 ,0  ,-1 ,+1
0.2693881 ,Left ,+10 ,+6 ,+14 ,+5 ,+5 ,+2 ,0  ,+4
0.2693946 ,Left ,-5 ,-2 ,+2 ,+1 ,-3 ,-1 ,0  ,-2
0.2768959 ,Left ,-4 ,-20 ,-6 ,-18 ,-12 ,-1 ,0  ,0 
0.2769021 ,Left ,+1 ,0  ,+2 ,+9 ,-6 ,-5 ,-4 ,0 
0.2918467 ,Left ,-5 ,+10 ,-6 ,-6 ,+3 ,+2 ,-3 ,-4
0.291853 ,Left ,-4 ,+3 ,+1 ,+1 ,-1 ,-2 ,-2 ,-5
0.2994235 ,Left ,0  ,-19 ,+3 ,+1 ,-5 ,-3 ,0  ,0 
0.29943 ,Left ,+4 ,+9 ,-4 ,-6 ,0  ,-1 ,+1 ,+1
0.3139523 ,Left ,-5 ,-10 ,-2 ,+1 ,-1 ,0  ,+1 ,-3
0.3139553 ,Left ,+12 ,+5 ,-2 ,-4 ,-7 ,-3 ,-4 ,-2
0.3291998 ,Left ,-5 ,-10 ,-5 ,+7 ,-3 ,0  ,-1 ,-3
0.3292033 ,Left ,0  ,+1 ,-7 ,-10 ,+7 ,+1 ,0  ,0 
0.3365738 ,Left ,+3 ,-1 ,+4 ,-2 ,-15 ,+1 ,0  ,+3
0.3365764 ,Left ,-7 ,-6 ,+7 ,-1 ,+4 ,+1 ,0  ,-4
0.3514116 ,Left ,-4 ,+3 ,-8 ,+2 ,+7 ,-5 ,-2 ,-3
0.3514144 ,Left ,-1 ,-5 ,-16 ,-14 ,-15 ,-6 ,-6 ,-4
0.3591702 ,Left ,-3 ,-15 ,+3 ,+5 ,+3 ,-2 ,-1 ,-1
0.3592243 ,Left ,-3 ,+1 ,-8 ,-2 ,+4 ,+2 ,0  ,+1
0.3821532 ,Left ,+5 ,+19 ,+1 ,-1 ,-1 ,-3 ,-3 ,-4
0.3821691 ,Left ,+3 ,+2 ,-14 ,-11 ,-3 ,-1 ,+1 ,0 
0.396649 ,Left ,0  ,-9 ,+8 ,-4 ,+1 ,-1 ,-1 ,+2
0.3966521 ,Left ,-1 ,-7 ,-6 ,+5 ,-1 ,0  ,0  ,-2
0.4043303 ,Left ,-2 ,+5 ,-3 ,0  ,-2 ,-1 ,-1 ,+1
0.4043339 ,Left ,-1 ,-3 ,+3 ,+1 ,+6 ,0  ,-1 ,-3
0.4190931 ,Left ,-7 ,-11 ,-15 ,-7 ,-5 ,0  ,-1 ,-5
0.4190959 ,Left ,+1 ,+4 ,+11 ,+11 ,+7 ,+1 ,+1 ,+1
0.4265779 ,Left ,+4 ,+2 ,-7 ,+2 ,-3 ,-2 ,0  ,0 
0.4265819 ,Left ,-3 ,-2 ,+5 ,+1 ,+2 ,-2 ,-1 ,-1
0.4343633 ,Left ,+2 ,+12 ,-7 ,-2 ,+2 ,-3 ,0  ,-3
0.434367 ,Left ,+6 ,+14 ,+10 ,+21 ,+5 ,-3 ,-1 ,+3
0.449258 ,Left ,+2 ,+4 ,+11 ,+8 ,+6 ,+2 ,-1 ,+1
0.4492632 ,Left ,-4 ,-2 ,-15 ,-34 ,-9 ,0  ,-2 ,-3
0.4569029 ,Left ,-4 ,-9 ,-7 ,-15 ,-22 ,-2 ,-1 ,-4
0.4569086 ,Left ,-2 ,+2 ,-1 ,-4 ,-2 ,-1 ,0  ,+1
0.4715825 ,Left ,-1 ,+4 ,-3 ,+7 ,+1 ,+3 ,+2 ,-1
0.471586 ,Left ,+1 ,-1 ,+5 ,+21 ,+5 ,-7 ,-3 ,+4
0.4791789 ,Left ,-1 ,+4 ,-1 ,+10 ,+6 ,-2 ,-4 ,0 
0.4791818 ,Left ,0  ,-3 ,+3 ,-15 ,-5 ,-1 ,0  ,-1
0.4940088 ,Left ,+12 ,+2 ,+5 ,+10 ,+6 ,0  ,0  ,+1
0.4940118 ,Left ,+2 ,+1 ,+11 ,+30 ,-5 ,-2 ,-2 ,+3
0.5091936 ,Left ,-1 ,-11 ,-9 ,-15 ,-1 ,0  ,+1 ,+1
0.5091973 ,Left ,+1 ,+5 ,+9 ,+10 ,+4 ,+2 ,0  ,0 
0.5166726 ,Left ,-9 ,-3 ,0  ,-13 ,-14 ,-1 ,+1 ,-2
0.5166763 ,Left ,-2 ,-7 ,-12 ,-8 ,0  ,-3 ,-2 ,-5
0.5316495 ,Left ,+1 ,0  ,+5 ,-4 ,-8 ,+2 ,+1 ,-1
0.5316537 ,Left ,-1 ,-1 ,-2 ,+3 ,+12 ,-1 ,-3 ,-1
0.5391702 ,Left ,0  ,+2 ,+2 ,+21 ,+7 ,-2 ,-2 ,0 
0.5391749 ,Left ,-1 ,-4 ,-5 ,-15 ,-6 ,+2 ,+1 ,-3
0.554488 ,Left ,-6 ,-6 ,-13 ,-27 ,+7 ,+11 ,+1 ,-1
0.554495 ,Left ,-5 ,-14 ,-10 ,-21 ,-1 ,-1 ,-1 ,-3
0.5694646 ,Left ,+8 ,+30 ,+5 ,+19 ,+7 ,-9 ,-5 ,-2
0.5694717 ,Left ,0  ,-1 ,+3 ,+1 ,-20 ,+17 ,+11 ,0 
0.5769407 ,Left ,+5 ,+7 ,+9 ,-2 ,+10 ,0  ,-5 ,+3
0.5769479 ,Left ,-5 ,-10 ,+7 ,-2 ,-1 ,+5 ,+9 ,+2
0.5919042 ,Left ,-19 ,-19 ,+9 ,+65 ,+17 ,-35 ,+33 ,+1
0.5920076 ,Left ,+8 ,-3 ,-46 ,-44 ,-46 ,-64 ,-71 ,-19
0.5994537 ,Left ,+35 ,+2 ,-8 ,-51 ,-2 ,+17 ,+6 ,+11
0.5994606 ,Left ,-28 ,0  ,+4 ,+8 ,+6 ,+34 ,+19 ,+1
0.6144944 ,Left ,-23 ,-11 ,+1 ,+17 ,+37 ,+67 ,+58 ,-3
0.6145012 ,Left ,-35 ,+1 ,-1 ,+21 ,-30 ,-19 ,-7 ,-17
0.6293509 ,Left ,-5 ,+2 ,+4 ,-29 ,-23 ,-13 ,-32 ,+18
0.6293576 ,Left ,-4 ,-12 ,-11 ,-2 ,+2 ,-48 ,+89 ,-1
0.6367938 ,Left ,-22 ,-19 ,-31 ,-79 ,-38 ,-38 ,-128 ,-65
0.6368003 ,Left ,+39 ,+18 ,+18 ,+101 ,+50 ,+85 ,+53 ,+51
0.6515159 ,Left ,-5 ,-14 ,+2 ,+3 ,-28 ,+62 ,+9 ,-19
0.6515186 ,Left ,-3 ,-2 ,-4 ,-19 ,-29 ,-28 ,-61 ,-21
0.6592919 ,Left ,+13 ,+12 ,+8 ,-8 ,-5 ,+78 ,+59 ,+19
0.6592951 ,Left ,-19 ,-15 ,-24 ,-15 ,+18 ,-29 ,-11 ,-28
0.6741832 ,Left ,+11 ,-1 ,-9 ,+7 ,+10 ,+7 ,-9 ,+16
0.6741865 ,Left ,-8 ,-7 ,0  ,-18 ,+7 ,+40 ,+25 ,+14
0.6815058 ,Left ,-21 ,+13 ,+9 ,+55 ,+2 ,-40 ,+17 ,0 
0.6815089 ,Left ,+24 ,+32 ,+18 ,0  ,-6 ,+41 ,-18 ,+6
0.6966451 ,Left ,-30 ,-48 ,-7 ,-8 ,-17 ,-29 ,+4 ,-6
0.6966492 ,Left ,+20 ,+3 ,+1 ,+1 ,-12 ,-20 ,-19 ,+4
0.7116344 ,Left ,-1 ,+27 ,+13 ,+3 ,+14 ,+26 ,+3 ,+1
0.7116391 ,Left ,+10 ,+17 ,+2 ,+26 ,+16 ,-2 ,+7 ,0 
0.7193358 ,Left ,+26 ,-2 ,+7 ,+30 ,+13 ,-12 ,-7 ,-2
0.7193411 ,Left ,-6 ,-21 ,-23 ,-28 ,-2 ,-20 ,-8 ,-11
0.7341218 ,Left ,-13 ,-6 ,+2 ,-34 ,-8 ,+9 ,+5 ,-12
0.7341266 ,Left ,-13 ,+2 ,-18 ,+27 ,+14 ,+6 ,-3 ,+3
0.741662 ,Left ,+1 ,+9 ,+4 ,+9 ,-4 ,+1 ,+3 ,+11
0.7416835 ,Left ,+1 ,-13 ,+2 ,-12 ,-7 ,-20 ,-7 ,-10
0.7567188 ,Left ,+2 ,+8 ,-3 ,-5 ,-20 ,-18 ,0  ,+1
0.7567242 ,Left ,-20 ,-18 ,-18 ,-38 ,-7 ,-20 ,-10 ,-20
0.7716239 ,Left ,+5 ,-1 ,+1 ,+9 ,+22 ,+17 ,+7 ,+7
0.771628 ,Left ,0  ,+2 ,+10 ,-6 ,-22 ,+1 ,-2 ,0 
0.7791008 ,Left ,0  ,-1 ,0  ,+23 ,+15 ,-5 ,+4 ,+2
0.7791034 ,Left ,+2 ,0  ,+8 ,-7 ,+8 ,+1 ,0  ,+4
0.7940997 ,Left ,+7 ,-4 ,-11 ,-19 ,-14 ,+4 ,-7 ,-5
0.7941025 ,Left ,0  ,-6 ,-1 ,+7 ,-25 ,-4 ,+3 ,+2
0.801507 ,Left ,-14 ,+4 ,+4 ,+2 ,+3 ,-6 ,+3 ,+1
0.80151 ,Left ,-3 ,-4 ,-2 ,+1 ,+21 ,-12 ,-2 ,0 
0.8165839 ,Left ,0  ,-5 ,-19 ,-27 ,-33 ,-46 ,-52 ,-17
0.8165874 ,Left ,+74 ,+20 ,-4 ,-25 ,-12 ,-7 ,+9 ,+21
0.8320477 ,Left ,-81 ,-22 ,-4 ,+21 ,+23 ,+1 ,-15 ,-21
0.8322921 ,Left ,-15 ,-8 ,+4 ,-25 ,+17 ,+1 ,-4 ,+4
0.8395208 ,Left ,+5 ,+5 ,+14 ,+37 ,+10 ,+14 ,-4 ,+5
