timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.013527 ,Right ,-4 ,-2 ,+1 ,+1 ,-4 ,-5 ,-2 ,-2
0.0135598 ,Right ,0  ,0  ,+1 ,-3 ,+2 ,+1 ,-3 ,-1
0.0288794 ,Right ,-1 ,-1 ,0  ,+3 ,-1 ,+1 ,+1 ,-2
0.0288825 ,Right ,-1 ,-2 ,-2 ,-5 ,0  ,-3 ,-2 ,-5
0.0360741 ,Right ,0  ,-3 ,-3 ,0  ,0  ,+4 ,-2 ,-2
0.0360766 ,Right ,-1 ,+1 ,+1 ,-1 ,-2 ,-1 ,-2 ,+1
0.0510839 ,Right ,0  ,+1 ,-1 ,+1 ,0  ,-3 ,-3 ,0 
0.051088 ,Right ,-2 ,0  ,-1 ,-1 ,+1 ,-2 ,+1 ,-1
0.0586606 ,Right ,-1 ,-4 ,+6 ,+3 ,-1 ,-1 ,0  ,-1
0.0586634 ,Right ,-1 ,+1 ,-3 ,0  ,+3 ,+1 ,+1 ,-3
0.066301 ,Right ,-2 ,-2 ,+2 ,-3 ,0  ,-1 ,+2 ,-1
0.0663044 ,Right ,-1 ,-1 ,-5 ,-8 ,-7 ,-2 ,-2 ,+1
0.0738425 ,Right ,0  ,0  ,-1 ,-2 ,-1 ,-4 ,-1 ,0 
0.0738464 ,Right ,-1 ,-4 ,+3 ,+4 ,-3 ,+1 ,-3 ,0 
0.088696 ,Right ,-3 ,-2 ,-2 ,-4 ,-1 ,-3 ,-1 ,0 
0.0887015 ,Right ,-1 ,0  ,+2 ,+5 ,+1 ,-2 ,-1 ,-1
0.0962721 ,Right ,0  ,+1 ,0  ,-3 ,0  ,0  ,+1 ,-3
0.0962762 ,Right ,+1 ,-2 ,-4 ,0  ,-5 ,0  ,-1 ,-1
0.1109843 ,Right ,0  ,+1 ,-1 ,-2 ,+1 ,+2 ,-2 ,-4
0.1109876 ,Right ,-1 ,-2 ,+2 ,+2 ,0  ,0  ,+1 ,+1
0.1190115 ,Right ,-2 ,-2 ,-5 ,+1 ,-1 ,-1 ,-3 ,0 
0.119015 ,Right ,-2 ,0  ,-2 ,-9 ,-2 ,-6 ,-2 ,-2
0.1262894 ,Right ,-1 ,-4 ,+1 ,+4 ,0  ,-2 ,-2 ,0 
0.1262928 ,Right ,-2 ,-2 ,0  ,0  ,+2 ,+1 ,0  ,+1
0.1338439 ,Right ,-2 ,+1 ,-2 ,-4 ,-6 ,-2 ,0  ,0 
0.1338477 ,Right ,-1 ,-1 ,-1 ,+3 ,+1 ,-3 ,-2 ,-2
0.1490123 ,Right ,-2 ,-1 ,-5 ,-22 ,-8 ,-3 ,-1 ,-1
0.149017 ,Right ,-1 ,0  ,+2 ,+6 ,+1 ,-1 ,-3 ,-3
0.1564473 ,Right ,-3 ,-5 ,-6 ,-1 ,+2 ,+2 ,0  ,-1
0.1564532 ,Right ,0  ,-1 ,+1 ,+1 ,0  ,-1 ,-1 ,0 
0.1713939 ,Right ,-1 ,-1 ,-4 ,+3 ,-2 ,-1 ,-2 ,+2
0.1714011 ,Right ,-1 ,-1 ,-2 ,-2 ,-2 ,-1 ,0  ,-1
0.1789929 ,Right ,0  ,0  ,-1 ,-5 ,-5 ,-2 ,+1 ,-3
0.179 ,Right ,-1 ,0  ,-1 ,-4 ,-5 ,-5 ,-2 ,-1
0.1865653 ,Right ,-2 ,0  ,+2 ,+7 ,+9 ,+3 ,+1 ,-3
0.1865814 ,Right ,+1 ,-1 ,0  ,-2 ,+5 ,+2 ,+1 ,0 
0.1939782 ,Right ,0  ,-2 ,-1 ,0  ,-2 ,-3 ,-1 ,-1
0.1939867 ,Right ,-3 ,-1 ,-1 ,-3 ,-3 ,0  ,+2 ,+1
0.2089871 ,Right ,+1 ,+2 ,-4 ,-11 ,-2 ,0  ,-2 ,-2
0.2089959 ,Right ,-1 ,-5 ,+3 ,+1 ,-6 ,-2 ,-1 ,-1
0.2166173 ,Right ,-3 ,-1 ,-1 ,+2 ,+3 ,-3 ,-4 ,-2
0.2166278 ,Right ,+1 ,-1 ,-1 ,-2 ,-3 ,0  ,-1 ,-1
0.2315716 ,Right ,-2 ,-2 ,-2 ,-4 ,+1 ,-1 ,-1 ,-1
0.2316639 ,Right ,0  ,+1 ,-3 ,-1 ,-3 ,-1 ,-4 ,-1
0.2389 ,Right ,+2 ,0  ,+2 ,+1 ,0  ,-3 ,-3 ,+2
0.2389077 ,Right ,-3 ,-2 ,-1 ,0  ,+1 ,-1 ,-1 ,0 
0.2539626 ,Right ,-2 ,-2 ,+2 ,+4 ,+1 ,+1 ,0  ,0 
0.2539681 ,Right ,-1 ,-1 ,-2 ,-7 ,-2 ,-7 ,-4 ,-2
0.261262 ,Right ,-3 ,0  ,+1 ,0  ,-7 ,+3 ,0  ,0 
0.2612671 ,Right ,-1 ,+3 ,+3 ,+8 ,+5 ,+3 ,+2 ,0 
0.276425 ,Right ,-1 ,+1 ,-1 ,+9 ,+2 ,-4 ,0  ,0 
0.2764302 ,Right ,-2 ,-2 ,-1 ,-5 ,-4 ,-1 ,-1 ,-2
0.2838229 ,Right ,-3 ,-3 ,-3 ,+1 ,-2 ,-2 ,-3 ,+1
0.2838279 ,Right ,0  ,-3 ,-5 ,+2 ,-2 ,-1 ,0  ,-3
0.2989195 ,Right ,+2 ,+7 ,+2 ,-3 ,-1 ,+1 ,+1 ,+1
0.2989637 ,Right ,-3 ,-9 ,-7 ,-1 ,-3 ,-3 ,-1 ,0 
0.3064465 ,Right ,+1 ,0  ,+3 ,+11 ,-4 ,-3 ,-1 ,0 
0.3064522 ,Right ,-2 ,+3 ,+1 ,+8 ,+1 ,+1 ,-1 ,-2
0.3136343 ,Right ,0  ,+1 ,-3 ,-11 ,0  ,-1 ,0  ,+2
0.3136389 ,Right ,-1 ,-2 ,-7 ,-8 ,-6 ,-5 ,-5 ,-4
0.328882 ,Right ,-1 ,-1 ,0  ,-5 ,+2 ,+5 ,+1 ,+3
0.3288853 ,Right ,-6 ,-5 ,-4 ,-5 ,0  ,+1 ,-3 ,-4
0.3363654 ,Right ,-4 ,-2 ,+1 ,+3 ,+3 ,-2 ,-1 ,+1
0.3363694 ,Right ,+1 ,+1 ,+1 ,+2 ,-1 ,-1 ,-2 ,-1
0.3514637 ,Right ,-1 ,-4 ,-5 ,-7 ,-6 ,-5 ,-3 ,0 
0.3514689 ,Right ,+1 ,+3 ,0  ,-2 ,-6 ,-3 ,+1 ,+2
0.3588283 ,Right ,-3 ,-1 ,-3 ,-3 ,+5 ,+6 ,0  ,-5
0.3588341 ,Right ,+1 ,+1 ,-1 ,-2 ,+4 ,+3 ,0  ,0 
0.3664393 ,Right ,+2 ,-1 ,0  ,+2 ,-5 ,-4 ,-1 ,-2
0.3664472 ,Right ,+1 ,-1 ,-3 ,-12 ,-6 ,-4 ,+1 ,+4
0.3740803 ,Right ,-5 ,-7 ,-3 ,-3 ,-9 ,-10 ,-2 ,-4
