timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0111814 ,Left ,0  ,-3 ,-2 ,+1 ,0  ,+3 ,-3 ,-1
0.0112161 ,Left ,-1 ,-4 ,-4 ,-2 ,-5 ,-2 ,-4 ,-3
0.0129563 ,Left ,0  ,-1 ,+1 ,+2 ,+1 ,0  ,0  ,0 
0.0129954 ,Left ,0  ,+2 ,-1 ,-2 ,0  ,-1 ,0  ,+1
0.0338956 ,Left ,-3 ,-1 ,-2 ,+1 ,0  ,+3 ,0  ,+1
0.0338985 ,Left ,0  ,+3 ,+3 ,+2 ,+3 ,+3 ,+1 ,0 
0.0355554 ,Left ,-1 ,-1 ,-2 ,-1 ,-3 ,-8 ,-2 ,-2
0.0355585 ,Left ,-1 ,+1 ,+1 ,+6 ,+2 ,+4 ,0  ,-1
0.0561852 ,Left ,-2 ,-1 ,+1 ,-6 ,-2 ,+4 ,-2 ,0 
0.0561884 ,Left ,-1 ,-4 ,0  ,+1 ,0  ,-3 ,-2 ,-1
0.0576625 ,Left ,0  ,0  ,0  ,-3 ,-6 ,+6 ,-1 ,-1
0.0577248 ,Left ,0  ,-2 ,-5 ,0  ,-2 ,-13 ,-1 ,-2
0.0713588 ,Left ,0  ,0  ,-1 ,-8 ,-6 ,+1 ,0  ,-2
0.0713622 ,Left ,-1 ,-1 ,-3 ,+1 ,0  ,-12 ,-1 ,0 
0.0727878 ,Left ,-2 ,+1 ,0  ,-3 ,0  ,+15 ,+2 ,-1
0.0728036 ,Left ,-2 ,-1 ,0  ,0  ,-1 ,0  ,0  ,-2
0.0942564 ,Left ,-3 ,-2 ,-3 ,+2 ,+1 ,-3 ,-3 ,-2
0.0942704 ,Left ,0  ,-1 ,-3 ,-6 ,-4 ,-7 ,0  ,+1
0.0959754 ,Left ,-2 ,-3 ,-3 ,-1 ,-3 ,-6 ,-3 ,0 
0.0961386 ,Left ,-1 ,-2 ,0  ,-1 ,+2 ,+4 ,0  ,0 
0.1170413 ,Left ,-2 ,-2 ,0  ,+6 ,+3 ,0  ,0  ,-2
0.1172005 ,Left ,0  ,-2 ,0  ,-3 ,+2 ,+5 ,0  ,-2
0.11833 ,Left ,-2 ,-2 ,+1 ,-5 ,-2 ,-8 ,0  ,0 
0.118342 ,Left ,-3 ,-1 ,-1 ,-1 ,-5 ,+1 ,-2 ,-1
0.131514 ,Left ,+1 ,0  ,-1 ,-2 ,-1 ,-2 ,-1 ,0 
0.1315264 ,Left ,-1 ,-1 ,-3 ,-1 ,-3 ,-2 ,-2 ,-1
0.1379055 ,Left ,-3 ,-4 ,-3 ,-1 ,+2 ,+6 ,-1 ,-1
0.1379217 ,Left ,0  ,-3 ,-1 ,0  ,0  ,-11 ,-3 ,0 
0.154276 ,Left ,+1 ,+3 ,0  ,-3 ,-2 ,-1 ,0  ,-1
0.1542882 ,Left ,0  ,0  ,+4 ,+2 ,-2 ,+1 ,-2 ,-1
0.1557629 ,Left ,0  ,0  ,-2 ,+2 ,-4 ,-2 ,-2 ,0 
0.1557747 ,Left ,-1 ,-2 ,-1 ,0  ,-5 ,-6 ,-3 ,-2
0.1765471 ,Left ,-2 ,-4 ,-4 ,-4 ,+2 ,+16 ,-1 ,-3
0.1765517 ,Left ,+1 ,-1 ,-2 ,-1 ,+2 ,-2 ,-1 ,-2
0.1780203 ,Left ,-2 ,-2 ,+2 ,+1 ,-2 ,-6 ,-1 ,-3
0.1780243 ,Left ,+1 ,+4 ,+3 ,+4 ,+3 ,+5 ,+1 ,-1
0.1907174 ,Left ,0  ,-5 ,-3 ,-3 ,-4 ,-17 ,-4 ,-3
0.1907213 ,Left ,-3 ,-1 ,+1 ,+3 ,+4 ,+16 ,-1 ,-2
0.1974568 ,Left ,-2 ,-2 ,-2 ,-4 ,+2 ,-5 ,0  ,0 
0.1974602 ,Left ,+2 ,-1 ,-2 ,-3 ,-3 ,+3 ,+1 ,-1
0.2138319 ,Left ,-2 ,+4 ,+1 ,+4 ,+4 ,0  ,+2 ,0 
0.213835 ,Left ,-1 ,-4 ,-4 ,-5 ,-5 ,-7 ,+1 ,0 
0.2155193 ,Left ,+1 ,-2 ,-1 ,0  ,-3 ,-8 ,-5 ,-2
0.2155218 ,Left ,-1 ,+1 ,0  ,-2 ,+1 ,+4 ,-1 ,+1
0.236215 ,Left ,-1 ,+2 ,0  ,+1 ,-2 ,-4 ,-2 ,0 
0.2362181 ,Left ,-3 ,-4 ,-5 ,-3 ,-2 ,0  ,-2 ,-1
0.2379861 ,Left ,-2 ,+1 ,-1 ,-1 ,+1 ,-2 ,0  ,-2
