timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0201374 ,Left ,+1 ,-2 ,-3 ,-4 ,-3 ,-1 ,0  ,-3
0.0201614 ,Left ,-2 ,-3 ,-2 ,0  ,+2 ,-1 ,-3 ,-1
0.0277353 ,Left ,-1 ,-5 ,-7 ,-3 ,-4 ,+2 ,-1 ,0 
0.0277379 ,Left ,+1 ,+4 ,+8 ,+1 ,-1 ,-5 ,0  ,+1
0.0427552 ,Left ,-3 ,-1 ,+1 ,-11 ,0  ,-2 ,-2 ,0 
0.0427579 ,Left ,-2 ,-5 ,-4 ,+1 ,-5 ,0  ,-1 ,-1
0.0579326 ,Left ,-4 ,-1 ,-4 ,-11 ,+1 ,+1 ,-3 ,-2
0.057936 ,Left ,0  ,-1 ,-3 ,+2 ,-1 ,-2 ,-3 ,-3
0.0653323 ,Left ,0  ,+2 ,+3 ,+3 ,-3 ,-1 ,-1 ,-2
0.0653373 ,Left ,-3 ,-2 ,-6 ,-7 ,-4 ,0  ,-1 ,-2
0.0803867 ,Left ,-1 ,-1 ,-1 ,+2 ,+6 ,+2 ,+1 ,0 
0.0803903 ,Left ,-2 ,-2 ,-4 ,-6 ,-5 ,-3 ,-2 ,-2
0.0879984 ,Left ,-1 ,+2 ,-2 ,-2 ,+2 ,0  ,0  ,-1
0.0880016 ,Left ,-1 ,-5 ,-3 ,-4 ,-10 ,-3 ,-3 ,-4
0.1030574 ,Left ,-3 ,0  ,-1 ,-3 ,+1 ,-2 ,-3 ,-3
0.103061 ,Left ,-1 ,0  ,+4 ,+7 ,+5 ,-1 ,-1 ,-3
0.117927 ,Left ,-3 ,-3 ,-3 ,-2 ,-5 ,-2 ,-3 ,-5
0.1179322 ,Left ,+2 ,0  ,+1 ,-5 ,-4 ,0  ,0  ,0 
0.1253961 ,Left ,+1 ,-2 ,0  ,-3 ,-5 ,-2 ,-1 ,-1
0.1253997 ,Left ,-4 ,-3 ,-5 ,+5 ,+3 ,+1 ,-1 ,-1
0.1402358 ,Left ,0  ,0  ,-1 ,-12 ,-5 ,-3 ,+1 ,0 
0.1402407 ,Left ,-3 ,-1 ,0  ,+4 ,-1 ,-1 ,-1 ,0 
0.1478143 ,Left ,0  ,-3 ,-1 ,+13 ,+9 ,+2 ,-2 ,-1
0.1478174 ,Left ,-2 ,-5 ,-7 ,-19 ,-14 ,-8 ,-4 ,-1
0.1627261 ,Left ,+4 ,-3 ,-7 ,-7 ,-8 ,-3 ,-1 ,+1
0.1627987 ,Left ,+1 ,+2 ,+6 ,+4 ,0  ,+4 ,0  ,-3
