timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0594346 ,Right ,-2 ,+7 ,0  ,+4 ,+2 ,+1 ,0  ,+17
0.0594593 ,Right ,+2 ,0  ,+6 ,-5 ,-6 ,-6 ,-5 ,-8
0.061059 ,Right ,-2 ,-6 ,+28 ,+6 ,+1 ,0  ,-2 ,-2
0.0611344 ,Right ,-7 ,-14 ,-45 ,-15 ,-7 ,-3 ,+2 ,-7
0.0733503 ,Right ,-1 ,+12 ,+7 ,-1 ,+1 ,0  ,-3 ,-2
0.0733545 ,Right ,+1 ,-1 ,-12 ,-3 ,-4 ,-4 ,-2 ,+3
0.0824932 ,Right ,-6 ,-14 ,+22 ,-1 ,-1 ,-2 ,-3 ,-3
0.0824967 ,Right ,-1 ,-4 ,+9 ,+6 ,+1 ,+1 ,+1 ,+1
0.0973766 ,Right ,+1 ,+10 ,-1 ,-5 ,-3 ,+1 ,+2 ,-6
0.0973806 ,Right ,-5 ,-7 ,-8 ,-4 ,-3 ,-2 ,+1 ,-4
0.0988918 ,Right ,0  ,0  ,-13 ,+2 ,+1 ,0  ,-1 ,+1
0.0988948 ,Right ,-1 ,-1 ,+2 ,0  ,+1 ,0  ,+1 ,-3
0.1196418 ,Right ,-4 ,+1 ,-4 ,-3 ,-3 ,-4 ,0  ,-5
0.1196446 ,Right ,+1 ,+1 ,+6 ,0  ,-1 ,-1 ,0  ,-1
0.1212129 ,Right ,-4 ,-10 ,-11 ,-3 ,-2 ,-2 ,-5 ,+1
0.1212155 ,Right ,-2 ,+1 ,+12 ,+6 ,+1 ,-1 ,0  ,-1
0.1335069 ,Right ,-1 ,+17 ,-7 ,0  ,+1 ,-2 ,-1 ,-4
0.1335178 ,Right ,-4 ,-28 ,-7 ,-11 ,-4 ,-2 ,-1 ,-1
0.1425491 ,Right ,-13 ,-3 ,+13 ,-1 ,-1 ,0  ,-2 ,-4
0.1425522 ,Right ,+5 ,+3 ,+12 ,+12 ,+2 ,+3 ,+4 ,0 
0.1571582 ,Right ,-4 ,-16 ,-45 ,-13 ,-1 ,+1 ,-2 ,-5
0.1571619 ,Right ,-3 ,+14 ,+16 ,-5 ,-5 ,-4 ,-8 ,-1
0.158621 ,Right ,0  ,+8 ,-11 ,0  ,-1 ,-1 ,+4 ,-1
0.1586235 ,Right ,0  ,-6 ,+21 ,+6 ,+3 ,0  ,0  ,0 
0.1797671 ,Right ,+2 ,+7 ,+10 ,+11 ,+6 ,+1 ,-1 ,+1
0.1797708 ,Right ,+1 ,-1 ,-16 ,-7 ,-4 ,-3 ,0  ,-2
0.1815169 ,Right ,-2 ,-11 ,+4 ,-2 ,-2 ,-2 ,-4 ,-1
0.181521 ,Right ,0  ,+13 ,-9 ,0  ,0  ,0  ,-3 ,-1
0.1936946 ,Right ,0  ,+1 ,+4 ,+1 ,0  ,-1 ,0  ,-2
0.1936976 ,Right ,-2 ,-1 ,-1 ,+1 ,+2 ,0  ,-1 ,-1
0.2021906 ,Right ,+3 ,0  ,+1 ,+1 ,-1 ,-2 ,-4 ,0 
0.2022904 ,Right ,-1 ,-5 ,-3 ,-5 ,-3 ,0  ,+2 ,-3
0.2179135 ,Right ,-3 ,-1 ,-4 ,-5 ,-2 ,-1 ,-2 ,-1
0.2180233 ,Right ,0  ,0  ,+4 ,+6 ,-1 ,-2 ,+2 ,-3
0.2191503 ,Right ,0  ,-28 ,-11 ,-3 ,-1 ,0  ,0  ,+2
0.2191659 ,Right ,0  ,-9 ,-7 ,+3 ,-1 ,0  ,-1 ,+1
0.2401067 ,Right ,+2 ,-14 ,+6 ,-2 ,-3 ,-1 ,-2 ,+1
0.2402872 ,Right ,-2 ,-10 ,-8 ,-3 ,-2 ,+1 ,-7 ,-15
0.2416818 ,Right ,+2 ,+1 ,-5 ,-3 ,-2 ,+1 ,+5 ,+4
0.2416935 ,Right ,-2 ,-2 ,+3 ,0  ,0  ,-2 ,-3 ,-20
0.2537084 ,Right ,-1 ,-1 ,+5 ,-1 ,+1 ,-2 ,-2 ,-1
0.2538333 ,Right ,-1 ,+3 ,-2 ,+1 ,-2 ,-3 ,-2 ,+2
0.2624151 ,Right ,0  ,+6 ,-11 ,-2 ,-2 ,-1 ,+2 ,-2
0.2624212 ,Right ,-3 ,-3 ,+12 ,+1 ,-1 ,-1 ,-3 ,+3
0.2775105 ,Right ,-2 ,+4 ,-5 ,-1 ,-1 ,-2 ,-2 ,-2
0.2775172 ,Right ,-1 ,+3 ,-10 ,-4 ,0  ,-2 ,0  ,+1
0.2790529 ,Right ,-2 ,+4 ,0  ,-3 ,-4 ,-2 ,-5 ,-2
0.2790597 ,Right ,-6 ,0  ,-1 ,+1 ,0  ,0  ,+2 ,+2
0.3000733 ,Right ,-2 ,+2 ,-2 ,+1 ,+1 ,+3 ,0  ,-1
0.3000826 ,Right ,+3 ,+3 ,+8 ,+4 ,-1 ,0  ,0  ,+7
0.3013362 ,Right ,-4 ,-29 ,-15 ,-5 ,-4 ,-3 ,0  ,-2
0.301343 ,Right ,+4 ,0  ,-11 ,-5 ,0  ,-3 ,-1 ,-1
0.31342 ,Right ,-4 ,+7 ,+10 ,+3 ,0  ,-1 ,-2 ,-6
0.3134265 ,Right ,-2 ,-5 ,-4 ,-5 ,0  ,-3 ,0  ,+1
0.3227363 ,Right ,0  ,+9 ,-1 ,-3 ,-1 ,-3 ,-3 ,0 
0.3227485 ,Right ,-1 ,-1 ,+8 ,+5 ,+3 ,+2 ,0  ,+1
0.3373686 ,Right ,+1 ,+1 ,-3 ,-1 ,-1 ,-1 ,-1 ,+1
0.3375324 ,Right ,-3 ,-3 ,+15 ,+3 ,0  ,-1 ,0  ,0 
0.3389337 ,Right ,+1 ,+9 ,-28 ,+1 ,+1 ,+1 ,-1 ,-3
0.3389424 ,Right ,0  ,+3 ,+3 ,-6 ,-4 ,-2 ,-3 ,-1
0.3598252 ,Right ,+2 ,+9 ,+13 ,+4 ,+1 ,+2 ,+1 ,+1
0.3598329 ,Right ,-2 ,+1 ,+7 ,-5 ,-4 ,-3 ,+1 ,-1
0.3614441 ,Right ,+1 ,-2 ,+2 ,-5 ,-2 ,-2 ,-5 ,-3
