timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0650254 ,Left ,+1 ,-2 ,0  ,+7 ,+6 ,0  ,-2 ,-1
0.0650296 ,Left ,+1 ,-2 ,0  ,+7 ,+6 ,0  ,-2 ,-1
0.0650347 ,Left ,+1 ,+4 ,+6 ,-12 ,-4 ,-3 ,+1 ,-1
0.0650364 ,Left ,+1 ,+4 ,+6 ,-12 ,-4 ,-3 ,+1 ,-1
0.0795063 ,Left ,-5 ,-3 ,-6 ,-1 ,+6 ,-2 ,-3 ,-2
0.079509 ,Left ,-5 ,-3 ,-6 ,-1 ,+6 ,-2 ,-3 ,-2
0.0796052 ,Left ,-3 ,-6 ,-8 ,-3 ,-2 ,-2 ,-1 ,-2
0.079607 ,Left ,-3 ,-6 ,-8 ,-3 ,-2 ,-2 ,-1 ,-2
0.0946792 ,Left ,+3 ,+5 ,+13 ,+10 ,+3 ,0  ,0  ,+1
0.0946818 ,Left ,+3 ,+5 ,+13 ,+10 ,+3 ,0  ,0  ,+1
0.0946842 ,Left ,+1 ,+2 ,0  ,-2 ,-1 ,0  ,0  ,0 
0.0946857 ,Left ,+1 ,+2 ,0  ,-2 ,-1 ,0  ,0  ,0 
0.1023779 ,Left ,+1 ,-2 ,0  ,-3 ,-1 ,0  ,-1 ,-1
0.1023801 ,Left ,+1 ,-2 ,0  ,-3 ,-1 ,0  ,-1 ,-1
0.1023825 ,Left ,-2 ,-2 ,-7 ,+1 ,+1 ,-4 ,-2 ,-2
0.1023841 ,Left ,-2 ,-2 ,-7 ,+1 ,+1 ,-4 ,-2 ,-2
0.117204 ,Left ,-2 ,-3 ,-5 ,-8 ,0  ,-1 ,-3 ,-3
0.1172063 ,Left ,-2 ,-3 ,-5 ,-8 ,0  ,-1 ,-3 ,-3
0.1172254 ,Left ,-2 ,0  ,+1 ,0  ,+3 ,-2 ,-2 ,-3
0.1172271 ,Left ,-2 ,0  ,+1 ,0  ,+3 ,-2 ,-2 ,-3
0.1246541 ,Left ,-3 ,0  ,0  ,-4 ,-9 ,-2 ,-1 ,0 
0.124656 ,Left ,-3 ,0  ,0  ,-4 ,-9 ,-2 ,-1 ,0 
0.1246583 ,Left ,-2 ,-2 ,-1 ,-1 ,+2 ,+1 ,0  ,-3
0.1246598 ,Left ,-2 ,-2 ,-1 ,-1 ,+2 ,+1 ,0  ,-3
0.1478635 ,Left ,+2 ,+3 ,+1 ,-5 ,0  ,-1 ,-1 ,-1
0.1478724 ,Left ,+2 ,+3 ,+1 ,-5 ,0  ,-1 ,-1 ,-1
0.1478832 ,Left ,0  ,+1 ,+1 ,0  ,-3 ,-1 ,0  ,+1
0.1478902 ,Left ,0  ,+1 ,+1 ,0  ,-3 ,-1 ,0  ,+1
0.1624944 ,Left ,0  ,-2 ,-3 ,-5 ,0  ,-3 ,-2 ,-2
0.1625007 ,Left ,0  ,-2 ,-3 ,-5 ,0  ,-3 ,-2 ,-2
0.1625082 ,Left ,-2 ,-8 ,-7 ,-1 ,+2 ,-1 ,-1 ,-1
0.1625132 ,Left ,-2 ,-8 ,-7 ,-1 ,+2 ,-1 ,-1 ,-1
0.1701512 ,Left ,-3 ,+1 ,+7 ,+6 ,+2 ,-2 ,-1 ,-2
0.1701575 ,Left ,-3 ,+1 ,+7 ,+6 ,+2 ,-2 ,-1 ,-2
0.1701633 ,Left ,+1 ,+6 ,+1 ,-3 ,-10 ,-1 ,-1 ,0 
0.170167 ,Left ,+1 ,+6 ,+1 ,-3 ,-10 ,-1 ,-1 ,0 
0.1851583 ,Left ,-1 ,-3 ,-5 ,-11 ,0  ,-2 ,-2 ,-2
0.1851631 ,Left ,-1 ,-3 ,-5 ,-11 ,0  ,-2 ,-2 ,-2
0.185169 ,Left ,-2 ,-3 ,-4 ,-4 ,-1 ,+1 ,-1 ,-1
0.1851728 ,Left ,-2 ,-3 ,-4 ,-4 ,-1 ,+1 ,-1 ,-1
0.1924815 ,Left ,+1 ,-3 ,-2 ,-1 ,-2 ,0  ,0  ,-2
0.1924887 ,Left ,+1 ,-3 ,-2 ,-1 ,-2 ,0  ,0  ,-2
0.1926124 ,Left ,+4 ,+2 ,+5 ,+5 ,-1 ,-1 ,0  ,0 
0.192617 ,Left ,+4 ,+2 ,+5 ,+5 ,-1 ,-1 ,0  ,0 
0.1999442 ,Left ,-3 ,-3 ,-3 ,-14 ,0  ,-1 ,-1 ,-1
0.199951 ,Left ,-3 ,-3 ,-3 ,-14 ,0  ,-1 ,-1 ,-1
