timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0235868 ,Right ,-4 ,-11 ,+3 ,+3 ,+5 ,-1 ,-1 ,-2
0.0235917 ,Right ,0  ,+8 ,-7 ,-6 ,-9 ,-2 ,0  ,+1
0.0244309 ,Right ,-1 ,-1 ,-1 ,+1 ,+2 ,+2 ,0  ,-2
0.0244335 ,Right ,+2 ,-3 ,-6 ,-5 ,-1 ,-5 ,-1 ,-2
0.0380174 ,Right ,+4 ,+7 ,-8 ,-1 ,-7 ,-3 ,-1 ,-1
0.0380205 ,Right ,0  ,-7 ,+1 ,0  ,-5 ,-4 ,-2 ,-3
0.038796 ,Right ,-2 ,-4 ,+2 ,+1 ,+7 ,+4 ,-1 ,+1
0.0387989 ,Right ,-4 ,-2 ,+5 ,+1 ,+2 ,+2 ,-2 ,0 
0.0612326 ,Right ,-4 ,-1 ,-4 ,-4 ,-1 ,0  ,0  ,-1
0.0612358 ,Right ,0  ,-1 ,-5 ,-1 ,-9 ,-4 ,-2 ,-2
0.062907 ,Right ,+3 ,+3 ,+2 ,+1 ,+7 ,+2 ,+2 ,+2
0.0629105 ,Right ,+4 ,-2 ,+3 ,0  ,-3 ,-1 ,-1 ,-2
0.0836537 ,Right ,-2 ,-1 ,-10 ,-2 ,+2 ,0  ,0  ,-1
0.0837219 ,Right ,-2 ,+2 ,+10 ,+2 ,-2 ,0  ,+1 ,-1
0.0846798 ,Right ,-3 ,-10 ,-20 ,-8 ,-6 ,-4 ,-3 ,-1
0.0846823 ,Right ,-1 ,+6 ,+2 ,+4 ,0  ,-1 ,0  ,+1
0.0972435 ,Right ,-1 ,0  ,-8 ,-7 ,-2 ,-1 ,0  ,-1
0.0972461 ,Right ,-1 ,+2 ,+4 ,+1 ,+2 ,0  ,-1 ,-2
0.1062372 ,Right ,0  ,-2 ,+4 ,-2 ,-5 ,0  ,-1 ,-2
0.1062398 ,Right ,-2 ,-5 ,-14 ,-6 ,+1 ,0  ,+1 ,+1
0.1289586 ,Right ,-3 ,-3 ,-8 ,-2 ,-1 ,0  ,-2 ,-1
0.1289633 ,Right ,-3 ,-8 ,+7 ,+1 ,-1 ,-1 ,-3 ,-2
