timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0190248 ,Left ,+1 ,-2 ,-5 ,-17 ,-11 ,-3 ,0  ,+1
0.019057 ,Left ,-5 ,-10 ,-13 ,-4 ,+5 ,-1 ,-2 ,-2
0.0265754 ,Left ,+1 ,+3 ,+8 ,+28 ,+11 ,+1 ,+1 ,-1
0.0265781 ,Left ,0  ,+3 ,0  ,-30 ,-17 ,-2 ,-4 ,-4
0.0418495 ,Left ,-2 ,-2 ,-6 ,+3 ,+4 ,+2 ,-2 ,-2
0.0418525 ,Left ,-2 ,-2 ,-4 ,+3 ,-5 ,0  ,+1 ,-1
0.0567799 ,Left ,-2 ,0  ,-5 ,-9 ,-1 ,-2 ,0  ,-1
0.0567843 ,Left ,+1 ,-1 ,0  ,+2 ,-1 ,-2 ,0  ,0 
0.0641775 ,Left ,-1 ,-1 ,+1 ,+1 ,-4 ,+5 ,-2 ,-1
0.0641804 ,Left ,-1 ,-3 ,-2 ,+3 ,0  ,-12 ,-3 ,0 
0.0792206 ,Left ,-2 ,0  ,0  ,-3 ,+16 ,+2 ,+2 ,0 
0.0792236 ,Left ,+1 ,-3 ,-5 ,-5 ,-16 ,-4 ,-6 ,-2
0.0868393 ,Left ,-1 ,-1 ,+2 ,+2 ,+5 ,-2 ,+1 ,+1
0.0868422 ,Left ,+1 ,+3 ,+4 ,+10 ,+13 ,+6 ,+1 ,+1
0.101922 ,Left ,+2 ,+9 ,+8 ,-4 ,-1 ,0  ,-1 ,+1
0.1019251 ,Left ,-2 ,-6 ,-7 ,+8 ,0  ,0  ,-2 ,-1
0.1168645 ,Left ,0  ,+2 ,+3 ,-8 ,-1 ,-2 ,+1 ,-1
0.1168677 ,Left ,-1 ,-3 ,-6 ,+5 ,+6 ,-4 ,-1 ,0 
0.1241882 ,Left ,-2 ,-1 ,0  ,-4 ,0  ,-2 ,-1 ,-2
0.1241922 ,Left ,-2 ,-2 ,-3 ,-1 ,-1 ,-1 ,-2 ,0 
0.1393699 ,Left ,0  ,-2 ,-3 ,+5 ,-1 ,+3 ,-2 ,0 
0.139373 ,Left ,0  ,0  ,+2 ,+4 ,+14 ,+4 ,+2 ,-2
0.1467907 ,Left ,-2 ,-3 ,-1 ,-11 ,-24 ,-9 ,-3 ,-2
0.1467939 ,Left ,0  ,0  ,0  ,-2 ,+2 ,-1 ,-3 ,0 
0.1617094 ,Left ,+1 ,+1 ,+6 ,-3 ,+6 ,+4 ,+2 ,-1
0.1617132 ,Left ,-2 ,-1 ,-8 ,-10 ,-9 ,-1 ,-1 ,-1
0.1767957 ,Left ,+1 ,0  ,0  ,+5 ,-1 ,-3 ,-1 ,-1
0.1768001 ,Left ,+2 ,+1 ,+6 ,+11 ,+6 ,-1 ,+1 ,0 
0.184362 ,Left ,+1 ,0  ,-3 ,0  ,+2 ,-1 ,-3 ,0 
0.184366 ,Left ,-1 ,-2 ,-3 ,-2 ,-9 ,-7 ,+1 ,0 
0.1996172 ,Left ,-1 ,0  ,-1 ,-2 ,-3 ,+4 ,0  ,0 
0.1996221 ,Left ,-3 ,-3 ,-4 ,-1 ,+5 ,-4 ,-1 ,-2
0.2068484 ,Left ,-3 ,-3 ,-2 ,+4 ,+2 ,-1 ,-3 ,-1
0.206854 ,Left ,-1 ,+1 ,+1 ,-8 ,-5 ,-1 ,+1 ,-2
0.2218537 ,Left ,-3 ,-7 ,-1 ,-4 ,+2 ,+1 ,0  ,-3
0.2218566 ,Left ,+1 ,+5 ,+4 ,+1 ,-2 ,0  ,+1 ,-1
0.2368466 ,Left ,-2 ,-2 ,+2 ,+11 ,+2 ,0  ,-3 ,0 
0.2368495 ,Left ,-1 ,0  ,0  ,-7 ,-6 ,-2 ,0  ,-1
0.2442449 ,Left ,-2 ,-1 ,-3 ,-14 ,+4 ,0  ,0  ,-1
0.2442512 ,Left ,0  ,-1 ,-6 ,-4 ,-12 ,-1 ,-2 ,-3
0.2591144 ,Left ,-2 ,-2 ,-4 ,+2 ,-14 ,-2 ,-1 ,-1
0.2591173 ,Left ,-4 ,-3 ,+3 ,+2 ,+3 ,0  ,-1 ,-3
0.2741814 ,Left ,0  ,+1 ,+1 ,-4 ,-10 ,-3 ,-1 ,0 
0.2741851 ,Left ,-2 ,-3 ,-1 ,0  ,+3 ,+2 ,-1 ,-1
0.281775 ,Left ,-1 ,0  ,-3 ,+13 ,-6 ,-3 ,0  ,0 
0.2817789 ,Left ,-2 ,-4 ,-4 ,-19 ,0  ,0  ,-2 ,-1
0.2967737 ,Left ,-1 ,-1 ,0  ,+10 ,+6 ,-3 ,-3 ,-1
0.2967794 ,Left ,-2 ,0  ,0  ,-9 ,-6 ,-4 ,0  ,-2
0.3046152 ,Left ,-1 ,-2 ,-10 ,-6 ,+4 ,+2 ,-1 ,+1
0.3047386 ,Left ,+1 ,+4 ,+13 ,+9 ,+3 ,+4 ,0  ,0 
0.3195798 ,Left ,0  ,-2 ,-3 ,+4 ,+6 ,0  ,+1 ,-1
0.3195884 ,Left ,+1 ,+2 ,-1 ,+6 ,-1 ,-2 ,-2 ,0 
0.3271797 ,Left ,-2 ,-3 ,-3 ,-9 ,-3 ,-3 ,-2 ,-2
0.3271882 ,Left ,-5 ,-5 ,-6 ,0  ,-1 ,-8 ,-2 ,-4
0.3421956 ,Left ,-3 ,-3 ,-1 ,+14 ,+12 ,+5 ,-1 ,-1
0.342208 ,Left ,+2 ,+1 ,-1 ,+6 ,-9 ,0  ,-1 ,+1
0.3570991 ,Left ,-2 ,-3 ,-1 ,-2 ,+4 ,-1 ,0  ,-2
0.3571108 ,Left ,-3 ,-4 ,-12 ,-14 ,-12 ,+1 ,-1 ,-2
0.3646869 ,Left ,-1 ,-1 ,0  ,-3 ,+1 ,+4 ,0  ,-1
0.3646956 ,Left ,-2 ,-3 ,-3 ,+3 ,+2 ,-5 ,-2 ,-2
0.3793627 ,Left ,-1 ,+2 ,+2 ,+6 ,-3 ,+3 ,+2 ,-1
0.379369 ,Left ,-1 ,-1 ,+2 ,+5 ,+6 ,-11 ,-2 ,0 
0.3866785 ,Left ,0  ,-1 ,-2 ,-7 ,+3 ,-4 ,0  ,-1
0.3866811 ,Left ,+1 ,0  ,-4 ,+3 ,+7 ,0  ,+1 ,0 
0.4022387 ,Left ,-1 ,+4 ,+2 ,-7 ,0  ,-3 ,0  ,-2
0.4022507 ,Left ,-1 ,-1 ,-2 ,-3 ,-9 ,-3 ,-1 ,0 
0.4172161 ,Left ,0  ,-7 ,-16 ,-6 ,+3 ,-2 ,+2 ,0 
0.4172288 ,Left ,-2 ,+1 ,+6 ,+1 ,-5 ,0  ,0  ,-1
0.4249331 ,Left ,+1 ,+5 ,+9 ,-1 ,-7 ,-5 ,-2 ,0 
0.4249461 ,Left ,0  ,-4 ,-6 ,+5 ,+5 ,+2 ,+1 ,+1
0.4397506 ,Left ,-3 ,-4 ,+3 ,-7 ,+4 ,-1 ,-2 ,0 
0.4397607 ,Left ,+1 ,+4 ,+2 ,+1 ,-12 ,-2 ,+1 ,-1
0.446991 ,Left ,-1 ,-5 ,-6 ,+1 ,+3 ,-1 ,0  ,-3
0.4471166 ,Left ,0  ,0  ,-1 ,-11 ,+1 ,+5 ,-1 ,-2
0.4620299 ,Left ,-2 ,0  ,0  ,+4 ,+3 ,0  ,-1 ,-1
0.4620628 ,Left ,0  ,-1 ,-2 ,+2 ,-3 ,-1 ,-2 ,-1
0.4772345 ,Left ,+1 ,0  ,0  ,+1 ,+1 ,-1 ,-3 ,-1
0.477244 ,Left ,-1 ,-2 ,-2 ,-7 ,-1 ,0  ,-4 ,-1
0.4846648 ,Left ,0  ,-2 ,-2 ,+3 ,-5 ,+1 ,+5 ,+1
0.4848069 ,Left ,-1 ,+3 ,+5 ,-2 ,+1 ,-1 ,0  ,+1
0.4996927 ,Left ,-2 ,0  ,-2 ,-2 ,-3 ,0  ,0  ,0 
0.4997017 ,Left ,+1 ,-1 ,0  ,-5 ,0  ,-3 ,-4 ,0 
0.5147216 ,Left ,-2 ,-2 ,-5 ,+4 ,0  ,-4 ,0  ,0 
0.5147814 ,Left ,-1 ,-1 ,0  ,+2 ,+1 ,-2 ,0  ,-2
0.5294627 ,Left ,+1 ,0  ,+5 ,+7 ,-3 ,-2 ,-4 ,-1
0.5294714 ,Left ,-4 ,-3 ,-5 ,-7 ,-3 ,-3 ,+1 ,-1
0.5445809 ,Left ,-1 ,+1 ,+6 ,+10 ,+3 ,+1 ,-1 ,-1
0.5445884 ,Left ,-5 ,-8 ,-10 ,-2 ,+4 ,+2 ,+1 ,-3
0.5521892 ,Left ,-1 ,+3 ,+8 ,+3 ,+8 ,+1 ,-2 ,-1
0.5521961 ,Left ,+3 ,+4 ,+5 ,+8 ,-7 ,-4 ,-1 ,+1
0.5596433 ,Left ,0  ,+1 ,-3 ,-9 ,-1 ,+1 ,-3 ,-1
0.5596554 ,Left ,-2 ,0  ,-2 ,+1 ,-6 ,-8 ,-1 ,-2
0.5673627 ,Left ,-1 ,-7 ,-8 ,-4 ,-5 ,+1 ,-2 ,-1
0.5673756 ,Left ,-3 ,-3 ,+5 ,+3 ,+5 ,+11 ,+2 ,0 
0.5899372 ,Left ,0  ,0  ,-1 ,-4 ,-2 ,-2 ,+2 ,+1
0.5899505 ,Left ,-1 ,-5 ,-7 ,0  ,-4 ,-6 ,-4 ,-2
0.6050788 ,Left ,-1 ,-1 ,-1 ,+1 ,+4 ,+1 ,+3 ,0 
0.6050908 ,Left ,0  ,-1 ,0  ,-4 ,-7 ,0  ,+1 ,0 
0.6123234 ,Left ,+3 ,+2 ,+3 ,+5 ,-5 ,-5 ,-3 ,-1
0.6123358 ,Left ,-1 ,-2 ,-5 ,-7 ,0  ,+3 ,-3 ,-2
0.627359 ,Left ,-3 ,+1 ,+3 ,+6 ,0  ,+2 ,+2 ,+1
0.6275458 ,Left ,0  ,+2 ,-2 ,-16 ,0  ,-1 ,-2 ,-1
0.6346481 ,Left ,-5 ,-7 ,-9 ,-7 ,-6 ,-4 ,-6 ,-2
0.6346603 ,Left ,0  ,+1 ,+4 ,+5 ,-3 ,-3 ,-2 ,0 
0.6424154 ,Left ,-3 ,-3 ,-5 ,-2 ,+6 ,+5 ,0  ,-1
0.642428 ,Left ,-4 ,-4 ,+1 ,+1 ,+2 ,-4 ,-1 ,-4
0.6571733 ,Left ,+2 ,+2 ,+1 ,-5 ,-4 ,-8 ,0  ,+2
0.657182 ,Left ,+1 ,+3 ,+2 ,+9 ,+1 ,+7 ,+1 ,+1
0.6647392 ,Left ,-3 ,0  ,+2 ,-5 ,+2 ,0  ,-1 ,-2
0.6647478 ,Left ,-3 ,-7 ,-9 ,-4 ,-7 ,+2 ,-2 ,-1
0.6795802 ,Left ,0  ,+1 ,+1 ,+7 ,+7 ,-9 ,-1 ,-2
