timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0237923 ,Right ,-28 ,+8 ,0  ,-7 ,-15 ,-4 ,-22 ,-22
0.0238252 ,Right ,+40 ,-7 ,-10 ,-7 ,-5 ,-5 ,+5 ,+9
0.0386679 ,Right ,-33 ,-8 ,-7 ,-3 ,+8 ,+4 ,-3 ,-8
0.0386938 ,Right ,-34 ,-9 ,-2 ,-2 ,-1 ,-1 ,+18 ,+8
0.0402145 ,Right ,-10 ,-26 ,-3 ,-4 ,-4 ,-5 ,-44 ,-41
0.0402173 ,Right ,+14 ,+7 ,-2 ,-1 ,0  ,+2 ,+17 ,+23
0.0625129 ,Right ,-4 ,-4 ,+3 ,-15 ,-2 ,+3 ,+17 ,+8
0.0625159 ,Right ,-27 ,-15 ,-10 ,+3 ,+11 ,-6 ,-31 ,-23
0.0645945 ,Right ,+27 ,+6 ,+2 ,-1 ,+2 ,0  ,+17 ,+15
0.0645972 ,Right ,-10 ,-7 ,-9 ,+11 ,+4 ,-4 ,-12 ,-8
0.0748504 ,Right ,-15 ,-3 ,+6 ,-9 ,-8 ,-7 ,-6 ,-7
0.074853 ,Right ,+4 ,+9 ,+4 ,+6 ,0  ,0  ,+19 ,+10
0.083787 ,Right ,+11 ,+15 ,+1 ,+1 ,+1 ,+6 ,+14 ,+14
0.0837897 ,Right ,-2 ,-18 ,-3 ,+6 ,+6 ,+2 ,-6 ,+1
0.0986426 ,Right ,-14 ,-2 ,-3 ,-5 ,-7 ,-2 ,+8 ,+5
0.0986458 ,Right ,-1 ,+4 ,-1 ,-6 ,+7 ,-4 ,-21 ,-21
0.1002103 ,Right ,+9 ,+8 ,+2 ,+9 ,-3 ,-1 ,+9 ,+8
0.1002422 ,Right ,-4 ,0  ,-2 ,-6 ,-9 ,-1 ,-2 ,-2
0.1212464 ,Right ,-13 ,-12 ,-5 ,-8 ,+5 ,+3 ,-4 ,-6
0.1212495 ,Right ,0  ,-2 ,+3 ,0  ,-3 ,-1 ,-1 ,+2
0.122739 ,Right ,+11 ,-2 ,+7 ,+6 ,-2 ,0  ,+4 ,+3
0.1227416 ,Right ,-20 ,-24 ,-15 ,-22 ,+6 ,-7 ,-8 ,-8
0.1348118 ,Right ,-4 ,+6 ,0  ,+9 ,-2 ,-4 ,-17 ,-16
0.1348145 ,Right ,+7 ,+12 ,+4 ,-11 ,-3 ,0  ,+4 ,+4
