timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0244344 ,Right ,-3 ,-1 ,-2 ,-1 ,-2 ,-2 ,-2 ,-4
0.0244669 ,Right ,-2 ,-1 ,-4 ,-2 ,-6 ,-2 ,-2 ,-2
0.0259687 ,Right ,+1 ,+1 ,+5 ,+5 ,+6 ,+5 ,0  ,0 
0.0259915 ,Right ,0  ,+1 ,-9 ,-4 ,-1 ,0  ,-1 ,+1
0.0394011 ,Right ,-2 ,-4 ,-1 ,-1 ,+2 ,0  ,+1 ,-1
0.0394041 ,Right ,-5 ,-6 ,-2 ,-3 ,-6 ,-3 ,-1 ,-1
0.0456163 ,Right ,-3 ,+5 ,+1 ,-1 ,-1 ,-4 ,-1 ,0 
0.0456189 ,Right ,+1 ,-1 ,+5 ,-2 ,-4 ,-1 ,-1 ,-2
0.0624621 ,Right ,+2 ,0  ,-1 ,-2 ,+2 ,+2 ,-1 ,0 
0.0625907 ,Right ,+1 ,-3 ,-3 ,0  ,+1 ,-2 ,-3 ,-1
0.063879 ,Right ,-5 ,+2 ,-4 ,-5 ,-5 ,-4 ,-4 ,-1
0.06404 ,Right ,-3 ,-1 ,0  ,+9 ,+20 ,+4 ,+1 ,-1
0.0850693 ,Right ,-2 ,0  ,+7 ,+9 ,+2 ,+1 ,+1 ,-2
0.0850814 ,Right ,-1 ,-3 ,-8 ,-7 ,-1 ,-1 ,-1 ,-1
0.0866505 ,Right ,+2 ,+2 ,-12 ,-10 ,-9 ,-1 ,-1 ,+2
0.0866693 ,Right ,-1 ,-8 ,0  ,+1 ,-5 ,-3 ,-2 ,0 
0.0993665 ,Right ,+3 ,+5 ,+2 ,+3 ,-2 ,-2 ,+1 ,-1
0.0995163 ,Right ,-2 ,-12 ,-18 ,-12 ,-2 ,-2 ,+1 ,-2
0.1060062 ,Right ,0  ,+4 ,+2 ,0  ,-2 ,-1 ,0  ,-2
0.1060149 ,Right ,-3 ,+2 ,+1 ,-5 ,-6 ,+2 ,+3 ,-1
0.1218886 ,Right ,-2 ,-2 ,-3 ,-3 ,-5 ,-3 ,-3 ,-2
0.1219192 ,Right ,-1 ,+2 ,+1 ,-2 ,+2 ,-2 ,-2 ,-1
0.1234226 ,Right ,-1 ,-1 ,+4 ,+4 ,0  ,+3 ,+1 ,0 
0.123495 ,Right ,-1 ,-8 ,-4 ,-1 ,-4 ,-2 ,-4 ,-1
0.144636 ,Right ,-2 ,+2 ,-1 ,-2 ,+5 ,0  ,0  ,-1
0.144639 ,Right ,0  ,+1 ,+5 ,+5 ,0  ,+1 ,+2 ,0 
0.1462946 ,Right ,-2 ,-3 ,-8 ,-4 ,-3 ,-4 ,-2 ,-1
0.1462977 ,Right ,0  ,+7 ,+2 ,-4 ,-5 ,-5 ,-2 ,-2
0.1588672 ,Right ,+1 ,-1 ,+1 ,-2 ,+4 ,-1 ,-2 ,0 
0.1588701 ,Right ,0  ,0  ,-6 ,-1 ,+9 ,+3 ,-1 ,0 
0.1656412 ,Right ,0  ,-11 ,-4 ,+1 ,0  ,+2 ,0  ,-2
0.1656439 ,Right ,-1 ,-2 ,-6 ,-2 ,-7 ,0  ,0  ,-2
0.1822687 ,Right ,-1 ,-9 ,+5 ,-3 ,-6 ,-4 ,-4 ,-4
0.182273 ,Right ,-3 ,+6 ,-6 ,-2 ,-6 ,-5 ,0  ,0 
0.1838526 ,Right ,-2 ,-2 ,+11 ,+7 ,+3 ,+1 ,+1 ,-2
0.1838568 ,Right ,0  ,+2 ,+6 ,-2 ,-1 ,-1 ,0  ,-1
0.2048247 ,Right ,-2 ,-1 ,-15 ,-6 ,-4 ,-1 ,+1 ,-1
0.2048315 ,Right ,0  ,+3 ,+5 ,+4 ,-2 ,-3 ,0  ,0 
0.2062446 ,Right ,-2 ,0  ,+1 ,+1 ,-1 ,-3 ,-2 ,-1
0.206251 ,Right ,+1 ,+1 ,-2 ,-1 ,+2 ,0  ,0  ,+2
0.2190982 ,Right ,-1 ,+2 ,0  ,-1 ,-2 ,+2 ,+1 ,+2
0.2191052 ,Right ,-3 ,-2 ,+9 ,-1 ,-5 ,-1 ,0  ,0 
0.2259357 ,Right ,+1 ,+5 ,+1 ,+1 ,0  ,0  ,-1 ,-1
0.2259428 ,Right ,-2 ,-5 ,-11 ,-3 ,+3 ,-1 ,-1 ,-2
0.2422661 ,Right ,0  ,-4 ,-3 ,-4 ,-3 ,-3 ,-3 ,-1
0.2422739 ,Right ,0  ,+1 ,-1 ,0  ,-3 ,+2 ,-1 ,0 
0.243766 ,Right ,-1 ,-3 ,+7 ,+2 ,+2 ,+3 ,-3 ,+2
0.2437722 ,Right ,-1 ,0  ,+3 ,-1 ,+1 ,-2 ,-1 ,0 
0.2646084 ,Right ,-2 ,+2 ,-3 ,+2 ,0  ,0  ,+3 ,+2
0.264615 ,Right ,-3 ,-10 ,-2 ,-1 ,-3 ,-2 ,-1 ,-3
0.2661212 ,Right ,-3 ,+8 ,-1 ,-7 ,-6 ,-5 ,-3 ,-4
0.2661263 ,Right ,-2 ,-1 ,-3 ,0  ,-4 ,-2 ,-1 ,-1
0.2789065 ,Right ,-5 ,-1 ,+2 ,-5 ,-3 ,0  ,+1 ,-3
0.2789094 ,Right ,+1 ,-1 ,-2 ,+2 ,+4 ,+3 ,+1 ,0 
0.2856346 ,Right ,0  ,-7 ,-1 ,-2 ,+2 ,+1 ,+3 ,+1
0.2856372 ,Right ,+1 ,0  ,-1 ,0  ,0  ,-4 ,-1 ,-1
0.3021767 ,Right ,+2 ,+3 ,+11 ,+3 ,+2 ,-2 ,-1 ,0 
0.3021799 ,Right ,+1 ,-2 ,-10 ,-2 ,-4 ,-2 ,-4 ,-3
0.3035884 ,Right ,+1 ,-3 ,-6 ,-2 ,-2 ,0  ,0  ,-2
0.3035912 ,Right ,-2 ,+2 ,+9 ,+1 ,-3 ,+2 ,-2 ,-1
0.3244647 ,Right ,0  ,-5 ,-3 ,+1 ,0  ,+1 ,-3 ,-1
0.3244685 ,Right ,-4 ,+1 ,+1 ,-2 ,-1 ,-2 ,0  ,-1
0.3260534 ,Right ,-2 ,-4 ,-8 ,-3 ,0  ,-3 ,-2 ,+1
0.3261467 ,Right ,-1 ,-1 ,-3 ,+1 ,+2 ,+3 ,+4 ,0 
