timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0116616 ,Left ,-2 ,+5 ,-5 ,-6 ,-24 ,-3 ,-3 ,-4
0.011693 ,Left ,-5 ,-5 ,0  ,-5 ,-7 ,-2 ,+1 ,-2
0.0132912 ,Left ,-2 ,-3 ,-6 ,-6 ,-1 ,-2 ,-1 ,-5
0.0133296 ,Left ,-1 ,-6 ,-6 ,+3 ,+15 ,-1 ,-1 ,-1
0.0267341 ,Left ,0  ,+2 ,+6 ,-1 ,-3 ,-1 ,-2 ,-2
0.0267385 ,Left ,-4 ,-3 ,-10 ,-5 ,-4 ,-1 ,0  ,-2
0.0283834 ,Left ,+1 ,-7 ,-1 ,-8 ,-16 ,-4 ,0  ,+1
0.0283858 ,Left ,0  ,+16 ,+5 ,-4 ,+6 ,-2 ,-5 ,-3
0.0404834 ,Left ,0  ,-1 ,-1 ,-2 ,-6 ,+1 ,0  ,0 
0.0404867 ,Left ,-4 ,-8 ,-7 ,+11 ,+25 ,-2 ,-1 ,-2
0.0496086 ,Left ,-3 ,-4 ,-11 ,-12 ,-8 ,0  ,-5 ,-3
0.0496139 ,Left ,-11 ,-12 ,+3 ,-3 ,-16 ,-2 ,-1 ,-5
0.0637456 ,Left ,+2 ,+11 ,+2 ,-2 ,+12 ,0  ,-2 ,+1
0.0637491 ,Left ,0  ,-2 ,+5 ,-1 ,-11 ,+2 ,0  ,-1
0.0704382 ,Left ,0  ,+1 ,-5 ,+2 ,-6 ,-4 ,-2 ,-2
0.070441 ,Left ,+4 ,+1 ,+1 ,-9 ,+7 ,-1 ,-1 ,+1
0.0868248 ,Left ,-3 ,-10 ,-9 ,-6 ,-16 ,-4 ,-3 ,-4
0.0868279 ,Left ,0  ,+1 ,+4 ,+5 ,+3 ,+2 ,0  ,+1
0.0884029 ,Left ,+1 ,+4 ,+3 ,-1 ,+4 ,+2 ,+4 ,+2
0.0884057 ,Left ,+2 ,-1 ,-3 ,+6 ,+2 ,+1 ,+1 ,+1
0.100639 ,Left ,-6 ,-13 ,-11 ,-9 ,-7 ,-3 ,0  ,-1
0.1006424 ,Left ,+2 ,+4 ,-3 ,-16 ,-22 ,-3 ,-1 ,-1
0.1096101 ,Left ,+3 ,+16 ,+20 ,+9 ,+13 ,0  ,0  ,+2
