timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0233341 ,Right ,-3 ,-1 ,-29 ,-57 ,-8 ,-2 ,0  ,-1
0.0233766 ,Right ,-1 ,-3 ,+7 ,+4 ,-7 ,-3 ,-1 ,-1
0.0308857 ,Right ,-3 ,+5 ,+20 ,+20 ,-2 ,0  ,-1 ,-1
0.0309092 ,Right ,-4 ,-6 ,-11 ,-1 ,+8 ,0  ,0  ,-5
0.046233 ,Right ,+4 ,-1 ,+11 ,+12 ,-1 ,-1 ,-14 ,+2
0.0462364 ,Right ,-1 ,-1 ,+5 ,+2 ,+2 ,-2 ,+6 ,-4
0.0535527 ,Right ,0  ,-2 ,+7 ,-8 ,-4 ,+1 ,+34 ,+2
0.0535582 ,Right ,-2 ,0  ,-47 ,-43 ,-6 ,-5 ,-18 ,+4
0.0689621 ,Right ,-3 ,-5 ,+6 ,+18 ,+3 ,+3 ,+18 ,-2
0.0689804 ,Right ,+3 ,+1 ,-3 ,-9 ,+2 ,+2 ,-12 ,-1
0.0765871 ,Right ,-2 ,-4 ,+6 ,+23 ,-6 ,-3 ,-10 ,-5
0.0765991 ,Right ,0  ,+2 ,+26 ,+15 ,+8 ,-4 ,+1 ,-4
0.0839516 ,Right ,+5 ,+4 ,-7 ,-15 ,-4 ,+11 ,+15 ,+8
0.0839633 ,Right ,+1 ,+10 ,+8 ,+27 ,+5 ,+1 ,-4 ,-1
0.091713 ,Right ,-7 ,-5 ,-20 ,-23 ,0  ,-8 ,-8 ,-1
0.0917315 ,Right ,0  ,-9 ,+1 ,-8 ,-1 ,+2 ,0  ,-2
0.1064933 ,Right ,-4 ,-1 ,-7 ,+4 ,-5 ,-8 ,-18 ,-3
0.1065051 ,Right ,0  ,-1 ,+15 ,+2 ,0  ,-1 ,+5 ,0 
0.1140545 ,Right ,+1 ,+1 ,+16 ,+10 ,+2 ,+2 ,-7 ,0 
0.1140672 ,Right ,-1 ,-7 ,-69 ,-34 ,-13 ,-7 ,-4 ,-4
0.1290272 ,Right ,-6 ,+2 ,+45 ,+39 ,+13 ,0  ,+1 ,-5
0.1290362 ,Right ,+9 ,-1 ,-5 ,-31 ,-6 ,+1 ,+3 ,+4
0.136364 ,Right ,-3 ,-4 ,-29 ,-14 ,-3 ,-5 ,-5 ,-1
0.1363727 ,Right ,-1 ,+1 ,+44 ,+25 ,-3 ,+3 ,+1 ,+1
0.1436054 ,Right ,0  ,+3 ,-16 ,-21 ,-9 ,-9 ,+1 ,-1
0.1436118 ,Right ,-5 ,-7 ,-4 ,-3 ,0  ,+1 ,+2 ,-2
