timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0190665 ,Left ,-8 ,-4 ,-5 ,+1 ,+4 ,-5 ,-3 ,-5
0.0191678 ,Left ,+3 ,-2 ,-3 ,+2 ,-4 ,-3 ,-1 ,+1
0.0206238 ,Left ,0  ,0  ,+1 ,-7 ,-3 ,-1 ,0  ,+2
0.0206604 ,Left ,-2 ,+2 ,+3 ,0  ,+16 ,+7 ,+1 ,-3
0.0417677 ,Left ,-7 ,-7 ,-9 ,+2 ,-16 ,-9 ,-3 ,+1
0.0417707 ,Left ,+7 ,+2 ,+3 ,+29 ,+7 ,+1 ,0  ,+3
0.0435346 ,Left ,0  ,0  ,0  ,-9 ,+2 ,-4 ,-2 ,0 
0.0435377 ,Left ,0  ,-1 ,-2 ,-10 ,+2 ,-1 ,+8 ,+5
0.0555584 ,Left ,-7 ,-3 ,-5 ,-11 ,-8 ,-1 ,-5 ,-8
0.0555619 ,Left ,-6 ,-3 ,-5 ,+13 ,+12 ,-3 ,-1 ,-1
0.0645237 ,Left ,+7 ,+3 ,+7 ,+23 ,-6 ,+1 ,+1 ,+4
0.0645266 ,Left ,-4 ,-6 ,-6 ,-7 ,+5 ,-5 ,0  ,-2
0.0794804 ,Left ,+6 ,+1 ,-2 ,-4 ,-17 ,0  ,0  ,+1
0.079484 ,Left ,-3 ,-1 ,-3 ,-6 ,-2 ,-1 ,-1 ,-1
0.0808571 ,Left ,-1 ,-2 ,-1 ,+6 ,+13 ,+3 ,0  ,-2
0.0808604 ,Left ,-2 ,0  ,-1 ,+2 ,-6 ,-5 ,-4 ,-2
0.101918 ,Left ,+2 ,-2 ,-1 ,+1 ,+19 ,+2 ,0  ,-1
0.1019344 ,Left ,+1 ,-1 ,-2 ,-40 ,-17 ,-2 ,-1 ,-2
0.1032639 ,Left ,-4 ,-4 ,-6 ,-11 ,-23 ,-3 ,-3 ,-2
0.1032666 ,Left ,-2 ,0  ,-2 ,-1 ,+6 ,-2 ,-2 ,-3
0.1153926 ,Left ,+3 ,+1 ,+1 ,+8 ,+19 ,+4 ,+1 ,+2
0.1153955 ,Left ,-6 ,-1 ,-1 ,+15 ,-2 ,+3 ,-1 ,-4
0.124385 ,Left ,-4 ,-3 ,-4 ,-25 ,-12 ,-6 ,-7 ,-3
0.1243878 ,Left ,-1 ,+2 ,+1 ,-1 ,-1 ,-1 ,+2 ,-2
0.1398345 ,Left ,+1 ,-1 ,+1 ,+36 ,-4 ,-2 ,0  ,0 
0.1398567 ,Left ,-6 ,-5 ,+1 ,+5 ,+7 ,+2 ,-1 ,-3
0.1412246 ,Left ,+4 ,+1 ,+1 ,-8 ,-5 ,0  ,-2 ,-1
0.1414007 ,Left ,0  ,-2 ,0  ,+20 ,+14 ,+2 ,-3 ,0 
0.1624425 ,Left ,0  ,0  ,+1 ,-12 ,-11 ,-3 ,-1 ,-1
0.1626751 ,Left ,+1 ,-1 ,-3 ,-8 ,-15 ,-3 ,0  ,-2
0.1636946 ,Left ,-4 ,-4 ,-4 ,-3 ,+2 ,+1 ,0  ,-1
0.1637066 ,Left ,+2 ,+1 ,+2 ,+13 ,+10 ,+2 ,-1 ,-1
0.1756536 ,Left ,-3 ,-3 ,-4 ,-24 ,-26 ,-1 ,-1 ,-2
0.1757721 ,Left ,+3 ,0  ,+2 ,+6 ,+2 ,-2 ,-1 ,0 
0.1844909 ,Left ,-2 ,-2 ,-2 ,+18 ,+18 ,-5 ,-1 ,-1
0.1844972 ,Left ,-7 ,-3 ,-6 ,-8 ,-25 ,0  ,-4 ,-2
0.1994845 ,Left ,-3 ,-2 ,-5 ,-22 ,-4 ,-1 ,0  ,-2
