timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0192675 ,Left ,0  ,-3 ,-2 ,-1 ,-11 ,-9 ,-4 ,-4
0.0192736 ,Left ,-6 ,-5 ,-5 ,-1 ,+5 ,+4 ,-1 ,-1
0.020803 ,Left ,+2 ,+1 ,+1 ,-3 ,-1 ,-4 ,-1 ,0 
0.0208373 ,Left ,-5 ,-4 ,-2 ,+1 ,+3 ,+1 ,+1 ,-1
0.0328814 ,Left ,+2 ,+2 ,-2 ,-1 ,0  ,+3 ,0  ,+2
0.0328841 ,Left ,+1 ,+4 ,+3 ,0  ,-3 ,+4 ,0  ,-1
0.0420691 ,Left ,-2 ,-2 ,-2 ,-3 ,-6 ,-9 ,-3 ,-3
0.0420721 ,Left ,0  ,+1 ,-2 ,-2 ,-2 ,-5 ,-7 ,-1
0.0563881 ,Left ,-3 ,-5 ,-3 ,-2 ,+1 ,+2 ,-2 ,-2
0.0563916 ,Left ,0  ,0  ,-2 ,0  ,+5 ,0  ,-1 ,-1
0.0630968 ,Left ,-1 ,+1 ,-2 ,-4 ,-1 ,+2 ,+2 ,-1
0.0631001 ,Left ,-4 ,-4 ,-3 ,-8 ,-16 ,-5 ,-3 ,-3
0.0794302 ,Left ,-1 ,-1 ,-1 ,+2 ,+4 ,-1 ,0  ,-1
0.0794332 ,Left ,+1 ,-1 ,-2 ,-2 ,0  ,-1 ,0  ,+1
0.0811545 ,Left ,-6 ,-4 ,-3 ,-7 ,-9 ,+2 ,+2 ,-3
0.0811574 ,Left ,-3 ,-5 ,-8 ,-5 ,-6 ,-9 ,-3 ,-2
0.1019436 ,Left ,+6 ,+6 ,+6 ,+6 ,0  ,-1 ,-1 ,+1
0.101947 ,Left ,0  ,+2 ,0  ,-2 ,-3 ,-1 ,-2 ,+1
0.1037023 ,Left ,-3 ,-2 ,-1 ,0  ,+3 ,+2 ,-3 ,-2
0.103706 ,Left ,-1 ,+1 ,0  ,+4 ,+3 ,+3 ,0  ,+1
0.1169219 ,Left ,-4 ,-6 ,-5 ,-1 ,+3 ,-3 ,+1 ,-2
0.1169259 ,Left ,+3 ,+5 ,+4 ,+3 ,+2 ,+1 ,0  ,+1
