timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0513699 ,Left ,-2 ,-2 ,-2 ,-5 ,-4 ,+3 ,-1 ,0 
0.0513784 ,Left ,-2 ,-3 ,-2 ,-1 ,+6 ,-2 ,0  ,-4
0.0583566 ,Left ,0  ,-2 ,0  ,+7 ,-16 ,-3 ,+1 ,-2
0.0584403 ,Left ,-4 ,-2 ,-1 ,-1 ,+4 ,+1 ,+2 ,-1
0.073557 ,Left ,-1 ,+2 ,+2 ,+2 ,+7 ,+1 ,-1 ,-1
0.0735608 ,Left ,-4 ,-3 ,-6 ,-7 ,-1 ,-3 ,-2 ,-2
0.0811362 ,Left ,-1 ,-1 ,-1 ,-3 ,-23 ,-2 ,-1 ,-1
0.0811393 ,Left ,0  ,+1 ,+3 ,0  ,-4 ,-4 ,-3 ,-2
0.0958755 ,Left ,-2 ,-2 ,-5 ,-4 ,+3 ,0  ,0  ,-1
0.0958784 ,Left ,-1 ,0  ,-3 ,+2 ,+2 ,+5 ,-2 ,-2
0.1110864 ,Left ,+1 ,-1 ,-1 ,+2 ,-4 ,-2 ,-2 ,-1
0.1110904 ,Left ,+1 ,-1 ,-2 ,-19 ,-5 ,-1 ,-1 ,+1
0.1185722 ,Left ,+2 ,0  ,+3 ,+8 ,-2 ,-9 ,0  ,0 
0.1185776 ,Left ,-2 ,-1 ,+2 ,-1 ,+6 ,-1 ,-2 ,-3
0.1333369 ,Left ,-2 ,-2 ,-4 ,-1 ,+2 ,-3 ,-2 ,-4
0.1333397 ,Left ,+1 ,-2 ,-2 ,+2 ,-5 ,+2 ,-1 ,+1
0.1408811 ,Left ,+1 ,-3 ,-4 ,-5 ,-21 ,-6 ,-3 ,+1
0.1408844 ,Left ,-4 ,-2 ,+2 ,+5 ,+10 ,+2 ,0  ,-1
0.1559857 ,Left ,+1 ,+2 ,-2 ,-4 ,-23 ,-3 ,-1 ,-1
0.1559885 ,Left ,0  ,0  ,0  ,+3 ,+7 ,+7 ,-1 ,-1
0.1636495 ,Left ,-3 ,-2 ,-2 ,-5 ,+9 ,-16 ,-3 ,-2
0.1636527 ,Left ,+2 ,-2 ,-1 ,+3 ,-9 ,0  ,0  ,0 
0.178484 ,Left ,+1 ,+1 ,+3 ,+7 ,+13 ,+4 ,0  ,+1
0.1784872 ,Left ,-1 ,-2 ,-4 ,-6 ,-17 ,-4 ,0  ,-2
0.1935373 ,Left ,+1 ,-3 ,-2 ,-7 ,+10 ,+2 ,0  ,+1
