timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0571372 ,Right ,-2 ,+1 ,+9 ,+6 ,0  ,-8 ,0  ,+1
0.0571464 ,Right ,-2 ,-3 ,-3 ,-4 ,-6 ,+12 ,-3 ,-2
0.058024 ,Right ,+2 ,-1 ,-7 ,-4 ,+3 ,+5 ,+8 ,+2
0.0581274 ,Right ,+1 ,-2 ,-7 ,-4 ,+1 ,-2 ,-2 ,+1
0.0699904 ,Right ,-4 ,-1 ,-1 ,-7 ,-7 ,-5 ,-2 ,-2
0.0700572 ,Right ,+1 ,+1 ,+1 ,+1 ,-6 ,-14 ,-6 ,-1
0.0793082 ,Right ,+2 ,+1 ,+1 ,+3 ,+2 ,+1 ,-1 ,+1
0.0793113 ,Right ,0  ,-1 ,+4 ,+8 ,+7 ,+10 ,+1 ,-1
0.0941863 ,Right ,0  ,0  ,-6 ,-4 ,-1 ,-4 ,-1 ,-3
0.0941901 ,Right ,-3 ,-1 ,-1 ,-6 ,-2 ,-8 ,-3 ,-2
0.0958467 ,Right ,-2 ,-3 ,-11 ,+1 ,0  ,+9 ,-2 ,-1
0.0958529 ,Right ,-4 ,0  ,+8 ,+2 ,-3 ,-9 ,0  ,-2
0.1166176 ,Right ,-2 ,-1 ,-5 ,0  ,-3 ,+2 ,-2 ,-1
0.1166207 ,Right ,+1 ,-2 ,+1 ,+1 ,-2 ,-4 ,+1 ,-1
0.1182976 ,Right ,-1 ,-1 ,+7 ,+4 ,+1 ,-5 ,-1 ,-2
0.1183009 ,Right ,-1 ,-2 ,-9 ,-2 ,-4 ,-6 ,-1 ,0 
0.1303285 ,Right ,+1 ,-1 ,+1 ,-4 ,+4 ,+6 ,+1 ,0 
0.1303328 ,Right ,-4 ,-4 ,-2 ,-1 ,-2 ,+1 ,-2 ,-4
0.1390471 ,Right ,-1 ,0  ,-3 ,-4 ,+3 ,+14 ,-2 ,-2
0.1391071 ,Right ,-2 ,0  ,+3 ,+3 ,-1 ,-5 ,0  ,-2
0.154211 ,Right ,-1 ,-2 ,+1 ,+3 ,-5 ,-6 ,-2 ,+1
0.1542139 ,Right ,-2 ,-1 ,-3 ,-15 ,-5 ,-2 ,+2 ,0 
0.1557629 ,Right ,+1 ,+1 ,+12 ,+14 ,+1 ,-6 ,0  ,+1
0.155766 ,Right ,0  ,0  ,-6 ,+1 ,+1 ,-1 ,0  ,-1
0.1767333 ,Right ,-1 ,-1 ,+2 ,-3 ,-2 ,-1 ,-1 ,0 
0.1767365 ,Right ,-3 ,-1 ,-1 ,+8 ,+3 ,+2 ,0  ,0 
0.1782067 ,Right ,-4 ,-2 ,-2 ,-4 ,-1 ,-4 ,0  ,-2
0.1782098 ,Right ,-1 ,-2 ,+3 ,+4 ,+1 ,+3 ,-1 ,-1
0.1994116 ,Right ,-1 ,-1 ,-1 ,-2 ,-1 ,-6 ,-2 ,0 
0.1995921 ,Right ,0  ,-2 ,-13 ,-5 ,-2 ,-1 ,0  ,-1
0.2011093 ,Right ,-1 ,+1 ,+3 ,+1 ,+1 ,-3 ,-2 ,-1
0.2011212 ,Right ,+1 ,-3 ,-2 ,-4 ,-5 ,-2 ,-4 ,-1
0.214672 ,Right ,-2 ,-3 ,-3 ,-4 ,-1 ,+2 ,+1 ,-1
0.2146951 ,Right ,0  ,-2 ,0  ,0  ,+3 ,+3 ,+1 ,-1
0.2159058 ,Right ,-2 ,-1 ,-2 ,-3 ,+5 ,+8 ,+3 ,+2
0.2160054 ,Right ,-2 ,0  ,0  ,+1 ,-5 ,-17 ,-5 ,-3
0.2371966 ,Right ,0  ,0  ,-6 ,-2 ,+4 ,+11 ,+2 ,0 
0.2372087 ,Right ,0  ,-1 ,+10 ,+9 ,-2 ,-7 ,-1 ,-2
0.238598 ,Right ,-1 ,-1 ,-6 ,-6 ,-5 ,-2 ,-1 ,0 
0.2386977 ,Right ,-1 ,-1 ,-4 ,-5 ,-3 ,-3 ,-1 ,-2
0.2595084 ,Right ,0  ,0  ,-2 ,0  ,-2 ,-3 ,-2 ,-2
0.2596989 ,Right ,+1 ,0  ,+5 ,0  ,+3 ,+1 ,-1 ,0 
0.261027 ,Right ,-2 ,-1 ,+4 ,+5 ,-2 ,-3 ,-1 ,-1
0.2611901 ,Right ,-4 ,+1 ,-7 ,-4 ,-3 ,+3 ,-1 ,-3
0.2747428 ,Right ,-1 ,-1 ,-5 ,0  ,-4 ,-4 ,+1 ,-1
0.2749735 ,Right ,-2 ,0  ,-6 ,-4 ,-1 ,+1 ,+1 ,-1
0.2760942 ,Right ,0  ,-3 ,+3 ,-3 ,-4 ,-3 ,-2 ,0 
0.2761064 ,Right ,0  ,-2 ,-3 ,+1 ,+3 ,-5 ,+1 ,-1
0.2968602 ,Right ,-1 ,-3 ,-2 ,-9 ,-4 ,+5 ,-2 ,-2
0.2968688 ,Right ,-3 ,-6 ,-12 ,-6 ,-1 ,-6 ,-2 ,+1
0.2983775 ,Right ,-1 ,-1 ,+9 ,+5 ,-1 ,-6 ,-2 ,-3
0.2983855 ,Right ,0  ,0  ,-3 ,+10 ,-4 ,-5 ,+1 ,-3
0.3195803 ,Right ,+1 ,-3 ,-12 ,-14 ,+2 ,+3 ,-2 ,-1
0.3195932 ,Right ,+1 ,0  ,+4 ,+6 ,0  ,+5 ,-2 ,-1
0.3209334 ,Right ,-1 ,0  ,+4 ,+7 ,+3 ,+3 ,+1 ,+1
0.3209418 ,Right ,-3 ,-2 ,+4 ,-8 ,-1 ,+1 ,0  ,-1
0.3335749 ,Right ,0  ,-2 ,-1 ,-4 ,-4 ,-5 ,-2 ,-2
0.3335837 ,Right ,0  ,+1 ,+1 ,-4 ,-2 ,-4 ,-1 ,-1
0.3403567 ,Right ,-1 ,0  ,0  ,0  ,+2 ,+2 ,+2 ,0 
0.3403632 ,Right ,0  ,-2 ,+2 ,-1 ,-1 ,+6 ,-1 ,-2
0.3566907 ,Right ,0  ,+1 ,+1 ,0  ,-1 ,-9 ,-4 ,-1
0.3566955 ,Right ,-2 ,0  ,-5 ,-4 ,-3 ,-11 ,-4 ,-3
0.3581989 ,Right ,+1 ,-1 ,-8 ,-2 ,-1 ,+10 ,+4 ,0 
0.3582031 ,Right ,+1 ,0  ,0  ,-7 ,-1 ,+2 ,0  ,+2
0.3792215 ,Right ,-4 ,-2 ,0  ,+6 ,0  ,-2 ,+1 ,-2
0.3792271 ,Right ,-2 ,-2 ,+3 ,-2 ,-3 ,-5 ,-1 ,-2
0.3808963 ,Right ,-1 ,-2 ,+3 ,+3 ,-1 ,-7 ,-4 ,-3
0.380901 ,Right ,-2 ,0  ,-5 ,-4 ,-5 ,+5 ,-1 ,0 
0.39364 ,Right ,0  ,-1 ,-12 ,-6 ,+4 ,+2 ,0  ,0 
0.3936445 ,Right ,-1 ,+1 ,+1 ,+7 ,+2 ,+3 ,+2 ,-1
0.4003389 ,Right ,-1 ,+2 ,-3 ,-5 ,+1 ,-3 ,-2 ,0 
0.4003433 ,Right ,-1 ,-2 ,0  ,-3 ,-5 ,-14 ,-4 ,-1
0.41684 ,Right ,-1 ,+1 ,+14 ,+10 ,-4 ,+7 ,-1 ,-1
0.4168454 ,Right ,0  ,-2 ,-10 ,-12 ,-1 ,-4 ,+2 ,-1
0.4181783 ,Right ,-1 ,0  ,0  ,+4 ,+3 ,+1 ,-1 ,-2
0.4182902 ,Right ,0  ,-1 ,-6 ,-9 ,+2 ,0  ,+2 ,-1
0.4393659 ,Right ,-2 ,-3 ,-6 ,+1 ,-7 ,-7 ,-4 ,0 
0.439371 ,Right ,-2 ,-3 ,-5 ,-6 ,-2 ,0  ,-2 ,+2
0.4406582 ,Right ,-2 ,-3 ,+4 ,+1 ,-6 ,-9 ,-4 ,-2
0.4407133 ,Right ,-1 ,-2 ,+2 ,+1 ,+2 ,+3 ,-2 ,-1
0.4536293 ,Right ,-1 ,+1 ,-9 ,0  ,+4 ,+4 ,+3 ,+1
0.4536348 ,Right ,+1 ,-1 ,-3 ,-7 ,-2 ,+2 ,+1 ,-2
0.4604508 ,Right ,0  ,-4 ,-7 ,-4 ,-3 ,-7 ,-3 ,-1
0.460456 ,Right ,0  ,-2 ,+3 ,+5 ,+1 ,+5 ,0  ,0 
0.476789 ,Right ,0  ,-1 ,+1 ,-8 ,+1 ,-5 ,0  ,0 
0.4767946 ,Right ,-3 ,0  ,+7 ,+11 ,-3 ,-5 ,0  ,-1
0.478349 ,Right ,-1 ,-2 ,-3 ,-5 ,0  ,+9 ,-2 ,0 
0.4783543 ,Right ,+2 ,-2 ,-10 ,-3 ,+2 ,-1 ,+1 ,+1
0.4990435 ,Right ,-1 ,-1 ,+6 ,+4 ,0  ,-4 ,-1 ,-3
0.499047 ,Right ,0  ,-1 ,+1 ,0  ,-1 ,+2 ,0  ,0 
0.5007925 ,Right ,-1 ,-2 ,+3 ,-6 ,-5 ,-9 ,-2 ,-3
0.5007958 ,Right ,-2 ,-2 ,-4 ,+1 ,+1 ,+8 ,-1 ,-1
0.5135459 ,Right ,-1 ,+1 ,+4 ,+2 ,-3 ,-4 ,-2 ,0 
0.5135496 ,Right ,+1 ,+6 ,+15 ,+6 ,0  ,-1 ,-3 ,+1
0.5203169 ,Right ,-2 ,-1 ,-4 ,-2 ,-1 ,-1 ,+2 ,+1
0.520321 ,Right ,-2 ,-3 ,-6 ,-9 ,-2 ,-3 ,-2 ,-2
0.5370013 ,Right ,+1 ,-2 ,-3 ,+8 ,-1 ,-4 ,-1 ,-2
0.5370128 ,Right ,-1 ,+1 ,-3 ,-7 ,-1 ,0  ,-3 ,0 
0.5385431 ,Right ,-1 ,-1 ,+6 ,+8 ,0  ,-11 ,-5 ,-2
0.5385504 ,Right ,0  ,-3 ,-18 ,-18 ,-2 ,+16 ,+2 ,-1
0.5584535 ,Right ,-1 ,0  ,+1 ,+6 ,+2 ,-7 ,+1 ,0 
0.5584606 ,Right ,0  ,-2 ,+3 ,-1 ,0  ,+3 ,+1 ,-1
0.5669225 ,Right ,-1 ,-1 ,-17 ,-5 ,-3 ,-3 ,0  ,-2
0.5669287 ,Right ,0  ,-1 ,+11 ,+8 ,-2 ,-7 ,-4 ,-2
0.5736101 ,Right ,0  ,-3 ,-19 ,-10 ,0  ,+1 ,-1 ,-1
0.5736166 ,Right ,0  ,-3 ,-5 ,+8 ,-3 ,-1 ,-2 ,+1
0.5803182 ,Right ,-1 ,+4 ,+7 ,+5 ,+4 ,+3 ,-2 ,+1
0.5803858 ,Right ,-1 ,-1 ,+5 ,+2 ,-4 ,-4 ,-2 ,-3
0.596852 ,Right ,-2 ,+3 ,+12 ,+2 ,-1 ,-1 ,-3 ,-1
0.5968585 ,Right ,-4 ,-4 ,-15 ,-15 ,+1 ,-2 ,-1 ,-1
0.5983997 ,Right ,0  ,+1 ,+9 ,-1 ,-4 ,+2 ,-1 ,+1
0.598407 ,Right ,-3 ,-4 ,-20 ,+4 ,-2 ,-1 ,+1 ,0 
0.6194495 ,Right ,-1 ,+1 ,+11 ,-4 ,+1 ,+2 ,0  ,0 
0.6194561 ,Right ,0  ,-5 ,-17 ,+2 ,-1 ,-2 ,0  ,-2
0.620928 ,Right ,0  ,-1 ,+7 ,0  ,-1 ,+1 ,+3 ,-2
0.6209345 ,Right ,+1 ,+3 ,+8 ,-1 ,-2 ,-7 ,-4 ,+1
0.6339057 ,Right ,0  ,0  ,0  ,-4 ,0  ,-4 ,-3 ,-3
0.6339126 ,Right ,+4 ,-1 ,+5 ,+3 ,+5 ,+22 ,+2 ,-1
0.6404327 ,Right ,+1 ,0  ,-15 ,+1 ,-2 ,-4 ,+1 ,-2
0.6404396 ,Right ,-2 ,+1 ,+9 ,-2 ,+2 ,-1 ,0  ,+1
0.6565853 ,Right ,-3 ,-2 ,+5 ,+7 ,-6 ,-7 ,-4 ,-1
0.6565889 ,Right ,-2 ,-2 ,-24 ,-10 ,-7 ,-9 ,-3 ,-3
0.6583414 ,Right ,-1 ,-2 ,-4 ,-2 ,+4 ,+4 ,+2 ,0 
0.6583444 ,Right ,0  ,+2 ,+16 ,+15 ,-2 ,-3 ,-2 ,0 
